Date,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y12,Y15,Y20,Y25,Y30,Y40,Y50
2020-02-11,1.57,-256.0,1.57,-256.0,-256.0,1.55,-256.0,-256.0,-256.0,-256.0,-256.0,1.48,1.41,1.39,-256.0,1.40,-256.0,1.50,-256.0,-256.0,1.59,-256.0,-256.0,1.89,-256.0,2.05,-256.0,-256.0
2020-02-12,1.57,-256.0,1.58,-256.0,-256.0,1.56,-256.0,-256.0,-256.0,-256.0,-256.0,1.49,1.44,1.42,-256.0,1.45,-256.0,1.55,-256.0,-256.0,1.62,-256.0,-256.0,1.93,-256.0,2.09,-256.0,-256.0
2020-02-13,1.59,-256.0,1.59,-256.0,-256.0,1.56,-256.0,-256.0,-256.0,-256.0,-256.0,1.48,1.44,1.42,-256.0,1.43,-256.0,1.53,-256.0,-256.0,1.61,-256.0,-256.0,1.91,-256.0,2.07,-256.0,-256.0
2020-02-14,1.60,-256.0,1.58,-256.0,-256.0,1.56,-256.0,-256.0,-256.0,-256.0,-256.0,1.49,1.42,1.40,-256.0,1.42,-256.0,1.51,-256.0,-256.0,1.59,-256.0,-256.0,1.89,-256.0,2.04,-256.0,-256.0
2020-02-18,1.61,-256.0,1.58,-256.0,-256.0,1.56,-256.0,-256.0,-256.0,-256.0,-256.0,1.47,1.41,1.37,-256.0,1.39,-256.0,1.48,-256.0,-256.0,1.55,-256.0,-256.0,1.85,-256.0,2.00,-256.0,-256.0
2020-02-19,1.61,-256.0,1.58,-256.0,-256.0,1.56,-256.0,-256.0,-256.0,-256.0,-256.0,1.47,1.42,1.39,-256.0,1.41,-256.0,1.50,-256.0,-256.0,1.56,-256.0,-256.0,1.86,-256.0,2.01,-256.0,-256.0
2020-02-20,1.61,-256.0,1.58,-256.0,-256.0,1.55,-256.0,-256.0,-256.0,-256.0,-256.0,1.46,1.39,1.35,-256.0,1.37,-256.0,1.45,-256.0,-256.0,1.52,-256.0,-256.0,1.81,-256.0,1.97,-256.0,-256.0
2020-02-21,1.60,-256.0,1.56,-256.0,-256.0,1.53,-256.0,-256.0,-256.0,-256.0,-256.0,1.43,1.34,1.30,-256.0,1.30,-256.0,1.39,-256.0,-256.0,1.46,-256.0,-256.0,1.75,-256.0,1.90,-256.0,-256.0
2020-02-24,1.60,-256.0,1.53,-256.0,-256.0,1.49,-256.0,-256.0,-256.0,-256.0,-256.0,1.35,1.26,1.21,-256.0,1.21,-256.0,1.30,-256.0,-256.0,1.38,-256.0,-256.0,1.68,-256.0,1.84,-256.0,-256.0
2020-02-25,1.59,-256.0,1.53,-256.0,-256.0,1.47,-256.0,-256.0,-256.0,-256.0,-256.0,1.30,1.20,1.16,-256.0,1.16,-256.0,1.25,-256.0,-256.0,1.33,-256.0,-256.0,1.63,-256.0,1.80,-256.0,-256.0
2020-02-26,1.59,-256.0,1.53,-256.0,-256.0,1.42,-256.0,-256.0,-256.0,-256.0,-256.0,1.26,1.16,1.14,-256.0,1.14,-256.0,1.25,-256.0,-256.0,1.33,-256.0,-256.0,1.64,-256.0,1.81,-256.0,-256.0
2020-02-27,1.56,-256.0,1.45,-256.0,-256.0,1.33,-256.0,-256.0,-256.0,-256.0,-256.0,1.18,1.11,1.08,-256.0,1.11,-256.0,1.22,-256.0,-256.0,1.30,-256.0,-256.0,1.61,-256.0,1.79,-256.0,-256.0
2020-02-28,1.45,-256.0,1.27,-256.0,-256.0,1.11,-256.0,-256.0,-256.0,-256.0,-256.0,0.97,0.86,0.85,-256.0,0.89,-256.0,1.03,-256.0,-256.0,1.13,-256.0,-256.0,1.46,-256.0,1.65,-256.0,-256.0
2020-03-02,1.41,-256.0,1.13,-256.0,-256.0,0.95,-256.0,-256.0,-256.0,-256.0,-256.0,0.89,0.84,0.85,-256.0,0.88,-256.0,1.01,-256.0,-256.0,1.10,-256.0,-256.0,1.46,-256.0,1.66,-256.0,-256.0
2020-03-03,1.11,-256.0,0.95,-256.0,-256.0,0.83,-256.0,-256.0,-256.0,-256.0,-256.0,0.73,0.71,0.72,-256.0,0.77,-256.0,0.91,-256.0,-256.0,1.02,-256.0,-256.0,1.44,-256.0,1.64,-256.0,-256.0
2020-03-04,1.00,-256.0,0.72,-256.0,-256.0,0.68,-256.0,-256.0,-256.0,-256.0,-256.0,0.59,0.67,0.68,-256.0,0.75,-256.0,0.90,-256.0,-256.0,1.02,-256.0,-256.0,1.45,-256.0,1.67,-256.0,-256.0
