Date,M01,M03,M06,M09,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y15,Y20,Y25,Y30,Y50
1986-01-03,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,9.993,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-06,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,9.997,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-07,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.002,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-08,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.006,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-09,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.017999999999999,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-10,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.023,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-13,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.027000000000001,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-14,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.031,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-15,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.035,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-16,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.048,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-17,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.052,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-20,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.056000000000001,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-21,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.061,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-22,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.065,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-23,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.078,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-24,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.082,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-27,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.086,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-28,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.091000000000001,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-29,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.095,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-30,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.103,-256.0,-256.0,-256.0,-256.0,-256.0
1986-01-31,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.103,-256.0,-256.0,-256.0,-256.0,-256.0
1986-02-03,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.093,-256.0,-256.0,-256.0,-256.0,-256.0
1986-02-04,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.093,-256.0,-256.0,-256.0,-256.0,-256.0
1986-02-05,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.136000000000001,-256.0,-256.0,-256.0,-256.0,-256.0
1986-02-06,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.165,-256.0,-256.0,-256.0,-256.0,-256.0
1986-02-07,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.144,-256.0,-256.0,-256.0,-256.0,-256.0
1986-02-10,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.073,-256.0,-256.0,-256.0,-256.0,-256.0
