Date,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y12,Y15,Y20,Y25,Y30,Y40,Y50
1962-01-02,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.22,-256.0,3.70,-256.0,3.88,-256.0,-256.0,-256.0,-256.0,4.06,-256.0,-256.0,4.07,-256.0,-256.0,-256.0,-256.0
1962-01-03,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.24,-256.0,3.70,-256.0,3.87,-256.0,-256.0,-256.0,-256.0,4.03,-256.0,-256.0,4.07,-256.0,-256.0,-256.0,-256.0
1962-01-04,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.24,-256.0,3.69,-256.0,3.86,-256.0,-256.0,-256.0,-256.0,3.99,-256.0,-256.0,4.06,-256.0,-256.0,-256.0,-256.0
1962-01-05,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.26,-256.0,3.71,-256.0,3.89,-256.0,-256.0,-256.0,-256.0,4.02,-256.0,-256.0,4.07,-256.0,-256.0,-256.0,-256.0
1962-01-08,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.31,-256.0,3.71,-256.0,3.91,-256.0,-256.0,-256.0,-256.0,4.03,-256.0,-256.0,4.08,-256.0,-256.0,-256.0,-256.0
1962-01-09,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.32,-256.0,3.74,-256.0,3.93,-256.0,-256.0,-256.0,-256.0,4.05,-256.0,-256.0,4.08,-256.0,-256.0,-256.0,-256.0
1962-01-10,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.33,-256.0,3.75,-256.0,3.94,-256.0,-256.0,-256.0,-256.0,4.07,-256.0,-256.0,4.09,-256.0,-256.0,-256.0,-256.0
1962-01-11,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.33,-256.0,3.77,-256.0,3.94,-256.0,-256.0,-256.0,-256.0,4.08,-256.0,-256.0,4.08,-256.0,-256.0,-256.0,-256.0
1962-01-12,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.30,-256.0,3.76,-256.0,3.95,-256.0,-256.0,-256.0,-256.0,4.08,-256.0,-256.0,4.09,-256.0,-256.0,-256.0,-256.0
1962-01-15,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.32,-256.0,3.79,-256.0,3.96,-256.0,-256.0,-256.0,-256.0,4.10,-256.0,-256.0,4.10,-256.0,-256.0,-256.0,-256.0
1962-01-16,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.30,-256.0,3.81,-256.0,3.98,-256.0,-256.0,-256.0,-256.0,4.13,-256.0,-256.0,4.11,-256.0,-256.0,-256.0,-256.0
1962-01-17,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.30,-256.0,3.81,-256.0,3.97,-256.0,-256.0,-256.0,-256.0,4.12,-256.0,-256.0,4.10,-256.0,-256.0,-256.0,-256.0
1962-01-18,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.27,-256.0,3.79,-256.0,3.96,-256.0,-256.0,-256.0,-256.0,4.11,-256.0,-256.0,4.10,-256.0,-256.0,-256.0,-256.0
1962-01-19,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.27,-256.0,3.78,-256.0,3.95,-256.0,-256.0,-256.0,-256.0,4.11,-256.0,-256.0,4.10,-256.0,-256.0,-256.0,-256.0
1962-01-22,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.25,-256.0,3.76,-256.0,3.93,-256.0,-256.0,-256.0,-256.0,4.09,-256.0,-256.0,4.09,-256.0,-256.0,-256.0,-256.0
1962-01-23,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.25,-256.0,3.77,-256.0,3.94,-256.0,-256.0,-256.0,-256.0,4.11,-256.0,-256.0,4.10,-256.0,-256.0,-256.0,-256.0
1962-01-24,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.24,-256.0,3.76,-256.0,3.93,-256.0,-256.0,-256.0,-256.0,4.10,-256.0,-256.0,4.10,-256.0,-256.0,-256.0,-256.0
1962-01-25,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.27,-256.0,3.77,-256.0,3.94,-256.0,-256.0,-256.0,-256.0,4.11,-256.0,-256.0,4.12,-256.0,-256.0,-256.0,-256.0
1962-01-26,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,3.28,-256.0,3.80,-256.0,3.97,-256.0,-256.0,-256.0,-256.0,4.11,-256.0,-256.0,4.12,-256.0,-256.0,-256.0,-256.0
