Date,M03,M06,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y15,Y20,Y25
2003-08-05,-256.0,-256.0,-256.0,3.25,4.88,7.45,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-08-06,-256.0,-256.0,-256.0,3.23,4.87,7.45,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-08-07,-256.0,-256.0,-256.0,3.23,4.87,7.43,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-08-08,-256.0,-256.0,-256.0,3.0,4.0,4.65,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-08-11,-256.0,-256.0,-256.0,2.85,3.75,4.65,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-08-12,-256.0,-256.0,-256.0,2.85,3.75,4.5,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-08-14,-256.0,-256.0,-256.0,3.0,4.5,4.5,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-08-15,-256.0,-256.0,-256.0,2.08,3.32,3.79,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-08-18,-256.0,-256.0,-256.0,2.07,3.32,3.79,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-08-20,-256.0,-256.0,-256.0,2.05,3.31,3.79,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-08-21,-256.0,-256.0,-256.0,2.03,3.31,3.78,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-08-22,-256.0,-256.0,-256.0,1.54,3.31,3.78,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-08-25,-256.0,-256.0,-256.0,1.54,3.2,5.4,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-08-29,-256.0,-256.0,-256.0,1.54,3.3,5.4,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-09-01,-256.0,-256.0,-256.0,1.54,3.3,4.5,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-09-04,-256.0,-256.0,-256.0,1.46,3.13,3.77,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-09-05,-256.0,-256.0,-256.0,2.5,3.13,3.77,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-09-08,-256.0,-256.0,-256.0,1.28,3.12,5.5,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-09-09,-256.0,-256.0,-256.0,1.28,3.99,4.96,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-09-10,-256.0,-256.0,-256.0,3.0,5.0,6.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-09-12,-256.0,-256.0,-256.0,3.0,5.0,5.75,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-09-15,-256.0,-256.0,-256.0,1.25,3.98,4.95,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-09-16,-256.0,-256.0,-256.0,1.49,3.97,4.94,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-09-17,-256.0,-256.0,-256.0,1.47,3.97,4.94,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-09-18,-256.0,-256.0,-256.0,4.31,4.94,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-09-22,-256.0,-256.0,-256.0,4.3,4.93,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-09-26,-256.0,-256.0,-256.0,4.29,4.92,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-09-29,-256.0,-256.0,-256.0,4.55,5.95,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-10-02,-256.0,-256.0,-256.0,3.79,4.41,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-10-03,-256.0,-256.0,-256.0,3.78,4.41,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-10-06,-256.0,-256.0,-256.0,4.7,4.4,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-10-13,-256.0,-256.0,-256.0,3.77,4.39,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-10-14,-256.0,-256.0,-256.0,4.8,-256.0,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-10-15,-256.0,-256.0,-256.0,4.0,4.44,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-10-21,-256.0,-256.0,-256.0,4.3,5.5,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-10-23,-256.0,-256.0,-256.0,3.4,-256.0,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-10-24,-256.0,-256.0,-256.0,3.98,4.43,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-10-27,-256.0,-256.0,-256.0,4.5,5.75,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-10-29,-256.0,-256.0,-256.0,3.97,5.75,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-10-30,-256.0,-256.0,-256.0,3.5,4.42,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-11-03,-256.0,-256.0,-256.0,3.96,4.42,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-11-07,-256.0,-256.0,-256.0,3.96,4.41,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-11-10,-256.0,-256.0,-256.0,3.95,4.41,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-11-13,-256.0,-256.0,-256.0,4.75,5.95,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-11-14,-256.0,-256.0,-256.0,3.3,3.55,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-11-18,-256.0,-256.0,-256.0,5.05,5.7,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-11-21,-256.0,-256.0,-256.0,5.8,6.85,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-12-02,-256.0,-256.0,-256.0,3.0,3.13,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-12-08,-256.0,-256.0,-256.0,3.89,3.13,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-12-18,-256.0,-256.0,-256.0,3.86,3.13,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-12-22,-256.0,-256.0,-256.0,3.4,3.55,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-12-23,-256.0,-256.0,-256.0,5.1,6.1,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-12-24,-256.0,-256.0,-256.0,3.85,6.1,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-12-29,-256.0,-256.0,-256.0,3.84,6.1,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2003-12-31,-256.0,-256.0,-256.0,3.8,6.1,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-01-02,-256.0,-256.0,-256.0,6.7,6.45,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-01-05,-256.0,-256.0,-256.0,4.03,6.45,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-01-08,-256.0,-256.0,-256.0,4.02,-256.0,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-01-09,-256.0,-256.0,-256.0,4.25,-256.0,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-01-12,-256.0,-256.0,-256.0,4.01,-256.0,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-01-13,-256.0,-256.0,-256.0,4.01,4.05,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-01-15,-256.0,-256.0,-256.0,4.0,4.05,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-01-19,-256.0,-256.0,-256.0,3.99,-256.0,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-01-20,-256.0,-256.0,-256.0,3.99,6.7,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-01-23,-256.0,-256.0,-256.0,4.6,4.65,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-01-30,-256.0,-256.0,-256.0,-256.0,-256.0,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-02-02,-256.0,-256.0,-256.0,7.05,4.58,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-02-03,-256.0,-256.0,-256.0,4.08,4.58,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-02-11,-256.0,-256.0,-256.0,4.9,4.58,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-02-13,-256.0,-256.0,-256.0,3.92,4.65,8.36,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-02-16,-256.0,-256.0,-256.0,-256.0,-256.0,8.36,-256.0,-256.0,8.8,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-02-17,-256.0,-256.0,-256.0,5.0,5.7,8.36,-256.0,-256.0,8.8,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-02-18,-256.0,-256.0,-256.0,3.92,4.65,8.36,-256.0,-256.0,8.8,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-02-20,-256.0,-256.0,-256.0,5.1,4.65,8.36,-256.0,-256.0,9.1,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-02-24,-256.0,-256.0,-256.0,4.75,4.65,8.36,-256.0,-256.0,9.1,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-02-25,-256.0,-256.0,-256.0,3.92,4.65,8.36,-256.0,-256.0,9.1,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-03-02,-256.0,-256.0,-256.0,4.27,4.65,8.36,-256.0,-256.0,9.1,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-03-05,-256.0,-256.0,-256.0,5.15,4.65,8.36,-256.0,-256.0,9.1,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-03-08,-256.0,-256.0,-256.0,5.15,5.6,8.36,-256.0,-256.0,8.9,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-03-09,-256.0,-256.0,-256.0,4.25,5.6,8.36,-256.0,-256.0,8.9,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-03-15,-256.0,-256.0,-256.0,4.24,5.6,8.36,-256.0,-256.0,8.9,9.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-03-23,-256.0,-256.0,-256.0,4.485,5.125,8.36,-256.0,-256.0,8.9,9.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-03-24,-256.0,-256.0,-256.0,4.22,5.6,8.36,-256.0,-256.0,8.9,9.0,-256.0,-256.0,-256.0,-256.0,-256.0
2004-03-25,-256.0,-256.0,-256.0,-256.0,-256.0,8.36,-256.0,-256.0,-256.0,9.0,-256.0,-256.0,-256.0,-256.0,-256.0
