Date,M03,Y02,Y05,Y10,Y12,Y20,Y25,Y30
1995-05-22,-256.0,-256.0,16.93,-256.0,-256.0,-256.0,-256.0,-256.0
1995-05-24,-256.0,-256.0,16.92,-256.0,-256.0,-256.0,-256.0,-256.0
1995-05-25,-256.0,-256.0,16.91,-256.0,-256.0,-256.0,-256.0,-256.0
1995-05-29,-256.0,-256.0,16.95,-256.0,-256.0,-256.0,-256.0,-256.0
1995-05-30,-256.0,-256.0,16.98,-256.0,-256.0,-256.0,-256.0,-256.0
1995-06-01,-256.0,-256.0,16.97,16.99,-256.0,-256.0,-256.0,-256.0
1995-06-02,-256.0,-256.0,16.86,16.88,-256.0,-256.0,-256.0,-256.0
1995-06-05,-256.0,-256.0,16.83,16.85,-256.0,-256.0,-256.0,-256.0
1995-06-06,-256.0,-256.0,16.83,16.86,-256.0,-256.0,-256.0,-256.0
1995-06-07,-256.0,-256.0,16.8,16.82,-256.0,-256.0,-256.0,-256.0
1995-06-08,-256.0,-256.0,16.78,16.81,-256.0,-256.0,-256.0,-256.0
1995-06-09,-256.0,-256.0,16.81,16.82,-256.0,-256.0,-256.0,-256.0
1995-06-12,-256.0,-256.0,16.77,16.8,-256.0,-256.0,-256.0,-256.0
1995-06-13,-256.0,-256.0,16.78,16.8,-256.0,-256.0,-256.0,-256.0
1995-06-14,-256.0,-256.0,16.73,16.78,-256.0,-256.0,-256.0,-256.0
1995-06-15,-256.0,-256.0,16.73,16.81,-256.0,-256.0,-256.0,-256.0
1995-06-16,-256.0,-256.0,16.74,16.81,-256.0,-256.0,-256.0,-256.0
1995-06-19,-256.0,-256.0,16.72,16.79,-256.0,-256.0,-256.0,-256.0
1995-06-20,-256.0,-256.0,16.73,16.8,-256.0,-256.0,-256.0,-256.0
1995-06-21,-256.0,-256.0,16.68,16.73,-256.0,-256.0,-256.0,-256.0
1995-06-22,-256.0,-256.0,16.66,16.71,-256.0,-256.0,-256.0,-256.0
1995-06-23,-256.0,-256.0,16.58,16.63,-256.0,-256.0,-256.0,-256.0
1995-06-26,-256.0,-256.0,16.59,16.64,-256.0,-256.0,-256.0,-256.0
1995-06-27,-256.0,-256.0,16.57,16.63,-256.0,-256.0,-256.0,-256.0
1995-06-28,-256.0,-256.0,16.58,16.6,-256.0,-256.0,-256.0,-256.0
1995-06-29,-256.0,-256.0,16.66,16.66,-256.0,-256.0,-256.0,-256.0
1995-06-30,-256.0,-256.0,16.69,16.69,-256.0,-256.0,-256.0,-256.0
1995-07-03,-256.0,-256.0,16.69,16.74,-256.0,-256.0,-256.0,-256.0
1995-07-04,-256.0,-256.0,16.69,16.73,-256.0,-256.0,-256.0,-256.0
1995-07-05,-256.0,-256.0,16.63,16.67,-256.0,-256.0,-256.0,-256.0
1995-07-06,-256.0,-256.0,16.63,16.66,-256.0,-256.0,-256.0,-256.0
1995-07-07,-256.0,-256.0,16.59,16.62,-256.0,-256.0,-256.0,-256.0
1995-07-10,-256.0,-256.0,16.59,16.63,-256.0,-256.0,-256.0,-256.0
1995-07-11,-256.0,-256.0,16.53,16.57,-256.0,-256.0,-256.0,-256.0
1995-07-12,-256.0,-256.0,16.52,16.55,-256.0,-256.0,-256.0,-256.0
1995-07-13,-256.0,-256.0,16.5,16.53,-256.0,-256.0,-256.0,-256.0
1995-07-14,-256.0,-256.0,16.51,16.55,-256.0,-256.0,-256.0,-256.0
1995-07-17,-256.0,-256.0,16.51,16.56,-256.0,-256.0,-256.0,-256.0
1995-07-18,-256.0,-256.0,16.55,16.58,-256.0,-256.0,-256.0,-256.0
1995-07-19,-256.0,-256.0,16.6,16.61,-256.0,-256.0,-256.0,-256.0
1995-07-20,-256.0,-256.0,16.64,16.68,-256.0,-256.0,-256.0,-256.0
1995-07-24,-256.0,-256.0,16.63,16.68,-256.0,-256.0,-256.0,-256.0
1995-07-25,-256.0,-256.0,16.67,16.68,-256.0,-256.0,-256.0,-256.0
1995-07-26,-256.0,-256.0,16.68,16.7,-256.0,-256.0,-256.0,-256.0
1995-07-27,-256.0,-256.0,16.65,16.66,-256.0,-256.0,-256.0,-256.0
1995-07-28,-256.0,-256.0,16.4,16.52,-256.0,-256.0,-256.0,-256.0
1995-07-31,-256.0,-256.0,16.39,16.42,-256.0,-256.0,-256.0,-256.0
1995-08-01,-256.0,-256.0,16.3,16.37,-256.0,-256.0,-256.0,-256.0
1995-08-02,-256.0,-256.0,16.37,16.41,-256.0,-256.0,-256.0,-256.0
1995-08-07,-256.0,-256.0,16.28,16.31,-256.0,-256.0,-256.0,-256.0
1995-08-08,-256.0,-256.0,15.99,16.0,-256.0,-256.0,-256.0,-256.0
1995-08-10,-256.0,-256.0,15.92,16.28,-256.0,-256.0,-256.0,-256.0
1995-08-11,-256.0,-256.0,16.32,15.98,-256.0,-256.0,-256.0,-256.0
1995-08-14,-256.0,-256.0,15.77,15.98,-256.0,-256.0,-256.0,-256.0
1995-08-15,-256.0,-256.0,15.9,15.98,-256.0,-256.0,-256.0,-256.0
1995-08-16,-256.0,-256.0,15.94,15.98,-256.0,-256.0,-256.0,-256.0
1995-08-17,-256.0,-256.0,15.8,15.85,-256.0,-256.0,-256.0,-256.0
1995-08-18,-256.0,-256.0,15.72,15.76,-256.0,-256.0,-256.0,-256.0
1995-08-21,-256.0,-256.0,15.73,15.76,-256.0,-256.0,-256.0,-256.0
1995-08-22,-256.0,-256.0,15.68,15.73,-256.0,-256.0,-256.0,-256.0
1995-08-23,-256.0,-256.0,15.61,15.67,-256.0,-256.0,-256.0,-256.0
1995-08-24,-256.0,-256.0,15.64,15.69,-256.0,-256.0,-256.0,-256.0
1995-08-25,-256.0,-256.0,15.6,15.65,-256.0,-256.0,-256.0,-256.0
1995-08-28,-256.0,-256.0,15.54,15.59,-256.0,-256.0,-256.0,-256.0
1995-08-29,-256.0,-256.0,15.54,15.58,-256.0,-256.0,-256.0,-256.0
1995-08-30,-256.0,-256.0,15.67,15.64,-256.0,-256.0,-256.0,-256.0
1995-08-31,-256.0,-256.0,15.71,15.64,-256.0,-256.0,-256.0,-256.0
1995-09-01,-256.0,-256.0,15.69,15.64,-256.0,-256.0,-256.0,-256.0
1995-09-04,-256.0,-256.0,15.63,15.71,-256.0,-256.0,-256.0,-256.0
1995-09-05,-256.0,-256.0,15.63,15.72,-256.0,-256.0,-256.0,-256.0
1995-09-07,-256.0,-256.0,15.66,15.7,-256.0,-256.0,-256.0,-256.0
1995-09-08,-256.0,-256.0,15.64,15.66,-256.0,-256.0,-256.0,-256.0
1995-09-11,-256.0,-256.0,15.63,15.7,-256.0,-256.0,-256.0,-256.0
1995-09-12,-256.0,-256.0,15.63,15.74,-256.0,-256.0,-256.0,-256.0
1995-09-13,-256.0,-256.0,15.56,15.61,-256.0,-256.0,-256.0,-256.0
1995-09-14,-256.0,-256.0,15.46,15.57,-256.0,-256.0,-256.0,-256.0
1995-09-15,-256.0,-256.0,15.39,15.45,-256.0,-256.0,-256.0,-256.0
1995-09-20,-256.0,-256.0,15.32,15.38,-256.0,-256.0,-256.0,-256.0
1995-09-21,-256.0,-256.0,15.28,15.36,-256.0,-256.0,-256.0,-256.0
1995-09-22,-256.0,-256.0,15.37,15.42,-256.0,-256.0,-256.0,-256.0
1995-09-25,-256.0,-256.0,15.37,15.46,-256.0,-256.0,-256.0,-256.0
1995-09-26,-256.0,-256.0,15.29,15.37,-256.0,-256.0,-256.0,-256.0
1995-09-27,-256.0,-256.0,15.28,15.33,-256.0,-256.0,-256.0,-256.0
1995-09-28,-256.0,-256.0,15.21,15.25,-256.0,-256.0,-256.0,-256.0
1995-09-29,-256.0,-256.0,15.07,15.14,-256.0,-256.0,-256.0,-256.0
1995-10-02,-256.0,-256.0,15.01,15.09,-256.0,-256.0,-256.0,-256.0
1995-10-03,-256.0,-256.0,15.07,15.17,-256.0,-256.0,-256.0,-256.0
1995-10-04,-256.0,-256.0,15.01,15.08,-256.0,-256.0,-256.0,-256.0
1995-10-05,-256.0,-256.0,15.03,15.09,-256.0,-256.0,-256.0,-256.0
1995-10-06,-256.0,-256.0,15.02,15.09,-256.0,-256.0,-256.0,-256.0
1995-10-09,-256.0,-256.0,14.97,15.07,-256.0,-256.0,-256.0,-256.0
1995-10-10,-256.0,-256.0,15.02,15.07,-256.0,-256.0,-256.0,-256.0
1995-10-12,-256.0,-256.0,15.02,15.16,-256.0,-256.0,-256.0,-256.0
1995-10-13,-256.0,-256.0,15.17,15.27,-256.0,-256.0,-256.0,-256.0
1995-10-16,-256.0,-256.0,15.19,15.26,-256.0,-256.0,-256.0,-256.0
