Date,M01,M03,M06,Y01,Y02,Y05,Y10,Y15,Y20,Y30
1993-03-05,-256.0,0.58,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-03-09,-256.0,0.349,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-03-16,-256.0,0.32899999999999996,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-04-05,-256.0,0.779,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-04-06,-256.0,0.9,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-04-07,-256.0,0.91,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-04-08,-256.0,0.9490000000000001,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-04-12,-256.0,0.799,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-04-13,-256.0,0.809,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-04-29,-256.0,1.1,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-04-30,-256.0,1.11,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-05-31,-256.0,1.09,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-06-02,-256.0,1.05,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-06-14,-256.0,0.9690000000000001,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-06-15,-256.0,1.179,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-07-16,-256.0,1.12,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-07-21,-256.0,1.04,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-09-02,-256.0,0.7190000000000001,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-09-06,-256.0,0.7290000000000001,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-09-07,-256.0,0.659,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-09-23,-256.0,1.54,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-09-29,-256.0,1.5390000000000001,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-09-30,-256.0,1.629,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-10-01,-256.0,1.45,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-10-05,-256.0,1.399,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-11-23,-256.0,0.249,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-12-02,-256.0,0.429,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-12-03,-256.0,0.419,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1993-12-07,-256.0,0.45,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-01-28,-256.0,1.169,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-02-01,-256.0,1.329,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-02-03,-256.0,1.38,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-02-07,-256.0,1.58,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-02-08,-256.0,1.57,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-02-09,-256.0,1.589,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-02-14,-256.0,1.7,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-02-16,-256.0,1.489,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-02-17,-256.0,1.53,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-02-18,-256.0,1.659,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-02-21,-256.0,1.7590000000000001,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-02-22,-256.0,1.71,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-02-23,-256.0,1.72,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-02-24,-256.0,1.709,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-02-28,-256.0,1.8,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-03-02,-256.0,1.7790000000000001,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-03-03,-256.0,1.699,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1994-03-04,-256.0,1.729,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
