Date,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y12,Y15,Y20,Y30
1980-01-02,-256.0,10.0,-256.0,-256.0,10.04,-256.0,-256.0,-256.0,-256.0,10.09,-256.0,-256.0,-256.0,-256.0
1980-01-09,-256.0,10.08,-256.0,-256.0,10.05,-256.0,-256.0,-256.0,-256.0,10.1,-256.0,-256.0,-256.0,-256.0
1980-01-16,-256.0,10.32,-256.0,-256.0,10.35,-256.0,-256.0,-256.0,-256.0,10.35,-256.0,-256.0,-256.0,-256.0
1980-01-23,-256.0,10.36,-256.0,-256.0,10.4,-256.0,-256.0,-256.0,-256.0,10.45,-256.0,-256.0,-256.0,-256.0
1980-01-30,-256.0,10.38,-256.0,-256.0,10.42,-256.0,-256.0,-256.0,-256.0,10.45,-256.0,-256.0,-256.0,-256.0
1980-02-06,-256.0,10.38,-256.0,-256.0,10.42,-256.0,-256.0,-256.0,-256.0,10.42,-256.0,-256.0,-256.0,-256.0
1980-02-13,-256.0,10.39,-256.0,-256.0,10.41,-256.0,-256.0,-256.0,-256.0,10.45,-256.0,-256.0,-256.0,-256.0
1980-02-20,-256.0,10.47,-256.0,-256.0,10.41,-256.0,-256.0,-256.0,-256.0,10.48,-256.0,-256.0,-256.0,-256.0
1980-02-27,-256.0,10.75,-256.0,-256.0,10.9,-256.0,-256.0,-256.0,-256.0,10.55,-256.0,-256.0,-256.0,-256.0
1980-03-05,-256.0,11.1,-256.0,-256.0,11.25,-256.0,-256.0,-256.0,-256.0,10.78,-256.0,-256.0,-256.0,-256.0
1980-03-12,-256.0,11.2,-256.0,-256.0,11.1,-256.0,-256.0,-256.0,-256.0,11.25,-256.0,-256.0,-256.0,-256.0
1980-03-19,-256.0,11.2,-256.0,-256.0,11.2,-256.0,-256.0,-256.0,-256.0,11.25,-256.0,-256.0,-256.0,-256.0
1980-03-26,-256.0,11.2,-256.0,-256.0,11.2,-256.0,-256.0,-256.0,-256.0,11.2,-256.0,-256.0,-256.0,-256.0
1980-04-09,-256.0,11.55,-256.0,-256.0,11.4,-256.0,-256.0,-256.0,-256.0,11.4,-256.0,-256.0,-256.0,-256.0
1980-04-16,-256.0,11.4,-256.0,-256.0,11.4,-256.0,-256.0,-256.0,-256.0,11.4,-256.0,-256.0,-256.0,-256.0
1980-04-23,-256.0,11.6,-256.0,-256.0,11.1,-256.0,-256.0,-256.0,-256.0,11.6,-256.0,-256.0,-256.0,-256.0
1980-04-30,-256.0,11.4,-256.0,-256.0,11.45,-256.0,-256.0,-256.0,-256.0,11.73,-256.0,-256.0,-256.0,-256.0
1980-05-07,-256.0,11.56,-256.0,-256.0,11.82,-256.0,-256.0,-256.0,-256.0,11.98,-256.0,-256.0,-256.0,-256.0
1980-05-14,-256.0,11.6,-256.0,-256.0,11.83,-256.0,-256.0,-256.0,-256.0,11.84,-256.0,-256.0,-256.0,-256.0
1980-05-21,-256.0,11.56,-256.0,-256.0,11.8,-256.0,-256.0,-256.0,-256.0,11.8,-256.0,-256.0,-256.0,-256.0
1980-05-28,-256.0,11.54,-256.0,-256.0,11.8,-256.0,-256.0,-256.0,-256.0,11.78,-256.0,-256.0,-256.0,-256.0
1980-06-04,-256.0,11.5,-256.0,-256.0,11.8,-256.0,-256.0,-256.0,-256.0,11.78,-256.0,-256.0,-256.0,-256.0
1980-06-11,-256.0,11.47,-256.0,-256.0,11.78,-256.0,-256.0,-256.0,-256.0,11.76,-256.0,-256.0,-256.0,-256.0
1980-06-18,-256.0,11.5,-256.0,-256.0,11.78,-256.0,-256.0,-256.0,-256.0,11.8,-256.0,-256.0,-256.0,-256.0
1980-06-25,-256.0,11.5,-256.0,-256.0,11.78,-256.0,-256.0,-256.0,-256.0,11.76,-256.0,-256.0,-256.0,-256.0
1980-07-02,-256.0,11.48,-256.0,-256.0,11.77,-256.0,-256.0,-256.0,-256.0,11.78,-256.0,-256.0,-256.0,-256.0
1980-07-09,-256.0,11.45,-256.0,-256.0,11.77,-256.0,-256.0,-256.0,-256.0,11.78,-256.0,-256.0,-256.0,-256.0
1980-07-16,-256.0,11.45,-256.0,-256.0,11.8,-256.0,-256.0,-256.0,-256.0,11.8,-256.0,-256.0,-256.0,-256.0
1980-07-30,-256.0,11.34,-256.0,-256.0,11.78,-256.0,-256.0,-256.0,-256.0,11.78,-256.0,-256.0,-256.0,-256.0
1980-08-06,-256.0,11.46,-256.0,-256.0,11.78,-256.0,-256.0,-256.0,-256.0,11.78,-256.0,-256.0,-256.0,-256.0
1980-08-13,-256.0,11.46,-256.0,-256.0,11.78,-256.0,-256.0,-256.0,-256.0,11.8,-256.0,-256.0,-256.0,-256.0
1980-08-20,-256.0,11.46,-256.0,-256.0,11.76,-256.0,-256.0,-256.0,-256.0,11.8,-256.0,-256.0,-256.0,-256.0
1980-08-27,-256.0,11.5,-256.0,-256.0,11.78,-256.0,-256.0,-256.0,-256.0,11.82,-256.0,-256.0,-256.0,-256.0
1980-09-03,-256.0,11.48,-256.0,-256.0,11.79,-256.0,-256.0,-256.0,-256.0,11.8,-256.0,-256.0,-256.0,-256.0
1980-09-10,-256.0,11.48,-256.0,-256.0,11.87,-256.0,-256.0,-256.0,-256.0,11.83,-256.0,-256.0,-256.0,-256.0
1980-09-17,-256.0,11.48,-256.0,-256.0,11.8,-256.0,-256.0,-256.0,-256.0,11.84,-256.0,-256.0,-256.0,-256.0
1980-09-24,-256.0,11.5,-256.0,-256.0,11.79,-256.0,-256.0,-256.0,-256.0,11.78,-256.0,-256.0,-256.0,-256.0
1980-10-01,-256.0,11.5,-256.0,-256.0,11.79,-256.0,-256.0,-256.0,-256.0,11.8,-256.0,-256.0,-256.0,-256.0
1980-11-05,-256.0,12.3,-256.0,-256.0,12.4,-256.0,-256.0,-256.0,-256.0,12.4,-256.0,-256.0,-256.0,-256.0
1980-11-12,-256.0,12.35,-256.0,-256.0,12.4,-256.0,-256.0,-256.0,-256.0,12.4,-256.0,-256.0,-256.0,-256.0
1980-11-19,-256.0,12.42,-256.0,-256.0,12.42,-256.0,-256.0,-256.0,-256.0,12.42,-256.0,-256.0,-256.0,-256.0
1980-12-03,-256.0,12.58,-256.0,-256.0,12.5,-256.0,-256.0,-256.0,-256.0,12.5,-256.0,-256.0,-256.0,-256.0
1980-12-10,-256.0,12.86,-256.0,-256.0,12.7,-256.0,-256.0,-256.0,-256.0,12.6,-256.0,-256.0,-256.0,-256.0
1980-12-17,-256.0,12.85,-256.0,-256.0,12.73,-256.0,-256.0,-256.0,-256.0,12.6,-256.0,-256.0,-256.0,-256.0
1980-12-31,-256.0,12.85,-256.0,-256.0,12.72,-256.0,-256.0,-256.0,-256.0,12.6,-256.0,-256.0,-256.0,-256.0
1981-01-07,-256.0,12.88,-256.0,-256.0,12.74,-256.0,-256.0,-256.0,-256.0,12.65,-256.0,-256.0,-256.0,-256.0
