Date,M03,M06,M09,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y15,Y20,Y25,Y30
1979-12-25,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,7.91,-256.0,-256.0,-256.0,-256.0
1979-12-26,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,7.92,-256.0,-256.0,-256.0,-256.0
1980-01-03,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,7.96,-256.0,-256.0,-256.0,-256.0
1980-01-07,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,7.97,-256.0,-256.0,-256.0,-256.0
1980-01-08,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.0,-256.0,-256.0,-256.0,-256.0
1980-01-09,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.05,-256.0,-256.0,-256.0,-256.0
1980-01-10,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.1,-256.0,-256.0,-256.0,-256.0
1980-01-11,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.12,-256.0,-256.0,-256.0,-256.0
1980-01-14,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.13,-256.0,-256.0,-256.0,-256.0
1980-01-16,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.14,-256.0,-256.0,-256.0,-256.0
1980-01-18,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.15,-256.0,-256.0,-256.0,-256.0
1980-01-21,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.16,-256.0,-256.0,-256.0,-256.0
1980-01-24,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.07,-256.0,-256.0,-256.0,-256.0
1980-01-30,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.17,-256.0,-256.0,-256.0,-256.0
1980-02-06,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.18,-256.0,-256.0,-256.0,-256.0
1980-02-07,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.19,-256.0,-256.0,-256.0,-256.0
1980-02-08,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.24,-256.0,-256.0,-256.0,-256.0
1980-02-11,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.32,-256.0,-256.0,-256.0,-256.0
1980-02-12,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.35,-256.0,-256.0,-256.0,-256.0
1980-02-13,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.37,-256.0,-256.0,-256.0,-256.0
1980-02-14,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.41,-256.0,-256.0,-256.0,-256.0
1980-02-15,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.42,-256.0,-256.0,-256.0,-256.0
1980-02-18,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.43,-256.0,-256.0,-256.0,-256.0
1980-02-19,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,8.46,-256.0,-256.0,-256.0,-256.0
