Date,F1,F2,M01,M02,M03,M06,Y01,Y02,Y03,Y05,Y07,Y10,Y15,Y20
1995-03-20,-256.0,-256.0,-256.0,-256.0,-256.0,185.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1995-04-17,-256.0,-256.0,-256.0,-256.0,-256.0,150.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1995-04-24,-256.0,-256.0,-256.0,-256.0,-256.0,160.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1995-04-26,-256.0,-256.0,-256.0,-256.0,-256.0,140.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1995-05-15,-256.0,-256.0,-256.0,-256.0,-256.0,155.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1995-05-17,-256.0,-256.0,-256.0,-256.0,-256.0,120.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1995-05-26,-256.0,-256.0,-256.0,-256.0,-256.0,135.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1995-05-29,-256.0,-256.0,-256.0,-256.0,-256.0,110.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1995-05-30,-256.0,-256.0,-256.0,-256.0,-256.0,130.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1995-05-31,-256.0,-256.0,-256.0,-256.0,-256.0,100.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1995-09-08,-256.0,-256.0,-256.0,-256.0,-256.0,90.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1995-10-16,-256.0,-256.0,-256.0,-256.0,-256.0,80.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1995-11-03,-256.0,-256.0,-256.0,-256.0,-256.0,200.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1995-12-01,-256.0,-256.0,-256.0,-256.0,-256.0,125.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1996-02-29,-256.0,-256.0,-256.0,-256.0,-256.0,75.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1996-03-01,-256.0,-256.0,-256.0,-256.0,-256.0,95.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1996-05-30,-256.0,-256.0,-256.0,-256.0,-256.0,99.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1996-08-06,-256.0,-256.0,-256.0,-256.0,-256.0,85.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1996-09-18,-256.0,-256.0,-256.0,-256.0,-256.0,60.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1996-10-02,-256.0,-256.0,-256.0,-256.0,-256.0,70.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1996-10-03,-256.0,-256.0,-256.0,-256.0,-256.0,65.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1996-10-22,-256.0,-256.0,-256.0,-256.0,-256.0,50.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1996-11-22,-256.0,-256.0,-256.0,-256.0,-256.0,45.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1996-12-30,-256.0,-256.0,-256.0,-256.0,-256.0,51.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1997-01-21,-256.0,-256.0,-256.0,-256.0,-256.0,40.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
1997-02-05,-256.0,-256.0,-256.0,-256.0,-256.0,30.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
