Date,Y01,Y02,Y03,Y05,Y10
2006-07-04,-256.0,-256.0,-256.0,17.83,-256.0
2006-07-06,-256.0,-256.0,-256.0,18.22,-256.0
2006-07-07,-256.0,-256.0,-256.0,17.68,-256.0
2006-07-10,-256.0,-256.0,-256.0,17.67,-256.0
2006-07-11,-256.0,-256.0,-256.0,17.48,-256.0
2006-07-12,-256.0,-256.0,-256.0,16.99,-256.0
2006-07-17,-256.0,-256.0,-256.0,17.32,-256.0
2006-07-18,-256.0,-256.0,-256.0,17.34,-256.0
2006-07-19,-256.0,-256.0,-256.0,17.36,-256.0
2006-07-20,19.5,-256.0,-256.0,17.19,-256.0
2006-07-21,22.47,-256.0,-256.0,17.21,-256.0
2006-07-24,22.74,-256.0,-256.0,-256.0,-256.0
2006-07-25,20.8,-256.0,-256.0,17.56,-256.0
2006-07-26,22.28,-256.0,-256.0,17.46,-256.0
2006-07-27,21.78,-256.0,-256.0,-256.0,-256.0
2006-07-28,21.45,21.73,-256.0,17.14,-256.0
2006-07-31,21.25,21.25,-256.0,17.01,-256.0
2006-08-01,20.021,21.26,-256.0,-256.0,-256.0
2006-08-02,19.999000000000002,21.11,-256.0,17.12,-256.0
2006-08-03,20.92,20.95,-256.0,17.14,-256.0
2006-08-04,20.059,21.51,-256.0,17.22,-256.0
2006-08-07,20.000999999999998,21.35,-256.0,-256.0,-256.0
2006-08-08,20.3,21.81,-256.0,-256.0,-256.0
2006-08-09,21.62,21.27,-256.0,-256.0,-256.0
2006-08-10,20.3,21.25,-256.0,17.15,-256.0
2006-08-11,20.93,20.95,-256.0,17.03,-256.0
2006-08-14,21.1,21.08,-256.0,17.21,-256.0
2006-08-15,21.4,21.3,-256.0,-256.0,-256.0
2006-08-16,20.78,20.7,-256.0,-256.0,-256.0
2006-08-17,20.29,20.4,-256.0,17.08,-256.0
2006-08-18,20.59,20.48,-256.0,17.09,-256.0
2006-08-21,20.71,20.8,-256.0,-256.0,-256.0
2006-08-22,19.65,20.79,-256.0,16.97,-256.0
2006-08-23,19.849,20.9,-256.0,17.17,-256.0
2006-08-24,19.9,21.4,-256.0,17.36,-256.0
2006-08-25,21.1,21.2,-256.0,17.19,-256.0
2006-08-28,20.0,21.38,-256.0,-256.0,-256.0
2006-08-29,21.21,21.21,-256.0,-256.0,-256.0
2006-08-31,20.76,20.73,-256.0,17.28,-256.0
2006-09-01,21.05,21.03,-256.0,17.3,-256.0
2006-09-04,19.699,20.86,-256.0,-256.0,-256.0
2006-09-05,20.65,20.63,-256.0,-256.0,-256.0
2006-09-06,19.599,21.07,-256.0,17.63,-256.0
2006-09-07,21.5,21.62,-256.0,-256.0,-256.0
2006-09-08,21.76,22.0,-256.0,17.64,-256.0
2006-09-11,20.1,21.93,-256.0,17.92,-256.0
2006-09-12,21.91,21.75,-256.0,-256.0,-256.0
2006-09-13,19.601,21.74,-256.0,17.66,-256.0
2006-09-14,19.8,22.54,-256.0,-256.0,-256.0
2006-09-15,19.8,22.82,-256.0,17.87,-256.0
2006-09-18,19.8,21.8,-256.0,18.29,-256.0
2006-09-19,19.8,22.1,-256.0,18.31,-256.0
2006-09-20,20.099,22.03,-256.0,-256.0,-256.0
2006-09-21,22.08,22.2,-256.0,-256.0,-256.0
2006-09-22,21.6,23.3,-256.0,19.51,-256.0
2006-09-25,23.19,23.21,-256.0,19.76,-256.0
2006-09-26,20.55,24.05,-256.0,-256.0,-256.0
2006-09-27,23.18,23.17,-256.0,19.8,-256.0
2006-09-28,23.24,23.5,-256.0,19.9,-256.0
2006-09-29,20.7,23.93,-256.0,19.83,-256.0
2006-10-02,24.71,24.75,-256.0,20.29,-256.0
2006-10-03,24.62,24.75,-256.0,20.39,-256.0
2006-10-04,25.32,25.2,-256.0,-256.0,-256.0
2006-10-05,24.4,24.24,-256.0,20.41,-256.0
2006-10-06,20.17,23.79,-256.0,20.18,-256.0
2006-10-09,23.97,23.85,-256.0,-256.0,-256.0
2006-10-10,23.56,23.65,-256.0,20.2,-256.0
2006-10-11,19.5,23.29,-256.0,20.01,-256.0
2006-10-12,20.95,23.08,-256.0,19.87,-256.0
2006-10-13,22.62,22.63,-256.0,19.69,-256.0
2006-10-16,20.4,22.8,-256.0,19.98,-256.0
2006-10-17,20.75,22.97,-256.0,19.76,-256.0
2006-10-18,20.9,23.0,-256.0,19.82,-256.0
2006-10-19,20.5,22.66,-256.0,19.51,-256.0
2006-10-20,20.75,22.59,-256.0,19.51,-256.0
2006-10-26,20.5,22.06,-256.0,18.97,-256.0
2006-10-27,20.451,22.13,-256.0,18.75,-256.0
2006-10-30,20.35,22.75,-256.0,-256.0,-256.0
2006-10-31,20.65,23.22,-256.0,19.27,-256.0
2006-11-01,20.7,23.25,-256.0,19.03,-256.0
2006-11-02,20.899,23.57,-256.0,19.25,-256.0
2006-11-03,21.01,23.55,-256.0,19.17,-256.0
2006-11-06,20.5,22.98,-256.0,18.92,-256.0
2006-11-07,20.299,22.5,-256.0,18.52,-256.0
2006-11-08,22.69,22.65,-256.0,18.57,-256.0
2006-11-09,22.55,22.43,-256.0,18.01,-256.0
2006-11-10,20.15,22.3,-256.0,18.26,-256.0
2006-11-13,22.6,22.75,-256.0,18.46,-256.0
2006-11-14,20.351,22.75,-256.0,18.44,-256.0
2006-11-15,20.0,22.85,-256.0,18.38,-256.0
2006-11-16,22.43,22.42,-256.0,18.23,-256.0
2006-11-17,19.999000000000002,22.73,-256.0,18.17,-256.0
2006-11-20,20.199,23.33,-256.0,18.66,-256.0
2006-11-21,20.000999999999998,23.19,-256.0,18.7,-256.0
2006-11-22,20.4,23.09,-256.0,18.77,-256.0
2006-11-23,20.4,23.23,-256.0,18.71,-256.0
2006-11-24,21.0,23.13,-256.0,18.75,-256.0
2006-11-27,22.88,22.85,-256.0,18.53,-256.0
2006-11-28,20.801,23.1,-256.0,18.68,-256.0
2006-11-29,20.8,22.84,-256.0,18.39,-256.0
2006-11-30,22.8,22.8,-256.0,18.45,-256.0
2006-12-01,22.9,23.1,-256.0,18.58,-256.0
2006-12-04,20.9,23.26,-256.0,18.73,-256.0
2006-12-05,23.42,23.56,-256.0,-256.0,-256.0
2006-12-06,23.31,23.29,-256.0,-256.0,-256.0
2006-12-07,23.01,22.86,-256.0,18.45,-256.0
2006-12-08,22.95,22.94,-256.0,18.33,-256.0
2006-12-11,23.19,23.15,-256.0,-256.0,-256.0
2006-12-12,22.86,22.9,-256.0,18.38,-256.0
2006-12-13,22.83,22.74,-256.0,18.21,-256.0
2006-12-14,22.6,22.65,-256.0,-256.0,-256.0
2006-12-15,22.42,22.52,-256.0,18.05,-256.0
2006-12-18,22.51,22.56,-256.0,18.3,-256.0
2006-12-19,20.55,22.84,-256.0,18.51,-256.0
2006-12-20,22.74,22.81,-256.0,18.49,-256.0
2006-12-21,22.72,22.72,-256.0,18.48,-256.0
2006-12-22,20.599,22.57,-256.0,18.46,-256.0
2006-12-25,20.500999999999998,22.75,-256.0,-256.0,-256.0
2006-12-26,22.59,22.58,-256.0,-256.0,-256.0
2006-12-27,20.451,22.69,-256.0,-256.0,-256.0
2006-12-28,22.53,22.49,-256.0,18.47,-256.0
2006-12-29,22.51,22.57,-256.0,18.53,-256.0
2007-01-04,22.3,22.38,-256.0,-256.0,-256.0
2007-01-05,20.4,22.47,-256.0,18.81,-256.0
2007-01-08,20.351,22.75,-256.0,-256.0,-256.0
2007-01-09,22.67,22.69,-256.0,-256.0,-256.0
2007-01-10,20.4,23.0,-256.0,19.31,-256.0
2007-01-11,20.500999999999998,22.68,-256.0,19.07,-256.0
2007-01-12,22.65,22.6,-256.0,18.9,-256.0
2007-01-15,22.46,22.42,-256.0,18.8,-256.0
2007-01-16,22.45,22.58,-256.0,19.02,-256.0
2007-01-17,22.68,22.68,-256.0,19.08,-256.0
2007-01-18,19.9,22.37,-256.0,18.89,-256.0
2007-01-19,19.9,22.19,-256.0,18.79,-256.0
2007-01-22,19.3,21.84,-256.0,18.53,-256.0
2007-01-23,19.4,21.9,-256.0,18.59,-256.0
2007-01-24,19.25,21.9,-256.0,18.44,-256.0
2007-01-25,19.25,21.82,-256.0,18.5,-256.0
2007-01-26,19.3,22.02,-256.0,18.6,-256.0
2007-01-29,19.301,21.75,-256.0,18.55,-256.0
2007-01-30,19.3,21.89,-256.0,18.75,-256.0
2007-01-31,21.59,21.57,-256.0,18.5,-256.0
2007-02-01,18.5,21.0,-256.0,18.14,-256.0
2007-02-02,18.999000000000002,21.0,-256.0,18.0,-256.0
2007-02-05,19.101,21.36,-256.0,18.05,-256.0
2007-02-06,19.149,21.15,-256.0,17.84,-256.0
2007-02-07,19.25,21.25,-256.0,18.05,-256.0
2007-02-08,21.31,21.24,-256.0,18.03,-256.0
2007-02-09,21.16,21.16,-256.0,17.92,-256.0
2007-02-12,21.2,21.17,-256.0,-256.0,-256.0
2007-02-13,19.0,21.07,-256.0,18.11,-256.0
2007-02-14,18.899,20.71,-256.0,17.83,-256.0
2007-02-15,20.49,20.49,-256.0,17.56,-256.0
2007-02-16,18.799,20.28,-256.0,17.63,-256.0
2007-02-19,20.32,20.28,-256.0,17.04,-256.0
2007-02-20,18.799,20.3,-256.0,17.23,-256.0
2007-02-21,20.44,20.53,-256.0,17.6,-256.0
2007-02-22,18.949,20.33,-256.0,17.21,-256.0
2007-02-23,20.6,20.75,-256.0,17.69,-256.0
2007-02-26,19.000999999999998,20.76,-256.0,17.81,-256.0
2007-02-27,19.05,20.96,-256.0,18.07,-256.0
2007-02-28,19.8,21.31,-256.0,18.47,-256.0
2007-03-01,19.999000000000002,21.19,-256.0,18.22,-256.0
2007-03-02,21.22,21.35,-256.0,18.4,-256.0
2007-03-05,20.05,21.78,-256.0,18.66,-256.0
2007-03-06,21.61,21.6,-256.0,18.47,-256.0
2007-03-07,21.5,21.6,-256.0,18.55,-256.0
2007-03-08,21.39,21.42,-256.0,18.44,-256.0
2007-03-09,21.53,21.68,-256.0,18.64,-256.0
2007-03-12,19.35,21.44,-256.0,18.49,-256.0
2007-03-13,21.48,21.59,-256.0,18.72,-256.0
2007-03-14,21.78,21.76,-256.0,18.84,-256.0
2007-03-15,21.61,21.62,-256.0,18.64,-256.0
2007-03-16,19.749000000000002,21.63,-256.0,18.55,-256.0
2007-03-19,21.37,21.28,-256.0,18.46,-256.0
2007-03-20,19.5,21.12,-256.0,18.16,-256.0
2007-03-21,19.55,21.15,-256.0,18.19,-256.0
2007-03-22,20.85,20.86,-256.0,18.01,-256.0
2007-03-23,19.5,20.87,-256.0,17.67,-256.0
2007-03-26,20.88,20.92,-256.0,17.74,-256.0
2007-03-27,19.7,21.06,-256.0,17.92,-256.0
2007-03-28,19.701,21.12,-256.0,17.99,-256.0
2007-03-29,19.699,21.11,-256.0,18.03,-256.0
2007-03-30,19.651,21.09,-256.0,17.93,-256.0
2007-04-02,19.55,20.92,-256.0,17.81,-256.0
2007-04-03,19.25,20.86,-256.0,17.76,-256.0
2007-04-04,20.47,20.53,-256.0,17.52,-256.0
2007-04-05,20.45,20.45,-256.0,17.31,-256.0
2007-04-06,18.951,20.41,-256.0,17.34,-256.0
2007-04-09,20.41,20.45,-256.0,17.33,-256.0
2007-04-10,20.56,20.58,-256.0,17.51,-256.0
