Date,M01,M03,M06,M09,Y01,Y02,Y03,Y05,Y10,Y30
2002-04-10,-256.0,1.064,-256.0,-256.0,-256.0,-256.0,5.961,2.213,5.649,-256.0
2002-04-11,-256.0,1.044,-256.0,-256.0,-256.0,-256.0,5.931,2.194,5.64,-256.0
2002-04-14,-256.0,1.044,-256.0,-256.0,-256.0,-256.0,5.981,2.359,5.6370000000000005,-256.0
2002-04-15,-256.0,1.023,-256.0,-256.0,-256.0,-256.0,6.002000000000001,2.481,5.6370000000000005,-256.0
2002-04-18,-256.0,0.9620000000000001,-256.0,-256.0,-256.0,-256.0,5.072,2.407,5.63,-256.0
2002-04-21,-256.0,0.941,-256.0,-256.0,-256.0,-256.0,5.008,2.255,5.617000000000001,-256.0
2002-04-22,-256.0,0.9309999999999999,-256.0,-256.0,-256.0,-256.0,5.007,2.316,5.615,-256.0
2002-04-23,-256.0,0.9309999999999999,-256.0,-256.0,-256.0,-256.0,5.048,2.483,5.612,-256.0
2002-04-24,-256.0,0.9620000000000001,-256.0,-256.0,-256.0,-256.0,5.382999999999999,2.907,5.6370000000000005,-256.0
2002-04-25,-256.0,1.013,-256.0,-256.0,-256.0,-256.0,5.425,3.034,5.648,-256.0
2002-04-28,-256.0,1.156,-256.0,-256.0,-256.0,-256.0,5.627999999999999,3.532,5.715,-256.0
2002-04-29,-256.0,1.074,-256.0,-256.0,-256.0,-256.0,5.45,3.158,5.709,-256.0
2002-04-30,-256.0,0.9620000000000001,-256.0,-256.0,-256.0,-256.0,5.412999999999999,3.092,5.6979999999999995,-256.0
2002-05-01,-256.0,0.8190000000000001,-256.0,-256.0,-256.0,-256.0,5.311,2.83,5.68,-256.0
2002-05-02,-256.0,0.809,-256.0,-256.0,-256.0,-256.0,7.63,8.21,6.66,-256.0
2002-05-05,-256.0,0.768,-256.0,-256.0,6.3660000000000005,-256.0,7.47,8.01,6.21,-256.0
2002-05-06,-256.0,0.768,-256.0,-256.0,6.48,-256.0,7.42,8.0,5.63,-256.0
2002-05-07,-256.0,0.758,-256.0,-256.0,6.31,-256.0,7.56,8.17,5.75,-256.0
2002-05-08,-256.0,1.238,-256.0,-256.0,6.401,-256.0,7.51,8.1,6.56,-256.0
2002-05-09,-256.0,1.2590000000000001,-256.0,-256.0,6.457000000000001,-256.0,7.59,8.18,6.62,-256.0
2002-05-12,-256.0,1.197,-256.0,-256.0,6.207999999999999,-256.0,8.01,8.68,6.88,-256.0
2002-05-13,-256.0,1.218,-256.0,-256.0,6.218999999999999,-256.0,7.92,8.64,6.7,-256.0
2002-05-14,-256.0,1.208,-256.0,-256.0,6.207999999999999,-256.0,8.17,8.81,6.77,-256.0
2002-05-15,-256.0,1.167,-256.0,-256.0,6.106,-256.0,7.97,8.63,6.74,-256.0
2002-05-19,-256.0,1.218,-256.0,-256.0,6.321000000000001,-256.0,7.99,8.68,6.69,-256.0
2002-05-20,-256.0,1.218,-256.0,-256.0,6.287000000000001,-256.0,8.14,8.88,6.76,-256.0
2002-05-21,-256.0,1.228,-256.0,-256.0,6.412000000000001,-256.0,8.01,8.79,6.67,-256.0
2002-05-22,-256.0,1.218,-256.0,-256.0,6.388999999999999,-256.0,8.05,8.82,6.79,-256.0
2002-05-23,-256.0,6.02,-256.0,-256.0,6.388999999999999,-256.0,7.89,8.67,6.81,-256.0
2002-05-26,-256.0,6.12,-256.0,-256.0,6.332000000000001,-256.0,7.91,8.7,6.89,-256.0
2002-05-27,-256.0,6.22,-256.0,-256.0,6.412000000000001,-256.0,8.03,8.75,6.94,-256.0
2002-05-28,-256.0,6.33,-256.0,-256.0,6.547999999999999,-256.0,8.0,8.68,6.97,-256.0
2002-05-29,-256.0,6.31,-256.0,-256.0,6.571000000000001,-256.0,8.26,8.95,7.28,-256.0
2002-05-30,-256.0,6.58,-256.0,-256.0,6.4910000000000005,-256.0,8.51,9.12,7.4,-256.0
2002-06-02,-256.0,6.83,-256.0,-256.0,6.502999999999999,-256.0,8.52,9.07,7.37,-256.0
2002-06-03,-256.0,6.53,-256.0,-256.0,6.537000000000001,-256.0,8.37,8.96,7.39,-256.0
2002-06-04,-256.0,6.44,-256.0,-256.0,6.537000000000001,-256.0,8.34,8.95,7.38,-256.0
2002-06-05,-256.0,6.18,-256.0,-256.0,6.547999999999999,-256.0,8.36,8.95,7.41,-256.0
2002-06-06,-256.0,6.2,-256.0,-256.0,6.593999999999999,-256.0,8.41,9.0,7.44,-256.0
2002-06-09,-256.0,6.33,-256.0,-256.0,7.547999999999999,-256.0,8.36,8.94,7.51,-256.0
2002-06-10,-256.0,6.54,-256.0,-256.0,8.13,-256.0,8.59,9.19,7.8,-256.0
2002-06-11,-256.0,7.56,-256.0,-256.0,9.136000000000001,-256.0,9.08,9.51,-256.0,-256.0
2002-06-12,-256.0,8.61,-256.0,-256.0,8.377,-256.0,9.66,9.89,-256.0,-256.0
2002-06-13,-256.0,7.88,-256.0,-256.0,8.342,-256.0,9.5,9.79,-256.0,-256.0
2002-06-16,-256.0,8.04,-256.0,-256.0,8.236,-256.0,9.49,9.8,-256.0,-256.0
2002-06-17,-256.0,8.29,-256.0,-256.0,8.495,-256.0,9.56,9.9,-256.0,-256.0
2002-06-18,-256.0,8.39,-256.0,-256.0,8.672,-256.0,9.57,9.84,-256.0,-256.0
2002-06-19,-256.0,8.6,-256.0,-256.0,8.862,-256.0,9.66,9.97,-256.0,-256.0
2002-06-20,-256.0,8.87,-256.0,-256.0,9.399,-256.0,10.0,10.32,-256.0,-256.0
2002-06-23,-256.0,9.55,-256.0,-256.0,10.062999999999999,-256.0,11.19,11.1,-256.0,-256.0
2002-06-24,-256.0,10.31,-256.0,-256.0,9.591000000000001,-256.0,11.71,11.79,-256.0,-256.0
2002-06-25,-256.0,10.02,-256.0,-256.0,9.112,-256.0,11.13,11.31,-256.0,-256.0
2002-06-26,-256.0,9.57,-256.0,-256.0,9.04,-256.0,10.35,10.47,6.941,-256.0
2002-06-27,-256.0,9.39,-256.0,-256.0,8.625,-256.0,10.22,10.37,10.62,-256.0
2002-06-30,-256.0,9.45,-256.0,-256.0,8.412,-256.0,9.7,10.09,10.29,-256.0
2002-07-01,-256.0,9.05,-256.0,-256.0,8.318,-256.0,9.69,9.99,10.1,-256.0
2002-07-02,-256.0,8.86,-256.0,-256.0,8.365,-256.0,9.5,9.86,9.96,-256.0
2002-07-03,-256.0,8.78,-256.0,-256.0,-256.0,-256.0,9.34,9.72,9.98,-256.0
2002-07-04,-256.0,8.8,-256.0,-256.0,-256.0,-256.0,9.17,9.52,9.77,-256.0
2002-07-07,-256.0,8.79,-256.0,-256.0,-256.0,-256.0,9.25,9.59,9.56,-256.0
