Date,M03,M06,M09,Y01,Y02,Y03,Y05,Y08,Y10
2006-01-03,17.25,17.25,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-04,17.24,17.24,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-05,17.23,17.23,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-06,17.2,17.2,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-09,17.18,17.18,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-10,17.11,17.11,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-11,17.09,17.09,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-12,17.05,17.05,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-13,17.03,17.03,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-16,17.0,17.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-17,16.96,16.96,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-19,16.79,16.79,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-20,16.78,16.23,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-23,16.76,16.22,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-24,16.75,16.23,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-25,16.79,16.26,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-26,16.73,16.21,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-27,16.73,16.18,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-30,16.7,16.18,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-01-31,16.69,16.14,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-02-01,16.66,16.13,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-02-02,16.64,16.09,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-02-03,16.61,16.04,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-02-06,16.56,16.01,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-02-07,16.58,16.05,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-02-08,16.54,16.01,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-02-09,16.54,16.02,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-02-10,16.51,16.01,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-02-13,16.47,15.97,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
2006-02-14,16.49,15.93,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0
