,Date,M03,M06,M09,Y01,Y02,Y03,Y05,Y08,Y10,Alpha0,Alpha1,Alpha2,Thau
0,2006-01-03,17.25,17.25,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,,,,
1,2006-01-04,17.24,17.24,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,,,,
2,2006-01-05,17.23,17.23,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,,,,
3,2006-01-06,17.2,17.2,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,,,,
4,2006-01-09,17.18,17.18,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,,,,
5,2006-01-10,17.11,17.11,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,,,,
6,2006-01-11,17.09,17.09,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,15.904804229736328,8.88007926940918,13.066875457763672,1.1928375959396362
7,2006-01-11,17.09,17.09,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,15.008281707763672,13.914811134338379,15.609254837036133,38.5845947265625
8,2006-01-11,17.09,17.09,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,15.411957740783691,14.016260147094727,14.439217567443848,104.57687377929688
9,2006-01-12,17.05,17.05,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,10.240077018737793,15.092541694641113,11.32280445098877,14.225278854370117
10,2006-01-12,17.05,17.05,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,14.368096351623535,14.842206001281738,14.908295631408691,50.60725402832031
11,2006-01-12,17.05,17.05,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,15.626350402832031,14.8109130859375,15.611736297607422,110.01311492919922
12,2006-01-13,17.03,17.03,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,11.87024211883545,14.89418888092041,12.216782569885254,11.659181594848633
13,2006-01-13,17.03,17.03,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,15.19841194152832,15.023164749145508,14.566771507263184,49.84608840942383
14,2006-01-13,17.03,17.03,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,15.755167961120605,15.090214729309082,16.15520477294922,110.18213653564453
15,2006-01-16,17.0,17.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,12.330782890319824,14.607697486877441,13.114362716674805,9.439664840698242
16,2006-01-16,17.0,17.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,15.586501121520996,15.054948806762695,15.839071273803711,46.35203552246094
17,2006-01-16,17.0,17.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,14.937228202819824,15.261188507080078,13.480755805969238,117.10502624511719
18,2006-01-17,16.96,16.96,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,13.240588188171387,14.920235633850098,10.877148628234863,11.329249382019043
19,2006-01-17,16.96,16.96,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,15.179010391235352,15.255901336669922,14.33777904510498,50.556270599365234
20,2006-01-17,16.96,16.96,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,15.079184532165527,15.350870132446289,14.76872730255127,113.85348510742188
21,2006-01-19,16.79,16.79,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,13.575287818908691,11.906220436096191,13.929961204528809,1.8177704811096191
22,2006-01-19,16.79,16.79,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,15.114340782165527,15.331071853637695,13.228301048278809,52.722225189208984
23,2006-01-19,16.79,16.79,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,15.151849746704102,15.443096160888672,13.696240425109863,115.62763977050781
24,2006-01-20,16.78,16.23,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,13.337006568908691,12.076983451843262,14.008658409118652,1.84855055809021
25,2006-01-20,16.78,16.23,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,15.978631019592285,15.170342445373535,14.406171798706055,47.57718276977539
26,2006-01-20,16.78,16.23,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,-256.0,15.62526798248291,15.43277645111084,12.623818397521973,116.61082458496094
