"Date","Price","Open","High","Low","Change %"
"Aug 21, 2020","6.600","6.600","6.600","6.600","0.59%"
"Aug 14, 2020","6.561","6.549","6.561","6.549","0.18%"
"Aug 07, 2020","6.549","6.549","6.549","6.549","1.46%"
"Aug 03, 2020","6.455","6.440","6.455","6.440","0.23%"
"Jul 24, 2020","6.440","6.524","6.524","6.440","-1.29%"
"Jul 17, 2020","6.524","6.759","6.759","6.524","-3.48%"
"Jul 10, 2020","6.759","7.048","7.048","6.759","-4.10%"
"Jul 07, 2020","7.048","7.395","7.395","7.048","-4.69%"
"Jun 26, 2020","7.395","7.739","7.739","7.395","-4.45%"
"Jun 19, 2020","7.739","7.739","7.739","7.739","-3.98%"
"Jun 12, 2020","8.060","8.060","8.060","8.060","-1.71%"
"Jun 05, 2020","8.200","8.248","8.248","8.200","-0.58%"
"May 29, 2020","8.248","8.248","8.248","8.248","0.26%"
"May 22, 2020","8.227","8.192","8.227","8.192","0.43%"
"May 15, 2020","8.192","8.192","8.192","8.192","0.50%"
"May 08, 2020","8.151","8.134","8.151","8.134","0.21%"
"May 04, 2020","8.134","8.121","8.134","8.121","0.56%"
"Apr 17, 2020","8.089","8.106","8.106","8.089","-0.21%"
"Apr 15, 2020","8.106","8.145","8.145","8.106","-0.48%"
"Apr 09, 2020","8.145","8.145","8.145","8.145","0.00%"
"Apr 03, 2020","8.145","8.118","8.145","8.118","0.33%"
"Mar 30, 2020","8.118","8.118","8.118","8.118","0.00%"
"Mar 27, 2020","8.118","8.030","8.118","8.030","1.10%"
"Mar 20, 2020","8.030","8.104","8.104","8.030","-0.91%"
"Mar 13, 2020","8.104","8.186","8.186","8.104","-1.00%"
"Mar 06, 2020","8.186","8.235","8.235","8.186","-0.60%"
"Mar 02, 2020","8.235","8.235","8.235","8.235","0.00%"
"Feb 28, 2020","8.235","8.258","8.258","8.235","-0.28%"
"Feb 21, 2020","8.258","8.258","8.258","8.258","0.00%"
"Feb 17, 2020","8.258","8.248","8.258","8.248","0.12%"
"Feb 07, 2020","8.248","8.229","8.248","8.229","0.23%"
"Feb 03, 2020","8.229","8.212","8.229","8.212","0.21%"
"Jan 24, 2020","8.212","8.167","8.212","8.167","0.55%"
"Jan 17, 2020","8.167","8.142","8.167","8.142","0.31%"
"Jan 16, 2020","8.142","8.147","8.147","8.142","-0.06%"
"Jan 09, 2020","8.147","8.147","8.147","8.147","-0.04%"
"Dec 30, 2019","8.150","8.150","8.150","8.150","0.31%"
"Dec 20, 2019","8.125","8.107","8.125","8.107","0.22%"
"Dec 13, 2019","8.107","8.107","8.107","8.107","-1.15%"
"Dec 09, 2019","8.201","8.204","8.204","8.201","-0.04%"
"Nov 29, 2019","8.204","8.204","8.204","8.204","-0.13%"
"Nov 22, 2019","8.215","7.774","8.215","7.774","5.67%"
"Nov 20, 2019","7.774","7.261","7.774","7.261","7.07%"
"Nov 08, 2019","7.261","7.189","7.261","7.189","1.00%"
"Nov 05, 2019","7.189","7.189","7.189","7.189","0.00%"
"Nov 04, 2019","7.189","7.223","7.223","7.189","-0.47%"
"Oct 29, 2019","7.223","7.241","7.241","7.223","-0.25%"
"Oct 22, 2019","7.241","7.250","7.250","7.241","-0.12%"
"Oct 11, 2019","7.250","7.200","7.250","7.200","0.69%"
"Oct 07, 2019","7.200","7.175","7.200","7.175","0.35%"
"Sep 30, 2019","7.175","7.150","7.175","7.150","0.35%"
"Sep 23, 2019","7.150","7.150","7.150","7.150","0.10%"
"Sep 13, 2019","7.143","7.143","7.143","7.143","2.12%"
"Sep 09, 2019","6.995","6.995","6.995","6.995","-0.23%"
"Aug 30, 2019","7.011","7.020","7.020","7.011","-0.13%"
"Aug 23, 2019","7.020","7.052","7.052","7.020","-0.45%"
"Aug 19, 2019","7.052","7.154","7.154","7.052","-1.43%"
"Aug 09, 2019","7.154","7.154","7.154","7.154","-1.38%"
"Aug 02, 2019","7.254","7.365","7.365","7.254","-1.51%"
"Jul 31, 2019","7.365","7.365","7.365","7.365","0.00%"
"Jul 29, 2019","7.365","7.358","7.365","7.358","0.10%"
"Jul 19, 2019","7.358","7.469","7.469","7.358","-1.49%"
"Jul 17, 2019","7.469","7.397","7.469","7.397","0.97%"
"Jul 12, 2019","7.397","7.397","7.397","7.397","0.00%"
"Jul 05, 2019","7.397","7.487","7.487","7.397","-1.20%"
"Jul 01, 2019","7.487","7.578","7.578","7.487","-1.20%"
"Jun 21, 2019","7.578","7.723","7.723","7.578","-1.88%"
"Jun 17, 2019","7.723","7.606","7.723","7.606","1.54%"
"Jun 13, 2019","7.606","7.606","7.606","7.606","0.00%"
"Jun 10, 2019","7.606","7.651","7.651","7.606","-0.59%"
"May 31, 2019","7.651","7.738","7.738","7.651","-1.12%"
"May 24, 2019","7.738","7.738","7.738","7.738","-0.97%"
"May 20, 2019","7.814","10.525","10.525","7.814","-1.05%"
"May 13, 2019","7.897","7.897","7.897","7.897","-1.36%"
"Apr 26, 2019","8.006","8.042","8.042","8.006","-0.45%"
"Apr 18, 2019","8.042","8.090","8.090","8.042","-0.59%"
"Apr 12, 2019","8.090","8.189","8.189","8.090","-1.21%"
"Apr 05, 2019","8.189","8.204","8.204","8.189","-0.18%"
"Mar 29, 2019","8.204","8.226","8.226","8.204","-0.27%"
"Mar 22, 2019","8.226","8.270","8.270","8.226","-0.53%"
"Mar 20, 2019","8.270","8.270","8.270","8.270","0.00%"
"Mar 19, 2019","8.270","8.317","8.317","8.270","-0.57%"
"Mar 18, 2019","8.317","8.317","8.317","8.317","0.00%"
"Mar 01, 2019","8.317","8.375","8.375","8.317","-1.96%"
"Feb 15, 2019","8.483","8.567","8.567","8.483","-0.98%"
"Feb 08, 2019","8.567","8.780","8.780","8.567","-2.43%"
"Feb 04, 2019","8.780","8.780","8.780","8.780","0.00%"
"Feb 01, 2019","8.780","8.833","8.833","8.780","-0.60%"
"Jan 25, 2019","8.833","8.927","8.927","8.833","-1.05%"
"Jan 18, 2019","8.927","8.935","8.935","8.927","-0.09%"
"Jan 11, 2019","8.935","8.997","8.997","8.935","-0.69%"
"Jan 07, 2019","8.997","8.257","8.997","8.257","8.96%"
"Dec 21, 2018","8.257","8.242","8.257","8.242","0.15%"
"Nov 23, 2018","8.245","8.320","8.320","8.245","-0.90%"
"Nov 16, 2018","8.320","8.302","8.320","8.302","0.22%"
"Nov 09, 2018","8.302","8.317","8.317","8.302","-0.18%"
"Nov 02, 2018","8.317","8.317","8.317","8.317","-0.82%"
"Oct 26, 2018","8.386","8.450","8.450","8.386","-0.76%"
"Oct 19, 2018","8.450","8.450","8.450","8.450","-0.59%"
"Oct 12, 2018","8.500","8.500","8.500","8.500","-1.05%"
"Oct 05, 2018","8.590","8.590","8.590","8.590","-0.65%"
"Sep 28, 2018","8.646","8.646","8.646","8.646","-0.43%"
"Sep 21, 2018","8.683","8.683","8.683","8.683","-0.99%"
"Sep 14, 2018","8.770","8.770","8.770","8.770","-1.19%"
"Sep 07, 2018","8.876","8.876","8.876","8.876","-0.83%"
"Sep 03, 2018","8.950","8.950","8.950","8.950","-0.37%"
"Aug 24, 2018","8.983","8.983","8.983","8.983","-0.24%"
"Aug 17, 2018","9.005","9.005","9.005","9.005","-0.13%"
"Aug 10, 2018","9.017","9.017","9.017","9.017","-0.73%"
"Aug 03, 2018","9.083","9.083","9.083","9.083","-0.31%"
"Jul 27, 2018","9.111","9.111","9.111","9.111","-0.90%"
"Jul 20, 2018","9.194","9.194","9.194","9.194","-1.37%"
"Jul 16, 2018","9.322","9.322","9.322","9.322","-1.86%"
"Jul 06, 2018","9.499","9.499","9.499","9.499","-1.12%"
"Jun 29, 2018","9.607","9.607","9.607","9.607","-0.61%"
"Jun 22, 2018","9.666","9.666","9.666","9.666","-1.37%"
"Jun 19, 2018","9.800","9.800","9.800","9.800","-2.59%"
"Jun 08, 2018","10.061","10.061","10.061","10.061","-1.32%"
"Jun 04, 2018","10.196","10.196","10.196","10.196","-0.35%"
"May 30, 2018","10.232","10.232","10.232","10.232","0.00%"
"May 28, 2018","10.232","10.232","10.232","10.232","-0.24%"
"May 24, 2018","10.257","10.257","10.257","10.257","0.00%"
"May 22, 2018","10.257","10.257","10.257","10.257","-0.08%"
"May 20, 2018","10.265","10.265","10.265","10.265","0.00%"
"May 11, 2018","10.265","10.265","10.265","10.265","-0.04%"
"May 10, 2018","10.269","10.269","10.269","10.269","0.00%"
"May 04, 2018","10.269","10.269","10.269","10.269","0.01%"
"Apr 27, 2018","10.268","10.268","10.268","10.268","0.02%"
"Apr 20, 2018","10.266","10.266","10.266","10.266","-0.02%"
"Apr 13, 2018","10.268","10.268","10.268","10.268","-0.48%"
"Apr 06, 2018","10.318","10.318","10.318","10.318","-0.64%"
"Apr 03, 2018","10.384","10.384","10.384","10.384","-0.01%"
"Mar 27, 2018","10.385","10.385","10.385","10.385","-0.15%"
"Mar 19, 2018","10.401","10.401","10.401","10.401","0.15%"
"Mar 12, 2018","10.385","10.385","10.385","10.385","0.00%"
"Mar 09, 2018","10.385","10.385","10.385","10.385","-0.08%"
"Mar 06, 2018","10.393","10.393","10.393","10.393","0.00%"
"Mar 02, 2018","10.393","10.393","10.393","10.393","-0.02%"
"Mar 01, 2018","10.395","10.395","10.395","10.395","0.00%"
"Feb 23, 2018","10.395","10.395","10.395","10.395","-0.08%"
"Feb 18, 2018","10.403","10.403","10.403","10.403","0.00%"
"Feb 16, 2018","10.403","10.403","10.403","10.403","-0.20%"
"Feb 12, 2018","10.424","10.424","10.424","10.424","0.00%"
"Feb 09, 2018","10.424","10.424","10.424","10.424","-0.13%"
"Feb 02, 2018","10.438","10.438","10.438","10.438","-1.19%"
"Jan 26, 2018","10.564","10.564","10.564","10.564","-0.72%"
"Jan 23, 2018","10.641","10.641","10.641","10.641","0.00%"
"Jan 19, 2018","10.641","10.641","10.641","10.641","-0.19%"
"Jan 12, 2018","10.661","10.661","10.661","10.661","-0.22%"
"Jan 10, 2018","10.685","10.685","10.685","10.685","0.00%"
"Jan 08, 2018","10.685","10.685","10.685","10.685","0.96%"
"Jan 05, 2018","10.583","10.583","10.583","10.583","0.00%"
"Dec 29, 2017","10.583","10.583","10.583","10.583","0.00%"
"Dec 27, 2017","10.583","10.583","10.583","10.583","0.00%"
"Dec 22, 2017","10.583","10.583","10.583","10.583","0.51%"
"Dec 16, 2017","10.529","10.529","10.529","10.529","0.00%"
"Dec 15, 2017","10.529","10.529","10.529","10.529","0.07%"
"Dec 08, 2017","10.522","10.522","10.522","10.522","0.42%"
"Dec 02, 2017","10.478","10.478","10.478","10.478","0.00%"
"Dec 01, 2017","10.478","10.478","10.478","10.478","-0.03%"
"Nov 24, 2017","10.481","10.481","10.481","10.481","-0.02%"
"Nov 22, 2017","10.483","10.483","10.483","10.483","0.00%"
"Nov 21, 2017","10.483","10.483","10.483","10.483","0.00%"
"Nov 17, 2017","10.483","10.483","10.483","10.483","-0.05%"
"Nov 11, 2017","10.488","10.488","10.488","10.488","0.00%"
"Nov 10, 2017","10.488","10.488","10.488","10.488","0.53%"
"Nov 07, 2017","10.433","10.433","10.433","10.433","0.00%"
"Nov 05, 2017","10.433","10.433","10.433","10.433","0.00%"
"Nov 03, 2017","10.433","10.433","10.433","10.433","1.15%"
"Oct 31, 2017","10.314","10.314","10.314","10.314","0.00%"
"Oct 29, 2017","10.314","10.314","10.314","10.314","0.00%"
