"Date","Price","Open","High","Low","Change %"
"Aug 27, 2020","11.992","11.632","11.992","11.632","1.04%"
"Aug 26, 2020","11.868","11.868","11.868","11.400","4.11%"
"Aug 25, 2020","11.400","11.379","11.400","11.379","0.00%"
"Aug 24, 2020","11.400","11.225","11.400","11.200","1.79%"
"Aug 21, 2020","11.200","11.225","11.225","11.200","0.00%"
"Aug 20, 2020","11.200","11.225","11.225","11.200","0.00%"
"Aug 19, 2020","11.200","11.225","11.225","11.200","0.00%"
"Aug 18, 2020","11.200","11.225","11.225","11.200","0.00%"
"Aug 17, 2020","11.200","11.303","11.303","11.200","-0.88%"
"Aug 14, 2020","11.300","11.303","11.303","11.300","0.00%"
"Aug 13, 2020","11.300","11.303","11.303","11.300","0.00%"
"Aug 12, 2020","11.300","11.303","11.303","11.300","0.00%"
"Aug 11, 2020","11.300","11.303","11.303","11.300","0.00%"
"Aug 10, 2020","11.300","11.194","11.300","11.150","1.35%"
"Aug 07, 2020","11.150","11.194","11.194","11.150","0.00%"
"Aug 06, 2020","11.150","11.194","11.194","11.150","0.00%"
"Aug 05, 2020","11.150","11.194","11.194","11.150","0.00%"
"Aug 04, 2020","11.150","11.194","11.194","11.150","0.00%"
"Aug 03, 2020","11.150","11.316","11.316","11.150","-3.63%"
"Jul 31, 2020","11.569","11.569","11.569","11.569","2.38%"
"Jul 30, 2020","11.300","11.316","11.316","11.300","0.00%"
"Jul 29, 2020","11.300","11.316","11.316","11.300","0.00%"
"Jul 28, 2020","11.300","11.316","11.316","11.300","0.00%"
"Jul 27, 2020","11.300","11.507","11.507","11.300","-1.80%"
"Jul 24, 2020","11.507","11.507","11.507","11.507","0.00%"
"Jul 23, 2020","11.507","11.507","11.507","11.507","0.50%"
"Jul 22, 2020","11.450","11.507","11.507","11.450","-0.50%"
"Jul 21, 2020","11.507","11.507","11.507","11.507","0.50%"
"Jul 20, 2020","11.450","11.529","11.529","11.450","-0.69%"
"Jul 17, 2020","11.529","11.529","11.529","11.529","-3.72%"
"Jul 16, 2020","11.974","11.529","11.974","11.500","0.00%"
"Jul 15, 2020","11.974","11.529","12.024","11.500","-0.42%"
"Jul 14, 2020","12.024","11.500","12.024","11.500","3.20%"
"Jul 13, 2020","11.651","11.651","11.651","11.651","0.01%"
"Jul 10, 2020","11.650","11.651","11.651","11.650","0.00%"
"Jul 09, 2020","11.650","11.651","11.651","11.650","0.00%"
"Jul 08, 2020","11.650","11.651","11.651","11.650","-3.51%"
"Jul 07, 2020","12.074","11.651","12.074","11.650","3.64%"
"Jul 06, 2020","11.650","11.679","11.679","11.650","0.00%"
"Jul 03, 2020","11.650","11.679","11.679","11.650","0.00%"
"Jul 02, 2020","11.650","11.679","11.679","11.650","-3.51%"
"Jul 01, 2020","12.074","11.701","12.074","11.650","0.00%"
"Jun 30, 2020","12.074","11.701","12.188","11.650","-0.94%"
"Jun 29, 2020","12.188","11.840","12.188","11.650","2.94%"
"Jun 26, 2020","11.840","11.840","11.840","11.800","-2.86%"
"Jun 25, 2020","12.188","11.840","12.188","11.800","0.00%"
"Jun 24, 2020","12.188","11.840","12.188","11.840","0.00%"
"Jun 23, 2020","12.188","11.840","12.188","11.840","0.00%"
"Jun 22, 2020","12.188","11.840","12.188","11.840","-1.46%"
"Jun 19, 2020","12.369","11.933","12.369","11.900","0.00%"
"Jun 18, 2020","12.369","11.933","12.369","11.933","3.94%"
"Jun 17, 2020","11.900","11.933","12.369","11.900","0.00%"
"Jun 16, 2020","11.900","11.933","11.933","11.900","-0.28%"
"Jun 15, 2020","11.933","11.933","11.933","11.933","0.28%"
"Jun 12, 2020","11.900","11.831","11.900","11.750","1.28%"
"Jun 11, 2020","11.750","11.750","11.831","11.750","0.00%"
"Jun 10, 2020","11.750","11.750","11.831","11.750","0.00%"
"Jun 09, 2020","11.750","11.750","11.831","11.750","0.00%"
"Jun 08, 2020","11.750","11.750","11.831","11.750","-2.32%"
"Jun 06, 2020","12.028","12.028","12.028","12.028","2.37%"
"Jun 05, 2020","11.750","11.750","11.831","11.750","0.00%"
"Jun 04, 2020","11.750","11.750","11.831","11.750","0.00%"
"Jun 03, 2020","11.750","11.750","11.831","11.750","0.00%"
"Jun 02, 2020","11.750","11.831","11.831","11.750","-3.01%"
"Jun 01, 2020","12.115","12.115","12.115","12.115","2.40%"
"May 29, 2020","11.831","11.831","11.831","11.750","-2.27%"
"May 28, 2020","12.106","11.831","12.106","11.750","2.32%"
"May 27, 2020","11.831","11.831","11.831","11.831","0.69%"
"May 26, 2020","11.750","11.979","11.979","11.750","-4.25%"
"May 25, 2020","12.271","12.271","12.271","12.271","2.69%"
"May 22, 2020","11.950","11.979","11.979","11.950","0.00%"
"May 21, 2020","11.950","11.979","11.979","11.950","0.00%"
"May 20, 2020","11.950","11.896","11.950","11.850","0.45%"
"May 19, 2020","11.896","11.896","11.896","11.896","0.00%"
"May 18, 2020","11.896","11.896","11.896","11.896","0.39%"
"May 15, 2020","11.850","11.896","11.896","11.850","0.00%"
"May 14, 2020","11.850","11.896","12.363","11.850","-4.15%"
"May 13, 2020","12.363","11.896","12.363","11.850","4.33%"
"May 12, 2020","11.850","11.866","12.363","11.850","0.00%"
"May 11, 2020","11.850","11.866","11.866","11.850","0.00%"
"May 08, 2020","11.850","11.850","11.866","11.850","0.00%"
"May 07, 2020","11.850","11.866","11.866","11.850","-0.13%"
"May 06, 2020","11.866","11.866","11.866","11.866","0.14%"
"May 05, 2020","11.850","11.866","11.866","11.850","-0.54%"
"May 04, 2020","11.914","11.914","11.914","11.914","-2.36%"
"May 01, 2020","12.202","12.202","12.202","12.202","2.54%"
"Apr 30, 2020","11.900","11.914","11.914","11.900","-3.92%"
"Apr 29, 2020","12.385","12.385","12.385","12.385","0.00%"
"Apr 28, 2020","12.385","11.914","12.385","11.900","4.08%"
"Apr 27, 2020","11.900","11.766","11.900","11.766","2.15%"
"Apr 24, 2020","11.650","11.766","11.766","11.650","0.00%"
"Apr 23, 2020","11.650","11.650","11.766","11.650","0.00%"
"Apr 22, 2020","11.650","11.766","11.766","11.650","0.00%"
"Apr 21, 2020","11.650","11.883","11.883","11.650","-1.96%"
"Apr 20, 2020","11.883","11.883","11.883","11.883","0.28%"
"Apr 17, 2020","11.850","11.883","11.883","11.850","-0.28%"
"Apr 16, 2020","11.883","11.883","11.883","11.883","0.28%"
"Apr 15, 2020","11.850","11.883","12.363","11.850","0.00%"
"Apr 14, 2020","11.850","11.792","11.850","11.750","-1.84%"
"Apr 13, 2020","12.072","12.072","12.072","12.072","0.00%"
"Apr 10, 2020","12.072","12.072","12.072","12.072","2.37%"
"Apr 09, 2020","11.792","11.792","11.792","11.792","0.36%"
"Apr 08, 2020","11.750","11.792","11.792","11.750","-0.36%"
"Apr 07, 2020","11.792","11.792","11.792","11.750","0.36%"
"Apr 06, 2020","11.750","11.792","11.792","11.750","-0.36%"
"Apr 03, 2020","11.792","11.792","11.792","11.750","0.36%"
"Apr 02, 2020","11.750","11.935","11.935","11.750","-1.55%"
"Apr 01, 2020","11.935","11.935","11.935","11.935","-3.88%"
"Mar 31, 2020","12.417","11.935","12.417","11.935","4.34%"
"Mar 30, 2020","11.900","11.800","11.900","11.800","-1.49%"
"Mar 28, 2020","12.080","12.080","12.080","12.080","2.37%"
"Mar 27, 2020","11.800","11.800","11.800","11.800","0.00%"
"Mar 26, 2020","11.800","11.800","11.821","11.800","-0.18%"
"Mar 25, 2020","11.821","11.821","11.821","11.821","0.00%"
"Mar 24, 2020","11.821","11.821","11.821","11.821","0.18%"
"Mar 23, 2020","11.800","11.800","11.800","11.800","-2.32%"
"Mar 21, 2020","12.080","12.080","12.080","12.080","2.37%"
"Mar 20, 2020","11.800","11.800","11.821","11.800","0.00%"
"Mar 19, 2020","11.800","11.800","11.821","11.800","0.00%"
"Mar 18, 2020","11.800","11.821","11.821","11.800","0.00%"
"Mar 17, 2020","11.800","11.821","11.821","11.800","0.00%"
"Mar 16, 2020","11.800","11.900","11.975","11.800","-2.32%"
"Mar 14, 2020","12.080","12.186","12.186","12.080","1.51%"
"Mar 13, 2020","11.900","12.328","12.328","11.900","0.00%"
"Mar 12, 2020","11.900","12.328","12.328","11.900","0.00%"
"Mar 11, 2020","11.900","11.900","12.366","11.900","0.00%"
"Mar 10, 2020","11.900","11.975","12.366","11.900","0.00%"
"Mar 09, 2020","11.900","11.850","11.900","11.850","-1.92%"
"Mar 07, 2020","12.133","12.133","12.133","12.133","2.39%"
"Mar 06, 2020","11.850","11.850","12.366","11.850","0.00%"
"Mar 05, 2020","11.850","11.850","11.909","11.850","0.00%"
"Mar 04, 2020","11.850","11.850","11.909","11.850","0.00%"
"Mar 03, 2020","11.850","12.366","12.366","11.850","0.00%"
"Mar 02, 2020","11.850","11.850","12.366","11.850","-2.33%"
"Feb 29, 2020","12.133","12.133","12.133","12.133","2.39%"
"Feb 28, 2020","11.850","11.850","11.916","11.850","-4.17%"
"Feb 27, 2020","12.366","11.850","12.366","11.850","4.35%"
"Feb 26, 2020","11.850","11.850","12.395","11.850","0.00%"
"Feb 25, 2020","11.850","11.916","11.916","11.850","0.00%"
"Feb 24, 2020","11.850","11.900","11.984","11.850","-2.76%"
"Feb 22, 2020","12.186","12.186","12.186","12.186","2.40%"
"Feb 21, 2020","11.900","11.900","11.984","11.900","0.00%"
"Feb 20, 2020","11.900","11.900","11.984","11.900","0.00%"
"Feb 19, 2020","11.900","11.900","11.984","11.900","0.00%"
"Feb 18, 2020","11.900","11.900","11.984","11.900","0.00%"
"Feb 17, 2020","11.900","11.800","11.900","11.800","-1.51%"
"Feb 15, 2020","12.082","12.082","12.082","12.082","2.39%"
