"Date","Price","Open","High","Low","Change %"
"Aug 27, 2020","11.380","11.375","11.405","11.365","-0.13%"
"Aug 26, 2020","11.395","11.355","11.405","11.330","0.31%"
"Aug 25, 2020","11.360","11.430","11.440","11.340","-0.66%"
"Aug 24, 2020","11.435","11.355","11.450","11.260","0.66%"
"Aug 21, 2020","11.360","11.390","11.495","11.355","-0.39%"
"Aug 20, 2020","11.405","11.430","11.450","11.355","0.04%"
"Aug 19, 2020","11.400","11.390","11.440","11.385","-0.04%"
"Aug 18, 2020","11.405","11.430","11.460","11.380","-0.13%"
"Aug 17, 2020","11.420","11.330","11.440","11.330","0.66%"
"Aug 14, 2020","11.345","11.435","11.440","11.330","-0.83%"
"Aug 13, 2020","11.440","11.505","11.550","11.415","-0.56%"
"Aug 12, 2020","11.505","11.470","11.530","11.405","0.09%"
"Aug 11, 2020","11.495","11.420","11.520","11.400","0.74%"
"Aug 07, 2020","11.410","11.465","11.480","11.400","-0.35%"
"Aug 06, 2020","11.450","11.475","11.510","11.440","-0.13%"
"Aug 05, 2020","11.465","11.480","11.495","11.425","-0.17%"
"Aug 04, 2020","11.485","11.470","11.540","11.400","0.48%"
"Aug 03, 2020","11.430","11.410","11.565","11.400","0.26%"
"Aug 01, 2020","11.400","11.390","11.400","11.390","-0.13%"
"Jul 31, 2020","11.415","11.435","11.445","11.320","-0.17%"
"Jul 30, 2020","11.435","11.370","11.495","11.370","0.57%"
"Jul 29, 2020","11.370","11.250","11.395","11.170","1.34%"
"Jul 28, 2020","11.220","11.140","11.315","11.120","0.58%"
"Jul 27, 2020","11.155","11.240","11.280","11.140","-0.76%"
"Jul 24, 2020","11.240","11.190","11.325","11.190","0.36%"
"Jul 23, 2020","11.200","11.400","11.460","11.115","-1.75%"
"Jul 22, 2020","11.400","11.595","11.620","11.340","-1.68%"
"Jul 21, 2020","11.595","11.650","11.655","11.560","-0.39%"
"Jul 20, 2020","11.640","11.570","11.655","11.560","0.43%"
"Jul 19, 2020","11.590","11.575","11.595","11.575","0.17%"
"Jul 18, 2020","11.570","11.570","11.570","11.570","0.00%"
"Jul 17, 2020","11.570","11.535","11.600","11.510","0.26%"
"Jul 16, 2020","11.540","11.530","11.575","11.490","0.09%"
"Jul 15, 2020","11.530","11.515","11.575","11.420","0.09%"
"Jul 14, 2020","11.520","11.465","11.585","11.450","0.57%"
"Jul 13, 2020","11.455","11.485","11.520","11.420","-0.26%"
"Jul 12, 2020","11.485","11.485","11.485","11.485","-0.48%"
"Jul 10, 2020","11.540","11.705","11.710","11.460","-1.33%"
"Jul 09, 2020","11.695","11.805","11.815","11.675","-0.81%"
"Jul 08, 2020","11.790","11.770","11.840","11.770","0.26%"
"Jul 07, 2020","11.760","11.630","11.815","11.630","1.47%"
"Jul 06, 2020","11.590","11.450","11.675","11.410","1.18%"
"Jul 03, 2020","11.455","11.275","11.520","11.260","1.69%"
"Jul 02, 2020","11.265","11.260","11.280","11.160","0.13%"
"Jul 01, 2020","11.250","11.225","11.260","11.155","0.27%"
"Jun 30, 2020","11.220","11.115","11.245","11.100","0.90%"
"Jun 29, 2020","11.120","11.155","11.190","11.025","-0.22%"
"Jun 27, 2020","11.145","11.145","11.145","11.145","-0.40%"
"Jun 26, 2020","11.190","11.210","11.255","11.020","-0.49%"
"Jun 25, 2020","11.245","11.285","11.430","11.230","-0.35%"
"Jun 24, 2020","11.285","11.465","11.530","11.255","-1.48%"
"Jun 23, 2020","11.455","11.345","11.495","11.330","0.84%"
"Jun 22, 2020","11.360","11.280","11.460","11.225","0.80%"
"Jun 19, 2020","11.270","11.425","11.440","11.210","-1.49%"
"Jun 18, 2020","11.440","11.445","11.510","11.370","-0.04%"
"Jun 17, 2020","11.445","11.350","11.465","11.300","0.79%"
"Jun 16, 2020","11.355","11.355","11.355","11.355","0.00%"
"Jun 15, 2020","11.355","11.230","11.380","11.195","1.11%"
"Jun 12, 2020","11.230","11.170","11.285","11.125","0.45%"
"Jun 11, 2020","11.180","11.170","11.255","11.090","0.36%"
"Jun 10, 2020","11.140","11.180","11.205","11.120","-0.36%"
"Jun 09, 2020","11.180","11.060","11.200","11.010","1.04%"
"Jun 08, 2020","11.065","10.915","11.070","10.840","1.37%"
"Jun 05, 2020","10.915","10.720","10.980","10.665","1.72%"
"Jun 04, 2020","10.730","10.690","10.765","10.620","0.37%"
"Jun 03, 2020","10.690","10.795","10.810","10.650","-0.83%"
"Jun 02, 2020","10.780","10.790","10.840","10.750","0.00%"
"Jun 01, 2020","10.780","10.900","10.920","10.780","-1.19%"
"May 29, 2020","10.910","10.815","10.920","10.800","0.93%"
"May 28, 2020","10.810","10.680","10.830","10.625","1.17%"
"May 27, 2020","10.685","10.860","10.905","10.685","-1.61%"
"May 26, 2020","10.860","10.960","10.960","10.780","-0.50%"
"May 25, 2020","10.915","10.935","11.075","10.910","-1.04%"
"May 22, 2020","11.030","10.885","11.195","10.815","1.29%"
"May 21, 2020","10.890","11.170","11.205","10.860","-2.51%"
"May 20, 2020","11.170","11.450","11.620","11.145","-2.45%"
"May 19, 2020","11.450","11.265","13.215","11.070","1.60%"
"May 18, 2020","11.270","11.515","11.545","11.265","-2.04%"
"May 15, 2020","11.505","11.385","11.650","11.260","1.46%"
"May 14, 2020","11.340","11.125","11.485","11.125","1.93%"
"May 13, 2020","11.125","11.015","11.160","11.005","1.18%"
"May 12, 2020","10.995","11.075","11.170","10.935","-0.68%"
"May 11, 2020","11.070","10.945","11.130","10.850","1.10%"
"May 08, 2020","10.950","11.095","11.125","10.820","-1.17%"
"May 07, 2020","11.080","11.405","11.405","11.035","-2.85%"
"May 06, 2020","11.405","11.420","11.540","11.250","0.13%"
"May 05, 2020","11.390","11.645","11.690","11.390","-2.57%"
"May 04, 2020","11.690","11.730","11.840","11.655","-0.43%"
"May 03, 2020","11.740","11.740","11.740","11.740","0.09%"
"May 01, 2020","11.730","11.730","11.730","11.730","-0.09%"
"Apr 30, 2020","11.740","11.730","11.780","11.485","0.00%"
"Apr 29, 2020","11.740","11.960","11.980","11.720","-1.84%"
"Apr 28, 2020","11.960","12.075","12.095","11.930","-0.95%"
"Apr 24, 2020","12.075","12.005","12.105","12.005","0.88%"
"Apr 23, 2020","11.970","11.910","12.190","11.630","0.50%"
"Apr 22, 2020","11.910","11.390","11.910","11.330","4.57%"
"Apr 21, 2020","11.390","11.260","11.430","11.250","1.15%"
"Apr 20, 2020","11.260","11.370","11.410","11.180","-0.97%"
"Apr 17, 2020","11.370","11.415","11.440","11.290","-0.26%"
"Apr 16, 2020","11.400","11.525","11.545","11.380","-1.00%"
"Apr 15, 2020","11.515","11.385","11.540","11.360","1.45%"
"Apr 14, 2020","11.350","11.650","12.135","11.350","-2.49%"
"Apr 09, 2020","11.640","11.780","11.795","11.600","-1.27%"
"Apr 08, 2020","11.790","11.770","11.910","11.770","0.38%"
"Apr 07, 2020","11.745","12.070","12.070","11.650","-2.69%"
"Apr 06, 2020","12.070","12.300","12.300","12.045","-0.49%"
"Apr 03, 2020","12.130","11.920","12.160","11.915","1.68%"
"Apr 02, 2020","11.930","11.995","12.020","11.720","0.68%"
"Apr 01, 2020","11.850","11.865","11.965","11.620","0.85%"
"Mar 31, 2020","11.750","12.370","12.450","11.695","-5.01%"
"Mar 30, 2020","12.370","13.335","13.335","12.350","0.16%"
"Mar 29, 2020","12.350","12.350","12.350","12.350","-0.12%"
"Mar 28, 2020","12.365","12.365","12.365","12.365","0.00%"
"Mar 27, 2020","12.365","12.225","12.365","12.205","1.81%"
"Mar 26, 2020","12.145","12.265","12.365","12.130","-1.78%"
"Mar 25, 2020","12.365","13.195","13.195","11.635","-6.43%"
"Mar 24, 2020","13.215","13.440","14.250","13.215","-0.79%"
"Mar 23, 2020","13.320","12.725","13.375","12.725","4.72%"
"Mar 20, 2020","12.720","12.980","13.190","12.280","-0.70%"
"Mar 19, 2020","12.810","12.470","12.810","11.970","4.27%"
"Mar 18, 2020","12.285","11.815","12.840","11.790","3.98%"
"Mar 17, 2020","11.815","11.815","11.815","11.815","-0.08%"
"Mar 16, 2020","11.825","11.825","11.825","11.825","7.30%"
"Mar 13, 2020","11.020","11.020","11.020","11.020","1.05%"
"Mar 12, 2020","10.905","10.905","10.905","10.905","4.50%"
"Mar 11, 2020","10.435","10.435","10.435","10.435","0.82%"
"Mar 10, 2020","10.350","10.350","10.350","10.350","0.19%"
"Mar 09, 2020","10.330","10.330","10.330","10.330","1.67%"
"Mar 08, 2020","10.160","10.160","10.160","10.160","-0.39%"
"Mar 06, 2020","10.200","10.200","10.200","10.200","1.19%"
"Mar 05, 2020","10.080","10.080","10.080","10.080","0.35%"
"Mar 04, 2020","10.045","10.045","10.045","10.045","0.20%"
"Mar 03, 2020","10.025","10.025","10.025","10.025","-2.15%"
"Mar 02, 2020","10.245","10.245","10.245","10.245","0.34%"
"Feb 28, 2020","10.210","10.210","10.210","10.210","2.10%"
