"Date","Price","Open","High","Low","Change %"
"Aug 27, 2020","11.485","11.495","11.510","11.485","-0.04%"
"Aug 26, 2020","11.490","11.465","11.505","11.440","0.17%"
"Aug 25, 2020","11.470","11.540","11.540","11.460","-0.65%"
"Aug 24, 2020","11.545","11.460","11.555","11.365","0.70%"
"Aug 21, 2020","11.465","11.485","11.535","11.455","-0.17%"
"Aug 20, 2020","11.485","11.500","11.540","11.450","-0.09%"
"Aug 19, 2020","11.495","11.485","11.525","11.470","0.17%"
"Aug 18, 2020","11.475","11.520","11.555","11.455","-0.30%"
"Aug 17, 2020","11.510","11.440","11.535","11.420","0.70%"
"Aug 14, 2020","11.430","11.515","11.525","11.420","-0.74%"
"Aug 13, 2020","11.515","11.605","11.640","11.505","-0.78%"
"Aug 12, 2020","11.605","11.565","11.610","11.490","0.13%"
"Aug 11, 2020","11.590","11.535","11.635","11.515","0.56%"
"Aug 07, 2020","11.525","11.580","11.590","11.510","-0.39%"
"Aug 06, 2020","11.570","11.580","11.625","11.545","0.00%"
"Aug 05, 2020","11.570","11.590","11.605","11.535","-0.09%"
"Aug 04, 2020","11.580","11.590","11.655","11.530","-0.04%"
"Aug 03, 2020","11.585","11.520","11.680","11.500","0.74%"
"Aug 01, 2020","11.500","11.510","11.510","11.500","0.00%"
"Jul 31, 2020","11.500","11.560","11.570","11.450","-0.52%"
"Jul 30, 2020","11.560","11.520","11.645","11.520","0.35%"
"Jul 29, 2020","11.520","11.395","11.545","11.340","1.19%"
"Jul 28, 2020","11.385","11.300","11.455","11.270","0.84%"
"Jul 27, 2020","11.290","11.400","11.420","11.290","-0.96%"
"Jul 24, 2020","11.400","11.350","11.495","11.350","0.44%"
"Jul 23, 2020","11.350","11.555","11.615","11.275","-1.77%"
"Jul 22, 2020","11.555","11.730","11.775","11.485","-1.62%"
"Jul 21, 2020","11.745","11.800","11.805","11.710","-0.38%"
"Jul 20, 2020","11.790","11.730","11.805","11.720","0.47%"
"Jul 19, 2020","11.735","11.720","11.740","11.720","0.04%"
"Jul 18, 2020","11.730","11.730","11.730","11.730","0.00%"
"Jul 17, 2020","11.730","11.685","11.745","11.680","0.47%"
"Jul 16, 2020","11.675","11.685","11.730","11.660","0.17%"
"Jul 15, 2020","11.655","11.670","11.730","11.580","-0.04%"
"Jul 14, 2020","11.660","11.610","11.735","11.600","0.52%"
"Jul 13, 2020","11.600","11.615","11.655","11.540","-0.13%"
"Jul 12, 2020","11.615","11.615","11.615","11.615","0.04%"
"Jul 11, 2020","11.610","11.600","11.610","11.600","0.00%"
"Jul 10, 2020","11.610","11.830","11.845","11.600","-1.78%"
"Jul 09, 2020","11.820","11.925","11.925","11.810","-0.80%"
"Jul 08, 2020","11.915","11.880","11.960","11.855","0.38%"
"Jul 07, 2020","11.870","11.755","11.925","11.755","1.11%"
"Jul 06, 2020","11.740","11.570","11.810","11.545","1.65%"
"Jul 03, 2020","11.550","11.385","11.640","11.385","1.67%"
"Jul 02, 2020","11.360","11.385","11.415","11.285","-0.26%"
