"Date","Price","Open","High","Low","Change %"
"Aug 27, 2020","3.910","3.800","3.910","3.800","-3.46%"
"Aug 26, 2020","4.050","3.650","4.050","3.650","3.85%"
"Aug 25, 2020","3.900","3.670","3.900","3.670","-0.51%"
"Aug 24, 2020","3.920","3.350","3.950","3.100","8.89%"
"Aug 23, 2020","3.600","3.600","3.600","3.600","-6.49%"
"Aug 21, 2020","3.850","3.300","3.850","3.300","8.45%"
"Aug 20, 2020","3.550","3.800","3.800","3.550","9.23%"
"Aug 19, 2020","3.250","1.800","3.750","1.800","58.54%"
"Aug 18, 2020","2.050","3.000","4.000","2.050","-36.92%"
"Aug 17, 2020","3.250","3.700","3.750","3.200","-2.69%"
"Aug 15, 2020","3.340","3.340","3.340","3.340","-7.48%"
"Aug 14, 2020","3.610","3.340","3.610","3.340","0.56%"
"Aug 13, 2020","3.590","3.900","3.900","3.450","-1.91%"
"Aug 12, 2020","3.660","3.750","3.750","3.500","-0.81%"
"Aug 11, 2020","3.690","3.800","3.800","3.550","-0.27%"
"Aug 10, 2020","3.700","3.350","3.750","3.350","2.78%"
"Aug 09, 2020","3.600","3.530","3.600","3.530","1.98%"
"Aug 07, 2020","3.530","3.040","3.850","3.040","7.29%"
"Aug 06, 2020","3.290","3.310","4.000","3.060","-7.58%"
"Aug 05, 2020","3.560","3.060","3.810","3.060","7.55%"
"Aug 04, 2020","3.310","3.600","3.850","3.310","-14.03%"
"Aug 03, 2020","3.850","4.150","4.150","3.650","6.94%"
"Aug 02, 2020","3.600","3.600","3.600","3.600","8.43%"
"Jul 31, 2020","3.320","3.500","4.600","3.320","-11.47%"
"Jul 30, 2020","3.750","3.150","4.000","3.150","10.29%"
"Jul 29, 2020","3.400","1.550","3.900","1.550","88.89%"
"Jul 28, 2020","1.800","3.800","3.800","1.800","16.13%"
"Jul 27, 2020","1.550","3.780","3.800","1.550","-56.94%"
"Jul 26, 2020","3.600","3.600","3.600","3.600","20.40%"
"Jul 24, 2020","2.990","3.700","3.740","2.990","-13.33%"
"Jul 23, 2020","3.450","3.700","4.200","3.200","58.26%"
"Jul 22, 2020","2.180","3.680","3.680","2.180","-26.85%"
"Jul 21, 2020","2.980","3.700","3.730","2.980","-17.22%"
"Jul 20, 2020","3.600","3.770","4.400","3.600","-4.51%"
"Jul 17, 2020","3.770","3.750","3.770","3.750","0.53%"
"Jul 16, 2020","3.750","3.750","3.750","3.750","0.00%"
"Jul 15, 2020","3.750","3.800","3.800","3.750","-1.32%"
"Jul 14, 2020","3.800","4.400","4.400","3.800","-0.26%"
"Jul 13, 2020","3.810","3.810","3.810","3.810","5.83%"
"Jul 12, 2020","3.600","3.600","3.600","3.600","-6.01%"
"Jul 10, 2020","3.830","3.830","3.830","3.830","-0.52%"
"Jul 09, 2020","3.850","3.850","3.850","3.850","0.00%"
"Jul 08, 2020","3.850","3.850","3.850","3.850","1.32%"
"Jul 07, 2020","3.800","4.400","4.400","3.800","0.00%"
"Jul 06, 2020","3.800","4.400","4.400","3.800","0.80%"
"Jul 03, 2020","3.770","3.770","3.770","3.770","-2.08%"
"Jul 02, 2020","3.850","3.800","3.850","3.800","1.85%"
"Jul 01, 2020","3.780","3.780","3.780","3.780","-16.00%"
"Jun 30, 2020","4.500","3.800","4.500","3.800","18.42%"
"Jun 29, 2020","3.800","4.100","4.100","3.800","5.56%"
"Jun 27, 2020","3.600","3.600","3.600","3.600","-5.26%"
"Jun 26, 2020","3.800","3.800","3.800","3.800","-7.32%"
"Jun 25, 2020","4.100","4.500","4.500","3.600","6.49%"
"Jun 24, 2020","3.850","3.850","3.850","3.850","0.52%"
"Jun 23, 2020","3.830","3.900","3.900","3.830","-1.79%"
"Jun 22, 2020","3.900","4.100","4.600","3.900","8.33%"
"Jun 21, 2020","3.600","3.600","3.600","3.600","-7.69%"
"Jun 19, 2020","3.900","3.900","3.900","3.900","-1.27%"
"Jun 18, 2020","3.950","4.500","4.500","3.950","-14.13%"
"Jun 17, 2020","4.600","4.500","4.600","3.950","18.56%"
"Jun 16, 2020","3.880","4.600","4.600","3.880","-0.77%"
"Jun 15, 2020","3.910","4.100","5.100","3.910","8.61%"
"Jun 14, 2020","3.600","3.600","3.600","3.600","-7.69%"
"Jun 12, 2020","3.900","3.900","3.900","3.900","-13.33%"
"Jun 11, 2020","4.500","3.900","4.500","3.900","18.42%"
