"Date","Price","Open","High","Low","Change %"
"Aug 27, 2020","3.539","3.539","3.539","3.539","0.00%"
"Aug 26, 2020","3.539","3.531","3.539","3.531","0.04%"
"Aug 25, 2020","3.537","3.495","3.537","3.495","-0.37%"
"Aug 24, 2020","3.550","3.600","3.600","3.550","0.28%"
"Aug 21, 2020","3.540","3.510","3.540","3.510","-1.67%"
"Aug 20, 2020","3.600","3.600","3.600","3.600","2.56%"
"Aug 19, 2020","3.510","3.510","3.510","3.510","0.29%"
"Aug 18, 2020","3.500","3.450","3.500","3.450","0.29%"
"Aug 17, 2020","3.490","3.450","3.490","3.450","0.06%"
"Aug 14, 2020","3.488","3.483","3.488","3.483","-0.54%"
"Aug 13, 2020","3.507","3.550","3.550","3.507","0.00%"
"Aug 12, 2020","3.507","3.470","3.510","3.470","-0.37%"
"Aug 11, 2020","3.520","3.533","3.533","3.520","-0.28%"
"Aug 10, 2020","3.530","3.510","3.530","3.510","0.09%"
"Aug 07, 2020","3.527","3.500","3.527","3.500","0.97%"
"Aug 06, 2020","3.493","3.515","3.515","3.493","0.66%"
"Aug 05, 2020","3.470","3.470","3.470","3.470","0.29%"
"Aug 04, 2020","3.460","3.450","3.460","3.450","-0.29%"
"Aug 03, 2020","3.470","3.470","3.470","3.470","0.43%"
"Jul 31, 2020","3.455","3.447","3.455","3.447","0.73%"
"Jul 30, 2020","3.430","3.450","3.450","3.430","0.00%"
"Jul 29, 2020","3.430","3.370","3.430","3.370","0.29%"
"Jul 28, 2020","3.420","3.420","3.420","3.420","0.29%"
"Jul 27, 2020","3.410","3.400","3.410","3.400","-0.26%"
"Jul 24, 2020","3.419","3.419","3.425","3.419","-0.20%"
"Jul 23, 2020","3.426","3.455","3.455","3.425","-0.84%"
"Jul 22, 2020","3.455","3.455","3.455","3.455","0.00%"
"Jul 21, 2020","3.455","3.455","3.455","3.455","-0.32%"
"Jul 20, 2020","3.466","3.450","3.468","3.450","-0.03%"
"Jul 17, 2020","3.467","3.470","3.470","3.467","-0.40%"
"Jul 16, 2020","3.481","3.531","3.531","3.481","-1.11%"
"Jul 15, 2020","3.520","3.500","3.520","3.500","-0.73%"
"Jul 14, 2020","3.546","3.550","3.550","3.545","-0.11%"
"Jul 13, 2020","3.550","3.550","3.550","3.550","0.55%"
"Jul 11, 2020","3.530","3.530","3.530","3.530","3.69%"
"Jul 10, 2020","3.405","3.350","3.405","3.350","-2.04%"
"Jul 08, 2020","3.476","3.505","3.505","3.476","-0.83%"
"Jul 07, 2020","3.505","3.550","3.550","3.505","4.60%"
"Jul 03, 2020","3.351","3.352","3.352","3.351","-0.06%"
"Jul 02, 2020","3.353","3.374","3.374","3.353","-0.62%"
"Jul 01, 2020","3.374","3.374","3.374","3.374","-0.38%"
"Jun 30, 2020","3.387","3.365","3.387","3.365","0.21%"
"Jun 29, 2020","3.380","3.370","3.400","3.370","-1.46%"
"Jun 24, 2020","3.430","3.430","3.430","3.430","1.48%"
"Jun 22, 2020","3.380","3.380","3.380","3.380","-0.59%"
"Jun 19, 2020","3.400","3.400","3.400","3.400","0.29%"
"Jun 18, 2020","3.390","3.390","3.390","3.390","0.98%"
"Jun 17, 2020","3.357","3.360","3.360","3.357","-1.26%"
"Jun 16, 2020","3.400","3.400","3.400","3.400","1.49%"
"Jun 15, 2020","3.350","3.350","3.350","3.350","-1.47%"
"Jun 12, 2020","3.400","3.400","3.400","3.350","1.04%"
"Jun 10, 2020","3.365","3.363","3.375","3.363","0.15%"
"Jun 09, 2020","3.360","3.410","3.410","3.360","-2.61%"
"Jun 08, 2020","3.450","3.450","3.450","3.450","0.58%"
"Jun 03, 2020","3.430","3.310","3.430","3.310","0.00%"
"Jun 02, 2020","3.430","3.430","3.430","3.430","3.44%"
"Jun 01, 2020","3.316","3.271","3.316","3.271","2.69%"
"May 29, 2020","3.229","3.229","3.229","3.229","-4.47%"
"May 28, 2020","3.380","3.380","3.380","3.380","2.27%"
"May 27, 2020","3.305","3.380","3.380","3.305","0.85%"
"May 26, 2020","3.277","3.300","3.300","3.277","0.06%"
"May 25, 2020","3.275","3.280","3.280","3.275","-0.15%"
"May 22, 2020","3.280","3.280","3.280","3.280","-0.61%"
"May 21, 2020","3.300","3.300","3.300","3.300","0.00%"
"May 20, 2020","3.300","3.320","3.320","3.300","2.04%"
"May 19, 2020","3.234","3.243","3.244","3.234","-0.31%"
"May 18, 2020","3.244","3.193","3.244","3.193","0.75%"
"May 15, 2020","3.220","3.220","3.220","3.220","-0.31%"
"May 14, 2020","3.230","3.210","3.230","3.210","1.57%"
"May 13, 2020","3.180","3.180","3.180","3.180","0.41%"
"May 12, 2020","3.167","3.167","3.167","3.167","0.54%"
"May 11, 2020","3.150","3.150","3.150","3.150","0.25%"
"May 09, 2020","3.142","3.142","3.142","3.142","0.38%"
"May 08, 2020","3.130","3.130","3.130","3.130","1.29%"
"May 07, 2020","3.090","3.090","3.090","3.090","0.42%"
"May 06, 2020","3.077","3.050","3.077","3.050","0.79%"
"May 04, 2020","3.053","3.053","3.053","3.053","0.76%"
"Apr 30, 2020","3.030","3.010","3.030","3.010","-0.33%"
"Apr 29, 2020","3.040","3.050","3.050","3.040","-0.16%"
"Apr 28, 2020","3.045","3.040","3.045","3.040","0.16%"
"Apr 27, 2020","3.040","3.030","3.040","3.030","-0.56%"
"Apr 24, 2020","3.057","3.070","3.070","3.057","-0.75%"
"Apr 23, 2020","3.080","3.060","3.080","3.060","-0.87%"
"Apr 22, 2020","3.107","3.115","3.115","3.107","-0.58%"
"Apr 21, 2020","3.125","3.150","3.150","3.125","1.96%"
"Apr 20, 2020","3.065","3.080","3.080","3.065","-0.49%"
"Apr 17, 2020","3.080","3.080","3.080","3.080","1.15%"
"Apr 16, 2020","3.045","3.060","3.060","3.045","0.83%"
"Apr 15, 2020","3.020","3.020","3.020","3.020","1.00%"
"Apr 13, 2020","2.990","2.990","2.990","2.990","1.46%"
"Apr 10, 2020","2.947","2.945","2.947","2.945","1.10%"
"Apr 09, 2020","2.915","2.925","2.925","2.915","1.22%"
"Apr 08, 2020","2.880","2.880","2.880","2.880","-3.90%"
"Apr 01, 2020","2.997","3.010","3.010","2.995","-1.41%"
"Mar 30, 2020","3.040","3.040","3.040","3.040","-1.62%"
"Mar 26, 2020","3.090","3.120","3.120","3.090","0.65%"
"Mar 24, 2020","3.070","3.070","3.070","3.070","-1.60%"
"Mar 23, 2020","3.120","3.120","3.120","3.120","-0.95%"
"Mar 19, 2020","3.150","3.150","3.150","3.150","0.32%"
"Mar 18, 2020","3.140","3.140","3.140","3.140","2.11%"
"Mar 17, 2020","3.075","3.090","3.090","3.075","-0.32%"
"Mar 16, 2020","3.085","3.070","3.085","3.070","1.48%"
"Mar 13, 2020","3.040","3.040","3.040","3.040","-0.16%"
"Mar 12, 2020","3.045","3.045","3.045","3.045","0.00%"
"Mar 11, 2020","3.045","3.040","3.045","3.040","-2.40%"
"Mar 06, 2020","3.120","3.120","3.120","3.120","-0.22%"
"Mar 05, 2020","3.127","3.150","3.150","3.127","-1.26%"
"Mar 04, 2020","3.167","3.175","3.175","3.167","-0.38%"
"Mar 03, 2020","3.179","3.184","3.184","3.179","-0.13%"
"Mar 02, 2020","3.183","3.140","3.183","3.140","-0.53%"
"Feb 28, 2020","3.200","3.190","3.200","3.190","0.31%"
"Feb 27, 2020","3.190","3.190","3.190","3.190","-0.34%"
"Feb 26, 2020","3.201","3.190","3.201","3.190","0.98%"
"Feb 25, 2020","3.170","3.170","3.170","3.170","-2.76%"
"Feb 24, 2020","3.260","3.260","3.260","3.260","1.24%"
"Feb 21, 2020","3.220","3.233","3.233","3.220","-0.28%"
"Feb 20, 2020","3.229","3.223","3.243","3.223","-0.15%"
"Feb 19, 2020","3.234","3.221","3.240","3.221","-1.19%"
"Feb 18, 2020","3.273","3.246","3.273","3.246","2.92%"
"Feb 14, 2020","3.180","3.180","3.180","3.180","-0.31%"
"Feb 13, 2020","3.190","3.190","3.190","3.190","0.00%"
"Feb 12, 2020","3.190","3.190","3.190","3.190","1.69%"
"Feb 10, 2020","3.137","3.137","3.137","3.136","-1.85%"
"Feb 07, 2020","3.196","3.196","3.196","3.196","-0.12%"
"Feb 06, 2020","3.200","3.200","3.200","3.200","-0.09%"
"Feb 05, 2020","3.203","3.203","3.203","3.203","0.88%"
"Feb 04, 2020","3.175","3.175","3.175","3.175","-5.51%"
"Jan 23, 2020","3.360","3.360","3.360","3.360","-1.18%"
"Jan 22, 2020","3.400","3.400","3.400","3.400","-1.16%"
"Jan 21, 2020","3.440","3.440","3.440","3.440","0.38%"
"Jan 20, 2020","3.427","3.440","3.440","3.427","-0.38%"
"Jan 17, 2020","3.440","3.440","3.440","3.440","0.58%"
"Jan 16, 2020","3.420","3.440","3.440","3.420","-0.58%"
"Jan 15, 2020","3.440","3.440","3.440","3.440","0.29%"
"Jan 14, 2020","3.430","3.430","3.430","3.430","0.29%"
"Jan 13, 2020","3.420","3.430","3.430","3.420","-1.16%"
"Jan 10, 2020","3.460","3.460","3.460","3.460","-1.14%"
"Jan 09, 2020","3.500","3.500","3.500","3.500","0.00%"
"Jan 08, 2020","3.500","3.500","3.500","3.500","0.43%"
"Jan 07, 2020","3.485","3.485","3.485","3.485","-0.29%"
"Jan 06, 2020","3.495","3.490","3.495","3.490","0.14%"
"Jan 03, 2020","3.490","3.490","3.490","3.490","0.29%"
"Jan 02, 2020","3.480","3.480","3.480","3.480","0.29%"
"Dec 30, 2019","3.470","3.470","3.470","3.470","0.29%"
"Dec 27, 2019","3.460","3.460","3.460","3.460","-1.14%"
"Dec 25, 2019","3.500","3.505","3.505","3.500","-0.20%"
"Dec 24, 2019","3.507","3.520","3.520","3.507","-0.37%"
"Dec 23, 2019","3.520","3.530","3.530","3.515","-1.40%"
"Dec 20, 2019","3.570","3.570","3.570","3.570","0.34%"
"Dec 19, 2019","3.558","3.570","3.570","3.553","-0.14%"
"Dec 18, 2019","3.563","3.570","3.570","3.563","0.51%"
"Dec 17, 2019","3.545","3.540","3.545","3.540","0.06%"
"Dec 16, 2019","3.543","3.540","3.545","3.540","0.65%"
"Dec 13, 2019","3.520","3.530","3.530","3.515","0.00%"
"Dec 10, 2019","3.520","3.510","3.520","3.510","-0.28%"
"Dec 09, 2019","3.530","3.530","3.530","3.530","0.28%"
"Dec 06, 2019","3.520","3.530","3.530","3.515","-0.26%"
"Dec 05, 2019","3.529","3.528","3.529","3.528","0.26%"
"Dec 04, 2019","3.520","3.530","3.530","3.515","-0.42%"
"Dec 03, 2019","3.535","3.550","3.550","3.535","-0.42%"
"Dec 02, 2019","3.550","3.550","3.550","3.550","0.57%"
"Nov 28, 2019","3.530","3.535","3.535","3.530","-0.42%"
"Nov 27, 2019","3.545","3.545","3.545","3.545","0.42%"
"Nov 26, 2019","3.530","3.520","3.530","3.520","0.28%"
"Nov 25, 2019","3.520","3.520","3.520","3.520","0.00%"
"Nov 22, 2019","3.520","3.520","3.520","3.520","-0.14%"
"Nov 21, 2019","3.525","3.525","3.525","3.525","0.23%"
"Nov 20, 2019","3.517","3.500","3.517","3.500","-0.93%"
"Nov 19, 2019","3.550","3.560","3.560","3.550","-1.93%"
"Nov 15, 2019","3.620","3.620","3.620","3.605","3.81%"
"Nov 14, 2019","3.487","3.594","3.594","3.487","-3.73%"
"Nov 13, 2019","3.622","3.594","3.622","3.594","0.78%"
"Nov 12, 2019","3.594","3.586","3.594","3.568","0.22%"
"Nov 11, 2019","3.586","3.588","3.594","3.510","-0.50%"
"Nov 08, 2019","3.604","3.583","3.604","3.577","0.33%"
"Nov 07, 2019","3.592","3.588","3.592","3.581","0.11%"
"Nov 06, 2019","3.588","3.610","3.623","3.588","-2.15%"
"Nov 05, 2019","3.667","3.617","3.667","3.589","1.47%"
"Nov 04, 2019","3.614","3.519","3.614","3.513","-0.44%"
"Nov 01, 2019","3.630","3.620","3.630","3.620","-0.27%"
"Oct 30, 2019","3.640","3.640","3.640","3.640","1.68%"
"Oct 28, 2019","3.580","3.580","3.580","3.580","0.14%"
"Oct 25, 2019","3.575","3.575","3.575","3.575","0.00%"
"Oct 24, 2019","3.575","3.590","3.590","3.575","-0.42%"
"Oct 23, 2019","3.590","3.590","3.590","3.590","0.56%"
"Oct 22, 2019","3.570","3.570","3.570","3.570","0.42%"
"Oct 21, 2019","3.555","3.540","3.555","3.540","0.71%"
"Oct 18, 2019","3.530","3.530","3.530","3.530","0.00%"
"Oct 16, 2019","3.530","3.550","3.550","3.530","1.15%"
"Oct 14, 2019","3.490","3.470","3.490","3.470","0.58%"
"Oct 12, 2019","3.470","3.466","3.470","3.466","0.26%"
"Oct 11, 2019","3.461","3.461","3.461","3.461","0.29%"
"Oct 10, 2019","3.451","3.465","3.465","3.451","-0.40%"
"Oct 09, 2019","3.465","3.496","3.496","3.465","-1.14%"
"Oct 08, 2019","3.505","3.465","3.505","3.465","1.24%"
"Sep 30, 2019","3.462","3.462","3.462","3.462","-0.09%"
"Sep 27, 2019","3.465","3.465","3.465","3.465","0.43%"
"Sep 26, 2019","3.450","3.448","3.450","3.448","0.15%"
"Sep 25, 2019","3.445","3.445","3.445","3.445","0.15%"
"Sep 24, 2019","3.440","3.430","3.440","3.430","0.29%"
"Sep 23, 2019","3.430","3.430","3.430","3.430","-0.81%"
"Sep 20, 2019","3.458","3.464","3.464","3.458","-0.37%"
"Sep 19, 2019","3.471","3.482","3.482","3.471","1.20%"
"Sep 18, 2019","3.430","3.430","3.430","3.430","0.00%"
"Sep 17, 2019","3.430","3.430","3.430","3.430","0.03%"
"Sep 16, 2019","3.429","3.440","3.440","3.429","0.56%"
"Sep 12, 2019","3.410","3.410","3.410","3.410","0.50%"
"Sep 10, 2019","3.393","3.385","3.393","3.385","-0.21%"
"Sep 09, 2019","3.400","3.400","3.400","3.400","0.00%"
"Sep 06, 2019","3.400","3.400","3.400","3.400","-0.06%"
"Sep 05, 2019","3.402","3.414","3.414","3.402","-0.64%"
"Sep 04, 2019","3.424","3.429","3.429","3.424","0.06%"
"Sep 03, 2019","3.422","3.424","3.434","3.422","0.35%"
"Sep 02, 2019","3.410","3.400","3.415","3.400","0.74%"
"Aug 30, 2019","3.385","3.395","3.395","3.385","0.00%"
"Aug 29, 2019","3.385","3.390","3.390","3.385","-0.32%"
"Aug 28, 2019","3.396","3.399","3.404","3.396","0.06%"
"Aug 27, 2019","3.394","3.399","3.399","3.394","-0.38%"
"Aug 26, 2019","3.407","3.425","3.425","3.407","0.65%"
"Aug 23, 2019","3.385","3.390","3.390","3.385","-0.21%"
"Aug 22, 2019","3.392","3.387","3.397","3.387","0.47%"
"Aug 21, 2019","3.376","3.364","3.376","3.364","0.63%"
"Aug 20, 2019","3.355","3.362","3.362","3.355","-0.30%"
"Aug 19, 2019","3.365","3.380","3.380","3.365","0.39%"
"Aug 16, 2019","3.352","3.354","3.354","3.352","-0.56%"
"Aug 15, 2019","3.371","3.366","3.371","3.356","-0.09%"
"Aug 14, 2019","3.374","3.394","3.394","3.374","-0.76%"
"Aug 13, 2019","3.400","3.400","3.400","3.400","-0.23%"
"Aug 12, 2019","3.408","3.414","3.414","3.397","-0.20%"
"Aug 09, 2019","3.415","3.410","3.415","3.410","-1.01%"
"Aug 08, 2019","3.450","3.450","3.450","3.450","-0.14%"
"Aug 07, 2019","3.455","3.455","3.455","3.455","0.26%"
"Aug 06, 2019","3.446","3.446","3.446","3.446","-0.12%"
"Aug 05, 2019","3.450","3.450","3.450","3.450","-2.35%"
"Aug 02, 2019","3.533","3.546","3.546","3.533","-0.20%"
"Aug 01, 2019","3.540","3.562","3.562","3.540","-0.34%"
"Jul 31, 2019","3.552","3.575","3.575","3.552","-0.08%"
"Jul 30, 2019","3.555","3.580","3.580","3.555","-0.14%"
"Jul 29, 2019","3.560","3.560","3.560","3.560","0.54%"
"Jul 26, 2019","3.541","3.556","3.556","3.541","-0.25%"
"Jul 25, 2019","3.550","3.570","3.570","3.550","0.31%"
"Jul 24, 2019","3.539","3.534","3.539","3.534","0.14%"
"Jul 23, 2019","3.534","3.552","3.552","3.534","0.11%"
"Jul 22, 2019","3.530","3.530","3.530","3.530","-0.28%"
"Jul 19, 2019","3.540","3.545","3.545","3.535","-0.48%"
"Jul 18, 2019","3.557","3.552","3.559","3.552","0.20%"
"Jul 17, 2019","3.550","3.546","3.550","3.546","0.11%"
"Jul 16, 2019","3.546","3.529","3.546","3.529","0.48%"
"Jul 15, 2019","3.529","3.530","3.532","3.521","-0.25%"
"Jul 12, 2019","3.538","3.533","3.538","3.533","-0.06%"
"Jul 11, 2019","3.540","3.551","3.551","3.540","-0.25%"
"Jul 10, 2019","3.549","3.549","3.549","3.549","-0.11%"
"Jul 09, 2019","3.553","3.556","3.556","3.553","0.08%"
"Jul 08, 2019","3.550","3.550","3.550","3.550","0.57%"
"Jul 05, 2019","3.530","3.530","3.530","3.530","0.40%"
"Jul 04, 2019","3.516","3.527","3.527","3.516","-0.42%"
"Jul 03, 2019","3.531","3.544","3.544","3.531","-1.64%"
"Jul 02, 2019","3.590","3.590","3.590","3.590","-0.03%"
"Jul 01, 2019","3.591","3.602","3.602","3.591","-1.16%"
"Jun 28, 2019","3.633","3.634","3.634","3.633","0.64%"
"Jun 27, 2019","3.610","3.610","3.610","3.610","0.08%"
"Jun 26, 2019","3.607","3.591","3.607","3.588","0.45%"
"Jun 25, 2019","3.591","3.568","3.591","3.568","0.64%"
"Jun 24, 2019","3.568","3.603","3.606","3.549","2.15%"
"Jun 21, 2019","3.493","3.550","3.582","3.493","-2.10%"
"Jun 20, 2019","3.568","3.568","3.574","3.568","-0.08%"
"Jun 19, 2019","3.571","3.571","3.571","3.571","0.00%"
"Jun 18, 2019","3.571","3.575","3.575","3.571","-0.11%"
"Jun 17, 2019","3.575","3.608","3.608","3.575","-0.91%"
"Jun 14, 2019","3.608","3.625","3.625","3.608","-0.47%"
"Jun 13, 2019","3.625","3.625","3.625","3.625","0.00%"
"Jun 12, 2019","3.625","3.625","3.625","3.625","0.00%"
"Jun 11, 2019","3.625","3.625","3.625","3.625","0.42%"
"Jun 10, 2019","3.610","3.580","3.610","3.580","0.84%"
"Jun 05, 2019","3.580","3.580","3.580","3.580","-1.65%"
"Jun 04, 2019","3.640","3.640","3.640","3.640","0.00%"
"Jun 03, 2019","3.640","3.640","3.640","3.640","0.00%"
"May 31, 2019","3.640","3.640","3.640","3.640","0.00%"
"May 30, 2019","3.640","3.660","3.660","3.628","-0.55%"
"May 29, 2019","3.660","3.660","3.660","3.660","-1.11%"
"May 28, 2019","3.701","3.661","3.707","3.661","1.09%"
"May 27, 2019","3.661","3.661","3.661","3.661","0.00%"
"May 24, 2019","3.661","3.670","3.670","3.661","-0.25%"
"May 23, 2019","3.670","3.660","3.670","3.660","0.27%"
"May 22, 2019","3.660","3.647","3.660","3.641","0.16%"
"May 21, 2019","3.654","3.621","3.666","3.621","0.91%"
"May 20, 2019","3.621","3.621","3.621","3.621","0.00%"
"May 17, 2019","3.621","3.630","3.630","3.621","-0.25%"
"May 16, 2019","3.630","3.630","3.630","3.630","0.00%"
"May 15, 2019","3.630","3.625","3.630","3.621","0.00%"
"May 14, 2019","3.630","3.640","3.640","3.630","-0.27%"
"May 13, 2019","3.640","3.640","3.640","3.640","-0.36%"
"May 10, 2019","3.653","3.655","3.655","3.653","-0.46%"
"May 09, 2019","3.670","3.650","3.670","3.650","0.00%"
"May 08, 2019","3.670","3.660","3.670","3.660","0.00%"
"May 07, 2019","3.670","3.660","3.670","3.660","-0.81%"
"May 06, 2019","3.700","3.720","3.720","3.700","-0.72%"
"Apr 30, 2019","3.727","3.730","3.730","3.727","0.11%"
"Apr 29, 2019","3.723","3.710","3.725","3.710","0.35%"
"Apr 28, 2019","3.710","3.710","3.710","3.710","-0.54%"
"Apr 26, 2019","3.730","3.745","3.745","3.730","-0.35%"
"Apr 25, 2019","3.743","3.735","3.755","3.735","0.89%"
"Apr 24, 2019","3.710","3.720","3.720","3.710","-0.32%"
"Apr 23, 2019","3.722","3.711","3.730","3.711","0.89%"
"Apr 22, 2019","3.689","3.714","3.714","3.689","0.60%"
"Apr 19, 2019","3.667","3.690","3.690","3.667","-0.95%"
"Apr 18, 2019","3.702","3.709","3.709","3.702","-0.19%"
"Apr 17, 2019","3.709","3.696","3.709","3.696","0.46%"
