"Date","Price","Open","High","Low","Change %"
"Aug 27, 2020","0.073","0.073","0.073","0.073","40.38%"
"Aug 25, 2020","0.052","0.052","0.052","0.052","13.04%"
"Aug 24, 2020","0.046","0.091","0.091","0.046","-43.21%"
"Aug 21, 2020","0.081","0.081","0.081","0.081","10.96%"
"Aug 20, 2020","0.073","0.073","0.073","0.073","19.67%"
"Aug 19, 2020","0.061","0.061","0.061","0.061","17.31%"
"Aug 18, 2020","0.052","0.052","0.052","0.052","-42.86%"
"Aug 17, 2020","0.091","0.091","0.091","0.091","12.35%"
"Aug 14, 2020","0.081","0.081","0.081","0.081","10.96%"
"Aug 13, 2020","0.073","0.073","0.073","0.073","19.67%"
"Aug 12, 2020","0.061","0.061","0.061","0.061","17.31%"
"Aug 11, 2020","0.052","0.104","0.104","0.052","-42.86%"
"Aug 10, 2020","0.091","0.091","0.091","0.091","12.35%"
"Aug 07, 2020","0.081","0.081","0.081","0.081","10.96%"
"Aug 06, 2020","0.073","0.073","0.073","0.073","19.67%"
"Aug 05, 2020","0.061","0.061","0.061","0.061","-41.35%"
"Aug 04, 2020","0.104","0.052","0.104","0.052","126.09%"
"Aug 03, 2020","0.046","0.046","0.091","0.046","-36.99%"
"Jul 30, 2020","0.073","0.073","0.073","0.073","19.67%"
"Jul 29, 2020","0.061","0.061","0.061","0.061","17.31%"
"Jul 28, 2020","0.052","0.052","0.052","0.052","13.04%"
"Jul 27, 2020","0.046","0.046","0.046","0.046","12.20%"
"Jul 24, 2020","0.041","0.041","0.041","0.041","-43.84%"
"Jul 23, 2020","0.073","0.073","0.073","0.073","19.67%"
"Jul 22, 2020","0.061","0.061","0.061","0.061","17.31%"
"Jul 21, 2020","0.052","0.052","0.052","0.052","13.04%"
"Jul 20, 2020","0.046","0.046","0.046","0.046","12.20%"
"Jul 17, 2020","0.041","0.081","0.081","0.041","-43.84%"
"Jul 16, 2020","0.073","0.073","0.073","0.073","19.67%"
"Jul 15, 2020","0.061","0.061","0.061","0.061","-41.35%"
"Jul 14, 2020","0.104","0.156","0.156","0.104","-24.09%"
"Jul 13, 2020","0.137","0.137","0.137","0.137","12.30%"
"Jul 10, 2020","0.122","0.122","0.122","0.122","-16.44%"
"Jul 09, 2020","0.146","0.146","0.146","0.146","19.67%"
"Jul 08, 2020","0.122","0.122","0.122","0.122","-21.79%"
"Jul 07, 2020","0.156","0.156","0.156","0.104","13.87%"
"Jul 06, 2020","0.137","0.091","0.137","0.091","12.30%"
"Jul 03, 2020","0.122","0.081","0.122","0.081","67.12%"
"Jul 02, 2020","0.073","0.073","0.073","0.073","-40.16%"
"Jul 01, 2020","0.122","0.122","0.122","0.122","0.00%"
"Jun 30, 2020","0.122","0.061","0.122","0.061","165.22%"
"Jun 29, 2020","0.046","0.046","0.046","0.046","12.20%"
"Jun 26, 2020","0.041","0.081","0.081","0.041","-66.39%"
"Jun 25, 2020","0.122","0.122","0.122","0.122","100.00%"
"Jun 24, 2020","0.061","0.183","0.183","0.061","-66.67%"
"Jun 23, 2020","0.183","0.183","0.183","0.183","12.96%"
"Jun 22, 2020","0.162","0.162","0.162","0.162","-11.48%"
"Jun 19, 2020","0.183","0.183","0.183","0.183","150.68%"
"Jun 18, 2020","0.073","0.073","0.073","0.073","19.67%"
"Jun 17, 2020","0.061","0.122","0.122","0.061","-60.90%"
"Jun 16, 2020","0.156","0.209","0.209","0.156","-14.75%"
"Jun 15, 2020","0.183","0.274","0.274","0.183","-35.56%"
"Jun 12, 2020","0.284","0.203","0.284","0.203","29.68%"
"Jun 11, 2020","0.219","0.219","0.219","0.219","-9.88%"
"Jun 10, 2020","0.243","0.243","0.243","0.243","-6.90%"
"Jun 09, 2020","0.261","0.261","0.261","0.261","-4.74%"
"Jun 08, 2020","0.274","0.319","0.319","0.274","-15.43%"
"Jun 05, 2020","0.324","0.284","0.324","0.284","47.95%"
"Jun 04, 2020","0.219","0.219","0.219","0.219","-9.88%"
"Jun 03, 2020","0.243","0.304","0.304","0.243","-6.90%"
"Jun 02, 2020","0.261","0.313","0.313","0.261","-18.18%"
"Jun 01, 2020","0.319","0.365","0.365","0.319","-12.60%"
"May 29, 2020","0.365","0.406","0.406","0.365","0.00%"
"May 28, 2020","0.365","0.365","0.365","0.365","0.00%"
"May 27, 2020","0.365","0.426","0.426","0.365","-12.47%"
"May 26, 2020","0.417","0.626","0.626","0.417","-29.68%"
"May 25, 2020","0.593","0.593","0.593","0.593","-2.47%"
"May 22, 2020","0.608","0.203","0.608","0.203","316.44%"
"May 21, 2020","0.146","0.219","0.219","0.146","-20.22%"
"May 20, 2020","0.183","0.183","0.183","0.183","-12.44%"
"May 19, 2020","0.209","0.156","0.209","0.156","14.21%"
"May 18, 2020","0.183","0.274","0.274","0.183","-35.56%"
"May 15, 2020","0.284","0.284","0.284","0.284","-2.74%"
"May 14, 2020","0.292","0.365","0.365","0.292","-20.00%"
"May 13, 2020","0.365","0.304","0.365","0.304","16.61%"
"May 12, 2020","0.313","0.261","0.313","0.261","37.28%"
"May 11, 2020","0.228","0.228","0.228","0.228","-6.17%"
"May 08, 2020","0.243","0.243","0.243","0.203","10.96%"
"May 07, 2020","0.219","0.219","0.219","0.219","19.67%"
