"Date","Price","Open","High","Low","Change %"
"Aug 27, 2020","0.481","0.515","0.515","0.481","-6.60%"
"Aug 26, 2020","0.515","0.477","0.515","0.477","-0.96%"
"Aug 25, 2020","0.520","0.504","0.520","0.504","3.17%"
"Aug 24, 2020","0.504","0.497","0.504","0.482","1.41%"
"Aug 21, 2020","0.497","0.464","0.504","0.464","7.11%"
"Aug 20, 2020","0.464","0.464","0.464","0.464","0.00%"
"Aug 19, 2020","0.464","0.509","0.509","0.464","-8.84%"
"Aug 18, 2020","0.509","0.516","0.516","0.509","-1.36%"
"Aug 17, 2020","0.516","0.522","0.527","0.516","-1.15%"
"Aug 14, 2020","0.522","0.500","0.526","0.500","4.40%"
"Aug 13, 2020","0.500","0.522","0.522","0.500","-4.21%"
"Aug 12, 2020","0.522","0.452","0.522","0.452","15.49%"
"Aug 11, 2020","0.452","0.443","0.454","0.443","2.03%"
"Aug 10, 2020","0.443","0.420","0.446","0.420","5.48%"
"Aug 07, 2020","0.420","0.462","0.462","0.420","-9.09%"
"Aug 06, 2020","0.462","0.437","0.462","0.437","5.72%"
"Aug 05, 2020","0.437","0.443","0.443","0.417","-1.35%"
"Aug 04, 2020","0.443","0.424","0.443","0.424","4.48%"
"Aug 03, 2020","0.424","0.416","0.424","0.413","1.92%"
"Jul 31, 2020","0.416","0.434","0.434","0.409","-4.15%"
"Jul 30, 2020","0.434","0.434","0.434","0.434","0.00%"
"Jul 29, 2020","0.434","0.484","0.484","0.434","-10.33%"
"Jul 28, 2020","0.484","0.498","0.498","0.484","-2.81%"
"Jul 27, 2020","0.498","0.518","0.525","0.498","-3.86%"
"Jul 24, 2020","0.518","0.519","0.519","0.518","-0.19%"
"Jul 23, 2020","0.519","0.512","0.523","0.512","1.37%"
"Jul 22, 2020","0.512","0.509","0.512","0.490","0.59%"
"Jul 21, 2020","0.509","0.456","0.509","0.456","11.62%"
"Jul 20, 2020","0.456","0.443","0.456","0.443","2.93%"
"Jul 17, 2020","0.443","0.480","0.480","0.443","-7.71%"
"Jul 16, 2020","0.480","0.488","0.491","0.480","-1.64%"
"Jul 15, 2020","0.488","0.492","0.519","0.488","-0.81%"
"Jul 14, 2020","0.492","0.576","0.576","0.492","-14.58%"
"Jul 13, 2020","0.576","0.571","0.590","0.571","0.88%"
"Jul 10, 2020","0.571","0.647","0.647","0.571","-11.75%"
"Jul 09, 2020","0.647","0.646","0.680","0.646","0.15%"
"Jul 08, 2020","0.646","0.643","0.646","0.639","0.47%"
"Jul 07, 2020","0.643","0.699","0.699","0.643","-8.01%"
"Jul 06, 2020","0.699","0.672","0.699","0.672","4.02%"
"Jul 03, 2020","0.672","0.673","0.673","0.670","-0.15%"
"Jul 02, 2020","0.673","0.651","0.676","0.651","10.69%"
"Jul 01, 2020","0.608","0.608","0.608","0.608","-6.61%"
"Jun 30, 2020","0.651","0.653","0.660","0.651","-0.31%"
"Jun 29, 2020","0.653","0.646","0.653","0.618","1.08%"
"Jun 26, 2020","0.646","0.685","0.685","0.646","0.62%"
"Jun 25, 2020","0.642","0.642","0.642","0.642","-6.28%"
"Jun 24, 2020","0.685","0.708","0.708","0.685","-3.25%"
"Jun 23, 2020","0.708","0.708","0.708","0.708","0.00%"
"Jun 22, 2020","0.708","0.695","0.708","0.695","1.87%"
"Jun 19, 2020","0.695","0.688","0.696","0.688","1.02%"
"Jun 18, 2020","0.688","0.741","0.741","0.688","-7.15%"
"Jun 17, 2020","0.741","0.658","0.741","0.641","24.96%"
"Jun 16, 2020","0.593","0.559","0.609","0.559","6.08%"
"Jun 15, 2020","0.559","0.565","0.565","0.545","-1.06%"
"Jun 12, 2020","0.565","0.539","0.565","0.539","4.82%"
"Jun 11, 2020","0.539","0.613","0.613","0.539","-12.07%"
"Jun 10, 2020","0.613","0.634","0.634","0.613","-3.31%"
"Jun 09, 2020","0.634","0.698","0.698","0.624","-9.17%"
"Jun 08, 2020","0.698","0.701","0.701","0.698","-0.43%"
"Jun 05, 2020","0.701","0.660","0.701","0.660","6.21%"
"Jun 04, 2020","0.660","0.643","0.660","0.643","2.64%"
"Jun 03, 2020","0.643","0.604","0.643","0.604","6.46%"
"Jun 02, 2020","0.604","0.629","0.629","0.590","-3.97%"
"Jun 01, 2020","0.629","0.678","0.678","0.629","-7.23%"
"May 29, 2020","0.678","0.717","0.717","0.678","-5.44%"
"May 28, 2020","0.717","0.694","0.717","0.694","3.31%"
"May 27, 2020","0.694","0.654","0.721","0.654","6.12%"
"May 26, 2020","0.654","0.745","0.745","0.651","-12.21%"
"May 25, 2020","0.745","0.738","0.749","0.738","0.95%"
"May 22, 2020","0.738","0.610","0.738","0.610","20.98%"
"May 21, 2020","0.610","0.627","0.627","0.588","-2.71%"
"May 20, 2020","0.627","0.622","0.627","0.622","0.80%"
"May 19, 2020","0.622","0.575","0.622","0.575","8.17%"
"May 18, 2020","0.575","0.547","0.575","0.547","5.12%"
"May 15, 2020","0.547","0.552","0.562","0.547","-0.91%"
"May 14, 2020","0.552","0.568","0.568","0.552","-2.82%"
"May 13, 2020","0.568","0.607","0.607","0.562","-6.43%"
"May 12, 2020","0.607","0.660","0.660","0.607","-8.03%"
"May 11, 2020","0.660","0.610","0.660","0.610","8.20%"
"May 08, 2020","0.610","0.698","0.698","0.610","-12.61%"
"May 07, 2020","0.698","0.661","0.698","0.661","5.60%"
"May 06, 2020","0.661","0.625","0.661","0.625","5.76%"
"May 05, 2020","0.625","0.627","0.631","0.625","-0.32%"
"May 04, 2020","0.627","0.604","0.627","0.593","13.18%"
"May 01, 2020","0.554","0.554","0.554","0.554","0.00%"
"Apr 30, 2020","0.554","0.554","0.554","0.554","-8.28%"
"Apr 29, 2020","0.604","0.633","0.633","0.604","-4.58%"
"Apr 28, 2020","0.633","0.646","0.646","0.633","-2.01%"
"Apr 27, 2020","0.646","0.619","0.646","0.619","4.36%"
"Apr 24, 2020","0.619","0.655","0.655","0.619","-5.50%"
"Apr 23, 2020","0.655","0.623","0.655","0.623","5.14%"
