"Date","Price","Open","High","Low","Change %"
"Aug 27, 2020","0.345","0.368","0.368","0.345","-6.24%"
"Aug 26, 2020","0.368","0.340","0.368","0.340","0.00%"
"Aug 25, 2020","0.369","0.356","0.369","0.356","3.65%"
"Aug 24, 2020","0.356","0.330","0.356","0.324","7.88%"
"Aug 21, 2020","0.330","0.304","0.338","0.304","8.55%"
"Aug 20, 2020","0.304","0.304","0.304","0.304","0.00%"
"Aug 19, 2020","0.304","0.340","0.340","0.304","-10.59%"
"Aug 18, 2020","0.340","0.346","0.346","0.340","-1.73%"
"Aug 17, 2020","0.346","0.348","0.348","0.346","-0.57%"
"Aug 14, 2020","0.348","0.322","0.348","0.322","8.07%"
"Aug 13, 2020","0.322","0.339","0.339","0.322","-5.01%"
"Aug 12, 2020","0.339","0.289","0.339","0.289","17.30%"
"Aug 11, 2020","0.289","0.279","0.289","0.279","3.58%"
"Aug 10, 2020","0.279","0.257","0.279","0.257","8.56%"
"Aug 07, 2020","0.257","0.283","0.283","0.257","-9.19%"
"Aug 06, 2020","0.283","0.263","0.287","0.263","7.60%"
"Aug 05, 2020","0.263","0.273","0.273","0.256","-3.66%"
"Aug 04, 2020","0.273","0.231","0.273","0.231","18.18%"
"Aug 03, 2020","0.231","0.230","0.231","0.227","0.43%"
"Jul 31, 2020","0.230","0.244","0.244","0.228","-5.74%"
"Jul 30, 2020","0.244","0.239","0.244","0.239","2.09%"
"Jul 29, 2020","0.239","0.278","0.278","0.239","-14.03%"
"Jul 28, 2020","0.278","0.289","0.289","0.278","-3.81%"
"Jul 27, 2020","0.289","0.326","0.326","0.289","-11.35%"
"Jul 24, 2020","0.326","0.324","0.326","0.324","0.62%"
"Jul 23, 2020","0.324","0.313","0.326","0.313","3.51%"
"Jul 22, 2020","0.313","0.306","0.313","0.289","2.29%"
"Jul 21, 2020","0.306","0.248","0.306","0.248","23.39%"
"Jul 20, 2020","0.248","0.233","0.248","0.233","6.44%"
"Jul 17, 2020","0.233","0.251","0.251","0.233","-7.17%"
"Jul 16, 2020","0.251","0.251","0.255","0.251","0.00%"
"Jul 15, 2020","0.251","0.254","0.278","0.251","-1.18%"
"Jul 14, 2020","0.254","0.327","0.327","0.254","-22.32%"
"Jul 13, 2020","0.327","0.328","0.338","0.327","-0.30%"
"Jul 10, 2020","0.328","0.394","0.394","0.328","-16.75%"
"Jul 09, 2020","0.394","0.387","0.411","0.387","1.81%"
"Jul 08, 2020","0.387","0.370","0.387","0.370","4.59%"
"Jul 07, 2020","0.370","0.419","0.419","0.370","-11.69%"
"Jul 06, 2020","0.419","0.405","0.423","0.405","3.46%"
"Jul 03, 2020","0.405","0.404","0.405","0.396","0.25%"
"Jul 02, 2020","0.404","0.385","0.404","0.385","13.17%"
"Jul 01, 2020","0.357","0.357","0.357","0.357","-7.27%"
"Jun 30, 2020","0.385","0.391","0.397","0.385","-1.53%"
"Jun 29, 2020","0.391","0.376","0.391","0.348","3.99%"
"Jun 26, 2020","0.376","0.398","0.398","0.363","1.62%"
"Jun 25, 2020","0.370","0.370","0.370","0.370","-7.04%"
"Jun 24, 2020","0.398","0.439","0.439","0.398","-9.34%"
"Jun 23, 2020","0.439","0.439","0.439","0.439","0.00%"
"Jun 22, 2020","0.439","0.428","0.439","0.428","2.57%"
"Jun 19, 2020","0.428","0.419","0.434","0.419","2.15%"
"Jun 18, 2020","0.419","0.471","0.471","0.419","-11.04%"
"Jun 17, 2020","0.471","0.467","0.471","0.450","0.86%"
"Jun 16, 2020","0.467","0.439","0.480","0.439","6.38%"
"Jun 15, 2020","0.439","0.448","0.448","0.431","-2.01%"
"Jun 12, 2020","0.448","0.417","0.448","0.417","7.43%"
"Jun 11, 2020","0.417","0.491","0.491","0.417","-15.07%"
"Jun 10, 2020","0.491","0.507","0.507","0.491","-3.16%"
"Jun 09, 2020","0.507","0.572","0.572","0.498","-11.36%"
"Jun 08, 2020","0.572","0.574","0.574","0.567","-0.35%"
"Jun 05, 2020","0.574","0.538","0.574","0.538","6.69%"
"Jun 04, 2020","0.538","0.524","0.538","0.524","2.67%"
