"Date","Price","Open","High","Low","Change %"
"Aug 27, 2020","0.100","0.100","0.100","0.100","1.01%"
"Aug 26, 2020","0.099","0.091","0.099","0.091","-29.29%"
"Aug 25, 2020","0.140","0.140","0.140","0.140","0.00%"
"Aug 24, 2020","0.140","0.140","0.140","0.140","0.00%"
"Aug 21, 2020","0.140","0.140","0.140","0.140","0.00%"
"Aug 20, 2020","0.140","0.140","0.140","0.140","0.00%"
"Aug 19, 2020","0.140","0.140","0.140","0.140","0.00%"
"Aug 18, 2020","0.140","0.140","0.140","0.140","0.00%"
"Aug 17, 2020","0.140","0.140","0.140","0.140","0.00%"
"Aug 14, 2020","0.140","0.140","0.140","0.130","0.00%"
"Aug 13, 2020","0.140","0.129","0.140","0.129","7.69%"
"Aug 12, 2020","0.130","0.130","0.130","0.130","0.00%"
"Aug 11, 2020","0.130","0.130","0.130","0.130","0.78%"
"Aug 10, 2020","0.129","0.129","0.129","0.129","-0.77%"
"Aug 07, 2020","0.130","0.130","0.130","0.130","0.00%"
"Aug 06, 2020","0.130","0.130","0.130","0.130","0.00%"
"Aug 05, 2020","0.130","0.130","0.130","0.130","0.00%"
"Aug 04, 2020","0.130","0.130","0.141","0.130","0.00%"
"Aug 03, 2020","0.130","0.130","0.130","0.130","0.78%"
"Jul 31, 2020","0.129","0.119","0.129","0.119","8.40%"
"Jul 30, 2020","0.119","0.119","0.119","0.119","-0.83%"
"Jul 29, 2020","0.120","0.140","0.140","0.120","-14.29%"
"Jul 28, 2020","0.140","0.150","0.159","0.140","-6.67%"
"Jul 27, 2020","0.150","0.150","0.150","0.150","0.00%"
"Jul 24, 2020","0.150","0.150","0.150","0.150","0.67%"
"Jul 23, 2020","0.149","0.140","0.149","0.140","5.67%"
"Jul 22, 2020","0.141","0.141","0.141","0.141","0.71%"
"Jul 21, 2020","0.140","0.140","0.140","0.140","0.00%"
"Jul 20, 2020","0.140","0.140","0.140","0.140","0.00%"
"Jul 17, 2020","0.140","0.140","0.140","0.140","0.00%"
"Jul 16, 2020","0.140","0.150","0.150","0.140","-12.50%"
"Jul 15, 2020","0.160","0.171","0.171","0.160","-5.88%"
"Jul 14, 2020","0.170","0.210","0.210","0.170","-18.66%"
"Jul 13, 2020","0.209","0.209","0.220","0.209","-0.48%"
"Jul 10, 2020","0.210","0.219","0.219","0.210","-4.55%"
"Jul 09, 2020","0.220","0.220","0.220","0.220","0.00%"
"Jul 08, 2020","0.220","0.210","0.220","0.210","10.00%"
"Jul 07, 2020","0.200","0.250","0.250","0.200","-20.00%"
"Jul 06, 2020","0.250","0.220","0.250","0.220","13.64%"
"Jul 03, 2020","0.220","0.210","0.220","0.210","4.27%"
"Jul 02, 2020","0.211","0.211","0.220","0.211","56.88%"
"Jul 01, 2020","0.134","0.134","0.134","0.134","-35.95%"
"Jun 30, 2020","0.210","0.220","0.239","0.210","-4.11%"
"Jun 29, 2020","0.219","0.219","0.219","0.209","-0.45%"
"Jun 26, 2020","0.220","0.249","0.249","0.220","7.32%"
"Jun 25, 2020","0.205","0.175","0.205","0.175","-17.67%"
"Jun 24, 2020","0.249","0.320","0.320","0.249","-22.19%"
"Jun 23, 2020","0.320","0.320","0.320","0.320","-0.31%"
"Jun 22, 2020","0.321","0.290","0.321","0.290","11.07%"
"Jun 19, 2020","0.289","0.310","0.310","0.289","-6.77%"
"Jun 18, 2020","0.310","0.320","0.320","0.310","-3.12%"
"Jun 17, 2020","0.320","0.330","0.330","0.309","-3.03%"
"Jun 16, 2020","0.330","0.420","0.420","0.330","-21.43%"
"Jun 15, 2020","0.420","0.420","0.420","0.420","0.24%"
"Jun 12, 2020","0.419","0.390","0.419","0.390","7.44%"
"Jun 11, 2020","0.390","0.410","0.410","0.381","-4.65%"
"Jun 10, 2020","0.409","0.440","0.440","0.409","-6.83%"
"Jun 09, 2020","0.439","0.510","0.510","0.439","-13.92%"
"Jun 08, 2020","0.510","0.520","0.520","0.510","-2.11%"
"Jun 05, 2020","0.521","0.529","0.529","0.521","-1.70%"
"Jun 04, 2020","0.530","0.540","0.540","0.530","-1.85%"
"Jun 03, 2020","0.540","0.540","0.540","0.540","0.00%"
"Jun 02, 2020","0.540","0.570","0.570","0.540","-5.10%"
"Jun 01, 2020","0.569","0.601","0.601","0.560","-5.17%"
"May 29, 2020","0.600","0.600","0.600","0.590","0.00%"
"May 28, 2020","0.600","0.571","0.600","0.571","5.26%"
"May 27, 2020","0.570","0.600","0.610","0.570","-5.00%"
"May 26, 2020","0.600","0.630","0.630","0.600","-4.76%"
"May 25, 2020","0.630","0.610","0.630","0.610","3.28%"
"May 22, 2020","0.610","0.380","0.610","0.380","60.53%"
"May 21, 2020","0.380","0.370","0.380","0.370","2.70%"
"May 20, 2020","0.370","0.370","0.370","0.370","0.00%"
"May 19, 2020","0.370","0.370","0.370","0.370","0.00%"
"May 18, 2020","0.370","0.379","0.379","0.370","-2.37%"
"May 15, 2020","0.379","0.379","0.379","0.379","-0.52%"
"May 14, 2020","0.381","0.381","0.381","0.381","0.26%"
"May 13, 2020","0.380","0.370","0.380","0.370","2.70%"
"May 12, 2020","0.370","0.400","0.400","0.370","-2.63%"
"May 11, 2020","0.380","0.360","0.380","0.360","5.56%"
"May 08, 2020","0.360","0.370","0.370","0.360","-2.70%"
"May 07, 2020","0.370","0.350","0.370","0.350","5.71%"
"May 06, 2020","0.350","0.390","0.390","0.350","-10.26%"
"May 05, 2020","0.390","0.460","0.460","0.390","-15.40%"
"May 04, 2020","0.461","0.461","0.461","0.461","19.58%"
"May 01, 2020","0.386","0.386","0.386","0.386","0.00%"
"Apr 30, 2020","0.386","0.386","0.386","0.386","-16.20%"
"Apr 29, 2020","0.460","0.490","0.490","0.460","-6.12%"
"Apr 28, 2020","0.490","0.500","0.500","0.490","-1.80%"
"Apr 27, 2020","0.499","0.490","0.499","0.490","2.04%"
"Apr 24, 2020","0.489","0.489","0.489","0.489","0.00%"
"Apr 23, 2020","0.489","0.510","0.510","0.489","-4.31%"
"Apr 22, 2020","0.511","0.561","0.561","0.511","-8.75%"
"Apr 21, 2020","0.560","0.600","0.610","0.560","-6.51%"
"Apr 20, 2020","0.599","0.590","0.599","0.590","1.35%"
"Apr 17, 2020","0.591","0.571","0.609","0.571","3.68%"
"Apr 16, 2020","0.570","0.600","0.600","0.560","-5.16%"
"Apr 15, 2020","0.601","0.610","0.610","0.601","-1.48%"
"Apr 14, 2020","0.610","0.641","0.641","0.610","7.87%"
"Apr 13, 2020","0.566","0.566","0.566","0.566","0.00%"
"Apr 10, 2020","0.566","0.566","0.566","0.566","-11.64%"
"Apr 09, 2020","0.640","0.651","0.651","0.630","-1.39%"
"Apr 08, 2020","0.649","0.630","0.649","0.630","3.02%"
"Apr 07, 2020","0.630","0.650","0.650","0.630","-3.08%"
"Apr 06, 2020","0.650","0.620","0.650","0.620","5.01%"
"Apr 03, 2020","0.619","0.619","0.619","0.619","0.00%"
"Apr 02, 2020","0.619","0.619","0.619","0.619","-0.16%"
"Apr 01, 2020","0.620","0.630","0.630","0.580","-1.59%"
"Mar 31, 2020","0.630","0.630","0.630","0.620","0.00%"
"Mar 30, 2020","0.630","0.659","0.659","0.630","-4.55%"
"Mar 27, 2020","0.660","0.660","0.660","0.650","0.00%"
"Mar 26, 2020","0.660","0.670","0.670","0.660","-1.49%"
"Mar 25, 2020","0.670","0.650","0.670","0.650","3.08%"
"Mar 24, 2020","0.650","0.650","0.650","0.650","-0.15%"
"Mar 23, 2020","0.651","0.651","0.700","0.651","0.15%"
"Mar 20, 2020","0.650","0.700","0.700","0.650","-7.14%"
"Mar 19, 2020","0.700","0.650","0.700","0.650","7.86%"
"Mar 18, 2020","0.649","0.590","0.649","0.590","9.81%"
"Mar 17, 2020","0.591","0.530","0.591","0.530","13.65%"
"Mar 16, 2020","0.520","0.579","0.579","0.520","-10.34%"
"Mar 13, 2020","0.580","0.529","0.580","0.529","9.43%"
"Mar 12, 2020","0.530","0.590","0.590","0.530","-10.17%"
"Mar 11, 2020","0.590","0.570","0.590","0.570","3.51%"
"Mar 10, 2020","0.570","0.650","0.650","0.570","-12.31%"
"Mar 09, 2020","0.650","0.700","0.700","0.650","-7.14%"
"Mar 06, 2020","0.700","0.771","0.771","0.700","-9.09%"
"Mar 05, 2020","0.770","0.800","0.800","0.770","-3.63%"
"Mar 04, 2020","0.799","1.030","1.030","0.799","-22.43%"
"Mar 03, 2020","1.030","1.169","1.169","1.030","-12.04%"
"Mar 02, 2020","1.171","1.310","1.310","1.171","-10.61%"
"Feb 28, 2020","1.310","1.399","1.399","1.310","-6.43%"
"Feb 27, 2020","1.400","1.499","1.499","1.400","-6.60%"
"Feb 26, 2020","1.499","1.520","1.520","1.499","-1.38%"
"Feb 25, 2020","1.520","1.550","1.550","1.520","-1.94%"
"Feb 24, 2020","1.550","1.570","1.570","1.550","-1.27%"
"Feb 21, 2020","1.570","1.590","1.590","1.570","-1.32%"
"Feb 20, 2020","1.591","1.600","1.600","1.591","-0.56%"
"Feb 19, 2020","1.600","1.610","1.610","1.600","-0.62%"
"Feb 18, 2020","1.610","1.639","1.639","1.610","-1.83%"
"Feb 17, 2020","1.640","1.619","1.640","1.619","1.23%"
"Feb 14, 2020","1.620","1.610","1.620","1.610","0.62%"
"Feb 13, 2020","1.610","1.630","1.630","1.610","-1.23%"
"Feb 12, 2020","1.630","1.640","1.640","1.630","-0.61%"
"Feb 11, 2020","1.640","1.700","1.700","1.640","-3.47%"
"Feb 10, 2020","1.699","1.699","1.699","1.699","-0.06%"
"Feb 07, 2020","1.700","1.700","1.700","1.700","0.00%"
"Feb 06, 2020","1.700","1.720","1.720","1.700","-1.11%"
"Feb 05, 2020","1.719","1.770","1.770","1.719","-2.83%"
"Feb 04, 2020","1.769","1.830","1.830","1.769","-3.33%"
"Feb 03, 2020","1.830","1.830","1.830","1.830","0.00%"
"Jan 31, 2020","1.830","1.850","1.850","1.830","-1.08%"
"Jan 30, 2020","1.850","1.850","1.850","1.850","0.00%"
"Jan 29, 2020","1.850","1.850","1.850","1.850","2.52%"
"Jan 28, 2020","1.804","1.804","1.804","1.804","0.00%"
"Jan 27, 2020","1.804","1.804","1.804","1.804","-2.46%"
"Jan 24, 2020","1.850","1.850","1.850","1.850","0.05%"
"Jan 23, 2020","1.849","1.849","1.849","1.840","0.00%"
"Jan 22, 2020","1.849","1.849","1.849","1.849","-0.05%"
"Jan 21, 2020","1.850","1.860","1.870","1.850","-1.12%"
"Jan 20, 2020","1.871","1.850","1.871","1.850","1.14%"
"Jan 17, 2020","1.850","1.840","1.850","1.840","0.54%"
"Jan 16, 2020","1.840","1.840","1.850","1.840","0.00%"
"Jan 15, 2020","1.840","1.879","1.879","1.840","-2.08%"
"Jan 14, 2020","1.879","1.910","1.910","1.879","-1.62%"
"Jan 13, 2020","1.910","1.940","1.940","1.910","-1.55%"
"Jan 10, 2020","1.940","1.899","1.940","1.899","2.05%"
"Jan 09, 2020","1.901","1.910","1.910","1.901","-0.47%"
"Jan 08, 2020","1.910","1.940","1.940","1.910","-1.55%"
"Jan 07, 2020","1.940","1.950","1.950","1.940","-0.46%"
"Jan 06, 2020","1.949","1.890","1.951","1.890","-0.10%"
"Jan 03, 2020","1.951","1.890","1.951","1.890","3.23%"
"Jan 02, 2020","1.890","1.900","1.900","1.890","1.91%"
"Jan 01, 2020","1.855","1.855","1.855","1.855","-2.39%"
"Dec 31, 2019","1.900","1.890","1.900","1.890","0.53%"
"Dec 30, 2019","1.890","1.900","1.900","1.890","-0.53%"
"Dec 27, 2019","1.900","1.911","1.920","1.900","1.93%"
"Dec 26, 2019","1.864","1.864","1.864","1.864","0.00%"
"Dec 25, 2019","1.864","1.864","1.864","1.864","-2.41%"
