"Date","Price","Open","High","Low","Change %"
"Aug 20, 2020","0.050","0.100","0.100","0.050","4.17%"
"Aug 19, 2020","0.048","0.024","0.096","0.024","2.13%"
"Aug 18, 2020","0.047","0.095","0.095","0.047","0.00%"
"Aug 17, 2020","0.047","0.094","0.094","0.047","100.00%"
"Aug 16, 2020","0.023","0.069","0.069","0.023","-65.69%"
"Aug 13, 2020","0.068","0.068","0.091","0.068","3.79%"
"Aug 12, 2020","0.066","0.088","0.088","0.044","53.49%"
"Aug 11, 2020","0.043","0.087","0.087","0.043","0.00%"
"Aug 10, 2020","0.043","0.086","0.086","0.043","2.38%"
"Aug 09, 2020","0.042","0.085","0.085","0.042","0.00%"
"Aug 06, 2020","0.042","0.084","0.084","0.042","2.44%"
"Aug 05, 2020","0.041","0.081","0.081","0.020","-48.75%"
"Aug 04, 2020","0.080","0.020","0.080","0.020","100.00%"
"Aug 03, 2020","0.040","0.079","0.079","0.040","2.56%"
"Aug 02, 2020","0.039","0.020","0.039","0.020","0.00%"
"Jul 29, 2020","0.039","0.058","0.078","0.039","-17.02%"
"Jul 28, 2020","0.047","0.095","0.095","0.047","0.00%"
"Jul 27, 2020","0.047","0.094","0.094","0.047","-48.91%"
"Jul 26, 2020","0.092","0.092","0.092","0.092","34.31%"
"Jul 23, 2020","0.068","0.091","0.091","0.046","55.68%"
"Jul 22, 2020","0.044","0.088","0.088","0.044","2.33%"
"Jul 21, 2020","0.043","0.087","0.087","0.043","0.00%"
"Jul 20, 2020","0.043","0.086","0.086","0.043","2.38%"
"Jul 19, 2020","0.042","0.085","0.085","0.042","0.00%"
"Jul 16, 2020","0.042","0.084","0.084","0.042","-31.15%"
"Jul 15, 2020","0.061","0.081","0.081","0.041","52.50%"
"Jul 14, 2020","0.040","0.080","0.080","0.040","0.00%"
"Jul 13, 2020","0.040","0.079","0.079","0.040","-32.20%"
"Jul 12, 2020","0.059","0.039","0.059","0.039","51.28%"
"Jul 09, 2020","0.039","0.078","0.078","0.039","2.63%"
"Jul 08, 2020","0.038","0.075","0.075","0.038","2.70%"
"Jul 07, 2020","0.037","0.075","0.094","0.037","-33.33%"
"Jul 06, 2020","0.056","0.074","0.074","0.037","54.17%"
"Jul 05, 2020","0.036","0.073","0.073","0.036","0.00%"
"Jul 02, 2020","0.036","0.072","0.072","0.036","2.86%"
"Jul 01, 2020","0.035","0.070","0.070","0.035","0.00%"
"Jun 30, 2020","0.035","0.069","0.069","0.035","2.94%"
"Jun 29, 2020","0.034","0.069","0.069","0.034","0.00%"
"Jun 28, 2020","0.034","0.068","0.068","0.034","0.00%"
