"Date","Price","Open","High","Low","Change %"
"Aug 20, 2020","0.100","0.097","0.125","0.094","2.58%"
"Aug 19, 2020","0.097","0.064","0.100","0.064","0.52%"
"Aug 18, 2020","0.097","0.137","0.137","0.089","3.21%"
"Aug 17, 2020","0.094","0.058","0.104","0.058","-2.60%"
"Aug 16, 2020","0.096","0.091","0.098","0.091","5.49%"
"Aug 13, 2020","0.091","0.081","0.096","0.081","0.00%"
"Aug 12, 2020","0.091","0.089","0.094","0.079","-5.21%"
"Aug 11, 2020","0.096","0.094","0.096","0.091","6.08%"
"Aug 10, 2020","0.090","0.094","0.094","0.088","3.43%"
"Aug 09, 2020","0.087","0.113","0.113","0.087","-5.41%"
"Aug 06, 2020","0.093","0.080","0.093","0.080","12.12%"
"Aug 05, 2020","0.083","0.080","0.090","0.080","6.45%"
"Aug 04, 2020","0.078","0.075","0.087","0.075","0.00%"
"Aug 03, 2020","0.078","0.063","0.080","0.063","7.64%"
"Aug 02, 2020","0.072","0.087","0.091","0.005","-2.70%"
"Jul 29, 2020","0.074","0.099","0.099","0.067","-14.45%"
"Jul 28, 2020","0.086","0.079","0.119","0.079","6.13%"
"Jul 27, 2020","0.082","0.094","0.094","0.076","-2.98%"
"Jul 26, 2020","0.084","0.086","0.086","0.076","6.33%"
"Jul 23, 2020","0.079","0.082","0.084","0.076","4.64%"
"Jul 22, 2020","0.075","0.095","0.095","0.071","-9.04%"
"Jul 21, 2020","0.083","0.078","0.090","0.078","0.00%"
"Jul 20, 2020","0.083","0.075","0.088","0.075","-2.92%"
"Jul 19, 2020","0.086","0.080","0.087","0.073","9.62%"
"Jul 16, 2020","0.078","0.080","0.097","0.075","-7.69%"
"Jul 15, 2020","0.084","0.087","0.092","0.084","-2.87%"
"Jul 14, 2020","0.087","0.084","0.090","0.083","-5.43%"
"Jul 13, 2020","0.092","0.084","0.094","0.084","8.88%"
"Jul 12, 2020","0.084","0.086","0.090","0.079","-2.87%"
"Jul 09, 2020","0.087","0.082","0.094","0.079","6.75%"
"Jul 08, 2020","0.082","0.079","0.096","0.075","-8.43%"
"Jul 07, 2020","0.089","0.086","0.096","0.051","2.89%"
"Jul 06, 2020","0.086","0.029","0.098","0.029","16.89%"
"Jul 05, 2020","0.074","0.115","0.115","0.069","-16.38%"
"Jul 02, 2020","0.089","0.093","0.095","0.083","0.57%"
"Jul 01, 2020","0.088","0.093","0.100","0.083","-5.38%"
"Jun 30, 2020","0.093","0.102","0.109","0.076","-9.27%"
"Jun 29, 2020","0.102","0.083","0.150","0.083","3.02%"
"Jun 28, 2020","0.100","0.102","0.102","0.087","-1.97%"
"Jun 25, 2020","0.101","0.080","0.101","0.059","13.41%"
"Jun 24, 2020","0.090","0.083","0.099","0.075","8.48%"
"Jun 23, 2020","0.083","0.075","0.092","0.073","5.77%"
"Jun 22, 2020","0.078","0.087","0.087","0.056","-4.88%"
"Jun 21, 2020","0.082","0.064","0.084","0.061","29.13%"
"Jun 18, 2020","0.064","0.049","0.071","0.049","-14.77%"
"Jun 17, 2020","0.075","0.084","0.094","0.063","-13.87%"
"Jun 16, 2020","0.086","0.112","0.112","0.079","-19.53%"
"Jun 15, 2020","0.108","0.105","0.154","0.102","4.88%"
"Jun 14, 2020","0.102","0.097","0.132","0.097","2.50%"
"Jun 11, 2020","0.100","0.091","0.100","0.091","5.26%"
"Jun 10, 2020","0.095","0.094","0.106","0.090","-4.52%"
"Jun 09, 2020","0.100","0.111","0.130","0.097","-12.33%"
"Jun 08, 2020","0.113","0.106","0.139","0.104","7.08%"
"Jun 04, 2020","0.106","0.046","0.112","0.046","7.07%"
"Jun 03, 2020","0.099","0.128","0.128","0.090","-8.33%"
"Jun 02, 2020","0.108","0.117","0.182","0.108","-7.69%"
"Jun 01, 2020","0.117","0.126","0.131","0.112","-5.26%"
"May 31, 2020","0.123","0.141","0.141","0.116","6.47%"
"May 27, 2020","0.116","0.120","0.144","0.113","-7.20%"
"May 26, 2020","0.125","0.144","0.144","0.120","-9.75%"
"May 25, 2020","0.139","0.141","0.150","0.139","-1.77%"
"May 24, 2020","0.141","0.147","0.166","0.139","-4.08%"
"May 21, 2020","0.147","0.138","0.161","0.138","6.91%"
"May 20, 2020","0.138","0.160","0.160","0.138","-14.06%"
"May 19, 2020","0.160","0.154","0.206","0.154","-7.78%"
"May 18, 2020","0.174","0.157","0.212","0.157","-2.25%"
"May 17, 2020","0.177","0.166","0.177","0.141","9.91%"
"May 14, 2020","0.162","0.150","0.164","0.150","-1.22%"
"May 13, 2020","0.163","0.154","0.175","0.154","-3.54%"
"May 12, 2020","0.169","0.136","0.176","0.136","-5.04%"
"May 11, 2020","0.178","0.169","0.181","0.169","5.31%"
"May 10, 2020","0.169","0.174","0.176","0.161","-5.04%"
"May 07, 2020","0.178","0.187","0.187","0.176","-4.29%"
"May 06, 2020","0.186","0.193","0.196","0.179","-3.12%"
"May 05, 2020","0.192","0.197","0.197","0.191","0.00%"
"May 04, 2020","0.192","0.182","0.201","0.182","4.90%"
"May 03, 2020","0.184","0.223","0.223","0.179","1.38%"
"Apr 30, 2020","0.181","0.188","0.203","0.161","-2.95%"
"Apr 27, 2020","0.186","0.191","0.249","0.178","-2.36%"
"Apr 26, 2020","0.191","0.186","0.226","0.186","-2.05%"
"Apr 23, 2020","0.195","0.184","0.195","0.182","4.00%"
"Apr 22, 2020","0.188","0.237","0.240","0.178","5.04%"
"Apr 21, 2020","0.178","0.157","0.214","0.157","6.57%"
"Apr 20, 2020","0.168","0.135","0.183","0.135","5.68%"
"Apr 19, 2020","0.159","0.161","0.165","0.150","1.60%"
"Apr 16, 2020","0.156","0.147","0.195","0.147","-6.02%"
"Apr 13, 2020","0.166","0.199","0.199","0.162","-3.77%"
"Apr 12, 2020","0.172","0.222","0.226","0.145","-13.32%"
"Apr 07, 2020","0.199","0.171","0.234","0.171","12.11%"
"Apr 06, 2020","0.177","0.408","0.408","0.177","-52.73%"
"Apr 05, 2020","0.375","0.405","0.414","0.375","-11.85%"
"Apr 02, 2020","0.426","0.437","0.437","0.412","-0.70%"
