"Date","Price","Open","High","Low","Change %"
"Aug 20, 2020","-0.226","-0.144","-0.144","-0.226","91.10%"
"Aug 19, 2020","-0.118","-0.115","-0.115","-0.145","2.61%"
"Aug 18, 2020","-0.115","-0.135","-0.115","-0.145","9.52%"
"Aug 17, 2020","-0.105","-0.139","-0.105","-0.141","-27.08%"
"Aug 16, 2020","-0.144","-0.144","-0.144","-0.144","24.14%"
"Aug 14, 2020","-0.116","-0.116","-0.116","-0.145","-1.69%"
"Aug 13, 2020","-0.118","-0.128","-0.118","-0.142","-11.28%"
"Aug 12, 2020","-0.133","-0.118","-0.108","-0.133","34.34%"
"Aug 11, 2020","-0.099","-0.104","-0.099","-0.114","-26.12%"
"Aug 10, 2020","-0.134","-0.134","-0.134","-0.134","28.85%"
"Aug 07, 2020","-0.104","-0.134","-0.104","-0.134","-18.11%"
"Aug 06, 2020","-0.127","-0.154","-0.127","-0.154","-17.53%"
"Aug 05, 2020","-0.154","-0.160","-0.154","-0.160","19.38%"
"Aug 04, 2020","-0.129","-0.166","-0.129","-0.166","-20.37%"
"Aug 03, 2020","-0.162","-0.167","-0.162","-0.167","-4.14%"
"Aug 02, 2020","-0.169","-0.169","-0.169","-0.169","0.60%"
"Jul 31, 2020","-0.168","-0.164","-0.164","-0.178","1.20%"
"Jul 30, 2020","-0.166","-0.175","-0.166","-0.185","5.73%"
"Jul 29, 2020","-0.157","-0.166","-0.157","-0.176","6.80%"
"Jul 28, 2020","-0.147","-0.172","-0.147","-0.172","-1.34%"
"Jul 27, 2020","-0.149","-0.159","-0.149","-0.173","-16.76%"
"Jul 26, 2020","-0.179","-0.179","-0.179","-0.179","11.88%"
"Jul 24, 2020","-0.160","-0.160","-0.160","-0.160","-11.11%"
"Jul 23, 2020","-0.180","-0.180","-0.180","-0.180","12.50%"
"Jul 22, 2020","-0.160","-0.160","-0.160","-0.184","-8.57%"
"Jul 21, 2020","-0.175","-0.176","-0.175","-0.176","8.02%"
"Jul 20, 2020","-0.162","-0.177","-0.162","-0.177","-9.50%"
"Jul 19, 2020","-0.179","-0.179","-0.179","-0.179","9.82%"
"Jul 17, 2020","-0.163","-0.178","-0.163","-0.178","-1.81%"
"Jul 16, 2020","-0.166","-0.181","-0.166","-0.181","-0.60%"
"Jul 15, 2020","-0.167","-0.172","-0.167","-0.182","21.01%"
"Jul 14, 2020","-0.138","-0.139","-0.138","-0.173","-0.72%"
"Jul 13, 2020","-0.139","-0.149","-0.139","-0.184","-22.35%"
"Jul 12, 2020","-0.179","-0.179","-0.179","-0.179","-2.72%"
"Jul 10, 2020","-0.184","-0.179","-0.179","-0.194","25.17%"
"Jul 09, 2020","-0.147","-0.166","-0.147","-0.166","0.00%"
"Jul 08, 2020","-0.147","-0.162","-0.147","-0.182","14.84%"
"Jul 07, 2020","-0.128","-0.181","-0.128","-0.181","0.00%"
"Jul 06, 2020","-0.128","-0.205","-0.128","-0.205","-38.76%"
"Jul 05, 2020","-0.209","-0.209","-0.209","-0.209","31.45%"
"Jul 03, 2020","-0.159","-0.204","-0.159","-0.210","15.22%"
"Jul 02, 2020","-0.138","-0.230","-0.138","-0.230","-40.26%"
"Jul 01, 2020","-0.231","-0.231","-0.231","-0.231","21.58%"
"Jun 30, 2020","-0.190","-0.223","-0.190","-0.233","4.97%"
"Jun 29, 2020","-0.181","-0.225","-0.181","-0.225","-20.96%"
"Jun 28, 2020","-0.229","-0.229","-0.229","-0.229","25.82%"
"Jun 26, 2020","-0.182","-0.227","-0.182","-0.227","-2.15%"
"Jun 25, 2020","-0.186","-0.271","-0.186","-0.271","-18.06%"
"Jun 24, 2020","-0.227","-0.223","-0.177","-0.227","27.53%"
"Jun 23, 2020","-0.178","-0.227","-0.178","-0.227","-14.83%"
"Jun 22, 2020","-0.209","-0.194","-0.194","-0.257","5.03%"
"Jun 21, 2020","-0.199","-0.199","-0.199","-0.199","10.56%"
"Jun 19, 2020","-0.180","-0.195","-0.180","-0.201","-1.10%"
"Jun 18, 2020","-0.182","-0.207","-0.182","-0.207","15.19%"
"Jun 17, 2020","-0.158","-0.203","-0.158","-0.208","-6.51%"
"Jun 16, 2020","-0.169","-0.184","-0.169","-0.219","-8.65%"
"Jun 15, 2020","-0.185","-0.175","-0.175","-0.185","8.19%"
"Jun 12, 2020","-0.171","-0.180","-0.171","-0.191","4.91%"
"Jun 11, 2020","-0.163","-0.193","-0.163","-0.193","-6.32%"
"Jun 10, 2020","-0.174","-0.194","-0.174","-0.194","-4.40%"
"Jun 09, 2020","-0.182","-0.199","-0.182","-0.204","11.66%"
"Jun 08, 2020","-0.163","-0.191","-0.163","-0.201","-18.09%"
"Jun 07, 2020","-0.199","-0.199","-0.199","-0.199","30.92%"
"Jun 05, 2020","-0.152","-0.192","-0.152","-0.192","-1.30%"
"Jun 04, 2020","-0.154","-0.197","-0.154","-0.197","-0.65%"
"Jun 03, 2020","-0.155","-0.193","-0.155","-0.196","0.00%"
"Jun 02, 2020","-0.155","-0.193","-0.155","-0.198","-1.27%"
"Jun 01, 2020","-0.157","-0.194","-0.157","-0.194","-19.07%"
"May 31, 2020","-0.194","-0.194","-0.194","-0.194","0.00%"
"May 29, 2020","-0.194","-0.195","-0.194","-0.195","-3.00%"
"May 28, 2020","-0.200","-0.189","-0.189","-0.200","53.85%"
"May 27, 2020","-0.130","-0.200","-0.130","-0.200","-19.25%"
"May 26, 2020","-0.161","-0.197","-0.161","-0.200","-20.30%"
"May 25, 2020","-0.202","-0.191","-0.191","-0.202","4.12%"
"May 24, 2020","-0.194","-0.194","-0.194","-0.194","19.75%"
"May 22, 2020","-0.162","-0.181","-0.162","-0.201","16.55%"
"May 21, 2020","-0.139","-0.183","-0.139","-0.184","-24.46%"
"May 20, 2020","-0.184","-0.186","-0.184","-0.204","17.20%"
"May 19, 2020","-0.157","-0.137","-0.137","-0.204","12.95%"
"May 18, 2020","-0.139","-0.166","-0.139","-0.176","-15.24%"
"May 17, 2020","-0.164","-0.164","-0.164","-0.164","-1.80%"
"May 15, 2020","-0.167","-0.177","-0.167","-0.177","6.37%"
"May 14, 2020","-0.157","-0.168","-0.157","-0.178","6.08%"
"May 13, 2020","-0.148","-0.168","-0.148","-0.168","-0.67%"
"May 12, 2020","-0.149","-0.174","-0.149","-0.184","-14.37%"
"May 11, 2020","-0.174","-0.194","-0.174","-0.214","-7.94%"
"May 10, 2020","-0.189","-0.189","-0.189","-0.189","-11.68%"
"May 08, 2020","-0.214","-0.165","-0.165","-0.214","43.62%"
"May 07, 2020","-0.149","-0.079","-0.079","-0.149","88.61%"
"May 06, 2020","-0.079","-0.079","-0.079","-0.079","0.00%"
"May 05, 2020","-0.079","-0.079","-0.079","-0.079","-44.76%"
"May 04, 2020","-0.143","-0.143","-0.143","-0.143","81.01%"
"May 01, 2020","-0.079","-0.174","-0.079","-0.174","-27.52%"
"Apr 30, 2020","-0.109","-0.139","-0.109","-0.175","-37.71%"
"Apr 29, 2020","-0.175","-0.175","-0.175","-0.175","25.90%"
"Apr 28, 2020","-0.139","-0.174","-0.139","-0.174","0.00%"
"Apr 27, 2020","-0.139","-0.179","-0.139","-0.179","-20.11%"
"Apr 26, 2020","-0.174","-0.174","-0.174","-0.174","23.40%"
"Apr 24, 2020","-0.141","-0.179","-0.141","-0.179","1.44%"
"Apr 23, 2020","-0.139","-0.178","-0.139","-0.178","3.73%"
"Apr 22, 2020","-0.134","-0.178","-0.134","-0.178","0.00%"
"Apr 21, 2020","-0.134","-0.177","-0.134","-0.177","0.00%"
"Apr 20, 2020","-0.134","-0.173","-0.134","-0.173","-22.99%"
"Apr 19, 2020","-0.174","-0.174","-0.174","-0.174","29.85%"
"Apr 17, 2020","-0.134","-0.167","-0.134","-0.174","8.06%"
"Apr 16, 2020","-0.124","-0.173","-0.124","-0.173","0.81%"
"Apr 15, 2020","-0.123","-0.173","-0.123","-0.173","6.96%"
"Apr 14, 2020","-0.115","-0.183","-0.115","-0.183","-37.50%"
"Apr 13, 2020","-0.184","-0.189","-0.184","-0.224","-2.65%"
"Apr 12, 2020","-0.189","-0.189","-0.189","-0.189","-15.63%"
"Apr 10, 2020","-0.224","-0.154","-0.154","-0.224","93.10%"
"Apr 09, 2020","-0.116","-0.148","-0.116","-0.161","30.34%"
"Apr 08, 2020","-0.089","-0.168","-0.089","-0.168","-18.35%"
"Apr 07, 2020","-0.109","-0.167","-0.109","-0.167","0.00%"
"Apr 06, 2020","-0.109","-0.169","-0.109","-0.169","-35.50%"
"Apr 05, 2020","-0.169","-0.169","-0.169","-0.169","70.71%"
"Apr 03, 2020","-0.099","-0.173","-0.099","-0.173","-16.81%"
"Apr 02, 2020","-0.119","-0.169","-0.119","-0.172","17.82%"
"Apr 01, 2020","-0.101","-0.210","-0.101","-0.210","-26.28%"
"Mar 31, 2020","-0.137","-0.223","-0.128","-0.223","-40.43%"
"Mar 30, 2020","-0.230","-0.330","-0.230","-0.330","0.44%"
"Mar 29, 2020","-0.229","-0.229","-0.229","-0.229","0.44%"
"Mar 27, 2020","-0.228","-0.331","-0.128","-0.331","-24.00%"
"Mar 26, 2020","-0.300","-0.336","-0.300","-0.336","-10.18%"
"Mar 25, 2020","-0.334","-0.329","-0.329","-0.334","-2.62%"
"Mar 24, 2020","-0.343","-0.329","-0.329","-0.418","-17.75%"
"Mar 23, 2020","-0.417","-0.128","-0.128","-0.417","67.47%"
"Mar 22, 2020","-0.249","-0.249","-0.249","-0.249","-1.58%"
"Mar 20, 2020","-0.253","-0.253","-0.253","-0.253","34.57%"
"Mar 19, 2020","-0.188","-0.326","-0.188","-0.326","-42.15%"
"Mar 18, 2020","-0.325","-0.311","-0.311","-0.325","4.50%"
"Mar 17, 2020","-0.311","-0.245","-0.245","-0.311","69.95%"
"Mar 16, 2020","-0.183","-0.250","-0.183","-0.360","-26.51%"
"Mar 15, 2020","-0.249","-0.249","-0.249","-0.249","38.33%"
"Mar 13, 2020","-0.180","-0.254","-0.180","-0.254","-13.04%"
"Mar 12, 2020","-0.207","-0.250","-0.207","-0.251","-5.91%"
"Mar 11, 2020","-0.220","-0.280","-0.220","-0.280","-21.15%"
"Mar 10, 2020","-0.279","-0.285","-0.279","-0.319","12.50%"
"Mar 09, 2020","-0.248","-0.248","-0.248","-0.289","-0.40%"
"Mar 08, 2020","-0.249","-0.249","-0.249","-0.249","-1.97%"
"Mar 06, 2020","-0.254","-0.207","-0.207","-0.302","42.70%"
"Mar 05, 2020","-0.178","-0.219","-0.178","-0.219","0.00%"
"Mar 04, 2020","-0.178","-0.223","-0.178","-0.223","0.00%"
"Mar 03, 2020","-0.178","-0.224","-0.178","-0.224","-10.55%"
"Mar 02, 2020","-0.199","-0.202","-0.199","-0.234","0.00%"
"Mar 01, 2020","-0.199","-0.199","-0.199","-0.199","-4.78%"
"Feb 28, 2020","-0.209","-0.172","-0.172","-0.230","20.11%"
"Feb 27, 2020","-0.174","-0.178","-0.174","-0.178","-2.25%"
"Feb 26, 2020","-0.178","-0.163","-0.163","-0.178","30.88%"
"Feb 25, 2020","-0.136","-0.161","-0.136","-0.161","-14.47%"
"Feb 24, 2020","-0.159","-0.159","-0.159","-0.159","0.00%"
"Feb 21, 2020","-0.159","-0.159","-0.159","-0.159","-0.63%"
"Feb 20, 2020","-0.160","-0.160","-0.160","-0.160","16.79%"
"Feb 19, 2020","-0.137","-0.161","-0.137","-0.161","-14.91%"
"Feb 18, 2020","-0.161","-0.161","-0.161","-0.161","21.05%"
"Feb 17, 2020","-0.133","-0.163","-0.133","-0.163","-16.35%"
"Feb 16, 2020","-0.159","-0.159","-0.159","-0.159","-2.45%"
"Feb 14, 2020","-0.163","-0.153","-0.153","-0.163","31.45%"
"Feb 13, 2020","-0.124","-0.154","-0.124","-0.154","-7.46%"
"Feb 12, 2020","-0.134","-0.124","-0.124","-0.154","-12.99%"
"Feb 11, 2020","-0.154","-0.154","-0.154","-0.154","0.00%"
"Feb 10, 2020","-0.154","-0.154","-0.154","-0.154","-3.14%"
"Feb 09, 2020","-0.159","-0.159","-0.159","-0.159","28.23%"
"Feb 07, 2020","-0.124","-0.154","-0.124","-0.154","-1.59%"
"Feb 06, 2020","-0.126","-0.144","-0.126","-0.153","7.69%"
"Feb 05, 2020","-0.117","-0.143","-0.117","-0.143","-10.00%"
"Feb 04, 2020","-0.130","-0.144","-0.130","-0.157","10.17%"
"Feb 03, 2020","-0.118","-0.166","-0.118","-0.166","-30.18%"
"Feb 02, 2020","-0.169","-0.169","-0.169","-0.169","4.32%"
"Jan 31, 2020","-0.162","-0.162","-0.162","-0.162","0.00%"
"Jan 30, 2020","-0.162","-0.150","-0.150","-0.162","25.58%"
"Jan 29, 2020","-0.129","-0.146","-0.129","-0.150","-11.64%"
"Jan 28, 2020","-0.146","-0.134","-0.134","-0.146","8.96%"
"Jan 27, 2020","-0.134","-0.146","-0.134","-0.146","-6.94%"
"Jan 26, 2020","-0.144","-0.144","-0.144","-0.144","-2.04%"
"Jan 24, 2020","-0.147","-0.147","-0.147","-0.147","2.80%"
"Jan 23, 2020","-0.143","-0.143","-0.143","-0.143","0.00%"
"Jan 22, 2020","-0.143","-0.137","-0.137","-0.143","27.68%"
"Jan 21, 2020","-0.112","-0.147","-0.112","-0.147","-11.11%"
"Jan 20, 2020","-0.126","-0.147","-0.126","-0.147","-12.50%"
"Jan 19, 2020","-0.144","-0.144","-0.144","-0.144","-2.04%"
"Jan 17, 2020","-0.147","-0.137","-0.137","-0.147","3.52%"
"Jan 16, 2020","-0.142","-0.142","-0.142","-0.142","40.59%"
"Jan 15, 2020","-0.101","-0.110","-0.101","-0.153","-33.55%"
"Jan 14, 2020","-0.152","-0.152","-0.152","-0.152","2.70%"
"Jan 13, 2020","-0.148","-0.148","-0.148","-0.148","3.50%"
"Jan 10, 2020","-0.143","-0.143","-0.143","-0.143","0.00%"
"Jan 09, 2020","-0.143","-0.143","-0.143","-0.143","31.19%"
"Jan 08, 2020","-0.109","-0.140","-0.109","-0.143","3.81%"
"Jan 07, 2020","-0.105","-0.144","-0.105","-0.144","11.70%"
"Jan 06, 2020","-0.094","-0.094","-0.094","-0.144","-34.72%"
"Jan 05, 2020","-0.144","-0.144","-0.144","-0.144","53.19%"
"Jan 03, 2020","-0.094","-0.094","-0.094","-0.094","0.00%"
"Jan 02, 2020","-0.094","-0.094","-0.094","-0.094","0.00%"
"Jan 01, 2020","-0.094","-0.094","-0.094","-0.094","-34.72%"
"Dec 31, 2019","-0.144","-0.144","-0.144","-0.144","53.19%"
"Dec 30, 2019","-0.094","-0.094","-0.094","-0.144","-34.72%"
"Dec 29, 2019","-0.144","-0.144","-0.144","-0.144","-2.04%"
"Dec 27, 2019","-0.147","-0.147","-0.146","-0.147","-0.68%"
"Dec 26, 2019","-0.148","-0.138","-0.138","-0.148","7.25%"
"Dec 25, 2019","-0.138","-0.138","-0.138","-0.138","64.29%"
"Dec 24, 2019","-0.084","-0.139","-0.084","-0.147","-45.45%"
"Dec 23, 2019","-0.154","-0.154","-0.154","-0.154","0.00%"
"Dec 22, 2019","-0.154","-0.154","-0.154","-0.154","41.28%"
"Dec 20, 2019","-0.109","-0.156","-0.109","-0.156","0.00%"
"Dec 19, 2019","-0.109","-0.155","-0.109","-0.156","0.00%"
"Dec 18, 2019","-0.109","-0.149","-0.109","-0.155","10.10%"
"Dec 17, 2019","-0.099","-0.160","-0.099","-0.160","-16.81%"
"Dec 16, 2019","-0.119","-0.130","-0.119","-0.160","-20.13%"
"Dec 15, 2019","-0.149","-0.149","-0.149","-0.149","-0.67%"
"Dec 13, 2019","-0.150","-0.130","-0.121","-0.150","37.61%"
"Dec 12, 2019","-0.109","-0.119","-0.109","-0.145","-8.40%"
"Dec 11, 2019","-0.119","-0.124","-0.119","-0.124","0.00%"
"Dec 10, 2019","-0.119","-0.184","-0.114","-0.184","7.21%"
"Dec 09, 2019","-0.111","-0.185","-0.061","-0.185","-39.67%"
"Dec 08, 2019","-0.184","-0.184","-0.184","-0.184","54.62%"
"Dec 06, 2019","-0.119","-0.207","-0.119","-0.207","-30.81%"
"Dec 05, 2019","-0.172","-0.210","-0.172","-0.210","-0.58%"
"Dec 04, 2019","-0.173","-0.202","-0.173","-0.210","6.13%"
"Dec 03, 2019","-0.163","-0.202","-0.163","-0.202","0.00%"
"Dec 02, 2019","-0.163","-0.196","-0.163","-0.207","-20.10%"
"Dec 01, 2019","-0.204","-0.204","-0.204","-0.204","32.47%"
"Nov 29, 2019","-0.154","-0.201","-0.154","-0.207","-11.49%"
"Nov 28, 2019","-0.174","-0.211","-0.174","-0.211","-5.43%"
"Nov 27, 2019","-0.184","-0.210","-0.184","-0.210","-2.65%"
"Nov 26, 2019","-0.189","-0.212","-0.189","-0.212","0.00%"
"Nov 25, 2019","-0.189","-0.205","-0.189","-0.212","-9.57%"
"Nov 24, 2019","-0.209","-0.209","-0.209","-0.209","17.42%"
"Nov 22, 2019","-0.178","-0.211","-0.178","-0.211","-3.26%"
"Nov 21, 2019","-0.184","-0.206","-0.184","-0.206","-10.68%"
"Nov 20, 2019","-0.206","-0.205","-0.205","-0.206","18.39%"
"Nov 19, 2019","-0.174","-0.215","-0.174","-0.215","7.41%"
"Nov 18, 2019","-0.162","-0.214","-0.162","-0.214","-24.30%"
"Nov 17, 2019","-0.214","-0.214","-0.214","-0.214","32.92%"
"Nov 15, 2019","-0.161","-0.215","-0.161","-0.215","-21.46%"
"Nov 14, 2019","-0.205","-0.215","-0.205","-0.215","21.30%"
"Nov 13, 2019","-0.169","-0.195","-0.169","-0.205","6.29%"
"Nov 12, 2019","-0.159","-0.190","-0.159","-0.195","-15.87%"
"Nov 11, 2019","-0.189","-0.189","-0.189","-0.189","0.00%"
"Nov 10, 2019","-0.189","-0.189","-0.189","-0.189","-5.03%"
"Nov 08, 2019","-0.199","-0.189","-0.189","-0.199","4.74%"
"Nov 07, 2019","-0.190","-0.197","-0.190","-0.197","-4.04%"
"Nov 06, 2019","-0.198","-0.220","-0.198","-0.220","-4.81%"
"Nov 05, 2019","-0.208","-0.197","-0.197","-0.240","-13.69%"
"Nov 04, 2019","-0.241","-0.241","-0.241","-0.241","22.34%"
"Nov 01, 2019","-0.197","-0.231","-0.197","-0.241","-15.09%"
"Oct 31, 2019","-0.232","-0.232","-0.232","-0.232","19.59%"
"Oct 30, 2019","-0.194","-0.223","-0.194","-0.233","-14.54%"
"Oct 29, 2019","-0.227","-0.237","-0.227","-0.237","-5.81%"
"Oct 28, 2019","-0.241","-0.236","-0.236","-0.241","2.99%"
"Oct 27, 2019","-0.234","-0.234","-0.234","-0.234","27.17%"
"Oct 25, 2019","-0.184","-0.241","-0.184","-0.241","-23.97%"
"Oct 24, 2019","-0.242","-0.233","-0.233","-0.242","3.42%"
"Oct 23, 2019","-0.234","-0.210","-0.210","-0.244","-4.10%"
"Oct 22, 2019","-0.244","-0.244","-0.244","-0.244","17.31%"
"Oct 21, 2019","-0.208","-0.262","-0.208","-0.262","-16.47%"
"Oct 20, 2019","-0.249","-0.249","-0.249","-0.249","19.71%"
"Oct 18, 2019","-0.208","-0.271","-0.208","-0.271","-3.26%"
"Oct 17, 2019","-0.215","-0.265","-0.215","-0.265","10.82%"
"Oct 16, 2019","-0.194","-0.285","-0.194","-0.285","-31.93%"
"Oct 15, 2019","-0.285","-0.276","-0.276","-0.285","0.71%"
"Oct 14, 2019","-0.283","-0.283","-0.283","-0.283","0.00%"
"Oct 11, 2019","-0.283","-0.293","-0.283","-0.293","-2.41%"
"Oct 10, 2019","-0.290","-0.270","-0.270","-0.290","-6.15%"
"Oct 09, 2019","-0.309","-0.300","-0.300","-0.309","3.34%"
"Oct 08, 2019","-0.299","-0.312","-0.299","-0.312","6.03%"
"Oct 07, 2019","-0.282","-0.301","-0.282","-0.311","-4.41%"
"Oct 06, 2019","-0.295","-0.295","-0.295","-0.295","-1.67%"
"Oct 04, 2019","-0.300","-0.293","-0.293","-0.300","3.45%"
"Oct 03, 2019","-0.290","-0.290","-0.290","-0.290","0.35%"
"Oct 02, 2019","-0.289","-0.294","-0.289","-0.294","-1.37%"
