"Date","Price","Open","High","Low","Change %"
"Aug 20, 2020","-0.222","-0.134","-0.134","-0.222","65.67%"
"Aug 19, 2020","-0.134","-0.139","-0.134","-0.221","-40.18%"
"Aug 18, 2020","-0.224","-0.139","-0.139","-0.224","0.00%"
"Aug 17, 2020","-0.224","-0.139","-0.139","-0.224","61.15%"
"Aug 16, 2020","-0.139","-0.139","-0.139","-0.139","-37.95%"
"Aug 14, 2020","-0.224","-0.139","-0.139","-0.224","61.15%"
"Aug 13, 2020","-0.139","-0.224","-0.139","-0.224","-37.95%"
"Aug 12, 2020","-0.224","-0.139","-0.139","-0.224","0.00%"
"Aug 11, 2020","-0.224","-0.139","-0.139","-0.224","55.56%"
"Aug 10, 2020","-0.144","-0.144","-0.144","-0.144","-38.46%"
"Aug 07, 2020","-0.234","-0.154","-0.144","-0.234","-2.09%"
"Aug 06, 2020","-0.239","-0.154","-0.154","-0.239","0.00%"
"Aug 05, 2020","-0.239","-0.154","-0.154","-0.239","0.00%"
"Aug 04, 2020","-0.239","-0.154","-0.154","-0.239","0.00%"
"Aug 03, 2020","-0.239","-0.154","-0.154","-0.239","55.19%"
"Aug 02, 2020","-0.154","-0.154","-0.154","-0.154","-35.56%"
"Jul 31, 2020","-0.239","-0.154","-0.154","-0.239","-3.04%"
"Jul 30, 2020","-0.247","-0.154","-0.154","-0.247","0.00%"
"Jul 29, 2020","-0.247","-0.154","-0.154","-0.247","0.00%"
"Jul 28, 2020","-0.247","-0.154","-0.154","-0.247","0.00%"
"Jul 27, 2020","-0.247","-0.154","-0.154","-0.247","60.06%"
"Jul 26, 2020","-0.154","-0.154","-0.154","-0.154","-37.53%"
"Jul 22, 2020","-0.247","-0.154","-0.154","-0.247","0.00%"
"Jul 21, 2020","-0.247","-0.154","-0.154","-0.247","0.00%"
"Jul 20, 2020","-0.247","-0.154","-0.154","-0.247","60.06%"
"Jul 19, 2020","-0.154","-0.154","-0.154","-0.154","-37.53%"
"Jul 17, 2020","-0.247","-0.154","-0.154","-0.247","60.06%"
"Jul 16, 2020","-0.154","-0.154","-0.154","-0.154","0.00%"
"Jul 15, 2020","-0.154","-0.247","-0.154","-0.247","2.67%"
"Jul 14, 2020","-0.150","-0.154","-0.150","-0.247","-39.15%"
"Jul 13, 2020","-0.247","-0.154","-0.154","-0.247","60.06%"
"Jul 12, 2020","-0.154","-0.154","-0.154","-0.154","0.00%"
"Jul 10, 2020","-0.154","-0.247","-0.154","-0.247","-37.53%"
"Jul 09, 2020","-0.247","-0.154","-0.154","-0.247","-3.90%"
"Jul 08, 2020","-0.257","-0.164","-0.164","-0.257","-5.52%"
"Jul 07, 2020","-0.271","-0.194","-0.194","-0.271","-0.37%"
"Jul 06, 2020","-0.273","-0.194","-0.194","-0.273","33.58%"
"Jul 05, 2020","-0.204","-0.204","-0.204","-0.204","-29.41%"
"Jul 03, 2020","-0.289","-0.204","-0.204","-0.289","41.67%"
"Jul 02, 2020","-0.204","-0.289","-0.204","-0.289","7.94%"
"Jul 01, 2020","-0.189","-0.204","-0.189","-0.204","-7.35%"
"Jun 30, 2020","-0.204","-0.189","-0.189","-0.204","0.00%"
"Jun 29, 2020","-0.204","-0.194","-0.191","-0.204","5.15%"
"Jun 28, 2020","-0.194","-0.194","-0.194","-0.194","-31.69%"
"Jun 26, 2020","-0.284","-0.194","-0.194","-0.284","0.00%"
"Jun 25, 2020","-0.284","-0.194","-0.194","-0.284","0.00%"
"Jun 24, 2020","-0.284","-0.194","-0.194","-0.284","0.00%"
"Jun 23, 2020","-0.284","-0.194","-0.194","-0.284","0.00%"
"Jun 22, 2020","-0.284","-0.194","-0.194","-0.284","46.39%"
"Jun 21, 2020","-0.194","-0.194","-0.194","-0.194","-31.69%"
"Jun 19, 2020","-0.284","-0.194","-0.194","-0.284","0.00%"
"Jun 18, 2020","-0.284","-0.194","-0.194","-0.284","4.60%"
"Jun 17, 2020","-0.271","-0.194","-0.194","-0.271","0.00%"
"Jun 16, 2020","-0.271","-0.194","-0.194","-0.271","0.00%"
"Jun 15, 2020","-0.271","-0.194","-0.194","-0.271","0.00%"
"Jun 12, 2020","-0.271","-0.194","-0.194","-0.271","-4.40%"
"Jun 11, 2020","-0.284","-0.194","-0.194","-0.284","0.00%"
"Jun 10, 2020","-0.284","-0.194","-0.194","-0.284","0.00%"
"Jun 09, 2020","-0.284","-0.194","-0.194","-0.284","4.60%"
"Jun 08, 2020","-0.271","-0.194","-0.194","-0.271","39.95%"
"Jun 07, 2020","-0.194","-0.194","-0.194","-0.194","-28.55%"
"Jun 05, 2020","-0.271","-0.194","-0.194","-0.271","0.00%"
"Jun 04, 2020","-0.271","-0.194","-0.194","-0.271","39.95%"
"Jun 03, 2020","-0.194","-0.271","-0.194","-0.271","-28.55%"
"Jun 02, 2020","-0.271","-0.194","-0.194","-0.271","0.00%"
"Jun 01, 2020","-0.271","-0.194","-0.194","-0.271","39.95%"
"May 31, 2020","-0.194","-0.194","-0.194","-0.194","-28.55%"
"May 29, 2020","-0.271","-0.271","-0.271","-0.271","39.95%"
"May 28, 2020","-0.194","-0.271","-0.194","-0.271","0.00%"
