"Date","Price","Open","High","Low","Change %"
"Dec 31, 2009","0.600","0.600","0.600","0.600","9.09%"
"Dec 30, 2009","0.550","0.550","0.550","0.550","-8.33%"
"Dec 28, 2009","0.600","0.600","0.600","0.600","9.09%"
"Dec 24, 2009","0.550","0.550","0.550","0.550","0.36%"
"Dec 23, 2009","0.548","0.548","0.548","0.548","-0.36%"
"Dec 22, 2009","0.550","0.550","0.550","0.550","0.00%"
"Dec 21, 2009","0.550","0.550","0.550","0.550","0.00%"
"Dec 18, 2009","0.550","0.550","0.550","0.550","0.00%"
"Dec 17, 2009","0.550","0.550","0.550","0.550","0.00%"
"Dec 16, 2009","0.550","0.550","0.550","0.550","0.00%"
"Dec 15, 2009","0.550","0.550","0.550","0.550","-0.36%"
"Dec 14, 2009","0.552","0.552","0.552","0.552","-1.25%"
"Dec 11, 2009","0.559","0.559","0.559","0.559","-0.18%"
"Dec 10, 2009","0.560","0.560","0.560","0.560","0.18%"
"Dec 09, 2009","0.559","0.559","0.559","0.559","1.64%"
"Dec 08, 2009","0.550","0.550","0.550","0.550","0.00%"
"Dec 07, 2009","0.550","0.550","0.550","0.550","0.00%"
"Dec 04, 2009","0.550","0.550","0.550","0.550","0.00%"
"Dec 03, 2009","0.550","0.550","0.550","0.550","-0.36%"
"Dec 02, 2009","0.552","0.552","0.552","0.552","10.40%"
"Dec 01, 2009","0.500","0.500","0.500","0.500","0.40%"
"Nov 30, 2009","0.498","0.498","0.498","0.498","-0.40%"
"Nov 26, 2009","0.500","0.500","0.500","0.500","-1.57%"
"Nov 25, 2009","0.508","0.508","0.508","0.508","-2.31%"
"Nov 24, 2009","0.520","0.520","0.520","0.520","4.00%"
"Nov 23, 2009","0.500","0.500","0.500","0.500","0.00%"
"Nov 20, 2009","0.500","0.500","0.500","0.500","0.00%"
"Nov 19, 2009","0.500","0.500","0.500","0.500","0.00%"
"Nov 18, 2009","0.500","0.500","0.500","0.500","-1.96%"
"Nov 17, 2009","0.510","0.510","0.510","0.510","-1.92%"
"Nov 16, 2009","0.520","0.520","0.520","0.520","-5.45%"
"Nov 13, 2009","0.550","0.550","0.550","0.550","0.36%"
"Nov 12, 2009","0.548","0.548","0.548","0.548","-0.36%"
"Nov 11, 2009","0.550","0.550","0.550","0.550","0.36%"
"Nov 10, 2009","0.548","0.548","0.548","0.548","-2.49%"
"Nov 09, 2009","0.562","0.562","0.562","0.562","2.18%"
"Nov 06, 2009","0.550","0.550","0.550","0.550","0.00%"
"Nov 05, 2009","0.550","0.550","0.550","0.550","0.00%"
"Nov 04, 2009","0.550","0.550","0.550","0.550","-0.72%"
"Nov 03, 2009","0.554","0.554","0.554","0.554","1.09%"
"Nov 02, 2009","0.548","0.548","0.548","0.548","0.18%"
"Oct 30, 2009","0.547","0.547","0.547","0.547","-2.32%"
"Oct 29, 2009","0.560","0.560","0.560","0.560","0.00%"
"Oct 28, 2009","0.560","0.560","0.560","0.560","0.18%"
"Oct 27, 2009","0.559","0.559","0.559","0.559","-5.57%"
"Oct 26, 2009","0.592","0.592","0.592","0.592","-1.82%"
"Oct 23, 2009","0.603","0.603","0.603","0.603","31.37%"
"Oct 22, 2009","0.459","0.459","0.459","0.459","-1.92%"
"Oct 21, 2009","0.468","0.468","0.468","0.468","6.36%"
"Oct 20, 2009","0.440","0.440","0.440","0.440","0.23%"
"Oct 19, 2009","0.439","0.439","0.439","0.439","-0.45%"
"Oct 16, 2009","0.441","0.441","0.441","0.441","-2.00%"
"Oct 15, 2009","0.450","0.450","0.450","0.450","0.22%"
"Oct 14, 2009","0.449","0.449","0.449","0.449","2.05%"
"Oct 13, 2009","0.440","0.440","0.440","0.440","0.46%"
"Oct 12, 2009","0.438","0.438","0.438","0.438","-0.45%"
"Oct 09, 2009","0.440","0.440","0.440","0.440","0.00%"
"Oct 08, 2009","0.440","0.440","0.440","0.440","-2.22%"
"Oct 07, 2009","0.450","0.450","0.450","0.450","7.40%"
"Oct 06, 2009","0.419","0.419","0.419","0.419","0.24%"
"Oct 05, 2009","0.418","0.418","0.418","0.418","-2.79%"
"Oct 02, 2009","0.430","0.430","0.430","0.430","8.04%"
"Oct 01, 2009","0.398","0.398","0.398","0.398","4.46%"
"Sep 30, 2009","0.381","0.381","0.381","0.381","0.00%"
"Sep 29, 2009","0.381","0.381","0.381","0.381","0.26%"
"Sep 28, 2009","0.380","0.380","0.380","0.380","-2.31%"
"Sep 25, 2009","0.389","0.389","0.389","0.389","0.00%"
"Sep 24, 2009","0.389","0.389","0.389","0.389","2.37%"
"Sep 23, 2009","0.380","0.380","0.380","0.380","-2.31%"
"Sep 22, 2009","0.389","0.389","0.389","0.389","2.37%"
"Sep 21, 2009","0.380","0.380","0.380","0.380","-2.56%"
"Sep 18, 2009","0.390","0.390","0.390","0.390","2.63%"
"Sep 17, 2009","0.380","0.380","0.380","0.380","0.00%"
"Sep 16, 2009","0.380","0.380","0.380","0.380","0.00%"
"Sep 15, 2009","0.380","0.380","0.380","0.380","0.26%"
"Sep 14, 2009","0.379","0.379","0.379","0.379","-4.77%"
"Sep 11, 2009","0.398","0.398","0.398","0.398","2.05%"
"Sep 10, 2009","0.390","0.390","0.390","0.390","-2.50%"
"Sep 09, 2009","0.400","0.400","0.400","0.400","3.09%"
"Sep 08, 2009","0.388","0.388","0.388","0.388","0.00%"
"Sep 07, 2009","0.388","0.388","0.388","0.388","2.11%"
"Sep 04, 2009","0.380","0.380","0.380","0.380","2.70%"
"Sep 03, 2009","0.370","0.370","0.370","0.370","0.00%"
"Sep 02, 2009","0.370","0.370","0.370","0.370","1.93%"
"Sep 01, 2009","0.363","0.363","0.363","0.363","3.71%"
"Aug 31, 2009","0.350","0.350","0.350","0.350","-2.51%"
"Aug 28, 2009","0.359","0.359","0.359","0.359","2.57%"
"Aug 27, 2009","0.350","0.350","0.350","0.350","0.29%"
"Aug 26, 2009","0.349","0.349","0.349","0.349","0.00%"
"Aug 25, 2009","0.349","0.349","0.349","0.349","-3.59%"
"Aug 24, 2009","0.362","0.362","0.362","0.362","3.72%"
"Aug 21, 2009","0.349","0.349","0.349","0.349","0.00%"
"Aug 20, 2009","0.349","0.349","0.349","0.349","0.00%"
"Aug 19, 2009","0.349","0.349","0.349","0.349","0.00%"
"Aug 18, 2009","0.349","0.349","0.349","0.349","0.00%"
"Aug 17, 2009","0.349","0.349","0.349","0.349","0.00%"
"Aug 14, 2009","0.349","0.349","0.349","0.349","0.00%"
"Aug 13, 2009","0.349","0.349","0.349","0.349","-0.29%"
"Aug 12, 2009","0.350","0.350","0.350","0.350","0.00%"
"Aug 11, 2009","0.350","0.350","0.350","0.350","0.00%"
