"Date","Price","Open","High","Low","Change %"
"Aug 27, 2020","0.937","0.975","0.975","0.933","-0.58%"
"Aug 26, 2020","0.942","0.932","0.962","0.932","1.24%"
"Aug 25, 2020","0.931","0.906","0.946","0.906","2.08%"
"Aug 24, 2020","0.912","0.887","0.917","0.887","2.82%"
"Aug 21, 2020","0.887","0.905","0.905","0.884","-2.53%"
"Aug 20, 2020","0.910","0.888","0.918","0.888","2.71%"
"Aug 19, 2020","0.886","0.898","0.899","0.882","-0.56%"
"Aug 18, 2020","0.891","0.891","0.911","0.891","-0.45%"
"Aug 17, 2020","0.895","0.904","0.904","0.875","-1.32%"
"Aug 14, 2020","0.907","0.871","0.931","0.871","4.13%"
"Aug 13, 2020","0.871","0.867","0.932","0.861","-2.13%"
"Aug 12, 2020","0.890","0.867","0.932","0.867","2.18%"
"Aug 11, 2020","0.871","0.823","0.882","0.823","5.45%"
"Aug 07, 2020","0.826","0.836","0.836","0.820","-0.60%"
"Aug 06, 2020","0.831","0.849","0.858","0.828","-2.12%"
"Aug 05, 2020","0.849","0.866","0.877","0.832","-2.41%"
"Aug 04, 2020","0.870","0.847","0.891","0.847","2.72%"
"Aug 03, 2020","0.847","0.854","0.874","0.839","1.19%"
"Aug 01, 2020","0.837","0.837","0.837","0.837","0.00%"
"Jul 31, 2020","0.837","0.837","0.837","0.837","-1.41%"
"Jul 30, 2020","0.849","0.888","0.888","0.849","-4.39%"
"Jul 29, 2020","0.888","0.909","0.909","0.880","-2.52%"
"Jul 28, 2020","0.911","0.834","0.927","0.834","11.10%"
"Jul 27, 2020","0.820","0.813","0.840","0.813","0.99%"
"Jul 24, 2020","0.812","0.857","0.857","0.791","-4.92%"
"Jul 23, 2020","0.854","0.872","0.877","0.851","-2.51%"
"Jul 22, 2020","0.876","0.877","0.887","0.871","-0.11%"
"Jul 21, 2020","0.877","0.867","0.882","0.867","1.15%"
"Jul 20, 2020","0.867","0.860","0.871","0.860","2.24%"
"Jul 18, 2020","0.848","0.848","0.848","0.848","-1.05%"
"Jul 17, 2020","0.857","0.869","0.869","0.849","-1.38%"
"Jul 16, 2020","0.869","0.897","0.897","0.852","-3.12%"
"Jul 15, 2020","0.897","0.885","0.901","0.885","1.24%"
"Jul 14, 2020","0.886","0.895","0.895","0.885","-0.89%"
"Jul 13, 2020","0.894","0.894","0.897","0.892","-0.22%"
"Jul 09, 2020","0.896","0.880","0.905","0.879","2.40%"
"Jul 08, 2020","0.875","0.885","0.885","0.870","-1.02%"
"Jul 07, 2020","0.884","0.896","0.896","0.881","-0.67%"
"Jul 06, 2020","0.890","0.885","0.901","0.885","0.68%"
"Jul 03, 2020","0.884","0.891","0.891","0.876","-0.90%"
"Jul 02, 2020","0.892","0.893","0.893","0.883","-0.67%"
"Jul 01, 2020","0.898","0.902","0.918","0.893","-0.11%"
"Jun 30, 2020","0.899","0.917","0.920","0.899","-2.28%"
"Jun 29, 2020","0.920","0.933","0.933","0.903","0.27%"
"Jun 27, 2020","0.918","0.918","0.918","0.918","-0.92%"
"Jun 26, 2020","0.926","0.908","0.944","0.880","1.87%"
"Jun 25, 2020","0.909","0.936","0.936","0.907","-2.68%"
"Jun 24, 2020","0.934","0.935","0.960","0.925","0.00%"
"Jun 23, 2020","0.934","0.898","0.945","0.898","1.97%"
"Jun 22, 2020","0.916","0.898","0.916","0.879","0.77%"
"Jun 19, 2020","0.909","0.882","0.909","0.882","2.83%"
"Jun 18, 2020","0.884","0.928","0.928","0.869","-4.64%"
"Jun 17, 2020","0.927","0.919","0.932","0.910","1.09%"
"Jun 16, 2020","0.917","0.919","0.964","0.909","-0.22%"
"Jun 15, 2020","0.919","0.944","0.944","0.914","-2.75%"
"Jun 12, 2020","0.945","0.888","0.959","0.888","0.53%"
"Jun 11, 2020","0.940","0.983","0.983","0.918","-3.89%"
"Jun 10, 2020","0.978","0.910","1.000","0.910","-1.11%"
"Jun 09, 2020","0.989","1.058","1.058","0.979","-6.61%"
"Jun 08, 2020","1.059","1.033","1.064","1.033","1.53%"
"Jun 05, 2020","1.043","0.953","1.044","0.953","9.44%"
"Jun 04, 2020","0.953","0.921","0.961","0.921","5.19%"
"Jun 03, 2020","0.906","0.856","0.967","0.856","7.22%"
"Jun 02, 2020","0.845","0.827","0.857","0.827","2.18%"
"Jun 01, 2020","0.827","0.825","0.845","0.800","0.24%"
"May 29, 2020","0.825","0.835","0.835","0.805","-1.43%"
"May 28, 2020","0.837","0.835","0.839","0.832","-0.12%"
"May 27, 2020","0.838","0.732","0.851","0.732","14.95%"
"May 26, 2020","0.729","0.707","0.737","0.706","5.35%"
"May 23, 2020","0.692","0.692","0.692","0.692","-1.70%"
"May 22, 2020","0.704","0.711","0.712","0.697","0.43%"
"May 21, 2020","0.701","0.705","0.720","0.695","0.57%"
"May 20, 2020","0.697","0.720","0.720","0.696","-4.26%"
"May 19, 2020","0.728","0.712","0.736","0.711","2.82%"
"May 18, 2020","0.708","0.725","0.725","0.693","-1.53%"
"May 15, 2020","0.719","0.744","0.745","0.719","-3.23%"
"May 14, 2020","0.743","0.796","0.796","0.738","-6.42%"
"May 13, 2020","0.794","0.865","0.865","0.794","-8.42%"
"May 12, 2020","0.867","0.883","0.883","0.858","-1.25%"
"May 11, 2020","0.878","0.886","0.915","0.878","-1.24%"
"May 08, 2020","0.889","0.972","0.972","0.883","-3.21%"
"May 07, 2020","0.919","0.919","0.919","0.919","-1.45%"
"May 06, 2020","0.932","0.897","0.939","0.897","3.90%"
"May 05, 2020","0.897","0.879","0.907","0.878","2.40%"
"May 04, 2020","0.876","0.900","0.900","0.875","-2.99%"
"Apr 30, 2020","0.903","0.940","0.943","0.887","-3.73%"
"Apr 29, 2020","0.938","1.000","1.000","0.935","-6.11%"
"Apr 28, 2020","0.999","1.007","1.047","0.997","-0.60%"
"Apr 27, 2020","1.005","1.006","1.011","0.997","0.50%"
"Apr 24, 2020","1.000","1.029","1.030","1.000","-2.72%"
"Apr 23, 2020","1.028","1.033","1.044","1.024","-0.87%"
"Apr 22, 2020","1.037","1.023","1.043","1.003","1.27%"
"Apr 21, 2020","1.024","1.032","1.036","1.022","-1.06%"
"Apr 20, 2020","1.035","1.037","1.040","1.022","0.73%"
"Apr 18, 2020","1.028","1.028","1.028","1.028","-1.77%"
"Apr 17, 2020","1.046","0.982","1.053","0.982","2.75%"
"Apr 16, 2020","1.018","1.067","1.069","1.007","-4.77%"
"Apr 15, 2020","1.069","1.100","1.100","1.064","-3.35%"
"Apr 14, 2020","1.106","1.097","1.112","1.097","0.82%"
"Apr 13, 2020","1.097","1.092","1.109","1.092","0.00%"
"Apr 09, 2020","1.097","1.101","1.105","1.081","-0.63%"
"Apr 08, 2020","1.104","1.108","1.108","1.088","-0.36%"
"Apr 07, 2020","1.108","1.070","1.116","1.070","3.75%"
"Apr 06, 2020","1.068","1.037","1.093","1.037","4.20%"
"Apr 05, 2020","1.025","1.025","1.025","1.025","0.00%"
"Apr 04, 2020","1.025","1.025","1.025","1.025","-1.16%"
"Apr 03, 2020","1.037","1.098","1.098","1.021","-6.24%"
"Apr 02, 2020","1.106","1.255","1.255","1.055","-11.87%"
"Apr 01, 2020","1.255","1.287","1.298","1.248","-2.94%"
"Mar 31, 2020","1.293","1.244","1.314","1.244","4.27%"
"Mar 30, 2020","1.240","1.371","1.371","1.232","-8.76%"
"Mar 29, 2020","1.359","1.359","1.359","1.359","-0.88%"
"Mar 27, 2020","1.371","1.416","1.437","1.353","-2.63%"
"Mar 26, 2020","1.408","1.482","1.482","1.408","-5.12%"
"Mar 25, 2020","1.484","1.591","1.591","1.456","-4.29%"
"Mar 24, 2020","1.551","1.544","1.581","1.515","-0.89%"
"Mar 23, 2020","1.564","1.635","1.635","1.523","-4.25%"
"Mar 20, 2020","1.634","1.768","1.817","1.634","-8.15%"
"Mar 19, 2020","1.779","1.608","1.848","1.608","10.70%"
"Mar 18, 2020","1.607","1.399","1.620","1.399","14.87%"
"Mar 17, 2020","1.399","1.364","1.429","1.364","2.57%"
"Mar 16, 2020","1.364","1.481","1.481","1.331","-7.65%"
"Mar 13, 2020","1.477","1.263","1.490","1.263","16.67%"
"Mar 12, 2020","1.266","1.191","1.291","1.151","6.39%"
"Mar 11, 2020","1.190","1.172","1.228","1.169","1.45%"
"Mar 10, 2020","1.173","1.011","1.197","1.011","15.79%"
"Mar 09, 2020","1.013","1.222","1.222","1.008","-16.73%"
"Mar 07, 2020","1.217","1.217","1.217","1.217","0.37%"
"Mar 06, 2020","1.212","1.345","1.345","1.212","-9.62%"
"Mar 05, 2020","1.341","1.348","1.389","1.324","-0.81%"
"Mar 04, 2020","1.352","1.355","1.380","1.340","-7.08%"
"Mar 03, 2020","1.455","1.409","1.500","1.409","2.68%"
"Mar 02, 2020","1.417","1.382","1.437","1.312","2.31%"
"Feb 28, 2020","1.385","1.431","1.431","1.360","-5.20%"
"Feb 27, 2020","1.461","1.511","1.511","1.437","-3.56%"
"Feb 26, 2020","1.515","1.589","1.589","1.495","-4.72%"
"Feb 25, 2020","1.590","1.581","1.602","1.571","0.89%"
"Feb 24, 2020","1.576","1.630","1.630","1.576","-3.02%"
"Feb 21, 2020","1.625","1.659","1.659","1.624","-2.05%"
"Feb 20, 2020","1.659","1.658","1.668","1.658","0.30%"
"Feb 19, 2020","1.654","1.659","1.670","1.640","0.24%"
"Feb 18, 2020","1.650","1.650","1.660","1.640","-0.60%"
"Feb 17, 2020","1.660","1.670","1.680","1.656","-0.39%"
"Feb 15, 2020","1.666","1.666","1.666","1.666","-0.21%"
"Feb 14, 2020","1.670","1.690","1.695","1.666","-1.18%"
"Feb 13, 2020","1.690","1.706","1.731","1.671","-1.23%"
"Feb 12, 2020","1.711","1.700","1.711","1.690","0.65%"
"Feb 11, 2020","1.700","1.712","1.718","1.687","-0.70%"
"Feb 10, 2020","1.712","1.693","1.714","1.683","1.30%"
"Feb 08, 2020","1.690","1.690","1.690","1.690","0.00%"
"Feb 07, 2020","1.690","1.704","1.714","1.674","-1.00%"
"Feb 06, 2020","1.707","1.659","1.739","1.659","2.89%"
"Feb 05, 2020","1.659","1.627","1.667","1.617","1.97%"
"Feb 04, 2020","1.627","1.598","1.638","1.588","1.81%"
"Feb 03, 2020","1.598","1.608","1.608","1.579","-0.37%"
"Feb 01, 2020","1.604","1.604","1.604","1.604","-0.06%"
"Jan 31, 2020","1.605","1.590","1.625","1.590","0.94%"
"Jan 30, 2020","1.590","1.617","1.617","1.582","-1.67%"
"Jan 29, 2020","1.617","1.597","1.641","1.597","2.54%"
"Jan 28, 2020","1.577","1.573","1.577","1.573","-4.54%"
"Jan 25, 2020","1.652","1.652","1.652","1.652","-0.24%"
"Jan 24, 2020","1.656","1.663","1.673","1.644","-0.42%"
"Jan 23, 2020","1.663","1.707","1.707","1.657","-2.58%"
"Jan 22, 2020","1.707","1.709","1.719","1.700","-0.18%"
"Jan 21, 2020","1.710","1.714","1.724","1.699","-0.81%"
"Jan 20, 2020","1.724","1.734","1.735","1.723","-0.29%"
"Jan 17, 2020","1.729","1.741","1.756","1.729","-0.52%"
"Jan 16, 2020","1.738","1.738","1.754","1.729","0.00%"
"Jan 15, 2020","1.738","1.747","1.762","1.738","-0.80%"
"Jan 14, 2020","1.752","1.747","1.768","1.747","0.29%"
"Jan 13, 2020","1.747","1.743","1.768","1.723","0.40%"
"Jan 11, 2020","1.740","1.740","1.740","1.740","-0.85%"
"Jan 10, 2020","1.755","1.756","1.756","1.736","-0.06%"
"Jan 09, 2020","1.756","1.737","1.768","1.737","1.39%"
"Jan 08, 2020","1.732","1.756","1.756","1.707","-0.86%"
"Jan 07, 2020","1.747","1.741","1.761","1.741","0.52%"
"Jan 06, 2020","1.738","1.756","1.757","1.721","-0.86%"
"Jan 04, 2020","1.753","1.753","1.753","1.753","-0.40%"
"Jan 03, 2020","1.760","1.771","1.776","1.750","-0.96%"
"Jan 02, 2020","1.777","1.742","1.783","1.742","2.30%"
"Jan 01, 2020","1.737","1.737","1.737","1.737","-0.17%"
