"Date","Price","Open","High","Low","Change %"
"Aug 26, 2020","0.252","0.252","0.252","0.252","0.00%"
"Aug 25, 2020","0.252","0.252","0.252","0.252","0.40%"
"Aug 24, 2020","0.251","0.278","0.278","0.251","1.21%"
"Aug 21, 2020","0.248","0.280","0.280","0.248","-1.59%"
"Aug 20, 2020","0.252","0.278","0.278","0.252","0.00%"
"Aug 19, 2020","0.252","0.278","0.278","0.252","0.00%"
"Aug 18, 2020","0.252","0.252","0.252","0.252","4.13%"
"Aug 17, 2020","0.242","0.242","0.242","0.242","1.26%"
"Aug 14, 2020","0.239","0.239","0.239","0.239","0.00%"
"Aug 13, 2020","0.239","0.239","0.239","0.239","0.00%"
"Aug 12, 2020","0.239","0.239","0.239","0.239","-0.42%"
"Aug 11, 2020","0.240","0.240","0.240","0.240","-0.83%"
"Aug 07, 2020","0.242","0.242","0.242","0.242","1.26%"
"Aug 06, 2020","0.239","0.239","0.239","0.239","-11.15%"
"Aug 03, 2020","0.269","0.269","0.269","0.269","-0.74%"
"Jul 30, 2020","0.271","0.271","0.271","0.271","0.00%"
"Jul 29, 2020","0.271","0.271","0.271","0.271","0.00%"
"Jul 28, 2020","0.271","0.271","0.271","0.271","18.86%"
"Jul 27, 2020","0.228","0.278","0.278","0.228","-18.57%"
"Jul 24, 2020","0.280","0.280","0.280","0.280","26.13%"
"Jul 23, 2020","0.222","0.278","0.278","0.222","0.00%"
"Jul 22, 2020","0.222","0.278","0.278","0.222","0.00%"
"Jul 21, 2020","0.222","0.222","0.222","0.222","-2.63%"
"Jul 20, 2020","0.228","0.278","0.278","0.228","4.11%"
"Jul 18, 2020","0.219","0.219","0.219","0.219","-4.78%"
"Jul 17, 2020","0.230","0.280","0.280","0.230","0.00%"
"Jul 16, 2020","0.230","0.278","0.278","0.230","-17.27%"
"Jul 15, 2020","0.278","0.230","0.278","0.230","20.87%"
"Jul 14, 2020","0.230","0.230","0.230","0.230","0.88%"
"Jul 13, 2020","0.228","0.301","0.301","0.228","-24.50%"
"Jul 09, 2020","0.302","0.302","0.302","0.302","15.27%"
"Jul 08, 2020","0.262","0.302","0.302","0.262","1.16%"
"Jul 07, 2020","0.259","0.291","0.291","0.259","-0.38%"
"Jul 06, 2020","0.260","0.260","0.260","0.260","-0.76%"
"Jul 03, 2020","0.262","0.262","0.262","0.262","0.38%"
"Jul 02, 2020","0.261","0.261","0.261","0.261","0.00%"
"Jul 01, 2020","0.261","0.261","0.261","0.261","0.00%"
"Jun 30, 2020","0.261","0.261","0.261","0.261","0.38%"
"Jun 29, 2020","0.260","0.352","0.352","0.260","-0.76%"
"Jun 26, 2020","0.262","0.352","0.352","0.262","0.38%"
"Jun 25, 2020","0.261","0.348","0.348","0.261","0.00%"
"Jun 24, 2020","0.261","0.261","0.261","0.261","9.21%"
"Jun 23, 2020","0.239","0.239","0.239","0.239","4.82%"
"Jun 22, 2020","0.228","0.219","0.228","0.219","15.15%"
"Jun 19, 2020","0.198","0.248","0.248","0.198","-10.81%"
"Jun 18, 2020","0.222","0.252","0.252","0.222","11.00%"
"Jun 17, 2020","0.200","0.252","0.252","0.200","0.00%"
"Jun 16, 2020","0.200","0.200","0.200","0.200","-0.50%"
"Jun 15, 2020","0.201","0.251","0.251","0.201","1.52%"
"Jun 12, 2020","0.198","0.248","0.248","0.198","-1.00%"
"Jun 11, 2020","0.200","0.252","0.252","0.200","0.00%"
"Jun 10, 2020","0.200","0.252","0.252","0.200","0.00%"
"Jun 09, 2020","0.200","0.200","0.200","0.200","-0.50%"
"Jun 08, 2020","0.201","0.251","0.251","0.201","1.52%"
"Jun 05, 2020","0.198","0.248","0.248","0.198","-21.43%"
"Jun 04, 2020","0.252","0.252","0.252","0.252","26.00%"
"Jun 03, 2020","0.200","0.252","0.252","0.200","0.50%"
"Jun 02, 2020","0.199","0.250","0.250","0.199","-20.72%"
"Jun 01, 2020","0.251","0.251","0.251","0.251","1.21%"
"May 29, 2020","0.248","0.248","0.248","0.248","39.33%"
"May 28, 2020","0.178","0.252","0.252","0.178","0.00%"
"May 27, 2020","0.178","0.178","0.178","0.178","74.51%"
"May 26, 2020","0.102","0.102","0.102","0.102","-99.90%"
"May 22, 2020","99.982","0.057","0.057","0.057","128,082.05%"
"May 21, 2020","0.078","0.078","0.078","0.078","-22.00%"
"May 20, 2020","0.100","0.100","0.100","0.100","-34.21%"
"May 19, 2020","0.152","0.152","0.152","0.152","0.66%"
"May 18, 2020","0.151","0.251","0.251","0.151","-16.11%"
"May 15, 2020","0.180","0.248","0.248","0.180","1.12%"
"May 14, 2020","0.178","0.252","0.252","0.178","-29.37%"
"May 13, 2020","0.252","0.252","0.252","0.252","0.00%"
"May 12, 2020","0.252","0.252","0.252","0.252","-28.41%"
"May 11, 2020","0.352","0.352","0.352","0.352","1.15%"
"May 08, 2020","0.348","0.348","0.348","0.348","-0.29%"
"May 06, 2020","0.349","0.349","0.349","0.349","5.12%"
"May 05, 2020","0.332","0.332","0.332","0.332","-17.41%"
"May 04, 2020","0.402","0.452","0.452","0.402","8.65%"
"Apr 30, 2020","0.370","0.451","0.451","0.370","-7.73%"
"Apr 29, 2020","0.401","0.451","0.451","0.401","0.00%"
"Apr 28, 2020","0.401","0.401","0.401","0.401","-11.28%"
"Apr 27, 2020","0.452","0.452","0.452","0.452","12.72%"
"Apr 24, 2020","0.401","0.401","0.401","0.401","0.25%"
"Apr 23, 2020","0.400","0.400","0.400","0.400","-10.71%"
"Apr 22, 2020","0.448","0.448","0.448","0.448","0.00%"
"Apr 21, 2020","0.448","0.448","0.448","0.448","-10.04%"
"Apr 20, 2020","0.498","0.498","0.498","0.498","-4.05%"
"Apr 17, 2020","0.519","0.519","0.519","0.519","-13.50%"
"Apr 15, 2020","0.600","0.600","0.600","0.600","-0.17%"
"Apr 14, 2020","0.601","0.791","0.791","0.601","-16.76%"
"Apr 13, 2020","0.722","0.791","0.791","0.722","0.00%"
"Apr 09, 2020","0.722","0.790","0.790","0.722","0.00%"
"Apr 08, 2020","0.722","0.790","0.790","0.722","0.00%"
"Apr 07, 2020","0.722","0.722","0.722","0.722","31.75%"
"Apr 06, 2020","0.548","0.781","0.781","0.548","-24.10%"
"Apr 05, 2020","0.722","0.722","0.722","0.722","0.00%"
"Apr 04, 2020","0.722","0.722","0.722","0.722","-7.55%"
"Apr 03, 2020","0.781","0.781","0.781","0.781","0.26%"
"Apr 02, 2020","0.779","0.779","0.779","0.779","0.00%"
