"Date","Price","Open","High","Low","Change %"
"Dec 31, 2009","0.571","0.571","0.571","0.571","7.74%"
"Dec 30, 2009","0.530","0.530","0.530","0.530","-2.03%"
"Dec 29, 2009","0.541","0.541","0.541","0.541","136.24%"
"Jul 09, 2009","0.229","0.229","0.229","0.229","-4.18%"
"Jul 08, 2009","0.239","0.239","0.239","0.239","0.00%"
"Jul 07, 2009","0.239","0.239","0.239","0.239","4.37%"
"Jul 06, 2009","0.229","0.229","0.229","0.229","3.62%"
"Jul 03, 2009","0.221","0.221","0.221","0.221","-11.24%"
"Jul 02, 2009","0.249","0.249","0.249","0.249","-1.19%"
"Jul 01, 2009","0.252","0.252","0.252","0.252","9.09%"
"Jun 30, 2009","0.231","0.231","0.231","0.231","4.52%"
"Jun 29, 2009","0.221","0.221","0.221","0.221","-3.49%"
"Jun 26, 2009","0.229","0.229","0.229","0.229","-10.89%"
"Jun 25, 2009","0.257","0.257","0.257","0.257","11.26%"
"Jun 24, 2009","0.231","0.231","0.231","0.231","0.00%"
"Jun 23, 2009","0.231","0.231","0.231","0.231","-4.15%"
"Jun 22, 2009","0.241","0.241","0.241","0.241","-4.74%"
"Jun 19, 2009","0.253","0.253","0.253","0.253","-1.56%"
"Jun 18, 2009","0.257","0.257","0.257","0.257","1.98%"
"Jun 17, 2009","0.252","0.252","0.252","0.252","9.09%"
"Jun 16, 2009","0.231","0.231","0.231","0.231","0.87%"
"Jun 15, 2009","0.229","0.229","0.229","0.229","-1.72%"
"Jun 12, 2009","0.233","0.233","0.233","0.233","-3.32%"
"Jun 11, 2009","0.241","0.241","0.241","0.241","4.33%"
"Jun 10, 2009","0.231","0.231","0.231","0.231","0.00%"
"Jun 09, 2009","0.231","0.231","0.231","0.231","-7.23%"
"Jun 08, 2009","0.249","0.249","0.249","0.249","3.32%"
"Jun 05, 2009","0.241","0.241","0.241","0.241","-3.21%"
"Jun 04, 2009","0.249","0.249","0.249","0.249","23.88%"
"Jun 03, 2009","0.201","0.201","0.201","0.201","1.01%"
"Jun 02, 2009","0.199","0.199","0.199","0.199","-0.50%"
"Jun 01, 2009","0.200","0.200","0.200","0.200","0.00%"
"May 29, 2009","0.200","0.200","0.200","0.200","5.82%"
"May 28, 2009","0.189","0.189","0.189","0.189","-13.30%"
"May 27, 2009","0.218","0.218","0.218","0.218","9.55%"
"May 26, 2009","0.199","0.199","0.199","0.199","5.29%"
"May 25, 2009","0.189","0.189","0.189","0.189","-11.27%"
"May 22, 2009","0.213","0.213","0.213","0.213","-10.13%"
"May 21, 2009","0.237","0.237","0.237","0.237","8.72%"
"May 20, 2009","0.218","0.218","0.218","0.218","7.39%"
"May 19, 2009","0.203","0.203","0.203","0.203","-2.87%"
"May 18, 2009","0.209","0.209","0.209","0.209","-5.43%"
"May 15, 2009","0.221","0.221","0.221","0.221","5.74%"
"May 14, 2009","0.209","0.209","0.209","0.209","-0.48%"
"May 13, 2009","0.210","0.210","0.210","0.210","-0.47%"
"May 12, 2009","0.211","0.211","0.211","0.211","0.96%"
"May 11, 2009","0.209","0.209","0.209","0.209","-5.43%"
"May 08, 2009","0.221","0.221","0.221","0.221","-3.49%"
"May 07, 2009","0.229","0.229","0.229","0.229","13.93%"
"May 06, 2009","0.201","0.201","0.201","0.201","5.24%"
"May 05, 2009","0.191","0.191","0.191","0.191","13.02%"
"May 04, 2009","0.169","0.169","0.169","0.169","-6.63%"
"Apr 30, 2009","0.181","0.181","0.181","0.181","-4.23%"
"Apr 29, 2009","0.189","0.189","0.189","0.189","-13.30%"
"Apr 28, 2009","0.218","0.218","0.218","0.218","9.00%"
"Apr 27, 2009","0.200","0.200","0.200","0.200","0.00%"
"Apr 24, 2009","0.200","0.200","0.200","0.200","-9.50%"
"Apr 23, 2009","0.221","0.221","0.221","0.221","-10.89%"
"Apr 22, 2009","0.248","0.248","0.248","0.248","2.06%"
"Apr 21, 2009","0.243","0.243","0.243","0.243","-2.41%"
"Apr 20, 2009","0.249","0.249","0.249","0.249","0.00%"
"Apr 17, 2009","0.249","0.249","0.249","0.249","-4.60%"
"Apr 16, 2009","0.261","0.261","0.261","0.261","-9.69%"
"Apr 15, 2009","0.289","0.289","0.289","0.289","6.25%"
"Apr 14, 2009","0.272","0.272","0.272","0.272","-3.20%"
"Apr 13, 2009","0.281","0.281","0.281","0.281","2.93%"
"Apr 09, 2009","0.273","0.273","0.273","0.273","-2.85%"
"Apr 08, 2009","0.281","0.281","0.281","0.281","4.46%"
"Apr 07, 2009","0.269","0.269","0.269","0.269","3.07%"
"Apr 06, 2009","0.261","0.261","0.261","0.261","3.16%"
"Apr 03, 2009","0.253","0.253","0.253","0.253","1.61%"
"Apr 02, 2009","0.249","0.249","0.249","0.249","-1.19%"
"Apr 01, 2009","0.252","0.252","0.252","0.252","-3.08%"
"Mar 31, 2009","0.260","0.260","0.260","0.260","-13.62%"
