"Date","Price","Open","High","Low","Change %"
"Dec 31, 1999","6.960","6.960","6.960","6.960","0.58%"
"Dec 30, 1999","6.920","6.920","6.920","6.920","-0.86%"
"Dec 29, 1999","6.980","6.980","6.980","6.980","1.60%"
"Dec 24, 1999","6.870","6.870","6.870","6.870","0.29%"
"Dec 23, 1999","6.850","6.850","6.850","6.850","0.29%"
"Dec 22, 1999","6.830","6.830","6.830","6.830","0.00%"
"Dec 21, 1999","6.830","6.830","6.830","6.830","0.74%"
"Dec 20, 1999","6.780","6.780","6.780","6.780","-0.73%"
"Dec 17, 1999","6.830","6.830","6.830","6.830","0.00%"
"Dec 16, 1999","6.830","6.830","6.830","6.830","1.64%"
"Dec 15, 1999","6.720","6.720","6.720","6.720","1.66%"
"Dec 14, 1999","6.610","6.610","6.610","6.610","0.61%"
"Dec 13, 1999","6.570","6.570","6.570","6.570","-0.30%"
"Dec 10, 1999","6.590","6.590","6.590","6.590","0.46%"
"Dec 09, 1999","6.560","6.560","6.560","6.560","0.61%"
"Dec 08, 1999","6.520","6.520","6.520","6.520","-1.51%"
"Dec 07, 1999","6.620","6.620","6.620","6.620","-0.15%"
"Dec 06, 1999","6.630","6.630","6.630","6.630","-1.04%"
"Dec 03, 1999","6.700","6.700","6.700","6.700","0.75%"
"Dec 02, 1999","6.650","6.650","6.650","6.650","0.30%"
"Dec 01, 1999","6.630","6.630","6.630","6.630","-0.15%"
"Nov 30, 1999","6.640","6.640","6.640","6.640","0.45%"
"Nov 29, 1999","6.610","6.610","6.610","6.610","-0.30%"
"Nov 26, 1999","6.630","6.630","6.630","6.630","-0.30%"
"Nov 25, 1999","6.650","6.650","6.650","6.650","1.22%"
"Nov 24, 1999","6.570","6.570","6.570","6.570","-0.76%"
"Nov 23, 1999","6.620","6.620","6.620","6.620","0.91%"
"Nov 22, 1999","6.560","6.560","6.560","6.560","0.61%"
"Nov 19, 1999","6.520","6.520","6.520","6.520","-0.31%"
"Nov 18, 1999","6.540","6.540","6.540","6.540","1.08%"
"Nov 17, 1999","6.470","6.470","6.470","6.470","0.78%"
"Nov 16, 1999","6.420","6.420","6.420","6.420","0.00%"
"Nov 15, 1999","6.420","6.420","6.420","6.420","-1.68%"
"Nov 12, 1999","6.530","6.530","6.530","6.530","-1.06%"
"Nov 11, 1999","6.600","6.600","6.600","6.600","0.92%"
"Nov 10, 1999","6.540","6.540","6.540","6.540","0.15%"
"Nov 09, 1999","6.530","6.530","6.530","6.530","0.15%"
"Nov 08, 1999","6.520","6.520","6.520","6.520","0.46%"
"Nov 05, 1999","6.490","6.490","6.490","6.490","0.00%"
"Nov 04, 1999","6.490","6.490","6.490","6.490","-2.11%"
"Nov 03, 1999","6.630","6.630","6.630","6.630","0.61%"
"Nov 02, 1999","6.590","6.590","6.590","6.590","-1.20%"
"Nov 01, 1999","6.670","6.670","6.670","6.670","0.60%"
"Oct 29, 1999","6.630","6.630","6.630","6.630","-1.49%"
"Oct 28, 1999","6.730","6.730","6.730","6.730","-2.04%"
"Oct 27, 1999","6.870","6.870","6.870","6.870","0.88%"
"Oct 26, 1999","6.810","6.810","6.810","6.810","0.89%"
"Oct 25, 1999","6.750","6.750","6.750","6.750","-0.30%"
"Oct 22, 1999","6.770","6.770","6.770","6.770","0.89%"
"Oct 21, 1999","6.710","6.710","6.710","6.710","-0.30%"
"Oct 20, 1999","6.730","6.730","6.730","6.730","0.00%"
"Oct 19, 1999","6.730","6.730","6.730","6.730","1.82%"
"Oct 18, 1999","6.610","6.610","6.610","6.610","-1.20%"
"Oct 15, 1999","6.690","6.690","6.690","6.690","0.60%"
"Oct 14, 1999","6.650","6.650","6.650","6.650","2.31%"
"Oct 13, 1999","6.500","6.500","6.500","6.500","0.15%"
"Oct 12, 1999","6.490","6.490","6.490","6.490","0.00%"
"Oct 11, 1999","6.490","6.490","6.490","6.490","0.00%"
"Oct 08, 1999","6.490","6.490","6.490","6.490","-0.31%"
"Oct 07, 1999","6.510","6.510","6.510","6.510","0.46%"
"Oct 06, 1999","6.480","6.480","6.480","6.480","1.41%"
"Oct 05, 1999","6.390","6.390","6.390","6.390","-0.16%"
"Oct 04, 1999","6.400","6.400","6.400","6.400","1.43%"
"Oct 01, 1999","6.310","6.310","6.310","6.310","0.16%"
"Sep 30, 1999","6.300","6.300","6.300","6.300","0.80%"
"Sep 29, 1999","6.250","6.250","6.250","6.250","1.13%"
"Sep 28, 1999","6.180","6.180","6.180","6.180","0.98%"
"Sep 27, 1999","6.120","6.120","6.120","6.120","-1.29%"
"Sep 24, 1999","6.200","6.200","6.200","6.200","-2.52%"
"Sep 23, 1999","6.360","6.360","6.360","6.360","0.00%"
"Sep 22, 1999","6.360","6.360","6.360","6.360","0.32%"
"Sep 21, 1999","6.340","6.340","6.340","6.340","0.48%"
"Sep 20, 1999","6.310","6.310","6.310","6.310","0.64%"
"Sep 17, 1999","6.270","6.270","6.270","6.270","-1.57%"
"Sep 16, 1999","6.370","6.370","6.370","6.370","-1.39%"
"Sep 15, 1999","6.460","6.460","6.460","6.460","1.73%"
"Sep 14, 1999","6.350","6.350","6.350","6.350","-0.31%"
"Sep 13, 1999","6.370","6.370","6.370","6.370","-1.70%"
"Sep 10, 1999","6.480","6.480","6.480","6.480","0.47%"
"Sep 09, 1999","6.450","6.450","6.450","6.450","0.31%"
"Sep 08, 1999","6.430","6.430","6.430","6.430","1.10%"
"Sep 07, 1999","6.360","6.360","6.360","6.360","0.63%"
"Sep 06, 1999","6.320","6.320","6.320","6.320","-2.17%"
"Sep 03, 1999","6.460","6.460","6.460","6.460","0.94%"
"Sep 02, 1999","6.400","6.400","6.400","6.400","0.47%"
"Sep 01, 1999","6.370","6.370","6.370","6.370","0.31%"
"Aug 31, 1999","6.350","6.350","6.350","6.350","0.79%"
"Aug 30, 1999","6.300","6.300","6.300","6.300","1.94%"
"Aug 27, 1999","6.180","6.180","6.180","6.180","0.82%"
"Aug 26, 1999","6.130","6.130","6.130","6.130","-2.54%"
"Aug 25, 1999","6.290","6.290","6.290","6.290","-0.16%"
"Aug 24, 1999","6.300","6.300","6.300","6.300","-0.16%"
"Aug 23, 1999","6.310","6.310","6.310","6.310","-0.32%"
"Aug 20, 1999","6.330","6.330","6.330","6.330","0.00%"
"Aug 19, 1999","6.330","6.330","6.330","6.330","0.16%"
