"Date","Price","Open","High","Low","Change %"
"Aug 21, 2020","0.281","0.282","0.301","0.279","-0.71%"
"Aug 20, 2020","0.283","0.288","0.301","0.271","-1.05%"
"Aug 19, 2020","0.286","0.287","0.290","0.265","-0.35%"
"Aug 18, 2020","0.287","0.285","0.291","0.264","-0.35%"
"Aug 17, 2020","0.288","0.283","0.291","0.269","2.49%"
"Aug 14, 2020","0.281","0.283","0.286","0.278","1.44%"
"Aug 13, 2020","0.277","0.280","0.283","0.275","-1.42%"
"Aug 12, 2020","0.281","0.274","0.285","0.274","-1.40%"
"Aug 11, 2020","0.285","0.268","0.287","0.268","2.15%"
"Aug 10, 2020","0.279","0.268","0.283","0.268","0.36%"
"Aug 07, 2020","0.278","0.268","0.282","0.246","1.09%"
"Aug 06, 2020","0.275","0.270","0.277","0.259","-1.08%"
"Aug 05, 2020","0.278","0.267","0.278","0.253","4.12%"
"Aug 04, 2020","0.267","0.273","0.293","0.257","-4.64%"
"Aug 03, 2020","0.280","0.271","0.297","0.271","9.80%"
"Aug 02, 2020","0.255","0.255","0.255","0.255","-7.94%"
"Jul 31, 2020","0.277","0.278","0.288","0.252","-3.48%"
"Jul 30, 2020","0.287","0.279","0.289","0.275","3.24%"
"Jul 29, 2020","0.278","0.278","0.285","0.270","-1.77%"
"Jul 28, 2020","0.283","0.282","0.298","0.258","-3.08%"
"Jul 27, 2020","0.292","0.273","0.293","0.263","1.74%"
"Jul 26, 2020","0.287","0.286","0.287","0.286","0.00%"
"Jul 25, 2020","0.287","0.286","0.287","0.286","-0.35%"
"Jul 24, 2020","0.288","0.278","0.292","0.259","-0.69%"
"Jul 23, 2020","0.290","0.291","0.292","0.259","0.69%"
"Jul 22, 2020","0.288","0.285","0.290","0.263","1.05%"
"Jul 21, 2020","0.285","0.283","0.290","0.277","0.00%"
"Jul 20, 2020","0.285","0.285","0.286","0.279","0.35%"
"Jul 19, 2020","0.284","0.284","0.284","0.284","0.00%"
"Jul 18, 2020","0.284","0.284","0.284","0.284","1.07%"
"Jul 17, 2020","0.281","0.279","0.289","0.273","-0.35%"
"Jul 16, 2020","0.282","0.284","0.288","0.269","3.68%"
"Jul 15, 2020","0.272","0.271","0.288","0.267","0.00%"
"Jul 14, 2020","0.272","0.271","0.280","0.266","0.00%"
"Jul 13, 2020","0.272","0.260","0.282","0.260","0.37%"
"Jul 11, 2020","0.271","0.271","0.271","0.271","-0.37%"
"Jul 10, 2020","0.272","0.262","0.276","0.261","-0.73%"
"Jul 09, 2020","0.274","0.268","0.280","0.249","0.00%"
"Jul 08, 2020","0.274","0.263","0.274","0.255","0.74%"
"Jul 07, 2020","0.272","0.267","0.272","0.237","0.74%"
"Jul 06, 2020","0.270","0.263","0.274","0.242","10.20%"
"Jul 05, 2020","0.245","0.245","0.245","0.245","-2.58%"
"Jul 04, 2020","0.252","0.252","0.252","0.252","-5.81%"
"Jul 03, 2020","0.267","0.264","0.270","0.264","-1.11%"
"Jul 02, 2020","0.270","0.268","0.282","0.266","-0.37%"
"Jul 01, 2020","0.271","0.267","0.273","0.255","-0.37%"
"Jun 30, 2020","0.272","0.263","0.284","0.262","3.42%"
"Jun 29, 2020","0.263","0.260","0.265","0.258","11.91%"
"Jun 28, 2020","0.235","0.235","0.235","0.235","-5.43%"
"Jun 27, 2020","0.249","0.249","0.249","0.249","-6.58%"
"Jun 26, 2020","0.266","0.265","0.267","0.264","-2.92%"
"Jun 25, 2020","0.274","0.266","0.274","0.261","0.37%"
"Jun 24, 2020","0.273","0.277","0.283","0.269","-2.50%"
"Jun 23, 2020","0.280","0.280","0.286","0.262","-1.75%"
"Jun 22, 2020","0.285","0.273","0.285","0.273","11.76%"
"Jun 21, 2020","0.255","0.255","0.255","0.255","-2.86%"
"Jun 20, 2020","0.262","0.262","0.262","0.262","-4.20%"
"Jun 19, 2020","0.274","0.279","0.281","0.267","0.37%"
"Jun 18, 2020","0.273","0.287","0.287","0.268","-1.09%"
"Jun 17, 2020","0.276","0.287","0.287","0.268","-2.82%"
"Jun 16, 2020","0.284","0.285","0.291","0.275","0.00%"
"Jun 15, 2020","0.284","0.291","0.291","0.278","7.17%"
"Jun 14, 2020","0.265","0.272","0.272","0.265","-2.57%"
"Jun 13, 2020","0.272","0.272","0.272","0.272","-4.90%"
"Jun 12, 2020","0.286","0.295","0.297","0.276","-2.72%"
"Jun 11, 2020","0.294","0.300","0.307","0.286","-2.00%"
"Jun 10, 2020","0.300","0.307","0.309","0.271","0.00%"
"Jun 09, 2020","0.300","0.304","0.310","0.292","5.63%"
"Jun 08, 2020","0.284","0.291","0.291","0.278","4.22%"
"Jun 07, 2020","0.273","0.285","0.285","0.273","-6.36%"
"Jun 06, 2020","0.291","0.285","0.291","0.285","-0.68%"
"Jun 05, 2020","0.293","0.315","0.315","0.291","-1.01%"
"Jun 04, 2020","0.296","0.310","0.312","0.284","1.37%"
"Jun 03, 2020","0.292","0.303","0.317","0.278","0.69%"
"Jun 02, 2020","0.290","0.296","0.300","0.237","0.69%"
"Jun 01, 2020","0.288","0.303","0.331","0.274","6.67%"
"May 31, 2020","0.270","0.250","0.270","0.250","0.75%"
"May 30, 2020","0.268","0.268","0.268","0.268","-4.63%"
"May 29, 2020","0.281","0.286","0.325","0.269","2.93%"
"May 28, 2020","0.273","0.286","0.317","0.228","0.37%"
"May 27, 2020","0.272","0.284","0.284","0.221","-0.73%"
"May 26, 2020","0.274","0.287","0.287","0.249","2.24%"
"May 25, 2020","0.268","0.288","0.318","0.267","-1.47%"
"May 24, 2020","0.272","0.260","0.272","0.250","1.30%"
"May 23, 2020","0.269","0.260","0.269","0.260","-3.76%"
"May 22, 2020","0.279","0.285","0.287","0.269","0.36%"
"May 21, 2020","0.278","0.277","0.293","0.271","-2.80%"
"May 20, 2020","0.286","0.281","0.294","0.238","3.25%"
"May 19, 2020","0.277","0.293","0.319","0.268","2.59%"
"May 18, 2020","0.270","0.258","0.286","0.258","6.30%"
"May 17, 2020","0.254","0.255","0.255","0.254","-0.78%"
"May 16, 2020","0.256","0.256","0.256","0.256","-6.23%"
"May 15, 2020","0.273","0.276","0.283","0.229","-0.36%"
"May 14, 2020","0.274","0.263","0.302","0.247","2.24%"
