"Date","Price","Open","High","Low","Change %"
"Aug 17, 2020","-0.553","-0.559","-0.553","-0.563","-1.21%"
"Aug 14, 2020","-0.560","-0.541","-0.536","-0.570","-0.36%"
"Aug 13, 2020","-0.562","-0.544","-0.541","-0.568","3.27%"
"Aug 12, 2020","-0.544","-0.546","-0.544","-0.565","-3.29%"
"Aug 11, 2020","-0.563","-0.560","-0.546","-0.563","-0.34%"
"Aug 10, 2020","-0.564","-0.567","-0.560","-0.569","-0.72%"
"Aug 07, 2020","-0.568","-0.566","-0.564","-0.571","0.49%"
"Aug 06, 2020","-0.566","-0.566","-0.563","-0.568","0.23%"
"Aug 05, 2020","-0.564","-0.564","-0.562","-0.567","0.09%"
"Aug 04, 2020","-0.564","-0.562","-0.560","-0.566","0.45%"
"Aug 03, 2020","-0.561","-0.561","-0.557","-0.563","-0.16%"
"Jul 31, 2020","-0.562","-0.562","-0.560","-0.565","-0.35%"
"Jul 30, 2020","-0.564","-0.559","-0.559","-0.570","0.68%"
"Jul 29, 2020","-0.561","-0.561","-0.556","-0.563","0.92%"
"Jul 28, 2020","-0.555","-0.555","-0.555","-0.563","-0.82%"
"Jul 27, 2020","-0.560","-0.560","-0.550","-0.562","0.54%"
"Jul 24, 2020","-0.557","-0.555","-0.520","-0.559","-0.34%"
"Jul 23, 2020","-0.559","-0.557","-0.555","-0.561","-0.20%"
"Jul 22, 2020","-0.560","-0.560","-0.558","-0.565","-0.32%"
"Jul 21, 2020","-0.562","-0.555","-0.550","-0.565","1.23%"
"Jul 20, 2020","-0.555","-0.557","-0.551","-0.565","0.00%"
"Jul 17, 2020","-0.555","-0.555","-0.552","-0.557","0.18%"
"Jul 16, 2020","-0.554","-0.544","-0.544","-0.554","1.47%"
"Jul 15, 2020","-0.546","-0.551","-0.544","-0.551","-0.91%"
"Jul 14, 2020","-0.551","-0.553","-0.546","-0.553","0.18%"
"Jul 13, 2020","-0.550","-0.555","-0.546","-0.555","0.36%"
"Jul 10, 2020","-0.548","-0.543","-0.543","-0.550","0.00%"
"Jul 09, 2020","-0.548","-0.539","-0.536","-0.550","1.48%"
"Jul 08, 2020","-0.540","-0.536","-0.531","-0.540","0.37%"
"Jul 07, 2020","-0.538","-0.529","-0.529","-0.538","0.75%"
"Jul 06, 2020","-0.534","-0.534","-0.527","-0.540","0.95%"
"Jul 03, 2020","-0.529","-0.529","-0.527","-0.532","0.38%"
"Jul 02, 2020","-0.527","-0.522","-0.517","-0.534","0.96%"
"Jul 01, 2020","-0.522","-0.520","-0.517","-0.525","0.77%"
"Jun 30, 2020","-0.518","-0.511","-0.511","-0.520","0.58%"
"Jun 29, 2020","-0.515","-0.518","-0.511","-0.518","0.78%"
"Jun 26, 2020","-0.511","-0.520","-0.511","-0.522","-1.73%"
"Jun 25, 2020","-0.520","-0.525","-0.518","-0.527","-1.33%"
"Jun 24, 2020","-0.527","-0.529","-0.525","-0.531","-0.38%"
"Jun 23, 2020","-0.529","-0.536","-0.529","-0.538","-1.31%"
"Jun 22, 2020","-0.536","-0.544","-0.531","-0.549","-4.25%"
"Jun 19, 2020","-0.560","-0.532","-0.529","-0.562","4.75%"
"Jun 18, 2020","-0.534","-0.524","-0.524","-0.539","1.87%"
"Jun 17, 2020","-0.525","-0.517","-0.515","-0.525","2.30%"
"Jun 16, 2020","-0.513","-0.503","-0.503","-0.518","2.27%"
"Jun 15, 2020","-0.501","-0.494","-0.492","-0.506","1.33%"
"Jun 12, 2020","-0.495","-0.499","-0.490","-0.499","-0.54%"
"Jun 11, 2020","-0.498","-0.500","-0.495","-0.502","0.65%"
"Jun 10, 2020","-0.494","-0.501","-0.494","-0.505","-1.38%"
"Jun 09, 2020","-0.501","-0.501","-0.499","-0.503","0.36%"
"Jun 08, 2020","-0.499","-0.495","-0.491","-0.502","-2.08%"
"Jun 05, 2020","-0.510","-0.507","-0.504","-0.510","0.59%"
"Jun 04, 2020","-0.507","-0.512","-0.504","-0.514","-0.63%"
