"Date","Price","Open","High","Low","Change %"
"Dec 31, 2009","0.470","0.470","0.470","0.470","7.80%"
"Dec 30, 2009","0.436","0.436","0.436","0.436","1.40%"
"Dec 29, 2009","0.430","0.430","0.430","0.430","-0.23%"
"Dec 28, 2009","0.431","0.431","0.431","0.431","-6.30%"
"Dec 24, 2009","0.460","0.460","0.460","0.460","5.75%"
"Dec 23, 2009","0.435","0.435","0.435","0.435","-3.12%"
"Dec 22, 2009","0.449","0.449","0.449","0.449","-3.85%"
"Dec 21, 2009","0.467","0.467","0.467","0.467","6.14%"
"Dec 18, 2009","0.440","0.440","0.440","0.440","0.46%"
"Dec 17, 2009","0.438","0.438","0.438","0.438","-6.41%"
"Dec 16, 2009","0.468","0.468","0.468","0.468","0.00%"
"Dec 15, 2009","0.468","0.468","0.468","0.468","3.31%"
"Dec 14, 2009","0.453","0.453","0.453","0.453","-0.88%"
"Dec 11, 2009","0.457","0.457","0.457","0.457","-2.97%"
"Dec 10, 2009","0.471","0.471","0.471","0.471","4.43%"
"Dec 09, 2009","0.451","0.451","0.451","0.451","0.89%"
"Dec 08, 2009","0.447","0.447","0.447","0.447","-4.28%"
"Dec 07, 2009","0.467","0.467","0.467","0.467","-6.60%"
"Dec 04, 2009","0.500","0.500","0.500","0.500","10.62%"
"Dec 03, 2009","0.452","0.452","0.452","0.452","-10.67%"
"Dec 02, 2009","0.506","0.506","0.506","0.506","-6.64%"
"Dec 01, 2009","0.542","0.542","0.542","0.542","1.12%"
"Nov 30, 2009","0.536","0.536","0.536","0.536","-1.65%"
"Nov 27, 2009","0.545","0.545","0.545","0.545","0.00%"
"Nov 26, 2009","0.545","0.545","0.545","0.545","-1.09%"
"Nov 25, 2009","0.551","0.551","0.551","0.551","-0.72%"
"Nov 24, 2009","0.555","0.555","0.555","0.555","17.83%"
"Nov 23, 2009","0.471","0.471","0.471","0.471","1.07%"
"Nov 20, 2009","0.466","0.466","0.466","0.466","-11.07%"
