"Date","Price","Open","High","Low","Change %"
"Aug 17, 2020","-0.4091","-0.3810","-0.3740","-0.4140","8.37%"
"Aug 14, 2020","-0.3775","-0.3700","-0.3620","-0.3840","0.45%"
"Aug 13, 2020","-0.3758","-0.4300","-0.3670","-0.4400","-11.10%"
"Aug 12, 2020","-0.4227","-0.4340","-0.4010","-0.4410","-4.82%"
"Aug 11, 2020","-0.4441","-0.4730","-0.4310","-0.4830","-6.47%"
"Aug 10, 2020","-0.4748","-0.4480","-0.4390","-0.4880","4.65%"
"Aug 07, 2020","-0.4537","-0.4570","-0.4480","-0.4790","-3.14%"
"Aug 06, 2020","-0.4684","-0.4380","-0.4320","-0.4810","4.46%"
"Aug 05, 2020","-0.4484","-0.4720","-0.4350","-0.4820","-5.94%"
"Aug 04, 2020","-0.4767","-0.4470","-0.4420","-0.4900","6.19%"
"Aug 03, 2020","-0.4489","-0.4440","-0.4300","-0.4530","0.49%"
"Jul 31, 2020","-0.4467","-0.4630","-0.4300","-0.4750","-1.22%"
"Jul 30, 2020","-0.4522","-0.4270","-0.4230","-0.4640","7.03%"
"Jul 29, 2020","-0.4225","-0.4350","-0.4090","-0.4410","-1.56%"
"Jul 28, 2020","-0.4292","-0.4100","-0.4030","-0.4410","1.80%"
"Jul 27, 2020","-0.4216","-0.3820","-0.3750","-0.4250","10.86%"
"Jul 24, 2020","-0.3803","-0.4140","-0.3690","-0.4280","-9.19%"
"Jul 23, 2020","-0.4188","-0.4290","-0.4110","-0.4330","-1.67%"
"Jul 22, 2020","-0.4259","-0.3960","-0.3920","-0.4370","6.80%"
"Jul 21, 2020","-0.3988","-0.3950","-0.3870","-0.4100","0.18%"
"Jul 20, 2020","-0.3981","-0.3610","-0.3610","-0.4160","3.13%"
"Jul 19, 2020","-0.3860","-0.3860","-0.3860","-0.3860","1.61%"
"Jul 17, 2020","-0.3799","-0.3940","-0.3780","-0.4090","-4.48%"
"Jul 16, 2020","-0.3977","-0.3810","-0.3610","-0.4100","6.25%"
"Jul 15, 2020","-0.3743","-0.3640","-0.3600","-0.3890","1.57%"
"Jul 14, 2020","-0.3685","-0.3590","-0.3420","-0.3740","7.69%"
"Jul 13, 2020","-0.3422","-0.3620","-0.3320","-0.3810","-12.14%"
"Jul 11, 2020","-0.3895","-0.3895","-0.3895","-0.3895","1.06%"
"Jul 10, 2020","-0.3854","-0.3860","-0.3780","-0.3960","0.39%"
"Jul 09, 2020","-0.3839","-0.3640","-0.3610","-0.3900","4.18%"
"Jul 08, 2020","-0.3685","-0.3710","-0.3580","-0.3840","1.54%"
"Jul 07, 2020","-0.3629","-0.3800","-0.3470","-0.3830","-0.58%"
"Jul 06, 2020","-0.3650","-0.3490","-0.3460","-0.3750","1.50%"
"Jul 03, 2020","-0.3596","-0.3610","-0.3510","-0.3800","1.04%"
"Jul 02, 2020","-0.3559","-0.3070","-0.3030","-0.3640","14.84%"
"Jul 01, 2020","-0.3099","-0.3510","-0.3000","-0.3560","-15.99%"
"Jun 30, 2020","-0.3689","-0.3740","-0.3620","-0.3950","-1.91%"
"Jun 29, 2020","-0.3761","-0.3670","-0.3580","-0.3830","-1.93%"
"Jun 27, 2020","-0.3835","-0.3835","-0.3835","-0.3835","1.64%"
"Jun 26, 2020","-0.3773","-0.3710","-0.3630","-0.3830","1.67%"
"Jun 25, 2020","-0.3711","-0.3590","-0.3510","-0.3780","5.40%"
"Jun 24, 2020","-0.3521","-0.3150","-0.3060","-0.3560","6.25%"
"Jun 23, 2020","-0.3314","-0.3540","-0.3210","-0.3580","-8.22%"
"Jun 22, 2020","-0.3611","-0.3340","-0.3170","-0.3780","6.83%"
"Jun 20, 2020","-0.3380","-0.3380","-0.3380","-0.3380","0.99%"
"Jun 19, 2020","-0.3347","-0.3160","-0.2980","-0.3360","4.11%"
"Jun 18, 2020","-0.3215","-0.3020","-0.2910","-0.3310","3.94%"
"Jun 17, 2020","-0.3093","-0.2990","-0.2810","-0.3260","0.06%"
"Jun 16, 2020","-0.3091","-0.2900","-0.2850","-0.3200","1.64%"
"Jun 15, 2020","-0.3041","-0.3220","-0.2940","-0.3260","-1.11%"
"Jun 13, 2020","-0.3075","-0.3075","-0.3075","-0.3075","0.82%"
"Jun 12, 2020","-0.3050","-0.2620","-0.2550","-0.3070","17.22%"
"Jun 11, 2020","-0.2602","-0.2250","-0.2140","-0.2790","37.74%"
"Jun 10, 2020","-0.1889","-0.1980","-0.1740","-0.2130","-3.23%"
"Jun 09, 2020","-0.1952","-0.2190","-0.1920","-0.2410","-11.15%"
"Jun 08, 2020","-0.2197","-0.1900","-0.1720","-0.2290","18.25%"
"Jun 05, 2020","-0.1858","-0.1840","-0.1650","-0.2090","-7.75%"
"Jun 04, 2020","-0.2014","-0.1820","-0.1630","-0.2330","10.78%"
"Jun 03, 2020","-0.1818","-0.1930","-0.1700","-0.2210","-20.05%"
"Jun 02, 2020","-0.2274","-0.2220","-0.2120","-0.2420","8.08%"
"Jun 01, 2020","-0.2104","-0.2450","-0.1960","-0.2470","-15.91%"
"May 29, 2020","-0.2502","-0.2310","-0.2230","-0.2610","7.89%"
"May 28, 2020","-0.2319","-0.1870","-0.1800","-0.2430","19.84%"
"May 27, 2020","-0.1935","-0.1860","-0.1640","-0.2060","10.01%"
"May 26, 2020","-0.1759","-0.1950","-0.1620","-0.1990","-20.34%"
"May 25, 2020","-0.2208","-0.2200","-0.2070","-0.2280","1.28%"
"May 23, 2020","-0.2180","-0.2180","-0.2180","-0.2180","1.02%"
"May 22, 2020","-0.2158","-0.2360","-0.2090","-0.2440","-8.64%"
"May 21, 2020","-0.2362","-0.2250","-0.1920","-0.2360","11.15%"
"May 20, 2020","-0.2125","-0.1800","-0.1650","-0.2180","10.28%"
"May 19, 2020","-0.1927","-0.1780","-0.1650","-0.2130","12.62%"
"May 18, 2020","-0.1711","-0.1780","-0.1630","-0.2270","-15.21%"
"May 15, 2020","-0.2018","-0.2200","-0.1950","-0.2350","-9.14%"
"May 14, 2020","-0.2221","-0.2450","-0.2040","-0.2520","-1.46%"
"May 13, 2020","-0.2254","-0.2120","-0.2090","-0.2460","11.53%"
"May 12, 2020","-0.2021","-0.1820","-0.1720","-0.2160","-2.13%"
"May 11, 2020","-0.2065","-0.2220","-0.1990","-0.2280","-10.53%"
"May 08, 2020","-0.2308","-0.2380","-0.2170","-0.2480","5.29%"
"May 07, 2020","-0.2192","-0.1740","-0.1500","-0.2280","15.25%"
"May 06, 2020","-0.1902","-0.2380","-0.1810","-0.2470","-26.25%"
"May 05, 2020","-0.2579","-0.2470","-0.2190","-0.2640","4.62%"
"May 04, 2020","-0.2465","-0.2600","-0.2270","-0.2620","-14.85%"
"May 01, 2020","-0.2895","-0.2925","-0.2895","-0.2925","1.08%"
"Apr 30, 2020","-0.2864","-0.2210","-0.2060","-0.2920","37.03%"
"Apr 29, 2020","-0.2090","-0.1730","-0.1550","-0.2240","22.15%"
"Apr 28, 2020","-0.1711","-0.1520","-0.1310","-0.1780","17.35%"
"Apr 27, 2020","-0.1458","-0.1600","-0.1240","-0.1730","-4.58%"
"Apr 24, 2020","-0.1528","-0.0980","-0.0830","-0.1590","67.73%"
"Apr 23, 2020","-0.0911","-0.0190","-0.0050","-0.1030","165.60%"
"Apr 22, 2020","-0.0343","-0.0630","-0.0170","-0.0670","-52.88%"
"Apr 21, 2020","-0.0728","-0.0840","-0.0690","-0.1220","4.45%"
"Apr 20, 2020","-0.0697","-0.1070","-0.0630","-0.1290","-40.12%"
"Apr 17, 2020","-0.1164","-0.1090","-0.0900","-0.1340","14.68%"
"Apr 16, 2020","-0.1015","-0.0840","-0.0710","-0.1170","2.32%"
"Apr 15, 2020","-0.0992","-0.0690","-0.0630","-0.1130","93.75%"
"Apr 14, 2020","-0.0512","-0.0390","-0.0310","-0.0870","-23.01%"
"Apr 13, 2020","-0.0665","-0.0665","-0.0665","-0.0665","18.75%"
"Apr 10, 2020","-0.0560","-0.0665","-0.0560","-0.0665","4.67%"
"Apr 09, 2020","-0.0535","0.0300","0.0300","-0.0650","-1,883.33%"
"Apr 08, 2020","0.0030","-0.0040","0.0270","-0.0190","-600.00%"
"Apr 07, 2020","-0.0006","-0.0640","0.0060","-0.0730","-99.36%"
"Apr 06, 2020","-0.0942","-0.0750","-0.0500","-0.0950","6.44%"
"Apr 03, 2020","-0.0885","-0.1010","-0.0770","-0.1200","-8.86%"
"Apr 02, 2020","-0.0971","-0.1030","-0.0680","-0.1330","-27.37%"
"Apr 01, 2020","-0.1337","-0.1670","-0.1220","-0.1910","-10.33%"
"Mar 31, 2020","-0.1491","-0.2060","-0.1420","-0.2130","-27.59%"
"Mar 30, 2020","-0.2059","-0.2040","-0.1940","-0.2430","4.10%"
"Mar 27, 2020","-0.1978","-0.1810","-0.1530","-0.2410","51.11%"
"Mar 26, 2020","-0.1309","0.0130","0.0260","-0.1390","-298.63%"
"Mar 25, 2020","0.0659","0.0380","0.0870","0.0230","14.01%"
"Mar 24, 2020","0.0578","-0.0070","0.0590","-0.0290","-307.91%"
"Mar 23, 2020","-0.0278","-0.0370","-0.0140","-0.0670","-1.07%"
"Mar 20, 2020","-0.0281","-0.0050","0.0660","-0.0530","-131.97%"
"Mar 19, 2020","0.0879","-0.1050","0.1080","-0.1220","-41.83%"
"Mar 18, 2020","0.1511","0.0930","0.2800","0.0850","234.29%"
"Mar 17, 2020","0.0452","0.0270","0.1050","-0.0090","-228.05%"
"Mar 16, 2020","-0.0353","-0.1140","-0.0110","-0.1220","-75.66%"
"Mar 13, 2020","-0.1450","-0.1990","-0.1420","-0.2620","-50.21%"
"Mar 12, 2020","-0.2912","-0.4790","-0.2000","-0.4990","-37.72%"
"Mar 11, 2020","-0.4676","-0.4570","-0.4150","-0.4790","5.08%"
"Mar 10, 2020","-0.4450","-0.4860","-0.4070","-0.4940","-12.68%"
"Mar 09, 2020","-0.5096","-0.4960","-0.4600","-0.5670","2.31%"
"Mar 06, 2020","-0.4981","-0.5080","-0.4760","-0.5200","-1.66%"
"Mar 05, 2020","-0.5065","-0.4740","-0.4620","-0.5140","5.85%"
"Mar 04, 2020","-0.4785","-0.4800","-0.4710","-0.5030","-2.03%"
"Mar 03, 2020","-0.4884","-0.4480","-0.4140","-0.4940","6.61%"
"Mar 02, 2020","-0.4581","-0.4430","-0.4290","-0.4880","4.35%"
"Feb 28, 2020","-0.4390","-0.4300","-0.4210","-0.4680","4.62%"
"Feb 27, 2020","-0.4196","-0.4020","-0.3920","-0.4350","6.77%"
"Feb 26, 2020","-0.3930","-0.4050","-0.3670","-0.4230","-4.03%"
"Feb 25, 2020","-0.4095","-0.3890","-0.3820","-0.4120","4.12%"
"Feb 24, 2020","-0.3933","-0.3810","-0.3790","-0.4180","7.96%"
"Feb 21, 2020","-0.3643","-0.3830","-0.3630","-0.3960","-3.14%"
"Feb 20, 2020","-0.3761","-0.3520","-0.3490","-0.3850","5.85%"
"Feb 19, 2020","-0.3553","-0.3310","-0.3260","-0.3600","3.47%"
"Feb 18, 2020","-0.3434","-0.3610","-0.3260","-0.3700","1.00%"
"Feb 17, 2020","-0.3400","-0.3330","-0.3210","-0.3500","0.29%"
"Feb 14, 2020","-0.3390","-0.3190","-0.3180","-0.3510","4.24%"
"Feb 13, 2020","-0.3252","-0.3420","-0.3160","-0.3570","0.74%"
"Feb 12, 2020","-0.3228","-0.3020","-0.2950","-0.3320","-1.16%"
"Feb 11, 2020","-0.3266","-0.3260","-0.3130","-0.3450","-4.36%"
"Feb 10, 2020","-0.3415","-0.3170","-0.3110","-0.3480","7.32%"
"Feb 07, 2020","-0.3182","-0.3080","-0.2990","-0.3340","7.32%"
"Feb 06, 2020","-0.2965","-0.2850","-0.2730","-0.3010","0.85%"
"Feb 05, 2020","-0.2940","-0.3310","-0.2840","-0.3410","-10.53%"
"Feb 04, 2020","-0.3286","-0.3490","-0.3150","-0.3530","-8.52%"
"Feb 03, 2020","-0.3592","-0.3490","-0.3340","-0.3630","-0.83%"
"Jan 31, 2020","-0.3622","-0.3230","-0.3170","-0.3660","11.62%"
"Jan 30, 2020","-0.3245","-0.3230","-0.3070","-0.3340","7.45%"
"Jan 29, 2020","-0.3020","-0.2880","-0.2800","-0.3110","10.42%"
"Jan 28, 2020","-0.2735","-0.3050","-0.2700","-0.3220","-19.79%"
"Jan 27, 2020","-0.3410","-0.3000","-0.2960","-0.3470","13.29%"
"Jan 24, 2020","-0.3010","-0.2700","-0.2600","-0.3030","5.24%"
