"Date","Price","Open","High","Low","Change %"
"Dec 31, 2009","3.459","3.459","3.459","3.459","0.52%"
"Dec 30, 2009","3.441","3.441","3.441","3.441","0.91%"
"Dec 29, 2009","3.410","3.410","3.410","3.410","-0.09%"
"Dec 28, 2009","3.413","3.413","3.413","3.413","1.19%"
"Dec 24, 2009","3.373","3.373","3.373","3.373","-0.15%"
"Dec 23, 2009","3.378","3.378","3.378","3.378","0.78%"
"Dec 22, 2009","3.352","3.352","3.352","3.352","1.79%"
"Dec 21, 2009","3.293","3.293","3.293","3.293","2.14%"
"Dec 18, 2009","3.224","3.224","3.224","3.224","-0.31%"
"Dec 17, 2009","3.234","3.234","3.234","3.234","-0.95%"
"Dec 16, 2009","3.265","3.265","3.265","3.265","-2.30%"
"Dec 15, 2009","3.342","3.342","3.342","3.342","1.61%"
"Dec 14, 2009","3.289","3.289","3.289","3.289","-1.05%"
"Dec 11, 2009","3.324","3.324","3.324","3.324","0.00%"
"Dec 10, 2009","3.324","3.324","3.324","3.324","1.40%"
"Dec 09, 2009","3.278","3.278","3.278","3.278","0.43%"
"Dec 08, 2009","3.264","3.264","3.264","3.264","-1.57%"
"Dec 07, 2009","3.316","3.316","3.316","3.316","-0.42%"
"Dec 04, 2009","3.330","3.330","3.330","3.330","0.85%"
"Dec 03, 2009","3.302","3.302","3.302","3.302","0.92%"
"Dec 02, 2009","3.272","3.272","3.272","3.272","0.40%"
"Dec 01, 2009","3.259","3.259","3.259","3.259","-0.37%"
"Nov 30, 2009","3.271","3.271","3.271","3.271","-0.34%"
"Nov 27, 2009","3.282","3.282","3.282","3.282","-0.27%"
"Nov 26, 2009","3.291","3.291","3.291","3.291","-2.23%"
"Nov 25, 2009","3.366","3.366","3.366","3.366","0.33%"
"Nov 24, 2009","3.355","3.355","3.355","3.355","-1.12%"
"Nov 23, 2009","3.393","3.393","3.393","3.393","0.21%"
"Nov 20, 2009","3.386","3.386","3.386","3.386","-0.09%"
"Nov 19, 2009","3.389","3.389","3.389","3.389","0.30%"
"Nov 18, 2009","3.379","3.379","3.379","3.379","0.48%"
"Nov 17, 2009","3.363","3.363","3.363","3.363","-2.04%"
"Nov 16, 2009","3.433","3.433","3.433","3.433","-0.61%"
"Nov 13, 2009","3.454","3.454","3.454","3.454","0.88%"
"Nov 12, 2009","3.424","3.424","3.424","3.424","0.62%"
"Nov 11, 2009","3.403","3.403","3.403","3.403","-0.03%"
"Nov 10, 2009","3.404","3.404","3.404","3.404","-1.16%"
"Nov 09, 2009","3.444","3.444","3.444","3.444","-1.06%"
"Nov 06, 2009","3.481","3.481","3.481","3.481","0.20%"
"Nov 05, 2009","3.474","3.474","3.474","3.474","0.46%"
"Nov 04, 2009","3.458","3.458","3.458","3.458","1.17%"
"Nov 03, 2009","3.418","3.418","3.418","3.418","1.27%"
"Nov 02, 2009","3.375","3.375","3.375","3.375","-0.21%"
"Oct 30, 2009","3.382","3.382","3.382","3.382","-2.45%"
"Oct 29, 2009","3.467","3.467","3.467","3.467","2.51%"
"Oct 28, 2009","3.382","3.382","3.382","3.382","-0.70%"
"Oct 27, 2009","3.406","3.406","3.406","3.406","-1.76%"
"Oct 26, 2009","3.467","3.467","3.467","3.467","-0.03%"
"Oct 23, 2009","3.468","3.468","3.468","3.468","1.08%"
"Oct 22, 2009","3.431","3.431","3.431","3.431","-1.12%"
"Oct 21, 2009","3.470","3.470","3.470","3.470","1.64%"
"Oct 20, 2009","3.414","3.414","3.414","3.414","-1.50%"
"Oct 19, 2009","3.466","3.466","3.466","3.466","-0.32%"
"Oct 16, 2009","3.477","3.477","3.477","3.477","-1.02%"
"Oct 15, 2009","3.513","3.513","3.513","3.513","1.86%"
"Oct 14, 2009","3.449","3.449","3.449","3.449","1.98%"
"Oct 13, 2009","3.382","3.382","3.382","3.382","0.27%"
"Oct 12, 2009","3.373","3.373","3.373","3.373","-0.85%"
"Oct 09, 2009","3.402","3.402","3.402","3.402","2.59%"
"Oct 08, 2009","3.316","3.316","3.316","3.316","-0.30%"
"Oct 07, 2009","3.326","3.326","3.326","3.326","-1.42%"
"Oct 06, 2009","3.374","3.374","3.374","3.374","1.02%"
"Oct 05, 2009","3.340","3.340","3.340","3.340","0.09%"
"Oct 02, 2009","3.337","3.337","3.337","3.337","-1.36%"
"Oct 01, 2009","3.383","3.383","3.383","3.383","-0.56%"
"Sep 30, 2009","3.402","3.402","3.402","3.402","1.01%"
"Sep 29, 2009","3.368","3.368","3.368","3.368","-0.94%"
"Sep 28, 2009","3.400","3.400","3.400","3.400","0.65%"
"Sep 25, 2009","3.378","3.378","3.378","3.378","-1.52%"
"Sep 24, 2009","3.430","3.430","3.430","3.430","-1.94%"
"Sep 23, 2009","3.498","3.498","3.498","3.498","-0.91%"
"Sep 22, 2009","3.530","3.530","3.530","3.530","0.31%"
"Sep 21, 2009","3.519","3.519","3.519","3.519","0.11%"
"Sep 18, 2009","3.515","3.515","3.515","3.515","0.72%"
"Sep 17, 2009","3.490","3.490","3.490","3.490","0.43%"
"Sep 16, 2009","3.475","3.475","3.475","3.475","1.08%"
"Sep 15, 2009","3.438","3.438","3.438","3.438","0.44%"
"Sep 14, 2009","3.423","3.423","3.423","3.423","0.77%"
"Sep 11, 2009","3.397","3.397","3.397","3.397","-2.10%"
"Sep 10, 2009","3.470","3.470","3.470","3.470","-2.36%"
"Sep 09, 2009","3.554","3.554","3.554","3.554","1.72%"
"Sep 08, 2009","3.494","3.494","3.494","3.494","1.16%"
"Sep 07, 2009","3.454","3.454","3.454","3.454","-0.46%"
"Sep 04, 2009","3.470","3.470","3.470","3.470","0.61%"
"Sep 03, 2009","3.449","3.449","3.449","3.449","0.61%"
"Sep 02, 2009","3.428","3.428","3.428","3.428","0.38%"
"Sep 01, 2009","3.415","3.415","3.415","3.415","-0.03%"
"Aug 31, 2009","3.416","3.416","3.416","3.416","0.86%"
"Aug 28, 2009","3.387","3.387","3.387","3.387","0.15%"
"Aug 27, 2009","3.382","3.382","3.382","3.382","0.30%"
"Aug 26, 2009","3.372","3.372","3.372","3.372","-1.17%"
"Aug 25, 2009","3.412","3.412","3.412","3.412","-0.84%"
"Aug 24, 2009","3.441","3.441","3.441","3.441","-0.52%"
"Aug 21, 2009","3.459","3.459","3.459","3.459","1.56%"
"Aug 20, 2009","3.406","3.406","3.406","3.406","-0.44%"
"Aug 19, 2009","3.421","3.421","3.421","3.421","-0.20%"
"Aug 18, 2009","3.428","3.428","3.428","3.428","0.06%"
"Aug 17, 2009","3.426","3.426","3.426","3.426","-0.46%"
"Aug 14, 2009","3.442","3.442","3.442","3.442","-2.49%"
"Aug 13, 2009","3.530","3.530","3.530","3.530","-0.73%"
"Aug 12, 2009","3.556","3.556","3.556","3.556","0.23%"
"Aug 11, 2009","3.548","3.548","3.548","3.548","-0.76%"
"Aug 10, 2009","3.575","3.575","3.575","3.575","-2.46%"
