"Date","Price","Open","High","Low","Change %"
"Dec 31, 2004","2.913","2.913","2.913","2.913","-3.42%"
"Dec 30, 2004","3.016","3.016","3.016","3.016","4.43%"
"Dec 29, 2004","2.888","2.888","2.888","2.888","3.55%"
"Dec 28, 2004","2.789","2.789","2.789","2.789","-1.06%"
"Dec 27, 2004","2.819","2.819","2.819","2.819","-0.11%"
"Dec 24, 2004","2.822","2.822","2.822","2.822","-1.47%"
"Dec 23, 2004","2.864","2.864","2.864","2.864","0.77%"
"Dec 22, 2004","2.842","2.842","2.842","2.842","1.94%"
"Dec 21, 2004","2.788","2.788","2.788","2.788","-1.59%"
"Dec 20, 2004","2.833","2.833","2.833","2.833","1.65%"
"Dec 17, 2004","2.787","2.787","2.787","2.787","2.58%"
"Dec 16, 2004","2.717","2.717","2.717","2.717","0.59%"
"Dec 15, 2004","2.701","2.701","2.701","2.701","0.07%"
"Dec 14, 2004","2.699","2.699","2.699","2.699","-0.04%"
"Dec 13, 2004","2.700","2.700","2.700","2.700","-1.53%"
"Dec 10, 2004","2.742","2.742","2.742","2.742","-0.11%"
"Dec 09, 2004","2.745","2.745","2.745","2.745","0.99%"
"Dec 08, 2004","2.718","2.718","2.718","2.718","-0.88%"
"Dec 07, 2004","2.742","2.742","2.742","2.742","-3.01%"
"Dec 06, 2004","2.827","2.827","2.827","2.827","-2.08%"
"Dec 03, 2004","2.887","2.887","2.887","2.887","2.45%"
"Dec 02, 2004","2.818","2.818","2.818","2.818","-2.29%"
"Dec 01, 2004","2.884","2.884","2.884","2.884","-1.06%"
"Nov 30, 2004","2.915","2.915","2.915","2.915","2.21%"
"Nov 29, 2004","2.852","2.852","2.852","2.852","-0.35%"
"Nov 26, 2004","2.862","2.862","2.862","2.862","0.88%"
"Nov 25, 2004","2.837","2.837","2.837","2.837","-2.10%"
"Nov 24, 2004","2.898","2.898","2.898","2.898","-0.89%"
"Nov 23, 2004","2.924","2.924","2.924","2.924","-0.98%"
"Nov 22, 2004","2.953","2.953","2.953","2.953","-0.71%"
"Nov 19, 2004","2.974","2.974","2.974","2.974","1.57%"
"Nov 18, 2004","2.928","2.928","2.928","2.928","-0.31%"
"Nov 17, 2004","2.937","2.937","2.937","2.937","-0.03%"
"Nov 16, 2004","2.938","2.938","2.938","2.938","0.89%"
"Nov 15, 2004","2.912","2.912","2.912","2.912","-1.15%"
"Nov 12, 2004","2.946","2.946","2.946","2.946","-2.06%"
"Nov 11, 2004","3.008","3.008","3.008","3.008","0.30%"
"Nov 10, 2004","2.999","2.999","2.999","2.999","-1.93%"
"Nov 09, 2004","3.058","3.058","3.058","3.058","-0.36%"
"Nov 08, 2004","3.069","3.069","3.069","3.069","2.95%"
"Nov 05, 2004","2.981","2.981","2.981","2.981","0.37%"
"Nov 04, 2004","2.970","2.970","2.970","2.970","-0.57%"
"Nov 03, 2004","2.987","2.987","2.987","2.987","0.95%"
"Nov 02, 2004","2.959","2.959","2.959","2.959","-0.03%"
"Nov 01, 2004","2.960","2.960","2.960","2.960","-2.98%"
"Oct 29, 2004","3.051","3.051","3.051","3.051","3.14%"
"Oct 28, 2004","2.958","2.958","2.958","2.958","1.16%"
"Oct 27, 2004","2.924","2.924","2.924","2.924","0.24%"
"Oct 26, 2004","2.917","2.917","2.917","2.917","2.97%"
"Oct 25, 2004","2.833","2.833","2.833","2.833","-1.53%"
"Oct 22, 2004","2.877","2.877","2.877","2.877","0.21%"
"Oct 21, 2004","2.871","2.871","2.871","2.871","0.70%"
"Oct 20, 2004","2.851","2.851","2.851","2.851","-1.76%"
"Oct 19, 2004","2.902","2.902","2.902","2.902","0.73%"
"Oct 18, 2004","2.881","2.881","2.881","2.881","-1.17%"
"Oct 15, 2004","2.915","2.915","2.915","2.915","0.83%"
"Oct 14, 2004","2.891","2.891","2.891","2.891","-2.07%"
"Oct 13, 2004","2.952","2.952","2.952","2.952","0.82%"
"Oct 12, 2004","2.928","2.928","2.928","2.928","0.24%"
"Oct 11, 2004","2.921","2.921","2.921","2.921","-4.79%"
"Oct 08, 2004","3.068","3.068","3.068","3.068","0.29%"
"Oct 07, 2004","3.059","3.059","3.059","3.059","0.20%"
"Oct 06, 2004","3.053","3.053","3.053","3.053","-1.39%"
"Oct 05, 2004","3.096","3.096","3.096","3.096","0.98%"
"Oct 04, 2004","3.066","3.066","3.066","3.066","0.72%"
"Oct 01, 2004","3.044","3.044","3.044","3.044","-0.85%"
"Sep 30, 2004","3.070","3.070","3.070","3.070","0.85%"
"Sep 29, 2004","3.044","3.044","3.044","3.044","0.59%"
"Sep 28, 2004","3.026","3.026","3.026","3.026","-1.01%"
"Sep 27, 2004","3.057","3.057","3.057","3.057","1.16%"
"Sep 24, 2004","3.022","3.022","3.022","3.022","-1.21%"
"Sep 23, 2004","3.059","3.059","3.059","3.059","-1.39%"
"Sep 22, 2004","3.102","3.102","3.102","3.102","0.06%"
"Sep 21, 2004","3.100","3.100","3.100","3.100","-0.13%"
"Sep 20, 2004","3.104","3.104","3.104","3.104","-0.64%"
"Sep 17, 2004","3.124","3.124","3.124","3.124","-0.73%"
"Sep 16, 2004","3.147","3.147","3.147","3.147","0.48%"
"Sep 15, 2004","3.132","3.132","3.132","3.132","-0.92%"
"Sep 14, 2004","3.161","3.161","3.161","3.161","0.80%"
"Sep 13, 2004","3.136","3.136","3.136","3.136","-0.67%"
"Sep 10, 2004","3.157","3.157","3.157","3.157","-1.56%"
"Sep 09, 2004","3.207","3.207","3.207","3.207","-0.93%"
"Sep 08, 2004","3.237","3.237","3.237","3.237","0.59%"
"Sep 07, 2004","3.218","3.218","3.218","3.218","0.31%"
"Sep 06, 2004","3.208","3.208","3.208","3.208","2.72%"
"Sep 03, 2004","3.123","3.123","3.123","3.123","2.06%"
"Sep 02, 2004","3.060","3.060","3.060","3.060","0.46%"
"Sep 01, 2004","3.046","3.046","3.046","3.046","-1.96%"
"Aug 31, 2004","3.107","3.107","3.107","3.107","0.32%"
"Aug 30, 2004","3.097","3.097","3.097","3.097","0.00%"
"Aug 27, 2004","3.097","3.097","3.097","3.097","-0.64%"
"Aug 26, 2004","3.117","3.117","3.117","3.117","-1.20%"
"Aug 25, 2004","3.155","3.155","3.155","3.155","0.25%"
"Aug 24, 2004","3.147","3.147","3.147","3.147","2.18%"
"Aug 23, 2004","3.080","3.080","3.080","3.080","-0.61%"
"Aug 20, 2004","3.099","3.099","3.099","3.099","-0.29%"
"Aug 19, 2004","3.108","3.108","3.108","3.108","0.26%"
"Aug 18, 2004","3.100","3.100","3.100","3.100","-0.61%"
