"Date","Price","Open","High","Low","Change %"
"Aug 18, 2020","-0.603","-0.610","-0.597","-0.610","-0.08%"
"Aug 17, 2020","-0.604","-0.614","-0.589","-0.614","0.50%"
"Aug 14, 2020","-0.600","-0.612","-0.596","-0.612","0.00%"
"Aug 13, 2020","-0.600","-0.612","-0.596","-0.618","-0.33%"
"Aug 12, 2020","-0.603","-0.608","-0.596","-0.608","-0.99%"
"Aug 11, 2020","-0.609","-0.608","-0.590","-0.610","0.41%"
"Aug 10, 2020","-0.606","-0.610","-0.594","-0.612","1.00%"
"Aug 07, 2020","-0.600","-0.609","-0.600","-0.609","-1.56%"
"Aug 06, 2020","-0.609","-0.608","-0.594","-0.609","1.75%"
"Aug 05, 2020","-0.599","-0.605","-0.595","-0.607","-0.17%"
"Aug 04, 2020","-0.600","-0.595","-0.595","-0.607","-0.74%"
"Aug 03, 2020","-0.604","-0.618","-0.595","-0.618","-0.90%"
"Jul 31, 2020","-0.610","-0.617","-0.601","-0.620","-1.37%"
"Jul 30, 2020","-0.618","-0.615","-0.603","-0.620","0.98%"
"Jul 29, 2020","-0.613","-0.628","-0.594","-0.628","-2.55%"
"Jul 28, 2020","-0.628","-0.627","-0.613","-0.628","-0.71%"
"Jul 27, 2020","-0.633","-0.639","-0.614","-0.639","0.96%"
"Jul 24, 2020","-0.627","-0.624","-0.624","-0.633","-0.16%"
"Jul 23, 2020","-0.628","-0.640","-0.624","-0.640","-0.63%"
"Jul 22, 2020","-0.632","-0.638","-0.624","-0.639","-0.55%"
"Jul 21, 2020","-0.636","-0.647","-0.624","-0.647","-0.70%"
"Jul 20, 2020","-0.640","-0.624","-0.624","-0.640","-0.62%"
"Jul 17, 2020","-0.644","-0.644","-0.623","-0.646","0.23%"
"Jul 16, 2020","-0.642","-0.638","-0.624","-0.643","0.63%"
"Jul 15, 2020","-0.638","-0.640","-0.624","-0.643","0.00%"
"Jul 14, 2020","-0.638","-0.642","-0.624","-0.646","-0.62%"
"Jul 13, 2020","-0.642","-0.643","-0.624","-0.647","-0.31%"
"Jul 10, 2020","-0.645","-0.645","-0.624","-0.645","0.47%"
"Jul 09, 2020","-0.641","-0.642","-0.624","-0.646","-0.16%"
"Jul 08, 2020","-0.642","-0.645","-0.604","-0.645","0.55%"
"Jul 07, 2020","-0.639","-0.635","-0.633","-0.646","0.79%"
"Jul 06, 2020","-0.634","-0.659","-0.630","-0.659","-2.16%"
"Jul 03, 2020","-0.648","-0.656","-0.643","-0.656","-0.61%"
"Jul 02, 2020","-0.652","-0.638","-0.636","-0.653","3.33%"
"Jul 01, 2020","-0.631","-0.632","-0.626","-0.669","0.16%"
"Jun 30, 2020","-0.630","-0.656","-0.624","-0.656","14.55%"
"Jun 29, 2020","-0.550","-0.542","-0.538","-0.562","-1.08%"
"Jun 26, 2020","-0.556","-0.554","-0.530","-0.556","2.77%"
"Jun 25, 2020","-0.541","-0.534","-0.531","-0.547","-0.92%"
"Jun 24, 2020","-0.546","-0.547","-0.531","-0.555","-0.18%"
"Jun 23, 2020","-0.547","-0.547","-0.540","-0.555","-1.80%"
"Jun 22, 2020","-0.557","-0.540","-0.531","-0.561","1.27%"
"Jun 19, 2020","-0.550","-0.533","-0.527","-0.551","1.85%"
"Jun 18, 2020","-0.540","-0.538","-0.529","-0.542","0.56%"
"Jun 17, 2020","-0.537","-0.534","-0.527","-0.543","-3.24%"
"Jun 16, 2020","-0.555","-0.541","-0.537","-0.558","1.28%"
"Jun 15, 2020","-0.548","-0.549","-0.537","-0.558","-0.36%"
"Jun 12, 2020","-0.550","-0.553","-0.538","-0.557","0.00%"
"Jun 11, 2020","-0.550","-0.542","-0.533","-0.563","0.00%"
"Jun 10, 2020","-0.550","-0.535","-0.535","-0.552","0.18%"
"Jun 09, 2020","-0.549","-0.534","-0.520","-0.583","0.73%"
"Jun 08, 2020","-0.545","-0.547","-0.527","-0.563","0.55%"
"Jun 05, 2020","-0.542","-0.539","-0.526","-0.547","2.07%"
"Jun 04, 2020","-0.531","-0.532","-0.528","-0.547","-2.03%"
"Jun 03, 2020","-0.542","-0.534","-0.526","-0.547","1.69%"
