"Date","Price","Open","High","Low","Change %"
"Aug 18, 2020","-0.596","-0.588","-0.586","-0.606","2.58%"
"Aug 17, 2020","-0.581","-0.558","-0.554","-0.591","4.96%"
"Aug 14, 2020","-0.554","-0.521","-0.520","-0.560","1.28%"
"Aug 13, 2020","-0.547","-0.590","-0.532","-0.601","-5.69%"
"Aug 12, 2020","-0.580","-0.614","-0.564","-0.614","-4.13%"
"Aug 11, 2020","-0.605","-0.644","-0.601","-0.658","-7.07%"
"Aug 10, 2020","-0.651","-0.624","-0.596","-0.665","2.84%"
"Aug 07, 2020","-0.633","-0.659","-0.630","-0.666","-4.38%"
"Aug 06, 2020","-0.662","-0.637","-0.574","-0.674","4.91%"
"Aug 05, 2020","-0.631","-0.680","-0.625","-0.683","-6.10%"
"Aug 04, 2020","-0.672","-0.650","-0.641","-0.683","3.54%"
"Aug 03, 2020","-0.649","-0.648","-0.632","-0.663","-2.11%"
"Jul 31, 2020","-0.663","-0.665","-0.646","-0.688","-1.34%"
"Jul 30, 2020","-0.672","-0.628","-0.627","-0.678","7.52%"
"Jul 29, 2020","-0.625","-0.643","-0.617","-0.647","-1.88%"
"Jul 28, 2020","-0.637","-0.602","-0.601","-0.644","3.41%"
"Jul 27, 2020","-0.616","-0.574","-0.565","-0.621","7.32%"
"Jul 24, 2020","-0.574","-0.619","-0.566","-0.627","-6.06%"
"Jul 23, 2020","-0.611","-0.620","-0.606","-0.633","-2.24%"
"Jul 22, 2020","-0.625","-0.592","-0.580","-0.633","4.87%"
"Jul 21, 2020","-0.596","-0.594","-0.575","-0.604","0.68%"
"Jul 20, 2020","-0.592","-0.578","-0.556","-0.609","1.11%"
"Jul 19, 2020","-0.586","-0.586","-0.586","-0.586","-0.26%"
"Jul 17, 2020","-0.587","-0.604","-0.585","-0.618","-3.77%"
"Jul 16, 2020","-0.610","-0.584","-0.577","-0.620","4.27%"
"Jul 15, 2020","-0.585","-0.578","-0.569","-0.603","0.34%"
"Jul 14, 2020","-0.583","-0.561","-0.558","-0.588","3.92%"
