"Date","Price","Open","High","Low","Change %"
"Dec 30, 2009","0.602","0.602","0.602","0.602","1.18%"
"Dec 29, 2009","0.595","0.595","0.595","0.595","2.23%"
"Dec 28, 2009","0.582","0.582","0.582","0.582","0.69%"
"Dec 23, 2009","0.578","0.578","0.578","0.578","-0.69%"
"Dec 22, 2009","0.582","0.582","0.582","0.582","1.22%"
"Dec 21, 2009","0.575","0.575","0.575","0.575","0.52%"
"Dec 18, 2009","0.572","0.572","0.572","0.572","1.24%"
"Dec 17, 2009","0.565","0.565","0.565","0.565","-3.58%"
"Dec 16, 2009","0.586","0.586","0.586","0.586","-8.01%"
"Dec 15, 2009","0.637","0.637","0.637","0.637","2.74%"
"Dec 14, 2009","0.620","0.620","0.620","0.620","-1.12%"
"Dec 11, 2009","0.627","0.627","0.627","0.627","0.64%"
"Dec 10, 2009","0.623","0.623","0.623","0.623","4.53%"
"Dec 09, 2009","0.596","0.596","0.596","0.596","0.51%"
"Dec 08, 2009","0.593","0.593","0.593","0.593","-2.79%"
"Dec 07, 2009","0.610","0.610","0.610","0.610","-1.93%"
"Dec 04, 2009","0.622","0.622","0.622","0.622","1.14%"
"Dec 03, 2009","0.615","0.615","0.615","0.615","-5.09%"
"Dec 02, 2009","0.648","0.648","0.648","0.648","0.00%"
"Dec 01, 2009","0.648","0.648","0.648","0.648","-2.11%"
"Nov 30, 2009","0.662","0.662","0.662","0.662","8.35%"
"Nov 27, 2009","0.611","0.611","0.611","0.611","0.16%"
"Nov 26, 2009","0.610","0.610","0.610","0.610","-7.85%"
"Nov 25, 2009","0.662","0.662","0.662","0.662","3.12%"
"Nov 24, 2009","0.642","0.642","0.642","0.642","1.42%"
"Nov 23, 2009","0.633","0.633","0.633","0.633","3.60%"
"Nov 20, 2009","0.611","0.611","0.611","0.611","3.91%"
"Nov 19, 2009","0.588","0.588","0.588","0.588","-0.17%"
"Nov 18, 2009","0.589","0.589","0.589","0.589","-0.17%"
"Nov 17, 2009","0.590","0.590","0.590","0.590","0.34%"
"Nov 16, 2009","0.588","0.588","0.588","0.588","1.91%"
"Nov 13, 2009","0.577","0.577","0.577","0.577","-0.86%"
"Nov 12, 2009","0.582","0.582","0.582","0.582","-2.02%"
"Nov 11, 2009","0.594","0.594","0.594","0.594","-2.14%"
"Nov 10, 2009","0.607","0.607","0.607","0.607","1.17%"
"Nov 09, 2009","0.600","0.600","0.600","0.600","-0.17%"
"Nov 06, 2009","0.601","0.601","0.601","0.601","-5.35%"
"Nov 05, 2009","0.635","0.635","0.635","0.635","-4.51%"
"Nov 04, 2009","0.665","0.665","0.665","0.665","-0.15%"
"Nov 02, 2009","0.666","0.666","0.666","0.666","1.06%"
"Oct 30, 2009","0.659","0.659","0.659","0.659","-2.51%"
"Oct 29, 2009","0.676","0.676","0.676","0.676","6.62%"
"Oct 28, 2009","0.634","0.634","0.634","0.634","-1.86%"
"Oct 27, 2009","0.646","0.646","0.646","0.646","2.22%"
"Oct 26, 2009","0.632","0.632","0.632","0.632","-2.47%"
"Oct 23, 2009","0.648","0.648","0.648","0.648","-1.22%"
"Oct 22, 2009","0.656","0.656","0.656","0.656","-3.10%"
"Oct 21, 2009","0.677","0.677","0.677","0.677","0.45%"
"Oct 20, 2009","0.674","0.674","0.674","0.674","-2.03%"
"Oct 19, 2009","0.688","0.688","0.688","0.688","0.44%"
"Oct 16, 2009","0.685","0.685","0.685","0.685","-0.29%"
