"Date","Price","Open","High","Low","Change %"
"Aug 27, 2020","6.390","6.475","6.490","6.390","-1.24%"
"Aug 26, 2020","6.470","6.455","6.510","6.455","0.00%"
"Aug 25, 2020","6.470","6.420","6.490","6.410","1.09%"
"Aug 24, 2020","6.400","6.460","6.460","6.380","-0.78%"
"Aug 21, 2020","6.450","6.380","6.450","6.380","1.57%"
"Aug 20, 2020","6.350","6.330","6.380","6.330","0.16%"
"Aug 19, 2020","6.340","6.400","6.400","6.340","-0.63%"
"Aug 18, 2020","6.380","6.490","6.490","6.380","-1.69%"
"Aug 17, 2020","6.490","6.260","6.490","6.250","3.51%"
"Aug 14, 2020","6.270","6.230","6.270","6.190","0.97%"
"Aug 13, 2020","6.210","6.200","6.230","6.180","0.16%"
"Aug 12, 2020","6.200","6.160","6.200","6.160","0.65%"
"Aug 11, 2020","6.160","6.180","6.180","6.140","-0.16%"
"Aug 10, 2020","6.170","6.180","6.180","6.160","-0.16%"
"Aug 07, 2020","6.180","6.170","6.180","6.140","0.49%"
"Aug 06, 2020","6.150","6.090","6.160","6.090","0.65%"
"Aug 05, 2020","6.110","6.110","6.120","6.090","0.16%"
"Aug 04, 2020","6.100","6.110","6.130","6.090","-0.33%"
"Aug 03, 2020","6.120","6.180","6.180","6.120","-0.97%"
"Jul 31, 2020","6.180","6.180","6.190","6.150","-0.16%"
"Jul 30, 2020","6.190","6.140","6.200","6.140","0.98%"
"Jul 29, 2020","6.130","6.110","6.130","6.090","0.33%"
"Jul 28, 2020","6.110","6.060","6.110","6.060","0.83%"
"Jul 27, 2020","6.060","6.040","6.060","6.020","0.33%"
"Jul 24, 2020","6.040","6.020","6.070","6.020","0.67%"
"Jul 23, 2020","6.000","6.010","6.030","6.000","-0.17%"
"Jul 22, 2020","6.010","6.010","6.010","5.990","0.17%"
"Jul 21, 2020","6.000","6.080","6.080","6.000","-1.32%"
"Jul 20, 2020","6.080","6.120","6.120","6.050","-0.16%"
"Jul 17, 2020","6.090","6.130","6.150","6.090","-0.33%"
"Jul 16, 2020","6.110","6.120","6.150","6.100","-0.16%"
"Jul 15, 2020","6.120","6.070","6.120","6.050","0.82%"
"Jul 14, 2020","6.070","6.040","6.070","6.040","0.50%"
"Jul 13, 2020","6.040","6.080","6.080","6.040","-0.82%"
"Jul 10, 2020","6.090","6.060","6.090","6.040","0.66%"
"Jul 09, 2020","6.050","6.120","6.130","6.020","-1.63%"
"Jul 08, 2020","6.150","6.210","6.210","6.120","-0.81%"
"Jul 07, 2020","6.200","6.240","6.280","6.160","-0.64%"
"Jul 06, 2020","6.240","6.270","6.300","6.230","-0.64%"
"Jul 03, 2020","6.280","6.080","6.280","6.080","3.29%"
"Jul 02, 2020","6.080","6.200","6.200","6.070","-0.90%"
"Jul 01, 2020","6.135","6.135","6.135","6.135","-0.08%"
"Jun 30, 2020","6.140","5.990","6.210","5.970","2.50%"
"Jun 29, 2020","5.990","5.990","5.990","5.950","0.17%"
"Jun 26, 2020","5.980","6.010","6.010","5.950","-0.17%"
"Jun 25, 2020","5.990","5.940","5.990","5.940","1.44%"
"Jun 24, 2020","5.905","5.910","5.910","5.905","-0.08%"
"Jun 23, 2020","5.910","5.920","5.920","5.900","0.34%"
"Jun 22, 2020","5.890","5.830","5.910","5.830","0.68%"
"Jun 19, 2020","5.850","5.840","5.850","5.790","0.34%"
"Jun 18, 2020","5.830","5.890","5.890","5.830","-0.68%"
"Jun 17, 2020","5.870","5.920","5.920","5.860","-0.68%"
"Jun 16, 2020","5.910","5.990","5.990","5.900","-1.17%"
"Jun 15, 2020","5.980","6.010","6.020","5.980","0.25%"
"Jun 12, 2020","5.965","5.965","5.965","5.965","-0.25%"
"Jun 11, 2020","5.980","5.980","6.000","5.950","0.17%"
"Jun 10, 2020","5.970","5.960","5.970","5.940","0.17%"
"Jun 09, 2020","5.960","6.100","6.120","5.960","-1.81%"
"Jun 08, 2020","6.070","6.040","6.090","6.030","0.83%"
"Jun 05, 2020","6.020","5.920","6.050","5.900","1.69%"
"Jun 04, 2020","5.920","5.850","5.940","5.850","1.02%"
"Jun 03, 2020","5.860","5.860","5.860","5.800","0.69%"
"Jun 02, 2020","5.820","5.780","5.830","5.760","0.52%"
"Jun 01, 2020","5.790","5.830","5.830","5.780","-0.69%"
"May 29, 2020","5.830","5.820","5.830","5.800","0.00%"
"May 28, 2020","5.830","5.830","5.860","5.820","0.17%"
"May 27, 2020","5.820","5.770","5.820","5.770","1.04%"
"May 26, 2020","5.760","5.760","5.770","5.750","0.35%"
"May 25, 2020","5.740","5.740","5.760","5.740","0.17%"
"May 22, 2020","5.730","5.730","5.760","5.730","0.00%"
"May 21, 2020","5.730","5.750","5.750","5.700","0.17%"
"May 20, 2020","5.720","5.750","5.770","5.710","-0.87%"
"May 19, 2020","5.770","5.760","5.800","5.750","0.17%"
"May 18, 2020","5.760","5.850","5.850","5.750","-1.87%"
"May 15, 2020","5.870","6.080","6.080","5.840","-3.14%"
"May 14, 2020","6.060","6.150","6.150","6.050","-1.46%"
"May 13, 2020","6.150","6.150","6.160","6.120","0.00%"
"May 12, 2020","6.150","6.170","6.170","6.100","-0.16%"
"May 11, 2020","6.160","6.160","6.160","6.160","0.00%"
"May 08, 2020","6.160","6.240","6.260","6.160","-1.44%"
"May 07, 2020","6.250","6.250","6.250","6.210","0.32%"
"May 06, 2020","6.230","6.240","6.240","6.220","0.00%"
"May 05, 2020","6.230","6.240","6.270","6.210","-0.48%"
"May 04, 2020","6.260","6.240","6.270","6.220","0.48%"
"Apr 30, 2020","6.230","6.240","6.260","6.220","-0.16%"
"Apr 29, 2020","6.240","6.230","6.250","6.220","0.32%"
"Apr 28, 2020","6.220","6.240","6.260","6.220","-0.32%"
"Apr 27, 2020","6.240","6.230","6.260","6.230","0.48%"
"Apr 24, 2020","6.210","6.280","6.310","6.200","-1.11%"
"Apr 23, 2020","6.280","6.400","6.400","6.260","-1.41%"
"Apr 22, 2020","6.370","6.510","6.510","6.370","-2.15%"
"Apr 21, 2020","6.510","6.360","6.560","6.360","2.52%"
"Apr 20, 2020","6.350","6.490","6.490","6.350","-2.16%"
"Apr 17, 2020","6.490","6.840","6.840","6.490","-4.70%"
"Apr 16, 2020","6.810","6.920","6.940","6.800","-1.87%"
"Apr 15, 2020","6.940","6.790","6.940","6.790","1.91%"
"Apr 14, 2020","6.810","6.840","6.860","6.810","0.00%"
"Apr 13, 2020","6.810","6.800","6.820","6.760","0.15%"
"Apr 10, 2020","6.800","6.800","6.820","6.790","-0.58%"
"Apr 09, 2020","6.840","6.880","6.880","6.820","-0.73%"
"Apr 08, 2020","6.890","6.890","6.900","6.850","0.15%"
"Apr 07, 2020","6.880","6.880","6.910","6.820","0.15%"
"Apr 06, 2020","6.870","6.970","6.970","6.860","-1.43%"
"Apr 03, 2020","6.970","7.010","7.030","6.860","-0.57%"
"Apr 02, 2020","7.010","6.960","7.050","6.840","1.45%"
"Apr 01, 2020","6.910","6.920","7.020","6.900","0.29%"
"Mar 31, 2020","6.890","7.070","7.080","6.850","-2.55%"
"Mar 30, 2020","7.070","7.200","7.240","7.070","-0.84%"
"Mar 27, 2020","7.130","7.180","7.200","7.040","-0.83%"
"Mar 26, 2020","7.190","7.360","7.380","7.180","-1.64%"
"Mar 25, 2020","7.310","7.270","7.440","7.150","0.55%"
"Mar 24, 2020","7.270","7.680","7.740","7.230","-6.19%"
"Mar 23, 2020","7.750","7.820","8.040","7.740","-1.65%"
"Mar 20, 2020","7.880","8.210","8.210","7.840","-4.14%"
"Mar 19, 2020","8.220","8.555","8.590","8.220","-3.92%"
"Mar 18, 2020","8.555","8.110","8.600","8.110","4.84%"
"Mar 17, 2020","8.160","8.240","8.240","8.110","-0.49%"
"Mar 16, 2020","8.200","7.980","8.290","7.980","3.02%"
