"Date","Price","Open","High","Low","Change %"
"Aug 27, 2020","4.140","4.140","4.140","4.140","0.00%"
"Aug 26, 2020","4.140","4.140","4.140","4.140","-0.24%"
"Aug 25, 2020","4.150","4.150","4.150","4.150","0.00%"
"Aug 24, 2020","4.150","4.150","4.150","4.150","0.00%"
"Aug 21, 2020","4.150","4.140","4.150","4.140","0.24%"
"Aug 20, 2020","4.140","4.140","4.140","4.140","0.00%"
"Aug 19, 2020","4.140","0.000","0.000","0.000","0.00%"
"Aug 18, 2020","4.140","4.130","4.130","4.130","0.24%"
"Aug 17, 2020","4.130","4.130","4.130","4.130","0.00%"
"Aug 14, 2020","4.130","4.130","4.130","4.130","0.00%"
"Aug 13, 2020","4.130","4.130","4.130","4.130","0.00%"
"Aug 12, 2020","4.130","4.140","4.140","4.130","-0.24%"
"Aug 11, 2020","4.140","0.000","0.000","0.000","0.00%"
"Aug 10, 2020","4.140","4.140","4.140","4.140","0.00%"
"Aug 07, 2020","4.140","4.140","4.140","4.140","0.00%"
"Aug 06, 2020","4.140","4.140","4.140","4.140","0.00%"
"Aug 05, 2020","4.140","4.130","4.140","4.130","0.24%"
"Aug 04, 2020","4.130","4.150","4.150","4.130","-0.48%"
"Aug 03, 2020","4.150","4.170","4.170","4.150","-0.48%"
"Jul 31, 2020","4.170","4.140","4.170","4.140","0.72%"
"Jul 30, 2020","4.140","4.140","4.140","4.140","-0.24%"
"Jul 29, 2020","4.150","4.160","4.160","4.150","-0.24%"
"Jul 28, 2020","4.160","4.170","4.170","4.170","-0.24%"
"Jul 27, 2020","4.170","4.170","4.170","4.170","0.00%"
"Jul 24, 2020","4.170","4.170","4.170","4.170","-0.24%"
"Jul 23, 2020","4.180","4.180","4.180","4.180","-0.24%"
"Jul 22, 2020","4.190","4.190","4.190","4.190","-0.24%"
"Jul 21, 2020","4.200","4.200","4.200","4.200","-0.71%"
"Jul 20, 2020","4.230","4.230","4.230","4.230","-0.94%"
"Jul 17, 2020","4.270","4.270","4.270","4.270","0.00%"
"Jul 16, 2020","4.270","4.280","4.280","4.270","-0.23%"
"Jul 15, 2020","4.280","4.290","4.290","4.280","-0.23%"
"Jul 14, 2020","4.290","4.300","4.300","4.290","-0.23%"
"Jul 13, 2020","4.300","4.320","4.320","4.300","-0.46%"
"Jul 10, 2020","4.320","4.320","4.320","4.320","0.00%"
"Jul 09, 2020","4.320","4.330","4.330","4.320","-0.23%"
"Jul 08, 2020","4.330","4.350","4.350","4.330","-0.46%"
"Jul 07, 2020","4.350","4.390","4.390","4.350","-0.91%"
"Jul 06, 2020","4.390","4.360","4.390","4.360","0.69%"
"Jul 03, 2020","4.360","4.380","4.380","4.360","-0.46%"
"Jul 02, 2020","4.380","4.370","4.380","4.370","0.23%"
"Jun 30, 2020","4.370","4.410","4.410","4.370","-0.91%"
"Jun 29, 2020","4.410","4.440","4.440","4.410","-0.68%"
"Jun 26, 2020","4.440","4.480","4.480","4.440","-0.89%"
"Jun 25, 2020","4.480","4.430","4.480","4.430","1.13%"
"Jun 23, 2020","4.430","4.490","4.490","4.430","-1.34%"
"Jun 22, 2020","4.490","4.770","4.770","4.490","-5.87%"
"Jun 19, 2020","4.770","4.950","4.950","4.770","-3.64%"
"Jun 18, 2020","4.950","4.980","4.980","4.950","-0.60%"
"Jun 17, 2020","4.980","5.070","5.070","4.980","-1.78%"
"Jun 16, 2020","5.070","5.150","5.150","5.070","-1.55%"
