"Date","Price","Open","High","Low","Change %"
"Aug 27, 2020","4.160","4.160","4.160","4.160","0.00%"
"Aug 26, 2020","4.160","4.160","4.160","4.160","0.00%"
"Aug 25, 2020","4.160","4.160","4.160","4.160","0.00%"
"Aug 24, 2020","4.160","4.150","4.160","4.150","0.24%"
"Aug 21, 2020","4.150","4.140","4.150","4.140","0.24%"
"Aug 20, 2020","4.140","4.140","4.140","4.140","0.00%"
"Aug 19, 2020","4.140","0.000","0.000","0.000","0.00%"
"Aug 18, 2020","4.140","4.140","4.140","4.140","0.00%"
"Aug 17, 2020","4.140","4.130","4.140","4.130","0.24%"
"Aug 14, 2020","4.130","4.120","4.130","4.120","0.24%"
"Aug 13, 2020","4.120","4.120","4.120","4.120","0.00%"
"Aug 12, 2020","4.120","4.130","4.130","4.120","-0.24%"
"Aug 11, 2020","4.130","0.000","0.000","0.000","-0.24%"
"Aug 10, 2020","4.140","4.140","4.140","4.140","0.00%"
"Aug 07, 2020","4.140","4.140","4.140","4.140","0.00%"
"Aug 06, 2020","4.140","4.130","4.140","4.130","0.24%"
"Aug 05, 2020","4.130","4.130","4.130","4.130","0.00%"
"Aug 04, 2020","4.130","4.150","4.150","4.130","-0.48%"
"Aug 03, 2020","4.150","4.160","4.160","4.150","-0.24%"
"Jul 31, 2020","4.160","4.150","4.160","4.150","0.24%"
"Jul 30, 2020","4.150","4.150","4.150","4.150","0.00%"
"Jul 29, 2020","4.150","4.150","4.150","4.150","0.00%"
"Jul 28, 2020","4.150","4.150","4.150","4.150","0.00%"
"Jul 27, 2020","4.150","4.150","4.150","4.150","0.00%"
"Jul 24, 2020","4.150","4.150","4.150","4.150","0.00%"
"Jul 23, 2020","4.150","4.150","4.150","4.150","-0.24%"
"Jul 22, 2020","4.160","4.160","4.160","4.160","0.00%"
"Jul 21, 2020","4.160","4.160","4.160","4.160","-0.48%"
"Jul 20, 2020","4.180","4.180","4.180","4.180","-0.24%"
"Jul 17, 2020","4.190","4.200","4.200","4.190","-0.24%"
"Jul 16, 2020","4.200","4.210","4.210","4.200","-0.24%"
"Jul 15, 2020","4.210","4.220","4.220","4.210","-0.24%"
"Jul 14, 2020","4.220","4.230","4.230","4.220","-0.24%"
"Jul 13, 2020","4.230","4.230","4.230","4.230","0.00%"
"Jul 10, 2020","4.230","4.230","4.230","4.230","0.00%"
"Jul 09, 2020","4.230","4.240","4.240","4.230","-0.24%"
"Jul 08, 2020","4.240","4.250","4.250","4.240","-0.24%"
"Jul 07, 2020","4.250","4.270","4.270","4.250","-0.47%"
"Jul 06, 2020","4.270","4.250","4.270","4.250","0.47%"
"Jul 03, 2020","4.250","4.270","4.270","4.250","-0.47%"
"Jul 02, 2020","4.270","4.260","4.270","4.260","0.23%"
"Jun 30, 2020","4.260","4.270","4.270","4.260","-0.23%"
"Jun 29, 2020","4.270","4.310","4.310","4.270","-0.93%"
"Jun 26, 2020","4.310","4.310","4.310","4.310","0.00%"
"Jun 25, 2020","4.310","4.290","4.310","4.290","0.47%"
"Jun 23, 2020","4.290","4.360","4.360","4.290","-1.61%"
"Jun 22, 2020","4.360","4.500","4.500","4.360","-3.11%"
"Jun 19, 2020","4.500","4.570","4.570","4.500","-1.53%"
"Jun 18, 2020","4.570","4.580","4.580","4.570","-0.22%"
"Jun 17, 2020","4.580","4.650","4.650","4.580","-1.51%"
"Jun 16, 2020","4.650","4.690","4.690","4.650","-0.85%"
"Jun 15, 2020","4.690","4.740","4.740","4.690","-1.05%"
"Jun 11, 2020","4.740","4.750","4.750","4.740","-0.21%"
"Jun 10, 2020","4.750","4.850","4.850","4.750","-2.06%"
"Jun 09, 2020","4.850","4.850","4.850","4.850","0.00%"
"Jun 08, 2020","4.850","4.850","4.850","4.850","0.00%"
"Jun 05, 2020","4.850","4.850","4.850","4.850","0.00%"
"Jun 04, 2020","4.850","4.860","4.860","4.850","-0.21%"
