"Date","Price","Open","High","Low","Change %"
"Aug 27, 2020","-0.800","-0.670","-0.670","-0.910","-11.11%"
"Aug 26, 2020","-0.900","-0.670","-0.670","-0.910","0.00%"
"Aug 25, 2020","-0.900","-0.670","-0.670","-0.910","0.00%"
"Aug 24, 2020","-0.900","-0.670","-0.670","-1.000","34.33%"
"Aug 23, 2020","-0.670","-0.800","-0.670","-0.900","-16.25%"
"Aug 22, 2020","-0.800","-0.670","-0.670","-1.000","-11.11%"
"Aug 21, 2020","-0.900","-0.670","-0.670","-0.900","0.00%"
"Aug 20, 2020","-0.900","-0.670","-0.670","-0.910","0.00%"
"Aug 19, 2020","-0.900","-0.670","-0.670","-0.900","0.00%"
"Aug 18, 2020","-0.900","-0.670","-0.670","-0.900","34.33%"
"Aug 17, 2020","-0.670","-0.750","-0.670","-1.000","-21.18%"
"Aug 16, 2020","-0.850","-0.670","-0.670","-0.850","-15.00%"
"Aug 15, 2020","-1.000","-0.670","-0.670","-1.000","11.11%"
"Aug 14, 2020","-0.900","-0.670","-0.670","-0.910","34.33%"
"Aug 13, 2020","-0.670","-0.750","-0.670","-0.910","-25.56%"
"Aug 12, 2020","-0.900","-0.670","-0.670","-0.910","0.00%"
"Aug 11, 2020","-0.900","-0.670","-0.670","-0.910","0.00%"
"Aug 10, 2020","-0.900","-0.670","-0.670","-1.000","0.00%"
"Aug 09, 2020","-0.900","-0.670","-0.670","-0.900","-10.00%"
"Aug 08, 2020","-1.000","-0.670","-0.670","-1.000","11.11%"
"Aug 07, 2020","-0.900","-0.670","-0.670","-0.900","0.00%"
"Aug 06, 2020","-0.900","-0.670","-0.670","-0.910","11.11%"
"Aug 05, 2020","-0.810","-0.670","-0.670","-0.910","-10.00%"
"Aug 04, 2020","-0.900","-0.670","-0.670","-0.910","0.00%"
"Aug 03, 2020","-0.900","-0.670","-0.670","-1.000","0.00%"
"Aug 02, 2020","-0.900","-0.670","-0.670","-0.900","-10.00%"
"Aug 01, 2020","-1.000","-0.670","-0.670","-1.000","11.11%"
"Jul 31, 2020","-0.900","-0.670","-0.670","-0.910","-5.26%"
"Jul 30, 2020","-0.950","-0.670","-0.670","-0.950","0.00%"
"Jul 29, 2020","-0.950","-0.670","-0.670","-0.950","0.00%"
"Jul 28, 2020","-0.950","-0.670","-0.670","-0.950","5.56%"
"Jul 27, 2020","-0.900","-0.670","-0.670","-1.000","0.00%"
"Jul 26, 2020","-0.900","-0.670","-0.670","-0.900","-10.00%"
"Jul 25, 2020","-1.000","-0.670","-0.670","-1.000","19.05%"
"Jul 24, 2020","-0.840","-0.670","-0.670","-0.910","-6.67%"
"Jul 23, 2020","-0.900","-0.670","-0.670","-0.910","0.00%"
"Jul 22, 2020","-0.900","-0.670","-0.670","-0.910","0.00%"
"Jul 21, 2020","-0.900","-0.670","-0.670","-0.910","0.00%"
"Jul 20, 2020","-0.900","-0.670","-0.670","-1.000","11.11%"
"Jul 19, 2020","-0.810","-0.670","-0.670","-0.810","0.00%"
"Jul 18, 2020","-0.810","-0.670","-0.670","-1.000","0.00%"
"Jul 17, 2020","-0.810","-0.670","-0.670","-0.910","-10.00%"
"Jul 16, 2020","-0.900","-0.670","-0.670","-0.910","11.11%"
"Jul 15, 2020","-0.810","-0.670","-0.670","-0.900","-10.00%"
"Jul 14, 2020","-0.900","-0.670","-0.670","-0.950","0.00%"
"Jul 13, 2020","-0.900","-0.670","-0.670","-1.000","0.00%"
"Jul 12, 2020","-0.900","-0.670","-0.670","-0.900","-10.00%"
"Jul 11, 2020","-1.000","-0.670","-0.670","-1.000","11.11%"
"Jul 10, 2020","-0.900","-0.670","-0.670","-0.900","0.00%"
"Jul 09, 2020","-0.900","-0.670","-0.650","-0.910","0.00%"
"Jul 08, 2020","-0.900","-0.670","-0.650","-0.910","0.00%"
"Jul 07, 2020","-0.900","-0.670","-0.650","-0.900","0.00%"
"Jul 06, 2020","-0.900","-0.670","-0.670","-1.000","0.00%"
"Jul 05, 2020","-0.900","-0.670","-0.670","-0.900","-10.00%"
"Jul 04, 2020","-1.000","-0.670","-0.670","-1.000","26.58%"
"Jul 03, 2020","-0.790","-0.670","-0.650","-0.850","-12.22%"
"Jul 02, 2020","-0.900","-0.670","-0.650","-0.900","0.00%"
"Jul 01, 2020","-0.900","-0.670","-0.670","-0.900","0.00%"
"Jun 30, 2020","-0.900","-0.670","-0.670","-0.950","-5.26%"
"Jun 29, 2020","-0.950","-0.670","-0.670","-1.000","0.00%"
"Jun 28, 2020","-0.950","-0.670","-0.670","-0.950","-5.00%"
"Jun 27, 2020","-1.000","-0.670","-0.670","-1.000","26.58%"
"Jun 26, 2020","-0.790","-0.670","-0.650","-0.850","-16.84%"
"Jun 25, 2020","-0.950","-0.670","-0.670","-0.950","0.00%"
"Jun 24, 2020","-0.950","-0.670","-0.650","-0.950","0.00%"
"Jun 23, 2020","-0.950","-0.670","-0.670","-1.000","0.00%"
"Jun 22, 2020","-0.950","-0.670","-0.650","-1.000","4.40%"
"Jun 21, 2020","-0.910","-0.670","-0.670","-0.910","16.67%"
"Jun 20, 2020","-0.780","-0.670","-0.670","-1.000","-1.27%"
"Jun 19, 2020","-0.790","-0.670","-0.670","-1.000","-13.19%"
"Jun 18, 2020","-0.910","-0.670","-0.650","-0.910","-1.09%"
"Jun 17, 2020","-0.920","-0.670","-0.650","-0.920","1.10%"
"Jun 16, 2020","-0.910","-0.670","-0.670","-0.910","0.00%"
"Jun 15, 2020","-0.910","-0.670","-0.650","-1.000","35.82%"
"Jun 14, 2020","-0.670","-0.670","-0.670","-0.900","-33.00%"
"Jun 13, 2020","-1.000","-0.670","-0.670","-1.000","11.11%"
"Jun 12, 2020","-0.900","-0.670","-0.650","-0.900","0.00%"
"Jun 11, 2020","-0.900","-0.670","-0.650","-0.900","0.00%"
"Jun 10, 2020","-0.900","-0.670","-0.650","-0.900","0.00%"
"Jun 09, 2020","-0.900","-0.670","-0.650","-0.900","0.00%"
"Jun 08, 2020","-0.900","-0.670","-0.650","-1.000","0.00%"
"Jun 07, 2020","-0.900","-0.670","-0.670","-0.900","-10.00%"
"Jun 06, 2020","-1.000","-0.670","-0.650","-1.000","53.85%"
"Jun 05, 2020","-0.650","-0.670","-0.650","-0.750","-27.78%"
"Jun 04, 2020","-0.900","-0.670","-0.650","-0.900","0.00%"
"Jun 03, 2020","-0.900","-0.670","-0.670","-0.900","0.00%"
"Jun 02, 2020","-0.900","-0.670","-0.650","-0.900","0.00%"
"Jun 01, 2020","-0.900","-0.670","-0.670","-1.000","0.00%"
"May 31, 2020","-0.900","-0.670","-0.670","-0.900","34.33%"
"May 30, 2020","-0.670","-0.670","-0.670","-0.670","-9.46%"
