"Date","Price","Open","High","Low","Change %"
"Dec 30, 2009","2.025","2.025","2.025","2.025","1.55%"
"Dec 29, 2009","1.994","1.994","1.994","1.994","1.06%"
"Dec 28, 2009","1.973","1.973","1.973","1.973","1.34%"
"Dec 23, 2009","1.947","1.947","1.947","1.947","-0.82%"
"Dec 22, 2009","1.963","1.963","1.963","1.963","1.08%"
"Dec 21, 2009","1.942","1.942","1.942","1.942","0.52%"
"Dec 18, 2009","1.932","1.932","1.932","1.932","3.04%"
"Dec 17, 2009","1.875","1.875","1.875","1.875","-1.47%"
"Dec 16, 2009","1.903","1.903","1.903","1.903","-1.19%"
"Dec 15, 2009","1.926","1.926","1.926","1.926","1.16%"
"Dec 14, 2009","1.904","1.904","1.904","1.904","0.00%"
"Dec 11, 2009","1.904","1.904","1.904","1.904","0.85%"
"Dec 10, 2009","1.888","1.888","1.888","1.888","0.91%"
"Dec 09, 2009","1.871","1.871","1.871","1.871","-2.65%"
"Dec 08, 2009","1.922","1.922","1.922","1.922","1.16%"
"Dec 07, 2009","1.900","1.900","1.900","1.900","-0.58%"
"Dec 04, 2009","1.911","1.911","1.911","1.911","1.11%"
"Dec 03, 2009","1.890","1.890","1.890","1.890","0.59%"
"Dec 02, 2009","1.879","1.879","1.879","1.879","2.34%"
"Dec 01, 2009","1.836","1.836","1.836","1.836","-0.86%"
"Nov 30, 2009","1.852","1.852","1.852","1.852","-1.80%"
"Nov 27, 2009","1.886","1.886","1.886","1.886","-0.58%"
"Nov 26, 2009","1.897","1.897","1.897","1.897","-0.89%"
"Nov 25, 2009","1.914","1.914","1.914","1.914","-3.43%"
"Nov 23, 2009","1.982","1.982","1.982","1.982","-1.10%"
"Nov 19, 2009","2.004","2.004","2.004","2.004","0.25%"
"Nov 18, 2009","1.999","1.999","1.999","1.999","1.37%"
"Nov 17, 2009","1.972","1.972","1.972","1.972","-0.30%"
"Nov 16, 2009","1.978","1.978","1.978","1.978","-0.85%"
"Nov 13, 2009","1.995","1.995","1.995","1.995","0.00%"
"Nov 12, 2009","1.995","1.995","1.995","1.995","0.81%"
"Nov 11, 2009","1.979","1.979","1.979","1.979","-1.15%"
"Nov 10, 2009","2.002","2.002","2.002","2.002","0.30%"
"Nov 09, 2009","1.996","1.996","1.996","1.996","-0.84%"
"Nov 06, 2009","2.013","2.013","2.013","2.013","0.00%"
"Nov 05, 2009","2.013","2.013","2.013","2.013","-2.99%"
"Nov 04, 2009","2.075","2.075","2.075","2.075","1.42%"
"Nov 03, 2009","2.046","2.046","2.046","2.046","0.15%"
"Nov 02, 2009","2.043","2.043","2.043","2.043","-0.58%"
"Oct 30, 2009","2.055","2.055","2.055","2.055","-2.61%"
"Oct 29, 2009","2.110","2.110","2.110","2.110","-2.09%"
"Oct 28, 2009","2.155","2.155","2.155","2.155","-0.14%"
"Oct 27, 2009","2.158","2.158","2.158","2.158","0.05%"
"Oct 26, 2009","2.157","2.157","2.157","2.157","0.00%"
"Oct 23, 2009","2.157","2.157","2.157","2.157","0.65%"
"Oct 22, 2009","2.143","2.143","2.143","2.143","-0.92%"
"Oct 21, 2009","2.163","2.163","2.163","2.163","2.41%"
"Oct 20, 2009","2.112","2.112","2.112","2.112","-1.63%"
"Oct 19, 2009","2.147","2.147","2.147","2.147","1.13%"
"Oct 16, 2009","2.123","2.123","2.123","2.123","1.97%"
"Oct 15, 2009","2.082","2.082","2.082","2.082","1.46%"
"Oct 14, 2009","2.052","2.052","2.052","2.052","1.68%"
"Oct 13, 2009","2.018","2.018","2.018","2.018","0.05%"
"Oct 12, 2009","2.017","2.017","2.017","2.017","-0.74%"
"Oct 09, 2009","2.032","2.032","2.032","2.032","2.83%"
"Oct 08, 2009","1.976","1.976","1.976","1.976","0.30%"
"Oct 07, 2009","1.970","1.970","1.970","1.970","-0.71%"
"Oct 06, 2009","1.984","1.984","1.984","1.984","0.51%"
"Oct 05, 2009","1.974","1.974","1.974","1.974","0.15%"
"Oct 02, 2009","1.971","1.971","1.971","1.971","-1.60%"
"Oct 01, 2009","2.003","2.003","2.003","2.003","-0.74%"
"Sep 30, 2009","2.018","2.018","2.018","2.018","-1.70%"
"Sep 29, 2009","2.053","2.053","2.053","2.053","-0.48%"
"Sep 28, 2009","2.063","2.063","2.063","2.063","-0.82%"
"Sep 25, 2009","2.080","2.080","2.080","2.080","0.43%"
"Sep 24, 2009","2.071","2.071","2.071","2.071","-1.89%"
"Sep 23, 2009","2.111","2.111","2.111","2.111","-1.45%"
"Sep 22, 2009","2.142","2.142","2.142","2.142","0.47%"
"Sep 21, 2009","2.132","2.132","2.132","2.132","-1.71%"
"Sep 18, 2009","2.169","2.169","2.169","2.169","-0.46%"
"Sep 17, 2009","2.179","2.179","2.179","2.179","0.41%"
"Sep 16, 2009","2.170","2.170","2.170","2.170","1.02%"
"Sep 15, 2009","2.148","2.148","2.148","2.148","0.56%"
"Sep 14, 2009","2.136","2.136","2.136","2.136","0.99%"
"Sep 11, 2009","2.115","2.115","2.115","2.115","-2.76%"
"Sep 10, 2009","2.175","2.175","2.175","2.175","0.42%"
"Sep 09, 2009","2.166","2.166","2.166","2.166","1.98%"
