"Date","Price","Open","High","Low","Change %"
"Aug 27, 2020","-0.740","-0.750","-0.740","-0.800","0.00%"
"Aug 26, 2020","-0.740","-0.750","-0.740","-0.800","-6.33%"
"Aug 25, 2020","-0.790","-0.750","-0.740","-0.800","6.76%"
"Aug 24, 2020","-0.740","-0.750","-0.740","-0.800","-1.33%"
"Aug 23, 2020","-0.750","-0.780","-0.750","-0.780","-3.85%"
"Aug 22, 2020","-0.780","-0.750","-0.740","-0.780","5.41%"
"Aug 21, 2020","-0.740","-0.750","-0.740","-0.800","-1.33%"
"Aug 20, 2020","-0.750","-0.730","-0.710","-0.800","2.74%"
"Aug 19, 2020","-0.730","-0.750","-0.690","-0.800","-2.67%"
"Aug 18, 2020","-0.750","-0.770","-0.740","-0.800","-1.32%"
"Aug 17, 2020","-0.760","-0.750","-0.740","-0.800","1.33%"
"Aug 16, 2020","-0.750","-0.750","-0.750","-0.750","1.35%"
"Aug 15, 2020","-0.740","-0.750","-0.740","-0.750","0.00%"
"Aug 14, 2020","-0.740","-0.750","-0.740","-0.800","0.00%"
"Aug 13, 2020","-0.740","-0.750","-0.710","-0.800","0.00%"
"Aug 12, 2020","-0.740","-0.750","-0.740","-0.800","0.00%"
"Aug 11, 2020","-0.740","-0.750","-0.740","-0.800","0.00%"
"Aug 10, 2020","-0.740","-0.750","-0.740","-0.800","-3.90%"
"Aug 09, 2020","-0.770","-0.750","-0.750","-0.770","2.67%"
"Aug 08, 2020","-0.750","-0.750","-0.750","-0.750","-1.32%"
"Aug 07, 2020","-0.760","-0.750","-0.730","-0.780","2.70%"
"Aug 06, 2020","-0.740","-0.750","-0.700","-0.800","2.78%"
"Aug 05, 2020","-0.720","-0.750","-0.720","-0.800","-2.70%"
"Aug 04, 2020","-0.740","-0.750","-0.700","-0.800","0.00%"
"Aug 03, 2020","-0.740","-0.750","-0.700","-0.810","-1.33%"
"Aug 02, 2020","-0.750","-0.750","-0.750","-0.750","0.00%"
"Aug 01, 2020","-0.750","-0.750","-0.750","-0.750","-3.85%"
"Jul 31, 2020","-0.780","-0.750","-0.670","-0.800","5.41%"
"Jul 30, 2020","-0.740","-0.750","-0.700","-0.870","0.00%"
"Jul 29, 2020","-0.740","-0.750","-0.700","-0.790","4.23%"
"Jul 28, 2020","-0.710","-0.750","-0.650","-0.870","-1.39%"
"Jul 27, 2020","-0.720","-0.750","-0.700","-0.770","-4.00%"
"Jul 26, 2020","-0.750","-0.750","-0.750","-0.750","0.00%"
"Jul 25, 2020","-0.750","-0.750","-0.750","-0.750","1.35%"
"Jul 24, 2020","-0.740","-0.750","-0.710","-0.870","-1.33%"
"Jul 23, 2020","-0.750","-0.860","-0.690","-0.870","-16.67%"
"Jul 22, 2020","-0.900","-0.750","-0.700","-0.900","21.62%"
"Jul 21, 2020","-0.740","-0.750","-0.690","-0.850","-5.13%"
"Jul 20, 2020","-0.780","-0.750","-0.710","-0.950","9.86%"
"Jul 19, 2020","-0.710","-0.750","-0.710","-0.750","0.00%"
"Jul 18, 2020","-0.710","-0.750","-0.710","-0.750","-5.33%"
"Jul 17, 2020","-0.750","-0.850","-0.650","-0.870","-16.67%"
"Jul 16, 2020","-0.900","-0.750","-0.700","-0.900","20.00%"
"Jul 15, 2020","-0.750","-0.850","-0.680","-0.850","-16.67%"
"Jul 14, 2020","-0.900","-0.860","-0.640","-0.900","21.62%"
"Jul 13, 2020","-0.740","-0.750","-0.670","-0.860","-17.78%"
"Jul 12, 2020","-0.900","-0.750","-0.720","-0.900","20.00%"
"Jul 11, 2020","-0.750","-0.750","-0.750","-0.750","0.00%"
"Jul 10, 2020","-0.750","-0.860","-0.640","-0.870","-16.67%"
"Jul 09, 2020","-0.900","-0.750","-0.690","-0.900","21.62%"
"Jul 08, 2020","-0.740","-0.750","-0.650","-0.800","-1.33%"
"Jul 07, 2020","-0.750","-0.860","-0.690","-0.870","-16.67%"
"Jul 06, 2020","-0.900","-0.750","-0.690","-0.900","20.00%"
"Jul 05, 2020","-0.750","-0.750","-0.750","-0.750","0.00%"
"Jul 04, 2020","-0.750","-0.750","-0.750","-0.750","1.35%"
"Jul 03, 2020","-0.740","-0.750","-0.690","-0.870","0.00%"
"Jul 02, 2020","-0.740","-0.750","-0.680","-0.870","0.00%"
"Jul 01, 2020","-0.740","-0.750","-0.660","-0.850","-11.90%"
"Jun 30, 2020","-0.840","-0.750","-0.640","-0.840","13.51%"
"Jun 29, 2020","-0.740","-0.750","-0.700","-0.800","-6.33%"
