"Date","Price","Open","High","Low","Change %"
"Aug 27, 2020","-0.702","-0.697","-0.686","-0.702","3.92%"
"Aug 26, 2020","-0.676","-0.677","-0.668","-0.685","6.12%"
"Aug 25, 2020","-0.637","-0.658","-0.637","-0.675","-6.19%"
"Aug 24, 2020","-0.679","-0.692","-0.679","-0.700","-1.16%"
"Aug 21, 2020","-0.687","-0.689","-0.687","-0.711","1.48%"
"Aug 20, 2020","-0.677","-0.675","-0.664","-0.688","-0.29%"
"Aug 19, 2020","-0.679","-0.669","-0.669","-0.690","2.41%"
"Aug 18, 2020","-0.663","-0.664","-0.648","-0.668","1.07%"
"Aug 17, 2020","-0.656","-0.656","-0.647","-0.660","0.15%"
"Aug 14, 2020","-0.655","-0.636","-0.634","-0.655","4.97%"
"Aug 13, 2020","-0.624","-0.669","-0.616","-0.672","-4.29%"
"Aug 12, 2020","-0.652","-0.691","-0.652","-0.693","-3.12%"
"Aug 11, 2020","-0.673","-0.664","-0.664","-0.716","-3.03%"
"Aug 10, 2020","-0.694","-0.642","-0.642","-0.724","-0.43%"
"Aug 07, 2020","-0.697","-0.652","-0.650","-0.697","-0.29%"
"Aug 06, 2020","-0.699","-0.694","-0.664","-0.705","1.30%"
"Aug 05, 2020","-0.690","-0.690","-0.690","-0.690","0.15%"
"Aug 04, 2020","-0.689","-0.689","-0.689","-0.689","-0.43%"
"Aug 03, 2020","-0.692","-0.688","-0.688","-0.706","0.73%"
"Jul 31, 2020","-0.687","-0.687","-0.687","-0.744","0.15%"
"Jul 30, 2020","-0.686","-0.686","-0.686","-0.695","0.59%"
"Jul 29, 2020","-0.682","-0.686","-0.682","-0.689","0.00%"
"Jul 28, 2020","-0.682","-0.682","-0.682","-0.688","0.15%"
"Jul 27, 2020","-0.681","-0.681","-0.681","-0.681","0.15%"
"Jul 24, 2020","-0.680","-0.680","-0.680","-0.685","0.15%"
"Jul 23, 2020","-0.679","-0.679","-0.679","-0.680","0.59%"
"Jul 22, 2020","-0.675","-0.637","-0.637","-0.684","6.30%"
"Jul 21, 2020","-0.635","-0.628","-0.621","-0.639","2.42%"
"Jul 20, 2020","-0.620","-0.632","-0.620","-0.649","-1.27%"
"Jul 17, 2020","-0.628","-0.653","-0.628","-0.679","-3.38%"
"Jul 16, 2020","-0.650","-0.654","-0.647","-0.678","3.01%"
"Jul 15, 2020","-0.631","-0.638","-0.631","-0.664","-0.32%"
"Jul 14, 2020","-0.633","-0.620","-0.620","-0.644","3.09%"
"Jul 13, 2020","-0.614","-0.667","-0.614","-0.667","-5.68%"
"Jul 10, 2020","-0.651","-0.649","-0.649","-0.684","2.84%"
"Jul 09, 2020","-0.633","-0.593","-0.593","-0.637","9.33%"
"Jul 08, 2020","-0.579","-0.586","-0.564","-0.610","-1.86%"
"Jul 07, 2020","-0.590","-0.607","-0.587","-0.607","0.51%"
"Jul 06, 2020","-0.587","-0.558","-0.558","-0.604","-0.84%"
"Jul 03, 2020","-0.592","-0.570","-0.570","-0.623","-3.90%"
"Jul 02, 2020","-0.616","-0.569","-0.569","-0.620","3.88%"
"Jul 01, 2020","-0.593","-0.591","-0.576","-0.611","-4.51%"
"Jun 30, 2020","-0.621","-0.617","-0.610","-0.625","4.19%"
"Jun 29, 2020","-0.596","-0.582","-0.582","-0.616","2.41%"
"Jun 26, 2020","-0.582","-0.577","-0.577","-0.606","0.69%"
"Jun 25, 2020","-0.578","-0.565","-0.561","-0.605","4.90%"
