"Date","Price","Open","High","Low","Change %"
"Dec 31, 1999","1.780","1.780","1.780","1.780","-7.77%"
"Dec 30, 1999","1.930","1.930","1.930","1.930","0.00%"
"Dec 29, 1999","1.930","1.930","1.930","1.930","-1.53%"
"Dec 28, 1999","1.960","1.960","1.960","1.960","-2.00%"
"Dec 27, 1999","2.000","2.000","2.000","2.000","3.63%"
"Dec 24, 1999","1.930","1.930","1.930","1.930","-1.03%"
"Dec 23, 1999","1.950","1.950","1.950","1.950","0.00%"
"Dec 22, 1999","1.950","1.950","1.950","1.950","0.00%"
"Dec 21, 1999","1.950","1.950","1.950","1.950","0.00%"
"Dec 20, 1999","1.950","1.950","1.950","1.950","3.17%"
"Dec 17, 1999","1.890","1.890","1.890","1.890","4.42%"
"Dec 16, 1999","1.810","1.810","1.810","1.810","-4.23%"
"Dec 15, 1999","1.890","1.890","1.890","1.890","5.59%"
"Dec 14, 1999","1.790","1.790","1.790","1.790","-1.10%"
"Dec 13, 1999","1.810","1.810","1.810","1.810","0.56%"
"Dec 10, 1999","1.800","1.800","1.800","1.800","-6.74%"
"Dec 09, 1999","1.930","1.930","1.930","1.930","-2.03%"
"Dec 08, 1999","1.970","1.970","1.970","1.970","0.00%"
"Dec 07, 1999","1.970","1.970","1.970","1.970","-2.48%"
"Dec 06, 1999","2.020","2.020","2.020","2.020","-2.42%"
"Dec 03, 1999","2.070","2.070","2.070","2.070","9.52%"
"Dec 02, 1999","1.890","1.890","1.890","1.890","2.72%"
"Dec 01, 1999","1.840","1.840","1.840","1.840","2.79%"
"Nov 30, 1999","1.790","1.790","1.790","1.790","5.29%"
"Nov 29, 1999","1.700","1.700","1.700","1.700","-4.49%"
"Nov 26, 1999","1.780","1.780","1.780","1.780","2.30%"
"Nov 25, 1999","1.740","1.740","1.740","1.740","6.10%"
"Nov 24, 1999","1.640","1.640","1.640","1.640","-13.23%"
"Nov 23, 1999","1.890","1.890","1.890","1.890","-3.08%"
"Nov 22, 1999","1.950","1.950","1.950","1.950","-1.52%"
"Nov 19, 1999","1.980","1.980","1.980","1.980","5.32%"
"Nov 18, 1999","1.880","1.880","1.880","1.880","-4.57%"
"Nov 17, 1999","1.970","1.970","1.970","1.970","3.14%"
"Nov 16, 1999","1.910","1.910","1.910","1.910","0.00%"
"Nov 15, 1999","1.910","1.910","1.910","1.910","1.06%"
"Nov 12, 1999","1.890","1.890","1.890","1.890","-4.06%"
"Nov 11, 1999","1.970","1.970","1.970","1.970","1.55%"
"Nov 10, 1999","1.940","1.940","1.940","1.940","1.04%"
"Nov 09, 1999","1.920","1.920","1.920","1.920","1.05%"
"Nov 08, 1999","1.900","1.900","1.900","1.900","-1.55%"
"Nov 05, 1999","1.930","1.930","1.930","1.930","4.32%"
"Nov 04, 1999","1.850","1.850","1.850","1.850","-14.75%"
"Nov 03, 1999","2.170","2.170","2.170","2.170","2.84%"
"Nov 02, 1999","2.110","2.110","2.110","2.110","12.83%"
"Nov 01, 1999","1.870","1.870","1.870","1.870","3.89%"
"Oct 29, 1999","1.800","1.800","1.800","1.800","-3.23%"
"Oct 28, 1999","1.860","1.860","1.860","1.860","-1.06%"
"Oct 27, 1999","1.880","1.880","1.880","1.880","-1.05%"
"Oct 26, 1999","1.900","1.900","1.900","1.900","-12.84%"
"Oct 25, 1999","2.180","2.180","2.180","2.180","2.35%"
"Oct 22, 1999","2.130","2.130","2.130","2.130","9.79%"
"Oct 21, 1999","1.940","1.940","1.940","1.940","-4.43%"
"Oct 20, 1999","2.030","2.030","2.030","2.030","-4.69%"
"Oct 19, 1999","2.130","2.130","2.130","2.130","-5.33%"
"Oct 18, 1999","2.250","2.250","2.250","2.250","9.22%"
"Oct 15, 1999","2.060","2.060","2.060","2.060","-5.50%"
"Oct 14, 1999","2.180","2.180","2.180","2.180","-2.68%"
"Oct 13, 1999","2.240","2.240","2.240","2.240","9.80%"
"Oct 12, 1999","2.040","2.040","2.040","2.040","6.25%"
"Oct 11, 1999","1.920","1.920","1.920","1.920","-8.13%"
"Oct 08, 1999","2.090","2.090","2.090","2.090","0.00%"
"Oct 07, 1999","2.090","2.090","2.090","2.090","0.00%"
"Oct 06, 1999","2.090","2.090","2.090","2.090","3.47%"
"Oct 05, 1999","2.020","2.020","2.020","2.020","3.59%"
"Oct 04, 1999","1.950","1.950","1.950","1.950","7.73%"
"Oct 01, 1999","1.810","1.810","1.810","1.810","-1.63%"
"Sep 30, 1999","1.840","1.840","1.840","1.840","2.22%"
"Sep 29, 1999","1.800","1.800","1.800","1.800","1.12%"
"Sep 28, 1999","1.780","1.780","1.780","1.780","14.10%"
"Sep 27, 1999","1.560","1.560","1.560","1.560","4.00%"
"Sep 24, 1999","1.500","1.500","1.500","1.500","0.00%"
"Sep 23, 1999","1.500","1.500","1.500","1.500","-8.54%"
"Sep 22, 1999","1.640","1.640","1.640","1.640","11.56%"
"Sep 21, 1999","1.470","1.470","1.470","1.470","-0.68%"
"Sep 20, 1999","1.480","1.480","1.480","1.480","-6.92%"
"Sep 17, 1999","1.590","1.590","1.590","1.590","15.22%"
"Sep 16, 1999","1.380","1.380","1.380","1.380","0.73%"
"Sep 15, 1999","1.370","1.370","1.370","1.370","3.01%"
"Sep 14, 1999","1.330","1.330","1.330","1.330","0.00%"
"Sep 13, 1999","1.330","1.330","1.330","1.330","-10.74%"
"Sep 10, 1999","1.490","1.490","1.490","1.490","1.36%"
"Sep 09, 1999","1.470","1.470","1.470","1.470","-2.65%"
"Sep 08, 1999","1.510","1.510","1.510","1.510","-1.31%"
"Sep 07, 1999","1.530","1.530","1.530","1.530","19.53%"
"Sep 06, 1999","1.280","1.280","1.280","1.280","-14.67%"
"Sep 03, 1999","1.500","1.500","1.500","1.500","0.67%"
"Sep 02, 1999","1.490","1.490","1.490","1.490","0.00%"
"Sep 01, 1999","1.490","1.490","1.490","1.490","7.97%"
"Aug 31, 1999","1.380","1.380","1.380","1.380","-1.43%"
"Aug 30, 1999","1.400","1.400","1.400","1.400","2.94%"
"Aug 27, 1999","1.360","1.360","1.360","1.360","1.49%"
"Aug 26, 1999","1.340","1.340","1.340","1.340","-8.84%"
"Aug 25, 1999","1.470","1.470","1.470","1.470","8.89%"
"Aug 24, 1999","1.350","1.350","1.350","1.350","-8.78%"
"Aug 23, 1999","1.480","1.480","1.480","1.480","12.12%"
"Aug 20, 1999","1.320","1.320","1.320","1.320","-4.35%"
"Aug 19, 1999","1.380","1.380","1.380","1.380","-7.38%"
"Aug 18, 1999","1.490","1.490","1.490","1.490","11.19%"
"Aug 17, 1999","1.340","1.340","1.340","1.340","-10.07%"
"Aug 16, 1999","1.490","1.490","1.490","1.490","13.74%"
"Aug 13, 1999","1.310","1.310","1.310","1.310","-12.08%"
"Aug 12, 1999","1.490","1.490","1.490","1.490","-0.67%"
"Aug 11, 1999","1.500","1.500","1.500","1.500","-1.32%"
"Aug 10, 1999","1.520","1.520","1.520","1.520","7.80%"
"Aug 09, 1999","1.410","1.410","1.410","1.410","2.17%"
"Aug 06, 1999","1.380","1.380","1.380","1.380","0.73%"
"Aug 05, 1999","1.370","1.370","1.370","1.370","0.74%"
"Aug 04, 1999","1.360","1.360","1.360","1.360","-9.33%"
"Aug 03, 1999","1.500","1.500","1.500","1.500","11.94%"
"Aug 02, 1999","1.340","1.340","1.340","1.340","1.52%"
"Jul 30, 1999","1.320","1.320","1.320","1.320","0.76%"
"Jul 29, 1999","1.310","1.310","1.310","1.310","-7.09%"
"Jul 28, 1999","1.410","1.410","1.410","1.410","8.46%"
"Jul 27, 1999","1.300","1.300","1.300","1.300","-2.26%"
"Jul 26, 1999","1.330","1.330","1.330","1.330","-10.14%"
"Jul 23, 1999","1.480","1.480","1.480","1.480","2.78%"
"Jul 22, 1999","1.440","1.440","1.440","1.440","9.09%"
"Jul 21, 1999","1.320","1.320","1.320","1.320","-1.49%"
"Jul 20, 1999","1.340","1.340","1.340","1.340","-4.29%"
"Jul 19, 1999","1.400","1.400","1.400","1.400","0.00%"
"Jul 16, 1999","1.400","1.400","1.400","1.400","-3.45%"
"Jul 15, 1999","1.450","1.450","1.450","1.450","10.69%"
"Jul 14, 1999","1.310","1.310","1.310","1.310","-9.66%"
"Jul 13, 1999","1.450","1.450","1.450","1.450","7.41%"
"Jul 12, 1999","1.350","1.350","1.350","1.350","-9.40%"
"Jul 09, 1999","1.490","1.490","1.490","1.490","7.97%"
"Jul 08, 1999","1.380","1.380","1.380","1.380","-10.39%"
"Jul 07, 1999","1.540","1.540","1.540","1.540","-1.91%"
"Jul 06, 1999","1.570","1.570","1.570","1.570","4.67%"
"Jul 05, 1999","1.500","1.500","1.500","1.500","-1.32%"
"Jul 02, 1999","1.520","1.520","1.520","1.520","13.43%"
"Jul 01, 1999","1.340","1.340","1.340","1.340","-3.60%"
"Jun 30, 1999","1.390","1.390","1.390","1.390","3.73%"
"Jun 29, 1999","1.340","1.340","1.340","1.340","17.54%"
"Jun 28, 1999","1.140","1.140","1.140","1.140","1.79%"
"Jun 25, 1999","1.120","1.120","1.120","1.120","0.00%"
"Jun 24, 1999","1.120","1.120","1.120","1.120","1.82%"
