"Date","Price","Open","High","Low","Change %"
"Aug 26, 2020","13.260","13.375","13.375","13.260","1.92%"
"Aug 25, 2020","13.010","13.010","13.010","13.010","0.31%"
"Aug 24, 2020","12.970","12.850","12.970","12.850","0.31%"
"Aug 21, 2020","12.930","12.890","12.930","12.890","0.08%"
"Aug 20, 2020","12.920","12.880","13.060","12.880","0.31%"
"Aug 19, 2020","12.880","13.070","13.070","12.820","0.31%"
"Aug 18, 2020","12.840","13.840","13.840","12.840","-7.56%"
"Aug 17, 2020","13.890","14.040","14.040","13.890","1.46%"
"Aug 13, 2020","13.690","13.380","13.690","13.380","0.22%"
"Aug 12, 2020","13.660","13.690","13.690","13.410","0.07%"
"Aug 11, 2020","13.650","13.300","13.680","13.300","2.63%"
"Aug 10, 2020","13.300","13.640","13.640","13.290","1.53%"
"Aug 07, 2020","13.100","13.100","13.100","12.590","3.07%"
"Aug 06, 2020","12.710","11.670","12.710","11.670","9.01%"
"Aug 05, 2020","11.660","11.570","11.670","11.310","0.78%"
"Aug 04, 2020","11.570","11.570","12.100","10.780","4.33%"
"Jul 29, 2020","11.090","10.890","11.090","10.790","1.84%"
"Jul 28, 2020","10.890","10.890","10.890","10.890","4.31%"
"Jul 24, 2020","10.440","10.400","10.440","10.400","2.05%"
"Jul 16, 2020","10.230","10.130","10.230","10.130","0.99%"
"Jul 14, 2020","10.130","10.100","10.130","10.100","0.30%"
"Jul 13, 2020","10.100","9.850","10.220","9.850","-1.17%"
"Jul 10, 2020","10.220","9.780","10.220","9.780","3.23%"
"Jul 09, 2020","9.900","9.900","9.900","9.900","0.00%"
"Jul 08, 2020","9.900","9.600","9.900","9.600","3.12%"
"Jul 07, 2020","9.600","9.660","9.660","9.590","-0.52%"
"Jul 06, 2020","9.650","9.560","9.810","9.560","0.63%"
"Jul 03, 2020","9.590","9.650","9.650","9.440","3.23%"
"Jul 02, 2020","9.290","9.290","9.290","9.290","0.00%"
"Jun 30, 2020","9.290","9.290","9.290","9.290","0.00%"
"Jun 29, 2020","9.290","9.110","9.290","9.110","3.34%"
"Jun 26, 2020","8.990","8.990","8.990","8.990","0.00%"
"Jun 22, 2020","8.990","8.990","8.990","8.990","2.74%"
"Jun 19, 2020","8.750","8.810","8.810","8.750","-1.35%"
"Jun 18, 2020","8.870","8.870","9.140","8.750","-1.33%"
"Jun 17, 2020","8.990","8.990","9.170","8.990","0.00%"
"Jun 16, 2020","8.990","8.990","8.990","8.990","-0.66%"
"Jun 15, 2020","9.050","9.050","9.050","9.020","-0.33%"
"Jun 12, 2020","9.080","9.090","9.090","9.080","0.22%"
"Jun 11, 2020","9.060","9.080","9.080","9.060","4.14%"
"Jun 10, 2020","8.700","8.780","8.780","8.700","0.69%"
"Jun 09, 2020","8.640","8.750","8.750","8.640","0.35%"
"Jun 03, 2020","8.610","8.880","8.880","8.610","-3.15%"
"Jun 02, 2020","8.890","7.960","8.890","7.960","11.68%"
"Jun 01, 2020","7.960","7.980","7.980","7.960","-11.26%"
"May 29, 2020","8.970","8.970","8.970","8.970","1.13%"
"May 22, 2020","8.870","9.170","9.170","8.870","-3.27%"
"May 21, 2020","9.170","9.180","9.180","9.170","-0.11%"
"May 20, 2020","9.180","9.230","9.230","9.110","-0.54%"
"May 18, 2020","9.230","9.210","9.230","9.190","0.00%"
"May 15, 2020","9.230","9.160","9.230","9.160","0.65%"
"May 14, 2020","9.170","9.240","9.310","9.170","-0.76%"
"May 13, 2020","9.240","9.250","9.250","8.960","-0.11%"
"May 12, 2020","9.250","9.260","9.260","9.150","-0.11%"
"May 11, 2020","9.260","9.270","9.270","8.910","-0.11%"
"May 08, 2020","9.270","9.290","9.290","9.150","-0.32%"
"May 07, 2020","9.300","9.080","9.300","9.080","2.42%"
"May 06, 2020","9.080","9.310","9.310","8.300","3.42%"
"May 05, 2020","8.780","8.780","8.780","8.780","0.00%"
"May 04, 2020","8.780","8.780","8.780","8.780","-0.11%"
"Apr 30, 2020","8.790","8.820","8.970","8.720","-0.34%"
"Apr 29, 2020","8.820","8.900","8.940","8.820","-0.90%"
"Apr 28, 2020","8.900","8.630","8.900","8.630","3.13%"
"Apr 27, 2020","8.630","8.850","9.030","8.630","-0.58%"
"Apr 24, 2020","8.680","9.050","9.050","8.560","-5.24%"
"Apr 22, 2020","9.160","9.840","9.840","9.160","-7.29%"
"Apr 21, 2020","9.880","9.670","9.880","9.670","2.17%"
"Apr 20, 2020","9.670","11.940","11.940","9.670","-20.93%"
"Apr 17, 2020","12.230","13.420","13.420","12.230","-0.65%"
"Apr 16, 2020","12.310","13.230","13.230","12.230","0.00%"
"Apr 15, 2020","12.310","13.050","13.050","12.310","-2.92%"
"Apr 14, 2020","12.680","13.050","13.050","12.680","3.01%"
"Apr 13, 2020","12.310","13.050","13.050","12.130","3.01%"
