"Date","Price","Open","High","Low","Change %"
"Aug 14, 2020","0.076","0.076","0.076","0.076","162.07%"
"Aug 13, 2020","0.029","0.029","0.029","0.029","3.57%"
"Aug 12, 2020","0.028","0.028","0.028","0.028","3.70%"
"Aug 11, 2020","0.027","0.027","0.027","0.027","-18.18%"
"Aug 10, 2020","0.033","0.033","0.033","0.033","13.79%"
"Aug 07, 2020","0.029","0.029","0.029","0.029","-30.95%"
"Aug 06, 2020","0.042","0.042","0.042","0.042","2.44%"
"Aug 05, 2020","0.041","0.041","0.041","0.041","5.13%"
"Aug 04, 2020","0.039","0.039","0.039","0.039","129.41%"
"Aug 03, 2020","0.017","0.035","0.035","0.017","-43.33%"
"Jul 31, 2020","0.030","0.030","0.030","0.030","3.45%"
"Jul 30, 2020","0.029","0.029","0.029","0.029","3.57%"
"Jul 29, 2020","0.028","0.028","0.028","0.028","3.70%"
"Jul 28, 2020","0.027","0.027","0.027","0.027","-22.86%"
"Jul 27, 2020","0.035","0.035","0.035","0.035","133.33%"
"Jul 24, 2020","0.015","0.015","0.015","0.015","0.00%"
"Jul 23, 2020","0.015","0.015","0.015","0.015","-64.29%"
"Jul 22, 2020","0.042","0.042","0.042","0.042","2.44%"
"Jul 21, 2020","0.041","0.041","0.041","0.041","17.14%"
"Jul 20, 2020","0.035","0.035","0.035","0.035","-42.62%"
"Jul 17, 2020","0.061","0.061","0.061","0.061","306.67%"
"Jul 16, 2020","0.015","0.015","0.015","0.015","7.14%"
"Jul 15, 2020","0.014","0.014","0.014","0.014","0.00%"
"Jul 14, 2020","0.014","0.014","0.014","0.014","-112.39%"
"Jul 13, 2020","-0.113","-0.113","-0.113","-0.113","276.67%"
"Jul 10, 2020","-0.030","-0.030","-0.030","-0.030","3.45%"
"Jul 09, 2020","-0.029","-0.029","-0.029","-0.029","-169.05%"
"Jul 08, 2020","0.042","0.042","0.042","0.042","2.44%"
"Jul 07, 2020","0.041","0.041","0.041","0.041","17.14%"
"Jul 06, 2020","0.035","0.035","0.035","0.035","-23.91%"
"Jul 03, 2020","0.046","0.046","0.046","0.046","58.62%"
"Jul 02, 2020","0.029","0.044","0.044","0.029","-48.21%"
"Jul 01, 2020","0.056","0.042","0.056","0.042","36.59%"
"Jun 30, 2020","0.041","0.041","0.041","0.041","-40.58%"
"Jun 29, 2020","0.069","0.069","0.069","0.069","50.00%"
"Jun 26, 2020","0.046","0.046","0.046","0.046","-20.69%"
"Jun 25, 2020","0.058","0.058","0.058","0.058","3.57%"
"Jun 24, 2020","0.056","0.056","0.056","0.056","3.70%"
"Jun 23, 2020","0.054","0.041","0.054","0.041","-37.93%"
"Jun 22, 2020","0.087","0.087","0.087","0.087","-28.69%"
"Jun 19, 2020","0.122","0.106","0.122","0.106","19.61%"
"Jun 18, 2020","0.102","0.102","0.102","0.102","4.08%"
"Jun 17, 2020","0.098","-0.056","-0.056","-0.056","-9.26%"
"Jun 16, 2020","0.108","0.054","0.108","0.054","107.69%"
"Jun 15, 2020","0.052","0.052","0.052","0.052","-14.75%"
"Jun 12, 2020","0.061","0.061","0.061","0.061","5.17%"
"Jun 11, 2020","0.058","0.058","0.058","0.058","3.57%"
"Jun 10, 2020","0.056","0.056","0.056","0.056","3.70%"
"Jun 09, 2020","0.054","0.068","0.068","0.054","-37.93%"
"Jun 08, 2020","0.087","0.087","0.087","0.087","-4.40%"
"Jun 05, 2020","0.091","0.091","0.091","0.091","-9.90%"
"Jun 04, 2020","0.101","0.101","0.101","0.101","5.21%"
"Jun 03, 2020","0.096","0.096","0.096","0.096","5.49%"
"Jun 02, 2020","0.091","0.091","0.091","0.091","-12.50%"
"Jun 01, 2020","0.104","0.104","0.104","0.104","14.29%"
"May 29, 2020","0.091","0.091","0.091","0.091","3.41%"
"May 28, 2020","0.088","0.088","0.088","0.088","4.76%"
"May 27, 2020","0.084","0.084","0.084","0.084","-22.94%"
"May 26, 2020","0.109","0.109","0.109","0.109","505.56%"
"May 25, 2020","0.018","0.018","0.018","0.018","-83.02%"
"May 22, 2020","0.106","0.106","0.106","0.106","20.45%"
"May 21, 2020","0.088","0.102","0.102","0.088","-21.43%"
"May 20, 2020","0.112","0.112","0.112","0.112","53.42%"
"May 19, 2020","0.073","0.073","0.073","0.073","5.80%"
"May 18, 2020","0.069","0.069","0.069","0.069","-24.18%"
"May 15, 2020","0.091","0.091","0.091","0.091","3.41%"
