"Date","Price","Open","High","Low","Change %"
"Dec 30, 1999","5.331","5.331","5.331","5.331","-0.39%"
"Dec 24, 1999","5.352","5.352","5.352","5.352","1.56%"
"Dec 17, 1999","5.270","5.270","5.270","5.270","-1.51%"
"Dec 16, 1999","5.351","5.351","5.351","5.351","0.54%"
"Dec 15, 1999","5.322","5.322","5.322","5.322","-3.62%"
"Dec 03, 1999","5.522","5.522","5.522","5.522","3.41%"
"Nov 26, 1999","5.340","5.340","5.340","5.340","0.38%"
"Nov 19, 1999","5.320","5.320","5.320","5.320","0.19%"
"Oct 29, 1999","5.310","5.310","5.310","5.310","2.12%"
"Sep 30, 1999","5.200","5.200","5.200","5.200","0.35%"
"Sep 27, 1999","5.182","5.182","5.182","5.182","0.45%"
"Sep 24, 1999","5.159","5.159","5.159","5.159","0.16%"
"Sep 21, 1999","5.151","5.151","5.151","5.151","0.63%"
"Sep 10, 1999","5.119","5.119","5.119","5.119","4.73%"
"Aug 19, 1999","4.888","4.888","4.888","4.888","-1.43%"
"Aug 11, 1999","4.959","4.959","4.959","4.959","0.83%"
"Aug 05, 1999","4.918","4.918","4.918","4.918","-0.43%"
"Aug 04, 1999","4.939","4.939","4.939","4.939","0.39%"
"Aug 03, 1999","4.920","4.920","4.920","4.920","0.84%"
"Jul 21, 1999","4.879","4.879","4.879","4.879","0.87%"
"Jul 15, 1999","4.837","4.837","4.837","4.837","-0.02%"
"Jul 14, 1999","4.838","4.838","4.838","4.838","0.42%"
"Jul 13, 1999","4.818","4.818","4.818","4.818","-0.21%"
"Jul 07, 1999","4.828","4.828","4.828","4.828","0.37%"
"Jul 05, 1999","4.810","4.810","4.810","4.810","-0.37%"
"Jun 29, 1999","4.828","4.828","4.828","4.828","0.02%"
"Jun 25, 1999","4.827","4.827","4.827","4.827","0.08%"
"Jun 24, 1999","4.823","4.823","4.823","4.823","0.00%"
"Jun 23, 1999","4.823","4.823","4.823","4.823","-5.25%"
"Jun 10, 1999","5.090","5.090","5.090","5.090","-0.99%"
"Apr 29, 1999","5.141","5.141","5.141","5.141","0.04%"
"Apr 22, 1999","5.139","5.139","5.139","5.139","0.00%"
"Apr 16, 1999","5.139","5.139","5.139","5.139","-0.60%"
"Apr 15, 1999","5.170","5.170","5.170","5.170","-3.00%"
"Feb 05, 1999","5.330","5.330","5.330","5.330","-7.14%"
