"Date","Price","Open","High","Low","Change %"
"Aug 15, 2020","-0.064","-0.064","-0.064","-0.064","15.45%"
"Aug 14, 2020","-0.055","-0.050","-0.037","-0.061","19.57%"
"Aug 13, 2020","-0.046","-0.052","-0.024","-0.062","9.52%"
"Aug 12, 2020","-0.042","-0.035","-0.024","-0.049","-6.67%"
"Aug 11, 2020","-0.045","-0.077","-0.036","-0.079","-46.43%"
"Aug 10, 2020","-0.084","-0.060","-0.055","-0.107","16.67%"
"Aug 07, 2020","-0.072","-0.090","-0.067","-0.098","-19.10%"
"Aug 06, 2020","-0.089","-0.093","-0.087","-0.123","-16.04%"
"Aug 05, 2020","-0.106","-0.132","-0.099","-0.133","-22.63%"
"Aug 04, 2020","-0.137","-0.122","-0.119","-0.151","11.38%"
"Aug 03, 2020","-0.123","-0.108","-0.105","-0.133","0.00%"
"Aug 01, 2020","-0.123","-0.123","-0.123","-0.123","6.47%"
"Jul 31, 2020","-0.116","-0.141","-0.112","-0.151","-12.78%"
"Jul 30, 2020","-0.133","-0.136","-0.131","-0.155","14.66%"
"Jul 29, 2020","-0.116","-0.140","-0.106","-0.149","-17.14%"
"Jul 28, 2020","-0.140","-0.128","-0.123","-0.151","-2.10%"
"Jul 27, 2020","-0.143","-0.123","-0.117","-0.154","11.72%"
"Jul 26, 2020","-0.128","-0.128","-0.128","-0.128","0.39%"
"Jul 25, 2020","-0.127","-0.127","-0.127","-0.127","5.37%"
"Jul 24, 2020","-0.121","-0.150","-0.105","-0.151","-5.47%"
"Jul 23, 2020","-0.128","-0.138","-0.123","-0.155","-3.03%"
"Jul 22, 2020","-0.132","-0.120","-0.117","-0.142","3.94%"
"Jul 21, 2020","-0.127","-0.102","-0.099","-0.129","18.69%"
"Jul 20, 2020","-0.107","-0.083","-0.079","-0.117","32.10%"
"Jul 17, 2020","-0.081","-0.102","-0.079","-0.117","-15.63%"
"Jul 16, 2020","-0.096","-0.091","-0.087","-0.114","15.66%"
"Jul 15, 2020","-0.083","-0.088","-0.052","-0.095","-15.31%"
"Jul 14, 2020","-0.098","-0.110","-0.089","-0.122","8.89%"
"Jul 13, 2020","-0.090","-0.089","-0.065","-0.100","-12.20%"
"Jul 11, 2020","-0.102","-0.102","-0.102","-0.102","7.89%"
"Jul 10, 2020","-0.095","-0.098","-0.092","-0.115","20.25%"
"Jul 09, 2020","-0.079","-0.067","-0.064","-0.100","29.51%"
"Jul 08, 2020","-0.061","-0.077","-0.051","-0.085","-4.69%"
"Jul 07, 2020","-0.064","-0.062","-0.045","-0.073","12.28%"
"Jul 06, 2020","-0.057","-0.043","-0.039","-0.061","-25.49%"
"Jul 05, 2020","-0.076","-0.076","-0.076","-0.076","12.50%"
"Jul 03, 2020","-0.068","-0.082","-0.060","-0.093","-12.82%"
"Jul 02, 2020","-0.078","-0.054","-0.043","-0.080","50.00%"
"Jul 01, 2020","-0.052","-0.055","-0.037","-0.067","-14.75%"
"Jun 30, 2020","-0.061","-0.086","-0.058","-0.094","-7.58%"
"Jun 29, 2020","-0.066","-0.045","-0.042","-0.076","10.92%"
"Jun 27, 2020","-0.060","-0.060","-0.060","-0.060","14.42%"
"Jun 26, 2020","-0.052","-0.061","-0.029","-0.061","-16.13%"
"Jun 25, 2020","-0.062","-0.060","-0.045","-0.085","8.77%"
"Jun 24, 2020","-0.057","-0.016","-0.007","-0.059","96.55%"
"Jun 23, 2020","-0.029","-0.030","-0.017","-0.042","-23.68%"
"Jun 22, 2020","-0.038","-0.020","-0.017","-0.050","49.02%"
"Jun 21, 2020","-0.025","-0.025","-0.025","-0.025","41.67%"
"Jun 19, 2020","-0.018","0.001","0.023","-0.018","50.00%"
"Jun 18, 2020","-0.012","-0.036","0.038","-0.047","-50.00%"
"Jun 17, 2020","-0.024","-0.016","0.003","-0.043","71.43%"
"Jun 16, 2020","-0.014","0.020","0.023","-0.041","1,300.00%"
"Jun 15, 2020","-0.001","-0.035","0.002","-0.043","-87.50%"
"Jun 12, 2020","-0.008","-0.025","0.011","-0.029","-60.00%"
"Jun 11, 2020","-0.020","-0.047","-0.006","-0.052","233.33%"
"Jun 10, 2020","-0.006","0.038","0.041","-0.016","-112.77%"
"Jun 09, 2020","0.047","0.025","0.052","0.015","23.68%"
"Jun 08, 2020","0.038","0.028","0.054","0.026","-8.43%"
"Jun 06, 2020","0.041","0.041","0.041","0.041","-17.00%"
"Jun 05, 2020","0.050","0.034","0.071","0.020","42.86%"
"Jun 04, 2020","0.035","0.027","0.061","0.006","25.00%"
"Jun 03, 2020","0.028","0.012","0.042","-0.004","-411.11%"
"Jun 02, 2020","-0.009","-0.008","0.011","-0.033","-164.29%"
"Jun 01, 2020","0.014","0.001","0.023","-0.029","-132.56%"
"May 31, 2020","-0.043","-0.043","-0.043","-0.043","0.00%"
"May 30, 2020","-0.043","-0.043","-0.043","-0.043","22.86%"
"May 29, 2020","-0.035","-0.034","-0.016","-0.045","337.50%"
"May 28, 2020","-0.008","-0.005","0.005","-0.026","-27.27%"
"May 27, 2020","-0.011","-0.010","0.027","-0.030","266.67%"
"May 26, 2020","-0.003","-0.021","0.002","-0.035","-93.02%"
"May 25, 2020","-0.043","-0.043","-0.043","-0.043","19.44%"
"May 22, 2020","-0.036","-0.049","-0.007","-0.065","20.00%"
"May 21, 2020","-0.030","-0.013","-0.004","-0.038","-433.33%"
"May 20, 2020","0.009","0.005","0.028","-0.006","-25.00%"
"May 19, 2020","0.012","0.040","0.068","0.008","-72.09%"
"May 18, 2020","0.043","0.029","0.049","-0.002","16.22%"
"May 16, 2020","0.037","0.037","0.037","0.037","-13.95%"
"May 15, 2020","0.043","0.001","0.045","-0.014","514.29%"
"May 14, 2020","0.007","0.002","0.033","-0.003","600.00%"
"May 13, 2020","0.001","0.006","0.024","-0.011","-95.83%"
"May 12, 2020","0.024","0.051","0.051","0.012","-47.83%"
"May 11, 2020","0.046","0.056","0.068","0.020","130.00%"
"May 08, 2020","0.020","0.020","0.020","0.020","-28.57%"
"May 07, 2020","0.028","0.066","0.074","0.022","-42.86%"
"May 06, 2020","0.049","0.048","0.078","0.035","22.50%"
"May 05, 2020","0.040","0.073","0.080","0.037","-36.51%"
"May 04, 2020","0.063","0.080","0.083","0.052","-1.56%"
"May 02, 2020","0.064","0.064","0.064","0.064","-9.86%"
"May 01, 2020","0.071","0.059","0.097","0.044","42.00%"
"Apr 30, 2020","0.050","0.081","0.099","0.049","-42.53%"
"Apr 29, 2020","0.087","0.080","0.096","0.073","0.00%"
"Apr 28, 2020","0.087","0.098","0.113","0.082","-13.00%"
"Apr 27, 2020","0.100","0.094","0.121","0.089","11.11%"
"Apr 26, 2020","0.090","0.090","0.090","0.090","-10.00%"
"Apr 24, 2020","0.100","0.069","0.112","0.060","6.38%"
"Apr 23, 2020","0.094","0.136","0.141","0.082","-18.97%"
"Apr 22, 2020","0.116","0.104","0.124","0.090","17.17%"
"Apr 21, 2020","0.099","0.134","0.135","0.080","-28.26%"
"Apr 20, 2020","0.138","0.125","0.145","0.110","28.97%"
"Apr 19, 2020","0.107","0.107","0.107","0.107","-9.32%"
"Apr 17, 2020","0.118","0.099","0.123","0.089","25.53%"
"Apr 16, 2020","0.094","0.079","0.098","0.067","30.56%"
"Apr 15, 2020","0.072","0.078","0.089","0.065","-28.71%"
"Apr 14, 2020","0.101","0.079","0.102","0.054","32.89%"
"Apr 13, 2020","0.076","0.076","0.076","0.076","0.00%"
"Apr 12, 2020","0.076","0.076","0.076","0.076","25.62%"
"Apr 11, 2020","0.060","0.060","0.060","0.060","-6.92%"
"Apr 09, 2020","0.065","0.127","0.138","0.062","-53.24%"
