"Date","Price","Open","High","Low","Change %"
"Dec 30, 1999","6.006","6.006","6.006","6.006","0.81%"
"Dec 29, 1999","5.958","5.958","5.958","5.958","-0.18%"
"Dec 28, 1999","5.969","5.969","5.969","5.969","0.00%"
"Dec 27, 1999","5.969","5.969","5.969","5.969","-0.02%"
"Dec 24, 1999","5.970","5.970","5.970","5.970","0.05%"
"Dec 23, 1999","5.967","5.967","5.967","5.967","-0.33%"
"Dec 22, 1999","5.987","5.987","5.987","5.987","1.44%"
"Dec 21, 1999","5.902","5.902","5.902","5.902","0.46%"
"Dec 20, 1999","5.875","5.875","5.875","5.875","-0.24%"
"Dec 17, 1999","5.889","5.889","5.889","5.889","-0.42%"
"Dec 16, 1999","5.914","5.914","5.914","5.914","2.96%"
"Dec 15, 1999","5.744","5.744","5.744","5.744","-0.50%"
"Dec 14, 1999","5.773","5.773","5.773","5.773","0.82%"
"Dec 13, 1999","5.726","5.726","5.726","5.726","0.53%"
"Dec 10, 1999","5.696","5.696","5.696","5.696","-1.74%"
"Dec 09, 1999","5.797","5.797","5.797","5.797","-1.56%"
"Dec 08, 1999","5.889","5.889","5.889","5.889","0.34%"
"Dec 07, 1999","5.869","5.869","5.869","5.869","-1.68%"
"Dec 06, 1999","5.969","5.969","5.969","5.969","-0.76%"
"Dec 03, 1999","6.015","6.015","6.015","6.015","0.47%"
"Dec 02, 1999","5.987","5.987","5.987","5.987","0.91%"
"Dec 01, 1999","5.933","5.933","5.933","5.933","-0.39%"
"Nov 30, 1999","5.956","5.956","5.956","5.956","-1.06%"
"Nov 29, 1999","6.020","6.020","6.020","6.020","-0.73%"
"Nov 26, 1999","6.064","6.064","6.064","6.064","0.50%"
"Nov 25, 1999","6.034","6.034","6.034","6.034","0.89%"
"Nov 24, 1999","5.981","5.981","5.981","5.981","1.22%"
"Nov 23, 1999","5.909","5.909","5.909","5.909","0.02%"
"Nov 22, 1999","5.908","5.908","5.908","5.908","0.72%"
"Nov 19, 1999","5.866","5.866","5.866","5.866","0.93%"
"Nov 18, 1999","5.812","5.812","5.812","5.812","1.36%"
"Nov 17, 1999","5.734","5.734","5.734","5.734","1.76%"
"Nov 16, 1999","5.635","5.635","5.635","5.635","-1.14%"
"Nov 15, 1999","5.700","5.700","5.700","5.700","0.56%"
"Nov 12, 1999","5.668","5.668","5.668","5.668","-1.97%"
"Nov 11, 1999","5.782","5.782","5.782","5.782","-0.07%"
"Nov 10, 1999","5.786","5.786","5.786","5.786","0.21%"
"Nov 09, 1999","5.774","5.774","5.774","5.774","0.52%"
"Nov 08, 1999","5.744","5.744","5.744","5.744","-0.31%"
"Nov 05, 1999","5.762","5.762","5.762","5.762","0.05%"
"Nov 04, 1999","5.759","5.759","5.759","5.759","-2.74%"
"Nov 03, 1999","5.921","5.921","5.921","5.921","0.30%"
"Nov 02, 1999","5.903","5.903","5.903","5.903","-1.49%"
"Nov 01, 1999","5.992","5.992","5.992","5.992","-0.53%"
"Oct 29, 1999","6.024","6.024","6.024","6.024","-1.91%"
"Oct 28, 1999","6.141","6.141","6.141","6.141","-1.95%"
"Oct 27, 1999","6.263","6.263","6.263","6.263","-1.86%"
"Oct 26, 1999","6.382","6.382","6.382","6.382","-0.85%"
"Oct 25, 1999","6.437","6.437","6.437","6.437","1.53%"
"Oct 22, 1999","6.340","6.340","6.340","6.340","0.44%"
"Oct 21, 1999","6.312","6.312","6.312","6.312","-0.85%"
"Oct 20, 1999","6.366","6.366","6.366","6.366","0.97%"
"Oct 19, 1999","6.305","6.305","6.305","6.305","-0.39%"
"Oct 18, 1999","6.330","6.330","6.330","6.330","-0.20%"
"Oct 15, 1999","6.343","6.343","6.343","6.343","-1.46%"
"Oct 14, 1999","6.437","6.437","6.437","6.437","2.55%"
"Oct 13, 1999","6.277","6.277","6.277","6.277","-0.54%"
