"Date","Price","Open","High","Low","Change %"
"Aug 20, 2020","0.660","0.657","0.669","0.655","0.46%"
"Aug 19, 2020","0.657","0.656","0.660","0.650","-0.61%"
"Aug 18, 2020","0.661","0.655","0.661","0.654","1.15%"
"Aug 17, 2020","0.654","0.639","0.660","0.639","1.48%"
"Aug 16, 2020","0.644","0.650","0.650","0.640","0.31%"
"Aug 13, 2020","0.642","0.643","0.660","0.637","-2.21%"
"Aug 12, 2020","0.656","0.655","0.678","0.643","1.08%"
"Aug 11, 2020","0.650","0.636","0.660","0.636","1.56%"
"Aug 10, 2020","0.640","0.657","0.658","0.638","-2.37%"
"Aug 09, 2020","0.655","0.652","0.656","0.646","2.02%"
"Aug 06, 2020","0.642","0.640","0.646","0.637","0.00%"
"Aug 05, 2020","0.642","0.651","0.658","0.637","-1.61%"
"Aug 04, 2020","0.652","0.654","0.669","0.651","-0.61%"
"Aug 03, 2020","0.656","0.626","0.663","0.626","2.98%"
"Aug 02, 2020","0.637","0.640","0.641","0.629","-0.31%"
"Jul 29, 2020","0.640","0.641","0.642","0.628","-0.47%"
"Jul 28, 2020","0.642","0.632","0.652","0.632","1.26%"
"Jul 27, 2020","0.635","0.638","0.638","0.624","-0.55%"
"Jul 26, 2020","0.638","0.637","0.650","0.637","-1.16%"
"Jul 23, 2020","0.646","0.650","0.650","0.636","1.02%"
"Jul 22, 2020","0.639","0.650","0.650","0.636","-1.62%"
"Jul 21, 2020","0.650","0.623","0.655","0.621","0.08%"
"Jul 20, 2020","0.649","0.641","0.663","0.638","1.17%"
"Jul 19, 2020","0.641","0.624","0.642","0.615","3.05%"
"Jul 16, 2020","0.623","0.621","0.632","0.612","0.24%"
"Jul 15, 2020","0.621","0.623","0.630","0.617","0.24%"
"Jul 14, 2020","0.619","0.613","0.632","0.613","-2.52%"
"Jul 13, 2020","0.636","0.632","0.637","0.618","1.36%"
"Jul 12, 2020","0.627","0.632","0.633","0.621","-1.03%"
"Jul 09, 2020","0.633","0.640","0.642","0.619","0.16%"
"Jul 08, 2020","0.632","0.595","0.632","0.591","4.12%"
"Jul 07, 2020","0.608","0.612","0.612","0.591","-0.57%"
"Jul 06, 2020","0.611","0.617","0.617","0.577","-0.97%"
"Jul 05, 2020","0.617","0.623","0.628","0.614","-2.91%"
"Jul 02, 2020","0.636","0.637","0.645","0.617","-0.86%"
"Jul 01, 2020","0.641","0.630","0.641","0.624","2.64%"
"Jun 30, 2020","0.624","0.613","0.627","0.609","0.64%"
"Jun 29, 2020","0.621","0.610","0.623","0.598","2.82%"
"Jun 28, 2020","0.604","0.612","0.612","0.592","-2.35%"
"Jun 25, 2020","0.618","0.622","0.622","0.595","-0.56%"
"Jun 24, 2020","0.622","0.638","0.638","0.618","-2.66%"
"Jun 23, 2020","0.638","0.646","0.652","0.636","-1.24%"
"Jun 22, 2020","0.646","0.668","0.668","0.641","-3.22%"
"Jun 21, 2020","0.668","0.674","0.674","0.660","-0.96%"
