"Date","Price","Open","High","Low","Change %"
"Aug 20, 2020","0.022","0.045","0.067","0.022","-33.33%"
"Aug 19, 2020","0.033","0.044","0.044","0.022","50.00%"
"Aug 18, 2020","0.022","0.043","0.043","0.022","0.00%"
"Aug 17, 2020","0.022","0.043","0.043","0.022","-58.88%"
"Aug 16, 2020","0.054","0.043","0.054","0.043","154.76%"
"Aug 13, 2020","0.021","0.064","0.064","0.021","-33.33%"
"Aug 12, 2020","0.032","0.042","0.042","0.032","0.00%"
"Aug 11, 2020","0.032","0.042","0.042","0.032","-24.10%"
"Aug 10, 2020","0.041","0.062","0.062","0.021","97.62%"
"Aug 09, 2020","0.021","0.031","0.031","0.021","0.00%"
"Aug 06, 2020","0.021","0.041","0.041","0.021","5.00%"
"Aug 05, 2020","0.020","0.040","0.040","0.020","0.00%"
"Aug 04, 2020","0.020","0.040","0.040","0.020","0.00%"
"Aug 03, 2020","0.020","0.010","0.040","0.010","-50.00%"
"Aug 02, 2020","0.040","0.040","0.040","0.040","100.00%"
"Jul 29, 2020","0.020","0.040","0.049","0.020","5.26%"
"Jul 28, 2020","0.019","0.039","0.039","0.019","-33.33%"
"Jul 27, 2020","0.029","0.058","0.058","0.029","50.00%"
"Jul 26, 2020","0.019","0.038","0.038","0.019","100.00%"
"Jul 23, 2020","0.009","0.038","0.038","0.009","-50.00%"
"Jul 22, 2020","0.019","0.037","0.037","0.019","80.95%"
"Jul 21, 2020","0.010","0.010","0.010","0.010","-52.27%"
"Jul 20, 2020","0.022","0.043","0.043","0.022","-48.84%"
"Jul 19, 2020","0.043","0.022","0.064","0.022","104.76%"
"Jul 16, 2020","0.021","0.043","0.043","0.021","-50.00%"
"Jul 15, 2020","0.042","0.042","0.042","0.042","100.00%"
"Jul 14, 2020","0.021","0.010","0.052","-0.032","110.00%"
"Jul 13, 2020","0.010","0.062","0.062","0.010","-67.74%"
"Jul 12, 2020","0.031","0.041","0.041","0.031","-24.39%"
"Jul 09, 2020","0.041","0.062","0.062","0.031","105.00%"
"Jul 08, 2020","0.020","0.060","0.060","0.020","0.00%"
"Jul 07, 2020","0.020","0.040","0.060","0.020","0.00%"
"Jul 06, 2020","0.020","0.040","0.040","0.020","-50.00%"
"Jul 05, 2020","0.040","0.060","0.060","0.030","100.00%"
"Jul 02, 2020","0.020","0.040","0.059","0.020","-31.03%"
"Jul 01, 2020","0.029","0.039","0.039","0.019","52.63%"
"Jun 30, 2020","0.019","0.058","0.058","0.019","0.00%"
"Jun 29, 2020","0.019","0.038","0.058","0.019","-50.00%"
"Jun 28, 2020","0.038","0.057","0.057","0.038","0.00%"
"Jun 25, 2020","0.038","0.038","0.047","0.019","-18.28%"
"Jun 24, 2020","0.047","0.038","0.047","0.038","3.33%"
"Jun 23, 2020","0.045","0.068","0.068","0.023","0.00%"
"Jun 22, 2020","0.045","0.068","0.068","0.023","106.82%"
"Jun 21, 2020","0.022","0.067","0.067","0.022","-51.11%"
"Jun 18, 2020","0.045","0.067","0.067","0.022","104.55%"
"Jun 17, 2020","0.022","0.044","0.044","0.022","-32.31%"
"Jun 16, 2020","0.032","0.043","0.054","0.022","0.00%"
"Jun 15, 2020","0.032","0.043","0.043","0.032","-24.42%"
"Jun 14, 2020","0.043","0.064","0.064","0.043","-19.63%"
"Jun 11, 2020","0.054","0.032","0.054","0.032","69.84%"
"Jun 10, 2020","0.032","0.042","0.052","0.032","0.00%"
