"Date","Price","Open","High","Low","Change %"
"Aug 26, 2020","4.558","4.558","4.558","4.558","1.98%"
"Aug 25, 2020","4.470","4.530","4.540","4.490","-1.32%"
"Aug 24, 2020","4.530","4.520","4.550","4.520","0.44%"
"Aug 21, 2020","4.510","4.510","4.530","4.510","0.67%"
"Aug 20, 2020","4.480","4.500","4.500","4.500","0.22%"
"Aug 19, 2020","4.470","4.470","4.490","4.470","-0.45%"
"Aug 18, 2020","4.490","4.510","4.510","4.510","0.00%"
"Aug 17, 2020","4.490","4.510","4.510","4.510","0.45%"
"Aug 14, 2020","4.470","4.530","4.530","4.510","-1.11%"
"Aug 13, 2020","4.520","4.540","4.540","4.540","0.22%"
"Aug 12, 2020","4.510","4.520","4.550","4.520","-0.66%"
"Aug 11, 2020","4.540","4.560","4.560","4.560","0.00%"
"Aug 10, 2020","4.540","4.560","4.560","4.560","0.22%"
"Aug 07, 2020","4.530","4.540","4.550","4.540","-0.22%"
"Aug 06, 2020","4.540","4.560","4.560","4.560","-0.44%"
"Aug 05, 2020","4.560","4.580","4.580","4.580","0.00%"
"Aug 04, 2020","4.560","4.570","4.580","4.570","0.22%"
"Aug 03, 2020","4.550","4.570","4.570","4.570","-1.09%"
"Jul 31, 2020","4.600","4.620","4.620","4.620","0.44%"
"Jul 30, 2020","4.580","4.580","4.600","4.580","0.00%"
"Jul 29, 2020","4.580","4.600","4.600","4.600","0.22%"
"Jul 28, 2020","4.570","4.590","4.590","4.590","0.00%"
"Jul 27, 2020","4.570","4.580","4.620","4.580","0.22%"
"Jul 24, 2020","4.560","4.580","4.580","4.580","-0.22%"
"Jul 23, 2020","4.570","4.590","4.590","4.590","0.00%"
"Jul 22, 2020","4.570","4.590","4.590","4.590","0.00%"
"Jul 21, 2020","4.570","4.610","4.610","4.610","-0.44%"
"Jul 20, 2020","4.590","4.620","4.620","4.610","-0.22%"
"Jul 17, 2020","4.600","4.640","4.640","4.620","-0.43%"
"Jul 16, 2020","4.620","4.640","4.640","4.640","0.00%"
"Jul 15, 2020","4.620","4.640","4.640","4.640","0.43%"
"Jul 14, 2020","4.600","4.620","4.620","4.620","0.00%"
"Jul 13, 2020","4.600","4.620","4.620","4.620","0.00%"
"Jul 10, 2020","4.600","4.620","4.620","4.620","0.00%"
"Jul 09, 2020","4.600","4.610","4.620","4.610","0.44%"
"Jul 08, 2020","4.580","4.660","4.660","4.620","-1.29%"
