"Date","Price","Open","High","Low","Change %"
"Aug 26, 2020","5.782","5.761","5.793","5.761","3.99%"
"Aug 25, 2020","5.560","5.600","5.610","5.600","0.00%"
"Aug 24, 2020","5.560","5.540","5.600","5.540","0.91%"
"Aug 21, 2020","5.510","5.555","5.555","5.550","0.64%"
"Aug 20, 2020","5.475","5.490","5.515","5.490","0.46%"
"Aug 19, 2020","5.450","5.490","5.490","5.490","-0.37%"
"Aug 18, 2020","5.470","5.540","5.540","5.510","-0.09%"
"Aug 17, 2020","5.475","5.470","5.515","5.470","0.83%"
"Aug 14, 2020","5.430","5.510","5.530","5.470","-1.09%"
"Aug 13, 2020","5.490","5.520","5.530","5.520","-0.72%"
"Aug 12, 2020","5.530","5.580","5.580","5.530","0.18%"
"Aug 11, 2020","5.520","5.490","5.560","5.490","1.28%"
"Aug 10, 2020","5.450","5.480","5.490","5.480","0.37%"
"Aug 07, 2020","5.430","5.450","5.470","5.430","0.56%"
"Aug 06, 2020","5.400","5.470","5.470","5.440","-0.37%"
"Aug 05, 2020","5.420","5.440","5.460","5.430","-0.37%"
"Aug 04, 2020","5.440","5.480","5.480","5.460","0.37%"
"Aug 03, 2020","5.420","5.500","5.510","5.460","0.18%"
"Jul 31, 2020","5.410","5.400","5.450","5.400","0.74%"
"Jul 30, 2020","5.370","5.440","5.440","5.410","-0.37%"
"Jul 29, 2020","5.390","5.410","5.430","5.410","0.19%"
"Jul 28, 2020","5.380","5.420","5.420","5.420","-0.37%"
"Jul 27, 2020","5.400","5.490","5.540","5.440","-0.92%"
"Jul 24, 2020","5.450","5.510","5.510","5.490","-0.37%"
"Jul 23, 2020","5.470","5.490","5.510","5.490","0.37%"
"Jul 22, 2020","5.450","5.500","5.500","5.490","-0.91%"
"Jul 21, 2020","5.500","5.510","5.540","5.510","-0.54%"
"Jul 20, 2020","5.530","5.540","5.600","5.540","0.55%"
"Jul 17, 2020","5.500","5.540","5.540","5.540","0.36%"
"Jul 16, 2020","5.480","5.430","5.500","5.430","1.67%"
"Jul 15, 2020","5.390","5.430","5.430","5.430","0.75%"
"Jul 14, 2020","5.350","5.450","5.450","5.400","0.00%"
"Jul 13, 2020","5.350","5.430","5.430","5.400","-0.93%"
"Jul 10, 2020","5.400","5.480","5.500","5.440","-1.46%"
"Jul 09, 2020","5.480","5.540","5.550","5.520","0.00%"
"Jul 08, 2020","5.480","5.500","5.550","5.500","0.74%"
"Jul 07, 2020","5.440","5.420","5.490","5.420","1.49%"
"Jul 06, 2020","5.360","5.400","5.420","5.400","-0.56%"
"Jul 03, 2020","5.390","5.410","5.440","5.410","0.75%"
"Jul 02, 2020","5.350","5.320","5.410","5.320","0.19%"
"Jul 01, 2020","5.340","5.420","5.440","5.380","-1.84%"
"Jun 30, 2020","5.440","5.530","5.530","5.480","-1.09%"
"Jun 29, 2020","5.500","5.560","5.560","5.540","0.00%"
"Jun 26, 2020","5.500","5.610","5.610","5.550","-1.26%"
"Jun 25, 2020","5.570","5.660","5.660","5.600","-1.42%"
"Jun 24, 2020","5.650","5.670","5.710","5.650","0.89%"
"Jun 23, 2020","5.600","5.640","5.660","5.640","-0.18%"
"Jun 22, 2020","5.610","5.640","5.700","5.640","0.00%"
"Jun 19, 2020","5.610","5.720","5.720","5.660","-1.23%"
