"Date","Price","Open","High","Low","Change %"
"Aug 26, 2020","2.320","2.135","2.320","2.135","1.98%"
"Aug 25, 2020","2.275","2.105","2.275","2.105","0.66%"
"Aug 24, 2020","2.260","2.125","2.260","2.105","-1.42%"
"Aug 22, 2020","2.293","2.293","2.293","2.293","7.88%"
"Aug 21, 2020","2.125","2.115","2.125","2.115","0.47%"
"Aug 20, 2020","2.115","2.085","2.115","2.085","1.44%"
"Aug 19, 2020","2.085","2.060","2.085","2.060","1.21%"
"Aug 18, 2020","2.060","2.130","2.130","2.060","-2.83%"
"Aug 17, 2020","2.120","2.115","2.345","2.105","0.47%"
"Aug 14, 2020","2.110","2.100","2.340","2.100","-8.66%"
"Aug 13, 2020","2.310","2.065","2.310","2.010","11.86%"
"Aug 12, 2020","2.065","2.010","2.255","2.010","-5.28%"
"Aug 11, 2020","2.180","2.025","2.180","2.010","-1.13%"
"Aug 10, 2020","2.205","2.015","2.205","2.015","1.38%"
"Aug 07, 2020","2.175","1.990","2.175","1.990","1.87%"
"Aug 06, 2020","2.135","2.120","2.135","1.990","-7.17%"
"Aug 05, 2020","2.300","2.085","2.300","2.085","1.10%"
"Aug 04, 2020","2.275","2.060","2.275","2.060","2.02%"
"Aug 03, 2020","2.230","2.080","2.230","2.060","0.00%"
"Jul 31, 2020","2.230","2.075","2.230","2.075","0.00%"
"Jul 30, 2020","2.230","2.095","2.230","2.075","-2.19%"
"Jul 29, 2020","2.280","2.110","2.280","2.085","7.80%"
"Jul 28, 2020","2.115","2.105","2.290","2.105","-7.24%"
"Jul 27, 2020","2.280","2.135","2.280","2.090","6.79%"
"Jul 24, 2020","2.135","2.165","2.165","2.135","-3.39%"
"Jul 22, 2020","2.210","2.210","2.210","2.210","0.45%"
"Jul 21, 2020","2.200","2.200","2.200","2.200","1.15%"
"Jul 20, 2020","2.175","2.175","2.175","2.175","-9.19%"
"Jul 17, 2020","2.395","2.200","2.395","2.200","7.64%"
"Jul 16, 2020","2.225","2.225","2.225","2.225","-27.52%"
"Jul 15, 2020","3.070","3.067","3.070","3.067","24.04%"
"Jul 14, 2020","2.475","2.475","2.475","2.475","10.61%"
"Jul 11, 2020","2.237","2.237","2.237","2.237","-2.29%"
"Jul 10, 2020","2.290","2.290","2.290","2.290","0.00%"
"Jul 09, 2020","2.290","2.290","2.290","2.290","0.00%"
"Jul 08, 2020","2.290","2.290","2.290","2.290","4.09%"
"Jul 07, 2020","2.200","2.200","2.200","2.200","0.00%"
"Jul 06, 2020","2.200","2.200","2.200","2.200","-6.58%"
"Jul 03, 2020","2.355","2.180","2.355","2.180","-1.05%"
"Jul 02, 2020","2.380","2.205","2.380","2.205","8.92%"
"Jul 01, 2020","2.185","2.185","2.185","2.185","1.16%"
"Jun 30, 2020","2.160","2.195","2.200","2.160","-2.48%"
"Jun 29, 2020","2.215","2.215","2.215","2.215","0.00%"
"Jun 27, 2020","2.215","2.215","2.215","2.215","-0.23%"
"Jun 26, 2020","2.220","2.220","2.220","2.220","0.23%"
"Jun 25, 2020","2.215","2.215","2.215","2.215","1.61%"
"Jun 24, 2020","2.180","2.200","2.200","2.180","-0.91%"
"Jun 23, 2020","2.200","2.205","2.205","2.200","1.38%"
"Jun 22, 2020","2.170","2.170","2.190","2.170","-29.43%"
"Jun 19, 2020","3.075","2.220","2.220","2.220","37.58%"
"Jun 18, 2020","2.235","2.240","2.240","2.235","-1.32%"
"Jun 17, 2020","2.265","2.290","2.290","2.265","-0.44%"
"Jun 16, 2020","2.275","2.280","2.285","2.275","-1.09%"
"Jun 15, 2020","2.300","2.350","2.350","2.300","-2.13%"
"Jun 12, 2020","2.350","2.320","2.350","2.320","1.29%"
"Jun 10, 2020","2.320","2.340","2.340","2.320","-0.43%"
"Jun 09, 2020","2.330","2.360","2.360","2.330","-0.21%"
"Jun 08, 2020","2.335","2.330","2.335","2.330","0.21%"
"Jun 05, 2020","2.330","2.330","2.330","2.320","1.08%"
"Jun 04, 2020","2.305","2.330","2.330","2.295","-0.86%"
"Jun 03, 2020","2.325","2.345","2.345","2.315","-1.90%"
"Jun 02, 2020","2.370","2.380","2.380","2.370","-1.66%"
"Jun 01, 2020","2.410","2.420","2.420","2.410","-3.41%"
