"Date","Price","Open","High","Low","Change %"
"Aug 26, 2020","2.410","2.410","2.410","2.410","-2.43%"
"Aug 25, 2020","2.470","2.470","2.470","2.470","-0.80%"
"Aug 24, 2020","2.490","2.490","2.490","2.490","0.81%"
"Aug 21, 2020","2.470","2.470","2.470","2.470","0.00%"
"Aug 20, 2020","2.470","2.470","2.470","2.470","0.00%"
"Aug 19, 2020","2.470","2.470","2.470","2.470","-1.20%"
"Aug 18, 2020","2.500","2.500","2.500","2.500","0.81%"
"Aug 17, 2020","2.480","2.480","2.480","2.480","0.81%"
"Aug 14, 2020","2.460","2.460","2.460","2.460","-0.40%"
"Aug 13, 2020","2.470","2.470","2.470","2.470","-1.98%"
"Aug 12, 2020","2.520","2.520","2.520","2.520","1.61%"
"Aug 11, 2020","2.480","2.480","2.480","2.480","66.44%"
"Aug 10, 2020","1.490","1.490","1.490","1.490","0.00%"
"Aug 07, 2020","1.490","1.490","1.490","1.490","4.20%"
"Aug 06, 2020","1.430","1.430","1.430","1.430","3.62%"
"Aug 05, 2020","1.380","1.380","1.380","1.380","-2.13%"
"Aug 04, 2020","1.410","1.410","1.410","1.410","-2.08%"
"Aug 03, 2020","1.440","1.440","1.440","1.440","-2.04%"
"Jul 31, 2020","1.470","1.570","1.570","1.470","-4.55%"
"Jul 30, 2020","1.540","1.570","1.570","1.480","4.05%"
"Jul 29, 2020","1.480","1.570","1.570","1.480","-5.73%"
"Jul 28, 2020","1.570","1.570","1.570","1.570","0.00%"
"Jul 27, 2020","1.570","1.570","1.570","1.570","6.80%"
"Jul 24, 2020","1.470","1.500","1.500","1.470","-2.00%"
"Jul 23, 2020","1.500","1.500","1.500","1.500","-8.54%"
"Jul 22, 2020","1.640","1.730","1.730","1.640","-5.20%"
"Jul 21, 2020","1.730","1.730","1.730","1.730","-4.42%"
"Jul 20, 2020","1.810","1.700","1.810","1.700","6.47%"
"Jul 17, 2020","1.700","1.700","1.700","1.700","12.58%"
"Jul 15, 2020","1.510","1.510","1.510","1.510","4.14%"
"Jul 14, 2020","1.450","1.450","1.450","1.450","-0.68%"
